source,target
933,229
933,45
933,1340
933,596
229,45
229,1340
229,596
45,1340
45,596
1340,596
1145,54
1145,556
1145,530
54,556
54,530
556,530
235,83
235,888
235,1169
83,888
83,1169
888,1169
141,594
141,960
141,822
594,960
594,822
960,822
531,578
531,446
578,446
1282,47
1282,774
1282,452
1282,772
47,774
47,452
47,772
774,452
774,772
452,772
754,431
754,202
754,573
754,989
431,202
431,573
431,989
202,573
202,989
573,989
446,426
446,340
426,340
38,713
1009,548
1009,1287
1009,1089
1009,740
548,1287
548,1089
548,740
1287,1089
1287,740
1089,740
685,102
685,705
685,1089
685,298
102,705
102,1089
102,298
705,1089
705,298
1089,298
1142,451
1142,811
1142,50
451,811
451,50
811,50
904,298
904,1363
298,1363
288,984
288,323
984,323
503,178
503,720
503,113
503,101
178,720
178,113
178,101
720,113
720,101
113,101
1155,709
1155,340
709,340
398,1237
398,801
398,1253
398,1159
398,873
1237,801
1237,1253
1237,1159
1237,873
801,1253
801,1159
801,873
1253,1159
1253,873
1159,873
576,1049
576,851
1049,851
780,584
780,1101
584,1101
811,418
811,687
418,687
780,927
780,151
927,151
76,13
959,1092
959,583
959,711
959,746
1092,583
1092,711
1092,746
583,711
583,746
711,746
610,206
610,1028
610,141
206,1028
206,141
1028,141
696,63
696,383
696,1210
696,156
63,383
63,1210
63,156
383,1210
383,156
1210,156
1203,961
1203,248
1203,1145
961,248
961,1145
248,1145
1234,3
1234,1342
1234,643
1234,1235
3,1342
3,643
3,1235
1342,643
1342,1235
643,1235
280,1352
280,387
280,69
280,1294
1352,387
1352,69
1352,1294
387,69
387,1294
69,1294
616,6
616,877
616,347
616,1148
6,877
6,347
6,1148
877,347
877,1148
347,1148
146,820
1116,435
1116,872
1116,763
1116,1004
435,872
435,763
435,1004
872,763
872,1004
763,1004
1195,1322
1195,97
1322,97
819,1185
819,97
1185,97
1195,1322
1195,97
1322,97
350,1204
350,1283
350,209
1204,1283
1204,209
1283,209
559,793
559,820
559,1272
793,820
793,1272
820,1272
1273,1185
1273,1322
1185,1322
1204,1027
1204,209
1204,625
1027,209
1027,625
209,625
1288,1119
1288,482
1288,162
1119,482
1119,162
482,162
940,951
940,820
951,820
292,1289
1185,495
1185,1322
1185,97
1185,166
495,1322
495,97
495,166
1322,97
1322,166
97,166
745,1044
1116,1321
1116,1365
1321,1365
179,774
179,653
179,74
179,376
774,653
774,74
774,376
653,74
653,376
74,376
694,414
694,744
694,866
414,744
414,866
744,866
694,866
694,866
774,344
774,1112
344,1112
774,344
774,1112
344,1112
1018,130
1018,1112
1018,271
130,1112
130,271
1112,271
694,866
694,448
694,939
694,866
448,939
448,866
939,866
884,592
884,62
592,62
256,1164
944,878
944,773
944,177
878,773
878,177
773,177
842,615
842,560
842,694
615,560
615,694
560,694
798,313
798,160
313,160
1020,160
1020,789
160,789
1020,160
1020,789
160,789
370,821
370,1075
370,918
370,420
370,1056
821,1075
821,918
821,420
821,1056
1075,918
1075,420
1075,1056
918,420
918,1056
420,1056
256,137
256,62
137,62
1140,682
