;id;label;community
0;1;SUAREZ, C.;14.0
1;2;KUFFO, L.;0.0
2;3;PAZMINO HERNANDEZ, M.A.;53.0
3;4;PACHECO COELLO, R.;0.0
4;5;BANO HIFONG, M.M.;90.0
5;6;EMERITA, D.;54.0
6;7;ESLAMBOLCHILAR, P.;4.0
7;8;KELLER, K.E.;3.0
8;9;MONTOYA ROMERO, M.E.;89.0
9;10;VASSILIEVA, E.;15.0
10;11;J.M., PEREZ PENA;0.0
11;12;AMANO, Y.;92.0
12;13;CALDERON, MA.F.;97.0
13;14;(...), PEIXE;31.0
14;15;KONDRATH, N.;5.0
15;16;PUENTE, S.C.;19.0
16;17;AMIGO, L.;30.0
17;18;ZHANG, L.;15.0
18;19;DAVALOS, J.;
19;20;FRIAS, J.;30.0
20;21;J.;0.0
21;22;JULIEN, L.;22.0
22;23;DE LOURDES MENDOZA, M.;15.0
23;24;MARTINEZ, A.;12.0
24;25;VALENCIA, G.;79.0
25;26;RYAN, S.J.;1.0
26;27;DIAZ, H.;73.0
27;28;LODEIROS, C.;1.0
28;29;NUNES DA ROCHA, U.;3.0
29;30;CASTELLETTI, A.;64.0
30;31;VASQUEZ, G.;32.0
31;32;VALENTICH SCOTT, P.;1.0
32;33;LOOR, A.;1.0
33;34;RODRIGUEZ, C.R.;5.0
34;35;BALLADARES, C.;2.0
35;36;BRIONES, J.;0.0
36;37;GUERRA, V.;29.0
37;38;YUMBLA, F.;96.0
38;39;MCKAY, T.;0.0
39;40;CORTEZ GALECIO, C.;88.0
40;41;SANTOS, J.L.;
41;42;CASTELLS, J.;0.0
42;43;GUAMAN, B.;0.0
43;44;MENDEZ, G.G.;74.0
44;45;PUGA, M.F.M.;48.0
45;46;CEDENO, C.;3.0
46;47;MAGALLANES, J.;0.0
47;48;LARA, P.;4.0
48;49;VU, V.;9.0
49;50;JARRIN, E.M.;7.0
50;51;SONNENHOLZNER, S.;1.0
51;52;COOPER, C.;95.0
52;53;DESHPANDE, S.;4.0
53;54;ROMERO ARGUELLO, J.;14.0
54;55;RESTREPO, L.;6.0
55;56;ARIAS HIDALGO, M.;10.0
56;57;LEON, R.;40.0
57;58;G., GOETHALS;2.0
58;59;NOBOA PANCHANA, J.;20.0
59;60;GOODE, A.W.;
60;61;Y., REVELO;17.0
61;62;ABAD, C.L.;0.0
62;63;MARIN, M.F.;52.0
63;64;RIVERA, D.E.;4.0
64;65;HINRICHS, U.;74.0
65;66;(...), ENGSTROM OST;13.0
66;67;PAEZ CHAVEZ, J.;6.0
67;68;CHALEN, M.;7.0
68;69;MUNOZ JADAN, Y.;5.0
69;70;GARCIA CEREZO, A.;16.0
70;71;(...), NAM;4.0
71;72;PEREZ, E.;1.0
72;73;P.L.M.;2.0
73;74;CHAERLE, L.;0.0
74;75;CARDENAS, W.B.;63.0
75;76;GALARZA, L.;97.0
76;77;PEREZ, R.;7.0
77;78;P., PUGLLA;1.0
78;79;SEMIDEY, D.;1.0
79;80;M.J., OCHOA;0.0
80;81;R., VALLE;2.0
81;82;T., ORELLANA;2.0
82;83;MARQUEZ PINOARGOTE, C.;11.0
83;84;NAVARRETE, R.;9.0
84;85;LINDA DIAZ, C.;92.0
85;86;ZAMBRANO MONSERRATE, M.A;10.0
86;87;MUNOZ NARANJO, D.;58.0
87;88;TORRES, G.F.;0.0
88;89;GALLINO, V.;4.0
89;90;MANZANO SANTANA, P.I.;2.0
90;91;DOS SANTOS, P.L.;4.0
91;92;SORIA, X.;8.0
92;93;LYNCH, J.L.V.;5.0
93;94;DEKNOCK, A.;2.0
94;95;BORBOR, V.;73.0
95;96;MOSIER, N.J.;3.0
96;97;VINTIMILLA, B.X.;8.0
97;98;GRIENSVEN, A.V.;10.0
98;99;MERCERON, A.;0.0
99;100;(...), AMANO;24.0
100;101;ROMERO, D.G;50.0
101;102;SERRANO, D.;16.0
102;103;MEDINA, J.;27.0
103;104;(...), MYNETT;10.0
104;105;(...), CAJO;4.0
105;106;T. P., RAMOS;4.0
106;107;A.V.;36.0
107;108;J., BONAMI;24.0
108;109;ALVARADO, A.;7.0
109;110;SANCHEZ TIMM, E.;0.0
110;111;GIMENEZ, C.;91.0
111;112;SPIKOL, D.;0.0
112;113;BAYOT, B.N.;50.0
113;114;MARQUES, A.;6.0
114;115;MACIAS, V.;94.0
115;116;ZALDUMBIDE PERALVO, D.;57.0
116;117;J., RIEBESELL;13.0
117;118;IDROVO, R.M.;67.0
118;119;AGUILAR, P.A.;7.0
119;120;AMAYA PESO, C.;20.0
120;121;VALVERDE BAJANA, I.;10.0
121;122;CARRAL COUCE, L.M.;107.0
122;123;DESIDERIO SANCHEZ, K.;56.0
123;124;CHOEZ GUARANDA, I.;2.0
124;125;FRANCO AGURTO, G.L.;2.0
125;126;BOETS, P.;2.0
126;127;WIERCIGROCH, M;6.0
127;128;RODRIGUEZ, A.;69.0
128;129;GUARDERAS, P.F.;5.0
129;130;REALPE, M.;19.0
130;131;(...), GROSSART;1.0
131;132;(...), MARQUEZ;1.0
132;133;(...), RODRIGUEZ TRIANA;0.0
