source,target,peso
12966,15868,5
6772,12966,5
12966,24478,5
6772,15868,9
15868,24478,9
6772,24478,8
7073,27437,5
7073,25182,5
5781,7073,7
25182,27437,7
5781,27437,5
5781,25182,5
3556,27981,6
3556,35011,5
3556,29267,8
27981,35011,5
27981,29267,6
29267,35011,5
14741,32421,7
6628,32421,10
24957,32421,7
6628,14741,5
14741,24957,7
6628,24957,5
13349,18764,5
18764,27443,1
18764,19830,1
7980,18764,1
13349,27443,1
13349,19830,1
7980,13349,2
19830,27443,1
7980,27443,1
7980,19830,1
3084,20729,2
18541,26387,2
10194,18541,8
5992,18541,7
9009,18541,23
10194,26387,2
5992,26387,1
9009,26387,4
5992,10194,8
9009,10194,12
5992,9009,21
6628,31150,1
2321,6628,2
3115,6628,2
31150,32421,1
2321,32421,1
3115,32421,1
2321,31150,1
3115,31150,1
2321,3115,2
8048,21957,1
16984,21957,1
8048,16984,1
4103,18189,2
4103,24254,2
4103,7141,2
1111,4103,1
18189,24254,2
7141,18189,3
1111,18189,1
7141,24254,2
1111,24254,1
1111,7141,1
29117,34739,1
4107,34739,1
27179,34739,3
4107,29117,1
27179,29117,1
4107,27179,2
14959,22054,2
13599,14959,2
13599,22054,2
4731,32244,1
32244,36484,1
30794,32244,2
4731,36484,1
4731,30794,7
30794,36484,1
4770,17026,2
13102,17026,2
17026,22054,2
17026,35951,2
4770,13102,2
4770,22054,2
4770,35951,2
13102,22054,2
13102,35951,2
22054,35951,2
1343,9248,1
7734,9248,1
1343,7734,4
5402,26671,4
8521,26671,5
5402,8521,20
27734,36517,1
1239,36517,2
2751,36517,1
20420,36517,2
1239,27734,1
2751,27734,1
20420,27734,1
1239,2751,1
1239,20420,2
2751,20420,1
24144,31522,1
12950,31522,1
3643,31522,1
23438,31522,1
12950,24144,1
3643,24144,1
23438,24144,1
3643,12950,1
12950,23438,1
3643,23438,1
25548,30931,2
7674,25548,1
25548,30671,1
25548,26734,4
7674,30931,1
30671,30931,1
26734,30931,1
7674,30671,1
7674,26734,1
26734,30671,1
1943,32596,2
26080,32596,1
7566,32596,1
1943,26080,1
1943,7566,1
7566,26080,1
17115,33210,1
22371,33210,1
31729,33210,1
3176,33210,1
17115,22371,1
17115,31729,1
3176,17115,1
22371,31729,1
3176,22371,1
3176,31729,1
26807,33443,2
11274,26807,1
24130,26807,1
11274,33443,1
24130,33443,1
11274,24130,1
1923,19080,1
1923,28567,1
201,1923,1
1923,18648,2
19080,28567,1
201,19080,1
18648,19080,1
201,28567,1
18648,28567,1
201,18648,1
11991,13361,1
11991,27745,1
11991,29781,1
11991,15765,1
13361,27745,1
13361,29781,2
13361,15765,1
27745,29781,1
15765,27745,1
15765,29781,1
7134,29854,1
2031,7134,1
7134,14746,1
7134,13936,1
2031,29854,1
14746,29854,1
13936,29854,1
2031,14746,1
2031,13936,1
13936,14746,7
15844,18906,1
2099,15844,1
15844,20835,1
15844,17924,1
2099,18906,3
18906,20835,3
17924,18906,1
2099,20835,6
2099,17924,1
17924,20835,1
17344,21043,1
21043,27442,1
53,21043,1
21043,24722,1
17344,27442,1
53,17344,1
17344,24722,1
53,27442,1
24722,27442,1
53,24722,3
6403,35584,5
5668,6403,2
5668,35584,6
24828,33793,7
12877,24828,1
12776,24828,5
24828,30445,7
12877,33793,1
12776,33793,2
30445,33793,5
12776,12877,1
12877,30445,1
12776,30445,3
23979,35599,6
8504,35599,3
8504,23979,3
8350,32147,1
1595,20164,1
20164,33492,1
20164,26926,1
20164,32104,4
1595,33492,1
1595,26926,1
1595,32104,1
26926,33492,1
32104,33492,3
26926,32104,1
21409,23457,1
21409,25325,1
23457,25325,1
2689,4903,1
2689,9321,1
2689,22213,1
2689,20420,1
4903,9321,1
4903,22213,1
4903,20420,1
9321,22213,1
9321,20420,2
20420,22213,1
24118,28217,2
3834,28217,2
1343,28217,1
28217,34700,3
3834,24118,1
1343,24118,4
24118,34700,3
1343,3834,1
3834,34700,2
1343,34700,2
5950,9185,3
9185,14061,1
9185,32788,4
5950,14061,2
5950,32788,4
14061,32788,2
8506,18721,1
8506,28995,1
8506,34921,1
18721,28995,1
18721,34921,1
28995,34921,1
1435,4726,1
4726,26208,1
1435,26208,1
6954,11209,1
6954,13191,1
6954,33158,1
6954,15387,1
11209,13191,1
11209,33158,1
11209,15387,2
13191,33158,1
13191,15387,1
15387,33158,1
2434,5249,1
5249,11073,1
5249,13858,1
5249,29749,1
2434,11073,1
2434,13858,1
2434,29749,1
11073,13858,4
11073,29749,2
13858,29749,3
13188,17214,1
3258,29849,1
22491,29849,1
25995,29849,1
3258,22491,1
3258,25995,1
22491,25995,1
2756,23718,1
23718,23722,2
23718,26517,10
15238,23718,1
2756,23722,1
2756,26517,1
2756,15238,1
23722,26517,2
15238,23722,1
15238,26517,1
770,21676,1
770,30684,1
770,11136,1
770,26628,1
21676,30684,1
11136,21676,5
21676,26628,4
11136,30684,1
26628,30684,1
11136,26628,8
13062,28300,1
21220,28300,3
23144,28300,1
28300,32660,4
13062,21220,1
13062,23144,1
13062,32660,1
21220,23144,1
21220,32660,3
23144,32660,1
18912,23449,1
19059,23449,1
12672,23449,1
23449,35895,1
18912,19059,1
12672,18912,1
18912,35895,1
12672,19059,1
19059,35895,1
12672,35895,1
30439,36324,1
26635,30439,1
26458,30439,1
198,30439,1
26635,36324,1
26458,36324,1
198,36324,1
26458,26635,1
198,26635,1
198,26458,1
17100,35344,1
3184,17100,2
13542,17100,2
11436,17100,2
3184,35344,1
13542,35344,1
11436,35344,1
3184,13542,1
3184,11436,1
11436,13542,1
26651,36457,2
7805,36457,1
6554,36457,1
7805,26651,1
6554,26651,1
6554,7805,1
22030,29019,3
22030,30873,4
8845,22030,10
29019,30873,1
8845,29019,4
8845,30873,4
7129,29639,2
504,7129,1
504,29639,1
21549,30885,3
14413,21549,1
21549,22281,2
14413,30885,1
22281,30885,8
14413,22281,1
23142,24681,1
3337,7063,1
3337,36414,1
3337,25874,7
3337,5668,6
7063,36414,1
7063,25874,1
5668,7063,1
25874,36414,1
5668,36414,1
5668,25874,6
21567,35258,2
14023,21567,2
21567,22851,2
14023,35258,2
22851,35258,2
14023,22851,2
20,10337,1
10337,23174,9
8757,10337,1
10337,32311,9
20,23174,1
20,8757,1
20,32311,1
8757,23174,1
23174,32311,8
8757,32311,1
23734,35845,1
23734,25984,1
25984,35845,1
9907,32647,1
24661,32647,1
9907,24661,1
13836,22197,1
22197,27735,1
13836,27735,1
3677,15349,7
7700,15349,6
3677,7700,11
12816,32042,3
21220,30145,1
1131,21220,2
11214,21220,1
21220,26874,4
1131,30145,1
11214,30145,1
26874,30145,3
1131,11214,1
1131,26874,2
11214,26874,2
7299,17392,2
7299,22830,1
7299,36575,1
7299,26572,3
17392,22830,1
17392,36575,1
17392,26572,2
22830,36575,1
22830,26572,1
26572,36575,1
13802,19874,1
7980,19874,1
7980,13802,2
28783,30910,6
5705,28783,1
28783,33151,2
28783,31102,2
5705,30910,3
30910,33151,9
30910,31102,14
5705,33151,2
5705,31102,2
31102,33151,6
3702,10410,1
34,10410,1
10410,17993,1
34,3702,1
3702,17993,1
34,17993,1
29388,31527,1
29388,33889,1
31527,33889,3
21261,23979,1
14315,23979,1
4193,23979,1
6508,23979,1
14315,21261,1
4193,21261,1
6508,21261,1
4193,14315,1
6508,14315,1
4193,6508,1
17195,34359,1
552,17195,1
17195,36382,5
552,34359,1
34359,36382,1
552,36382,2
1162,8521,2
1162,5806,2
5806,8521,7
9216,22069,1
22069,24064,1
4753,22069,1
6642,22069,1
9216,24064,1
4753,9216,2
6642,9216,5
4753,24064,1
6642,24064,1
4753,6642,7
20619,27949,1
20592,27949,1
13343,27949,2
15533,27949,1
20592,20619,1
13343,20619,1
15533,20619,1
13343,20592,1
15533,20592,1
13343,15533,1
5315,22778,1
22778,23616,1
22778,24243,1
22778,24180,1
5315,23616,1
5315,24243,1
5315,24180,1
23616,24243,1
23616,24180,2
24180,24243,1
27767,29484,1
8837,29484,1
25882,29484,1
8837,27767,1
25882,27767,1
8837,25882,1
14810,15512,1
10986,15512,1
12496,15512,1
15512,25915,1
10986,14810,2
12496,14810,1
14810,25915,1
10986,12496,1
10986,25915,1
12496,25915,1
11354,26210,1
20960,26210,1
730,26210,1
26210,28879,1
11354,20960,1
730,11354,1
11354,28879,1
730,20960,1
20960,28879,1
730,28879,1
3862,23973,1
23973,26197,1
9868,23973,1
3862,26197,5
3862,9868,3
9868,26197,4
24922,27882,3
1268,27882,1
9009,27882,3
21910,27882,3
1268,24922,1
9009,24922,12
21910,24922,8
1268,9009,1
1268,21910,1
9009,21910,22
22683,27736,1
27736,33661,1
27736,28723,1
25059,27736,4
22683,33661,1
22683,28723,1
22683,25059,2
28723,33661,2
25059,33661,2
25059,28723,4
7808,27131,2
6249,22327,1
3707,6249,1
6249,7700,1
6249,6944,1
3707,22327,1
7700,22327,1
6944,22327,1
3707,7700,1
3707,6944,1
6944,7700,1
25173,33159,1
19487,25173,1
25173,25653,1
22992,25173,1
19487,33159,1
25653,33159,1
22992,33159,1
19487,25653,1
19487,22992,1
22992,25653,1
1148,35780,1
1148,36625,1
192,1148,1
1148,24656,1
35780,36625,1
192,35780,1
24656,35780,8
192,36625,3
24656,36625,5
192,24656,3
11215,29512,1
29512,32128,1
29512,33423,1
27307,29512,1
11215,32128,3
11215,33423,1
11215,27307,1
32128,33423,1
27307,32128,2
27307,33423,2
8350,32377,2
16991,32377,2
14480,32377,2
8350,16991,2
8350,14480,4
14480,16991,3
7586,23069,1
8421,23069,1
8809,23069,1
18240,23069,1
7586,8421,1
7586,8809,1
7586,18240,1
8421,8809,1
8421,18240,1
8809,18240,1
20342,27437,1
24675,27437,1
9009,27437,13
20342,25182,1
20342,24675,2
9009,20342,1
