;id;label;community
0;1;PIVOZ AVEDIKIAN,J.E.;0.0
1;2;FURSTENAU,L.;6.0
2;3;BRUNET,G.;10.0
3;4;CARLOS GOMEZ,J.;559.0
4;5;CERRATO,B.D.;0.0
5;6;KOWALEWSKI,V.J.;4.0
6;7;VITIELLO,G.;0.0
7;8;ARCONDO,B.;0.0
8;9;UCEDA,A.M.;0.0
9;10;KHOA LY,H.;0.0
10;11;BLANCO,G.A.;20.0
11;12;SANCHEZ DE BOCK,M.F.;1.0
12;13;CARDINALE,B.J.;4.0
13;14;POMPOSIELLO,M.C.;1.0
14;15;SCHERF,U.;0.0
15;16;MACHADO,R.E.G.;33.0
16;17;STRASSLE,P.D.;115.0
17;18;FRONING,C.S.;12.0
18;19;MORIENA,G.;5.0
19;20;DE LA SANCHA,N.U.;1.0
20;21;ANDRADE SOUZA,V.;18.0
21;22;TEIXEIRA,E.V.;1.0
22;23;MCALEER,P.;1.0
23;24;CARDELLINI,C.;1.0
24;25;GOMEZ SERRANO,M.;0.0
25;26;FARIAS CISNEROS,E.;15.0
26;27;MARDONES,R.;38.0
27;28;LABBE,J.H.;13.0
28;29;D’ONOFRIO,E.E.;1.0
29;30;SOLARZ,N.;13.0
30;31;DIB,M.J.;242.0
31;32;RADUSKY,P.D.;14.0
32;33;TINEO,G.;
33;34;VARISCO,D.;0.0
34;35;ZANINOVICH,A.A.;1.0
35;36;SILVESTRO,L.;18.0
36;37;PARDES,E.M.;6.0
37;38;ENGEL,N.;9.0
38;39;MURPHY,A.;663.0
39;40;FRANCO,M.E.E.;0.0
40;41;LORENZETTI,D.;5.0
41;42;LOCHERT,I.J.;7.0
42;43;BERRE,D.L.;1.0
43;44;MELGRATTI,H.;10.0
44;45;RODRIGUEZ PRIETO,G.;16.0
45;46;GONZALEZ,E.P.;1.0
46;47;SANCHEZ,R.D.;0.0
47;48;CATALANO,M.I.;0.0
48;49;FEDERICO,A.;5.0
49;50;SLEIMAN,J.;0.0
50;51;AVENDANO,M.;5.0
51;52;BISCEGLIA,J.A.;0.0
52;53;CISALE,H.;0.0
53;54;MARTINEZ,M.G.O.;1.0
54;55;COX,P.;7.0
55;56;STERN,J.E.;0.0
56;57;AVELLANEDA,D.;1.0
57;58;NOTKIN,D.;10.0
58;59;HOLMES SIEDLE,A.;1.0
59;60;KRATZ,J.M.;36.0
60;61;NIZAMOV,S.;0.0
61;62;DECONTO,R.;1.0
62;63;TROPEA,C.;1.0
63;64;IBARRA,F.R.;0.0
64;65;GOWRISHANKAR,N.L.;287.0
65;66;MONTILLA UZCATEGUI,V.;4.0
66;67;CANIZO,A.I.;131.0
67;68;ZARIDZE,D.;750.0
68;69;PICO,J.C.;748.0
69;70;DACCORSO,N.B.;0.0
70;71;NOVELLI,A.;304.0
71;72;CORFIELD,R.;0.0
72;73;LEE,A.V.;433.0
73;74;REAL,A.;32.0
74;75;GONZALEZ,P.M.;1.0
75;76;CALVO,D.S.;4.0
76;77;RODULFO,M.B.;1512.0
77;78;BRUKMAN,N.G.;0.0
78;79;BERNHARDT,D.C.;0.0
79;80;LOPEZ RIOS,L.;1.0
80;81;YOMMI,A.;8.0
81;82;ALBERTI,A.S.;0.0
82;83;FRAZIN,R.;12.0
83;84;LLANO,C.L.;1.0
84;85;LIU,Z.;1.0
85;86;VILLEGAS,M.V.;2.0
86;87;VENCE,L.B.;780.0
87;88;BRENA,S.;2.0
88;89;CONTIS,G.;4.0
89;90;POULAKOU,G.;636.0
90;91;GALLIARI,F.C.;16.0
91;92;GIOVANNONI,F.;0.0
92;93;PASCUAL LEONE,A.;698.0
93;94;VARONE,C.L.;0.0
94;95;GUTIERREZ,J.;2.0
95;96;MATEO,C.;131.0
96;97;SZAPIRO,B.;16.0
97;98;BERNASCONI,P.A.S.;0.0
98;99;PEREZ ETCHEGOYEN,C.B.;3.0
99;100;JAHN,G.A.;0.0
100;101;GRISMEYER,W.;1.0
101;102;BREVEDAN,R.E.;135.0
102;103;CARRIZO,F.;26.0
103;104;DE PORTELA,M.L.;0.0
104;105;ROSSELLI,M.S.;4.0
105;106;PIAZZA,A.M.;773.0
106;107;AAB,A.;50.0
107;108;BARRANCOS,D.;1401.0
108;109;PALOPOLI,C.;2.0
109;110;GRATTIERI,M.;0.0
110;111;ROGGER,J.;1.0
111;112;ESPOSITO,M.A.;2.0
112;113;COLARES,M.N.;903.0
113;114;GARCIA,S.E.;3.0
114;115;URRIZA,J.;602.0
115;116;PERRONE,N.M.;
116;117;HANSKI,I.;22.0
117;118;LUQUET,C.M.;1.0
118;119;BRZEZINSKI,A.;1.0
119;120;RIVAS ARAVENA,A.;122.0
120;121;STADDON,J.E.R.;3.0
121;122;POBLETE,J.;1481.0
122;123;FERREIRA,T.O.;509.0
123;124;LOPEZ VICCHI,M.M.;2.0
124;125;RIO,M.E.;8.0
125;126;UPFAL,E.;1011.0
126;127;FUENTES,K.M.;0.0
127;128;EZQUERRA CANALEJO,A.;46.0
128;129;FERRER,E.;8.0
129;130;BRAVO,L.;3.0
130;131;CYMBERKNOP,L.J.;31.0
131;132;KARCHER,V.;7.0
132;133;NAJMANOVICH,D.;
133;134;CARDINALI,D.P.;1.0
134;135;CASTILLO,A.;7.0
135;136;MARCIANO,A.;1.0
136;137;TEIVE,H.A.G.;4.0
137;138;CARDOSO,E.M.L.;16.0
138;139;PEREYRA,M.;6.0
139;140;BONETTO,C.;553.0
140;141;PERRONE,G.;15.0
141;142;MATTAR,M.A.;0.0
142;143;VALDEZ,L.;0.0
143;144;CABEZAS,D.P.;12.0
144;145;ALVAREZ,B.B.;4.0
145;146;VOLCO,H.E.;2.0
146;147;PEZZONI,M.;0.0
147;148;ABASOLO,MA.I.;0.0
148;149;GILETTE,N.;1.0
149;150;DE LA CRUZ,M.O.;0.0
150;151;WAN,M.;6.0
151;152;CAMACHO,L.C.;0.0
152;153;AUDEBERT,F.;0.0
153;154;DE LAMO,D.;112.0
154;155;VEGGETTI,M.I.;89.0
155;156;ARIEL UGLIAROLO,E.;988.0
156;157;SHALOM,D.E.;1.0
157;158;DE QUADROS,A.H.;283.0
158;159;PUGA,Y.;1025.0
159;160;CASTAGNINO,M.;1.0
160;161;MORO,A.;1.0
161;162;BISSELL,D.M.;3.0
162;163;JURIOL,L.V.;0.0
163;164;MONJEAU,A.;78.0
164;165;LEVY TACHER,S.I.;0.0
165;166;IEMMI,C.C.;0.0
166;167;ZAMALOA,M.C.;1.0
167;168;ROGERS,U.S.;734.0
168;169;MROGINSKI,J.L.;18.0
169;170;SEPULCHRE,J. A.;9.0
170;171;BEDOYA PILOZO,C.H.;0.0
171;172;BUAINAIN,A.;973.0
172;173;MAS VERDU,F.;799.0
173;174;GARCIA FULGUEIRAS,V.;1.0
174;175;BISCOGLIO DE JIMENEZ BONINO,M.;14.0
175;176;OTEGUI,L.;0.0
176;177;VAROQUAUX,G.;1.0
177;178;BERTOUT,P.;1.0
178;179;PRAODI,R.J.;2.0
179;180;LATZER,J.;9.0
180;181;RANCATI,A.;53.0
181;182;IRIBARREN,M.J.;1.0
182;183;PEREZ,G.D.;0.0
183;184;CUCHER,M.A.;13.0
184;185;YLIKONTIOLA,L.P.;107.0
185;186;DOMBIAK,G.;1.0
186;187;VALDMAN,E.;0.0
