source	target
553	25
2433	2151
2433	2187
2433	72
2433	389
2151	2187
2151	72
2151	389
2187	72
2187	389
72	389
1955	489
1955	638
1955	998
1955	2251
489	638
489	998
489	2251
638	998
638	2251
998	2251
1557	1314
1557	1187
1314	1187
597	1071
597	1533
597	1228
1071	1533
1071	1228
1533	1228
357	1206
357	826
357	1687
357	1135
1206	826
1206	1687
1206	1135
826	1687
826	1135
1687	1135
20	2514
645	274
645	1167
645	2531
645	2494
274	1167
274	2531
274	2494
1167	2531
1167	2494
2531	2494
2146	1100
2146	1866
2146	2341
2146	2494
1100	1866
1100	2341
1100	2494
1866	2341
1866	2494
2341	2494
2548	1903
2548	112
2548	2124
2548	1010
1903	112
1903	2124
1903	1010
112	2124
112	1010
2124	1010
375	594
375	1223
375	2069
594	1223
594	2069
1223	2069
1303	1533
1303	2479
1303	1240
1303	1707
1533	2479
1533	1240
1533	1707
2479	1240
2479	1707
1240	1707
2448	1872
2448	1882
2448	2093
2448	1944
1872	1882
1872	2093
1872	1944
1882	2093
1882	1944
2093	1944
2268	894
2268	2072
894	2072
980	7
980	200
980	680
980	1094
7	200
7	680
7	1094
200	680
200	1094
680	1094
1343	982
1343	233
1343	2460
1343	1062
982	233
982	2460
982	1062
233	2460
233	1062
2460	1062
71	2495
71	1155
71	2271
71	2054
2495	1155
2495	2271
2495	2054
1155	2271
1155	2054
2271	2054
1445	215
1445	1670
1445	1911
1445	182
215	1670
215	1911
215	182
1670	1911
1670	182
1911	182
1564	2044
1564	340
1564	1188
1564	2380
2044	340
2044	1188
2044	2380
340	1188
340	2380
1188	2380
540	2494
540	2185
540	2355
540	1562
2494	2185
2494	2355
2494	1562
2185	2355
2185	1562
2355	1562
1491	2268
1491	435
1491	2389
2268	435
2268	2389
435	2389
1540	75
1654	245
1654	1774
245	1774
1756	1692
1756	1557
1756	1285
1692	1557
1692	1285
1557	1285
312	423
312	1550
312	496
423	1550
423	496
1550	496
353	501
353	625
353	2241
353	1573
501	625
501	2241
501	1573
625	2241
625	1573
2241	1573
1934	2097
1654	245
1654	1774
245	1774
1723	846
1723	2494
846	2494
2414	2240
2414	1957
2414	2383
2414	2184
2240	1957
2240	2383
2240	2184
1957	2383
1957	2184
2383	2184
1107	1912
1107	2494
1107	618
1107	394
1912	2494
1912	618
1912	394
2494	618
2494	394
618	394
1707	1372
1707	1320
1707	963
1707	1240
1372	1320
1372	963
1372	1240
1320	963
1320	1240
963	1240
1970	1206
1970	1784
1206	1784
998	974
