Source;Target;Weight;Year
Santos, V.;Sappa, A.D.;4;2016
Santos, V.;Oliveira, M.;4;2016
Santos, V.;de la Escalera, A.;1;2019
Sappa, A.D.;Oliveira, M.;5;2015
Sappa, A.D.;de la Escalera, A.;1;2019
Oliveira, M.;de la Escalera, A.;1;2019
Ponguillo, R.A.;Padilla, V.S.;3;2016
Ponguillo, R.A.;Ordoñez, D.M.;1;2019
Padilla, V.S.;Ordoñez, D.M.;1;2019
Ortiz-Rojas, M.;Chiluiza, K.;3;2017
Ortiz-Rojas, M.;Valcke, M.;3;2017
Chiluiza, K.;Valcke, M.;3;2017
Cobos, R.;Hernandez, J.;1;2019
Cobos, R.;Abad, A.G.;1;2019
Hernandez, J.;Abad, A.G.;3;2018
Andrade, X.;Cedeno, J.;1;2019
Andrade, X.;Boza, E.;1;2019
Andrade, X.;Abad, C.;1;2019
Andrade, X.;Murillo, J.;1;2019
Cedeno, J.;Boza, E.;1;2019
Cedeno, J.;Abad, C.;1;2019
Cedeno, J.;Murillo, J.;1;2019
Boza, E.;Abad, C.;2;2019
Boza, E.;Murillo, J.;1;2019
Abad, C.;Murillo, J.;1;2019
Torres, J.;Vaca, C.;7;2016
Aragon, H.;Braganza, S.;1;2019
Aragon, H.;Boza, E.F.;1;2019
Aragon, H.;Parrales, J.;1;2019
Aragon, H.;Abad, C.L.;1;2019
Braganza, S.;Boza, E.F.;1;2019
Braganza, S.;Parrales, J.;1;2019
Braganza, S.;Abad, C.L.;1;2019
Boza, E.F.;Parrales, J.;1;2019
Boza, E.F.;Abad, C.L.;6;2017
Parrales, J.;Abad, C.L.;1;2019
Collaguazo Jaramillo, A.;Alcivar, R.;1;2019
Collaguazo Jaramillo, A.;Pesantez, J.;1;2019
Collaguazo Jaramillo, A.;Ponguillo, R.;1;2019
Alcivar, R.;Pesantez, J.;1;2019
Alcivar, R.;Ponguillo, R.;1;2019
Pesantez, J.;Ponguillo, R.;1;2019
Echeverria, V.;Martinez-Maldonado, R.;7;2017
Echeverria, V.;Shum, S.B.;4;2017
Martinez-Maldonado, R.;Shum, S.B.;4;2017
Wong-Villacres, M.;Kumar, N.;3;2018
Wong-Villacres, M.;DiSalvo, B.;2;2018
Kumar, N.;DiSalvo, B.;2;2018
Vishwanath, A.;Karusala, N.;1;2019
Vishwanath, A.;Wong-Villacres, M.;2;2018
Vishwanath, A.;Kumar, N.;2;2018
Karusala, N.;Wong-Villacres, M.;1;2019
Karusala, N.;Kumar, N.;1;2019
Aumala, G.;Boza, E.;1;2019
Aumala, G.;Ortiz-Aviles, L.;1;2019
Aumala, G.;Totoy, G.;1;2019
Aumala, G.;Abad, C.;1;2019
Boza, E.;Ortiz-Aviles, L.;1;2019
Boza, E.;Totoy, G.;1;2019
Ortiz-Aviles, L.;Totoy, G.;1;2019
Ortiz-Aviles, L.;Abad, C.;1;2019
Totoy, G.;Abad, C.;1;2019
Do, T.H.;Minh Nguyen, D.;1;2019
Do, T.H.;Tsiligianni, E.;1;2019
Do, T.H.;Philips, W.;1;2019
Do, T.H.;Deligiannis, N.;1;2019
Minh Nguyen, D.;Tsiligianni, E.;1;2019
Minh Nguyen, D.;Philips, W.;1;2019
Minh Nguyen, D.;Deligiannis, N.;1;2019
Tsiligianni, E.;Philips, W.;1;2019
Tsiligianni, E.;Deligiannis, N.;1;2019
Philips, W.;Deligiannis, N.;1;2019
Talluri, S.;Abad, C.L.;1;2019
Talluri, S.;Łuszczak, A.;1;2019
Talluri, S.;Iosup, A.;1;2019
Abad, C.L.;Łuszczak, A.;1;2019
Abad, C.L.;Iosup, A.;2;2018
Łuszczak, A.;Iosup, A.;1;2019
Bezemer, C.-P.;Eismann, S.;1;2019
Bezemer, C.-P.;Ferme, V.;1;2019
Bezemer, C.-P.;Walter, J.;1;2019
Bezemer, C.-P.;Willnecker, F.;1;2019
Eismann, S.;Ferme, V.;1;2019
Eismann, S.;Walter, J.;1;2019
Eismann, S.;Willnecker, F.;1;2019
Ferme, V.;Walter, J.;1;2019
Ferme, V.;Willnecker, F.;1;2019
Walter, J.;Willnecker, F.;1;2019
Encalada, A.;Orellana Fantoni, C.;1;2019
Encalada, A.;Vaca, C.;1;2019
Encalada, A.;Gorotiza, J.;1;2019
Encalada, A.;Pilco, N.;1;2019
Orellana Fantoni, C.;Vaca, C.;1;2019
Orellana Fantoni, C.;Gorotiza, J.;1;2019
Orellana Fantoni, C.;Pilco, N.;1;2019
Vaca, C.;Gorotiza, J.;1;2019
Vaca, C.;Pilco, N.;1;2019
Gorotiza, J.;Pilco, N.;1;2019
Fiallos, A.;Jimenes, K.;3;2017
Estrada-Cedeno, P.;Layedra, F.;1;2019
Estrada-Cedeno, P.;Castillo-Lopez, G.;1;2019
Estrada-Cedeno, P.;Vaca, C.;1;2019
Layedra, F.;Castillo-Lopez, G.;1;2019
Layedra, F.;Vaca, C.;3;2018
Castillo-Lopez, G.;Vaca, C.;1;2019
Bayona, O.;Ochoa, D.;3;2016
Bayona, O.;Criollo, R.;2;2017
Bayona, O.;Cevallos-Cevallos, J.;1;2019
Bayona, O.;Liao, W.;2;2017
Ochoa, D.;Criollo, R.;3;2017
Ochoa, D.;Cevallos-Cevallos, J.;1;2019
Ochoa, D.;Liao, W.;3;2017
Criollo, R.;Cevallos-Cevallos, J.;1;2019
Criollo, R.;Liao, W.;2;2017
Cevallos-Cevallos, J.;Liao, W.;1;2019
Fiallos, A.;Ochoa, X.;3;2017
Van Gheluwe, C.;Lopez, A.J.;1;2019
Van Gheluwe, C.;Gautama, S.;1;2019
Lopez, A.J.;Gautama, S.;3;2015
Cortez, D.;Ponguillo, R.;1;2019
Andrade, X.;Layedra, F.;1;2019
Andrade, X.;Vaca, C.;1;2019
Andrade, X.;Cruz, E.;1;2019
Layedra, F.;Cruz, E.;1;2019
Vaca, C.;Cruz, E.;1;2019
Kuffó, L.;Vaca, C.;2;2017
Kuffó, L.;Izquierdo, E.;1;2019
Kuffó, L.;Bustamante, J.C.;1;2019
Vaca, C.;Izquierdo, E.;2;2018
Vaca, C.;Bustamante, J.C.;2;2018
Izquierdo, E.;Bustamante, J.C.;2;2018
Cevallos, H.;Intriago, G.;3;2018
Cevallos, H.;Plaza, D.;3;2018
Intriago, G.;Plaza, D.;3;2018
Intriago, G.;Intriago, R.;1;2019
Cevallos, H.;Intriago, R.;1;2019
Plaza, D.;Intriago, R.;1;2019
Villavicencio, M.;Oyola, A.;1;2019
Villavicencio, M.;Izquierdo, E.;2;2016
Oyola, A.;Izquierdo, E.;1;2019
Collaguazo-Jaramillo, A.;Villavicencio, M.;1;2019
Collaguazo-Jaramillo, A.;Moreira, V.;1;2019
Collaguazo-Jaramillo, A.;Lara, P.;1;2019
Villavicencio, M.;Moreira, V.;1;2019
Villavicencio, M.;Lara, P.;1;2019
Moreira, V.;Lara, P.;1;2019
Torres, J.;García, S.;2;2017
Torres, J.;Peláez, E.;4;2016
García, S.;Peláez, E.;2;2017
Rivadeneira, R.E.;Suárez, P.L.;1;2019
Rivadeneira, R.E.;Sappa, A.D.;1;2019
Rivadeneira, R.E.;Vintimilla, B.X.;1;2019
Suárez, P.L.;Sappa, A.D.;5;2017
Suárez, P.L.;Vintimilla, B.X.;5;2017
