Source;Target;Weight;Year
Larrain, H.;Coelho, L.C.;2;2017
Larrain, H.;Archetti, C.;1;2019
Larrain, H.;Speranza, M.G.;1;2019
Coelho, L.C.;Archetti, C.;1;2019
Coelho, L.C.;Speranza, M.G.;1;2019
Archetti, C.;Speranza, M.G.;1;2019
Echeverria, A.;Nussbaum, M.;1;2019
Echeverria, A.;Albers, C.J.;1;2019
Echeverria, A.;Tsai, C.-C.;1;2019
Echeverria, A.;van Braak, J.;1;2019
Nussbaum, M.;Albers, C.J.;1;2019
Nussbaum, M.;Tsai, C.-C.;4;2015
Nussbaum, M.;van Braak, J.;1;2019
Albers, C.J.;Tsai, C.-C.;1;2019
Albers, C.J.;van Braak, J.;1;2019
Tsai, C.-C.;van Braak, J.;1;2019
Li, P.;Prieto, L.;1;2019
Li, P.;Mery, D.;2;2018
Li, P.;Flynn, P.J.;2;2018
Prieto, L.;Mery, D.;2;2019
Prieto, L.;Flynn, P.J.;1;2019
Mery, D.;Flynn, P.J.;2;2018
Estañol, M.;Munoz-Gama, J.;1;2019
Estañol, M.;Carmona, J.;1;2019
Estañol, M.;Teniente, E.;1;2019
Munoz-Gama, J.;Carmona, J.;1;2019
Munoz-Gama, J.;Teniente, E.;1;2019
Carmona, J.;Teniente, E.;1;2019
Hernández, C.;Rivera Ottenberger, D.;1;2019
Hernández, C.;Moessner, M.;1;2019
Hernández, C.;Crosby, R.D.;1;2019
Hernández, C.;Ditzen, B.;1;2019
Rivera Ottenberger, D.;Moessner, M.;1;2019
Rivera Ottenberger, D.;Crosby, R.D.;1;2019
Rivera Ottenberger, D.;Ditzen, B.;1;2019
Moessner, M.;Crosby, R.D.;1;2019
Moessner, M.;Ditzen, B.;1;2019
Crosby, R.D.;Ditzen, B.;1;2019
Zegarra, O.;Alarcón, L.F.;2;2017
Dogan, O.;Martinez-Millana, A.;1;2019
Dogan, O.;Rojas, E.;1;2019
Dogan, O.;Traver, V.;1;2019
Dogan, O.;Fernandez-Llatas, C.;1;2019
Martinez-Millana, A.;Rojas, E.;1;2019
Martinez-Millana, A.;Traver, V.;1;2019
Martinez-Millana, A.;Fernandez-Llatas, C.;1;2019
Rojas, E.;Traver, V.;3;2017
Rojas, E.;Fernandez-Llatas, C.;2;2017
Traver, V.;Fernandez-Llatas, C.;3;2017
Fuentes, C.;Porcheron, M.;1;2019
Fuentes, C.;Fischer, J.E.;1;2019
Fuentes, C.;Herskovic, V.;9;2015
Fuentes, C.;Takayama, L.;1;2019
Porcheron, M.;Fischer, J.E.;1;2019
Porcheron, M.;Herskovic, V.;1;2019
Porcheron, M.;Takayama, L.;1;2019
Fischer, J.E.;Herskovic, V.;1;2019
Fischer, J.E.;Takayama, L.;1;2019
Herskovic, V.;Takayama, L.;1;2019
Heinsohn, D.;Villalobos, E.;1;2019
Heinsohn, D.;Prieto, L.;1;2019
Heinsohn, D.;Mery, D.;1;2019
Villalobos, E.;Prieto, L.;1;2019
Villalobos, E.;Mery, D.;2;2019
Messina, P.;Dominguez, V.;4;2017
Messina, P.;Parra, D.;4;2017
Messina, P.;Trattner, C.;3;2017
Messina, P.;Soto, A.;2;2017
Dominguez, V.;Parra, D.;5;2017
Dominguez, V.;Trattner, C.;3;2017
Dominguez, V.;Soto, A.;2;2017
Parra, D.;Trattner, C.;8;2015
Parra, D.;Soto, A.;3;2015
Trattner, C.;Soto, A.;2;2017
Bravo-Marquez, F.;Reeves, S.;1;2019
Bravo-Marquez, F.;Ugarte, M.;1;2019
Reeves, S.;Ugarte, M.;1;2019
Mery, D.;Mackenney, I.;1;2019
Mackenney, I.;Villalobos, E.;1;2019
Zhang, Y.;Niebles, J.C.;1;2019
Zhang, Y.;Soto, A.;1;2019
Niebles, J.C.;Soto, A.;6;2016
Benedetto, J.I.;González, L.A.;1;2019
Benedetto, J.I.;Sanabria, P.;3;2018
Benedetto, J.I.;Neyem, A.;9;2015
Benedetto, J.I.;Navón, J.;2;2018
González, L.A.;Sanabria, P.;1;2019
González, L.A.;Neyem, A.;1;2019
González, L.A.;Navón, J.;1;2019
Sanabria, P.;Neyem, A.;3;2017
Sanabria, P.;Navón, J.;2;2018
Neyem, A.;Navón, J.;1;2019
Mazowiecki, F.;Riveros, C.;3;2015
Lüer-Villagra, A.;Eiselt, H.A.;2;2018
Lüer-Villagra, A.;Marianov, V.;4;2016
Eiselt, H.A.;Marianov, V.;4;2015
Said, A.;Bae, J.;1;2019
Said, A.;Parra, D.;1;2019
Said, A.;Pashami, S.;1;2019
Bae, J.;Parra, D.;1;2019
Bae, J.;Pashami, S.;1;2019
Parra, D.;Pashami, S.;1;2019
Saint-Pierre, C.;Prieto, F.;1;2019
Saint-Pierre, C.;Herskovic, V.;2;2017
Saint-Pierre, C.;Sepúlveda, M.;2;2017
Prieto, F.;Herskovic, V.;1;2019
Prieto, F.;Sepúlveda, M.;1;2019
Herskovic, V.;Sepúlveda, M.;2;2017
Carvallo, A.;Parra, D.;1;2019
Leiva, L.;Munoz-Gama, J.;1;2019
Leiva, L.;Salas-Morales, J.;1;2019
Leiva, L.;Fuentes, R.;1;2019
Leiva, L.;Sepúlveda, M.;1;2019
Munoz-Gama, J.;Salas-Morales, J.;2;2019
Munoz-Gama, J.;Fuentes, R.;1;2019
Munoz-Gama, J.;Sepúlveda, M.;15;2016
Salas-Morales, J.;Fuentes, R.;1;2019
Salas-Morales, J.;Sepúlveda, M.;1;2019
Fuentes, R.;Sepúlveda, M.;1;2019
Mosser, M.;Pieressa, F.;2;2018
Mosser, M.;Reutter, J.;2;2018
Mosser, M.;Soto, A.;2;2018
Mosser, M.;Vrgoč, D.;2;2018
Pieressa, F.;Reutter, J.;2;2018
Pieressa, F.;Soto, A.;2;2018
Pieressa, F.;Vrgoč, D.;2;2018
Reutter, J.;Soto, A.;2;2018
Reutter, J.;Vrgoč, D.;3;2017
Soto, A.;Vrgoč, D.;3;2015
Dominguez, V.;Donoso-Guzmán, I.;1;2019
Donoso-Guzmán, I.;Messina, P.;1;2019
Donoso-Guzmán, I.;Parra, D.;2;2018
Cáceres, M.;Nussbaum, M.;2;2018
Cáceres, M.;González, F.;1;2019
Cáceres, M.;Gardulski, V.;1;2019
Nussbaum, M.;González, F.;1;2019
Nussbaum, M.;Gardulski, V.;1;2019
González, F.;Gardulski, V.;1;2019
Morales, D.;Muñoz, J.C.;1;2019
Morales, D.;Gazmuri, P.;1;2019
Muñoz, J.C.;Gazmuri, P.;1;2019
Larrain, H.;Muñoz, J.C.;1;2019
Mendez, J.T.;Lobel, H.;1;2019
Mendez, J.T.;Parra, D.;1;2019
Mendez, J.T.;Herrera, J.C.;1;2019
Lobel, H.;Parra, D.;1;2019
Lobel, H.;Herrera, J.C.;2;2018
Parra, D.;Herrera, J.C.;1;2019
Rojas, E.;Capurro, D.;5;2016
Salazar-Fernandez, J.P.;Sepúlveda, M.;1;2019
Salazar-Fernandez, J.P.;Munoz-Gama, J.;1;2019
Weiss, F.;Espinoza, I.;1;2019
Weiss, F.;Hurtado, J.;1;2019
Weiss, F.;Mendoza, M.;1;2019
Espinoza, I.;Hurtado, J.;1;2019
