Source;Target;Weight;Year
Rodríguez-Ruiz, J.;Medina-Pérez, M.A.;1;2019
Rodríguez-Ruiz, J.;Monroy, R.;1;2019
Rodríguez-Ruiz, J.;Loyola-González, O.;1;2019
Medina-Pérez, M.A.;Monroy, R.;12;2016
Medina-Pérez, M.A.;Loyola-González, O.;7;2016
Monroy, R.;Loyola-González, O.;5;2017
Cervantes, B.;Gómez, F.;1;2019
Cervantes, B.;Monroy, R.;3;2018
Cervantes, B.;Medina-Pérez, M.A.;3;2018
Cervantes, B.;Ramírez-Márquez, J.;1;2019
Gómez, F.;Monroy, R.;1;2019
Gómez, F.;Medina-Pérez, M.A.;1;2019
Gómez, F.;Ramírez-Márquez, J.;1;2019
Monroy, R.;Ramírez-Márquez, J.;1;2019
Medina-Pérez, M.A.;Ramírez-Márquez, J.;1;2019
Munõz-Ibañez, C.;Alfaro-Ponce, M.;1;2019
Munõz-Ibañez, C.;Chairez, I.;1;2019
Alfaro-Ponce, M.;Chairez, I.;2;2019
Rojas-López, A.;Rincón-Flores, E.G.;2;2018
Rojas-López, A.;Mena, J.;1;2019
Rojas-López, A.;García-Peñalvo, F.J.;1;2019
Rojas-López, A.;Ramírez-Montoya, M.S.;1;2019
Rincón-Flores, E.G.;Mena, J.;1;2019
Rincón-Flores, E.G.;García-Peñalvo, F.J.;1;2019
Rincón-Flores, E.G.;Ramírez-Montoya, M.S.;1;2019
Mena, J.;García-Peñalvo, F.J.;1;2019
Mena, J.;Ramírez-Montoya, M.S.;2;2019
García-Peñalvo, F.J.;Ramírez-Montoya, M.S.;8;2016
Desirena-López, G.;Ramírez-Treviño, A.;2;2016
Desirena-López, G.;Briz, J.L.;2;2016
Desirena-López, G.;Vázquez, C.R.;2;2016
Desirena-López, G.;Gómez-Gutiérrez, D.;2;2016
Ramírez-Treviño, A.;Briz, J.L.;2;2016
Ramírez-Treviño, A.;Vázquez, C.R.;3;2016
Ramírez-Treviño, A.;Gómez-Gutiérrez, D.;2;2016
Briz, J.L.;Vázquez, C.R.;2;2016
Briz, J.L.;Gómez-Gutiérrez, D.;2;2016
Vázquez, C.R.;Gómez-Gutiérrez, D.;5;2015
Curiel-Ramirez, L.A.;Izquierdo-Reyes, J.;3;2018
Curiel-Ramirez, L.A.;Bustamante-Bello, M.R.;1;2019
Curiel-Ramirez, L.A.;Ramirez-Mendoza, R.A.;3;2018
Curiel-Ramirez, L.A.;Garcia-Barba, A.;1;2019
Izquierdo-Reyes, J.;Bustamante-Bello, M.R.;3;2018
Izquierdo-Reyes, J.;Ramirez-Mendoza, R.A.;3;2018
Izquierdo-Reyes, J.;Garcia-Barba, A.;1;2019
Bustamante-Bello, M.R.;Ramirez-Mendoza, R.A.;1;2019
Bustamante-Bello, M.R.;Garcia-Barba, A.;1;2019
Ramirez-Mendoza, R.A.;Garcia-Barba, A.;1;2019
Castañeda, H.;Gordillo, J.L.;2;2019
Rosales, A.;Ibarra, L.;3;2017
Rosales, A.;Ponce, P.;5;2017
Rosales, A.;Molina, A.;5;2017
Ibarra, L.;Ponce, P.;5;2015
Ibarra, L.;Molina, A.;5;2015
Ponce, P.;Molina, A.;28;2015
Camiña, J.B.;Medina-Pérez, M.A.;4;2016
Camiña, J.B.;Monroy, R.;3;2016
Camiña, J.B.;Villanueva, L.A.P.;1;2019
Camiña, J.B.;Gurrola, L.C.G.;1;2019
Medina-Pérez, M.A.;Villanueva, L.A.P.;1;2019
Medina-Pérez, M.A.;Gurrola, L.C.G.;1;2019
Monroy, R.;Villanueva, L.A.P.;1;2019
Monroy, R.;Gurrola, L.C.G.;1;2019
Villanueva, L.A.P.;Gurrola, L.C.G.;1;2019
Mayo-Maldonado, J.C.;Valdez-Resendiz, J.E.;7;2018
Mayo-Maldonado, J.C.;Rosas-Caro, J.C.;7;2018
Valdez-Resendiz, J.E.;Rosas-Caro, J.C.;8;2018
