Source;Target;Weight;Year
Arteta, R.;Saldivar, J.;2;2018
Arteta, R.;Parra, C.;2;2018
Arteta, R.;Cernuzzi, L.;2;2018
Saldivar, J.;Parra, C.;2;2018
Saldivar, J.;Cernuzzi, L.;2;2018
Parra, C.;Cernuzzi, L.;2;2018
Saldivar, J.;Alcaraz, M.;1;2018
Parra, C.;Alcaraz, M.;1;2018
Alcaraz, M.;Arteta, R.;1;2018
Alcaraz, M.;Cernuzzi, L.;1;2018
Riquelme, L.;Gonzalez, M.;1;2018
Riquelme, L.;Aquino, N.;1;2018
Riquelme, L.;Cernuzzi, L.;1;2018
Gonzalez, M.;Aquino, N.;3;2017
Gonzalez, M.;Cernuzzi, L.;3;2017
Aquino, N.;Cernuzzi, L.;7;2016
Sanchiz, E.;González, M.;1;2018
Sanchiz, E.;Aquino, N.;2;2017
Sanchiz, E.;Cernuzzi, L.;2;2017
González, M.;Aquino, N.;3;2016
González, M.;Cernuzzi, L.;5;2015
Aquino, N.;Pastor, O.;1;2018
Cernuzzi, L.;Pastor, O.;2;2016
Nuñez, G.;González, M.;1;2017
Nuñez, G.;Aquino, N.;1;2017
Nuñez, G.;Cernuzzi, L.;1;2017
Galeano, I.;Casariego, J.;1;2017
Galeano, I.;Merln, M.;1;2017
Galeano, I.;Gonzalez, M.;1;2017
Casariego, J.;Merln, M.;1;2017
Casariego, J.;Gonzalez, M.;1;2017
Merln, M.;Gonzalez, M.;1;2017
Sanchiz, E.;Gonzalez, M.;1;2017
Bonhaure, D.;Gonzalez, M.;1;2017
Bonhaure, D.;Aquino, N.;1;2017
Bonhaure, D.;Cernuzzi, L.;1;2017
Bonhaure, D.;Pons, C.;1;2017
Gonzalez, M.;Pons, C.;1;2017
Aquino, N.;Pons, C.;1;2017
Cernuzzi, L.;Pons, C.;1;2017
Grau, I.;Cernuzzi, L.;1;2017
Grau, I.;Villafiorita, A.;1;2017
Cernuzzi, L.;Villafiorita, A.;1;2017
Ibarra, F.;Korovina, O.;1;2016
Ibarra, F.;Báez, M.;1;2016
Ibarra, F.;Cernuzzi, L.;1;2016
Ibarra, F.;Barysheva, G.A.;1;2016
Korovina, O.;Báez, M.;1;2016
Korovina, O.;Cernuzzi, L.;1;2016
Korovina, O.;Barysheva, G.A.;1;2016
Báez, M.;Cernuzzi, L.;1;2016
Báez, M.;Barysheva, G.A.;1;2016
Cernuzzi, L.;Barysheva, G.A.;1;2016
López, I.;González, M.;1;2016
López, I.;Aquino, N.;1;2016
López, I.;Cernuzzi, L.;1;2016
González, M.;Pastor, O.;1;2016
Hume, A.;Giunchiglia, F.;1;2015
Hume, A.;Cemuzzi, L.;1;2015
Giunchiglia, F.;Cemuzzi, L.;1;2015
Chenu-Abente, R.;Giunchiglia, F.;1;2015
Chenu-Abente, R.;Cernuzzi, L.;1;2015
Giunchiglia, F.;Cernuzzi, L.;1;2015
Cajes, V.;González, M.;1;2015
Cajes, V.;Cernuzzi, L.;1;2015
