Source;Target;Weight;Year
Fuentes-Pineda, G.;Meza-Ruiz, I.V.;1;2019
Ruderman, M.;Fridman, L.;1;2019
Ruderman, M.;Pasolli, P.;1;2019
Fridman, L.;Pasolli, P.;1;2019
Arroyo-Fernández, I.;Curiel, A.;1;2019
Arroyo-Fernández, I.;Méndez-Cruz, C.-F.;2;2019
Curiel, A.;Méndez-Cruz, C.-F.;1;2019
Cruz-Zavala, E.;Moreno, J.A.;4;2018
Arroyo-Fernández, I.;Sierra, G.;1;2019
Arroyo-Fernández, I.;Torres-Moreno, J.-M.;1;2019
Arroyo-Fernández, I.;Sidorov, G.;1;2019
Méndez-Cruz, C.-F.;Sierra, G.;2;2016
Méndez-Cruz, C.-F.;Torres-Moreno, J.-M.;1;2019
Méndez-Cruz, C.-F.;Sidorov, G.;1;2019
Sierra, G.;Torres-Moreno, J.-M.;4;2016
Sierra, G.;Sidorov, G.;2;2018
Torres-Moreno, J.-M.;Sidorov, G.;1;2019
Vargas, K.;Rajsbaum, S.;1;2019
Alcántara, M.;Castañeda, A.;1;2019
Alcántara, M.;Flores-Peñaloza, D.;1;2019
Alcántara, M.;Rajsbaum, S.;1;2019
Castañeda, A.;Flores-Peñaloza, D.;1;2019
Castañeda, A.;Rajsbaum, S.;10;2015
Flores-Peñaloza, D.;Rajsbaum, S.;1;2019
Flores, F.C.;Ugalde, F.G.;1;2019
Flores, F.C.;Díaz, J.L.P.;1;2019
Flores, F.C.;Del Pilar Angeles, M.;1;2019
Flores, F.C.;Miyatake, M.N.;1;2019
Ugalde, F.G.;Díaz, J.L.P.;1;2019
Ugalde, F.G.;Del Pilar Angeles, M.;1;2019
Ugalde, F.G.;Miyatake, M.N.;1;2019
Díaz, J.L.P.;Del Pilar Angeles, M.;1;2019
Díaz, J.L.P.;Miyatake, M.N.;1;2019
Del Pilar Angeles, M.;Miyatake, M.N.;1;2019
Lithgow-Serrano, O.;Gama-Castro, S.;1;2019
Lithgow-Serrano, O.;Ishida-Gutiérrez, C.;1;2019
Lithgow-Serrano, O.;Velázquez-Ramírez, D.;1;2019
Lithgow-Serrano, O.;Collado-Vides, J.;2;2019
Gama-Castro, S.;Ishida-Gutiérrez, C.;1;2019
Gama-Castro, S.;Velázquez-Ramírez, D.;1;2019
Gama-Castro, S.;Collado-Vides, J.;4;2017
Ishida-Gutiérrez, C.;Velázquez-Ramírez, D.;1;2019
Ishida-Gutiérrez, C.;Collado-Vides, J.;1;2019
Velázquez-Ramírez, D.;Collado-Vides, J.;1;2019
