Source;Target;Weight;Year
Proano, E.;Navarro, M.;1;2018
Proano, E.;Sanchez, A.;1;2018
Proano, E.;Benitez, D.S.;1;2018
Navarro, M.;Sanchez, A.;1;2018
Navarro, M.;Benitez, D.S.;1;2018
Sanchez, A.;Benitez, D.S.;1;2018
Pico, L.C.;Benitez, D.S.;1;2018
Sotomayor, D.;Castellanos, S.;1;2018
Sotomayor, D.;Arcos-Aviles, D.;1;2018
Sotomayor, D.;Benítez, D.;1;2018
Castellanos, S.;Arcos-Aviles, D.;1;2018
Castellanos, S.;Benítez, D.;1;2018
Arcos-Aviles, D.;Benítez, D.;1;2018
Canizares, A.;Pazos, J.;1;2018
Canizares, A.;Benitez, D.;1;2018
Pazos, J.;Benitez, D.;1;2018
Lara-Cueva, R.;Benitez, D.S.;2;2018
Lara-Cueva, R.;Paillacho, V.;1;2018
Lara-Cueva, R.;Villalva, M.;1;2018
Lara-Cueva, R.;Rojo-Alvarez, J.L.;1;2018
Benitez, D.S.;Paillacho, V.;1;2018
Benitez, D.S.;Villalva, M.;1;2018
Benitez, D.S.;Rojo-Alvarez, J.L.;1;2018
Paillacho, V.;Villalva, M.;1;2018
Paillacho, V.;Rojo-Alvarez, J.L.;1;2018
Villalva, M.;Rojo-Alvarez, J.L.;1;2018
Caiza, L.;Rosich-Oliva, A.;1;2018
Caiza, L.;Ocampo-Martinez, C.;1;2018
Caiza, L.;Benitez, D.S.;1;2018
Rosich-Oliva, A.;Ocampo-Martinez, C.;1;2018
Rosich-Oliva, A.;Benitez, D.S.;1;2018
Ocampo-Martinez, C.;Benitez, D.S.;1;2018
Lara-Cueva, R.;Custodio-Rivera, D.;1;2018
Custodio-Rivera, D.;Benitez, D.S.;1;2018
Carrera, E.V.;Izurieta, S.;1;2018
Carrera, E.V.;Carrera, R.;2;2017
Izurieta, S.;Carrera, R.;1;2018
Haro-Baez, R.;Benitez, D.S.;1;2018
Navarro, M.S.;Benítez, D.S.;1;2017
Navarro, M.S.;Sánchez, A.;1;2017
Benítez, D.S.;Sánchez, A.;1;2017
Fiallos-Silva, C.;Acosta-Buenaño, F.;1;2017
Fiallos-Silva, C.;Haro-Baez, R.;1;2017
Fiallos-Silva, C.;Benítez, D.S.;1;2017
Acosta-Buenaño, F.;Haro-Baez, R.;1;2017
Acosta-Buenaño, F.;Benítez, D.S.;1;2017
Haro-Baez, R.;Benítez, D.S.;1;2017
Sotomayor, D.;Benítez, D.S.;1;2017
Sotomayor, D.;Rosero, M.F.;1;2017
Sotomayor, D.;Leon, P.;1;2017
Benítez, D.S.;Rosero, M.F.;1;2017
Benítez, D.S.;Leon, P.;1;2017
Rosero, M.F.;Leon, P.;1;2017
Carrera, E.V.;Gonzalez, A.;1;2017
Gonzalez, A.;Carrera, R.;1;2017
Aguiar, S.;Yánez, W.;1;2017
Aguiar, S.;Benítez, D.;1;2017
Yánez, W.;Benítez, D.;1;2017
Guerrón, A.;Benítez, D.S.;1;2017
Guerrón, A.;Zapata, S.;1;2017
Guerrón, A.;Augot, D.;1;2017
Benítez, D.S.;Zapata, S.;1;2017
Benítez, D.S.;Augot, D.;1;2017
Zapata, S.;Augot, D.;1;2017
Sánchez, A.;Redrobán, M.;1;2017
Sánchez, A.;Aguirre, O.;1;2017
Redrobán, M.;Aguirre, O.;1;2017
Aráuz, J.;Sánchez, A.;1;2017
Aguiar, S.;Erazo, A.;1;2016
Aguiar, S.;Romero, S.;1;2016
Aguiar, S.;Atiencia, V.;1;2016
Aguiar, S.;Figueroa, J.P.;1;2016
Erazo, A.;Romero, S.;1;2016
Erazo, A.;Atiencia, V.;1;2016
Erazo, A.;Figueroa, J.P.;1;2016
Romero, S.;Atiencia, V.;1;2016
Romero, S.;Figueroa, J.P.;1;2016
Atiencia, V.;Figueroa, J.P.;1;2016
Benitez, D.S.;Toscano, S.;1;2016
Benitez, D.S.;Silva, A.;1;2016
Toscano, S.;Silva, A.;1;2016
Pineda-Lopez, F.;Guerra, A.;1;2016
Pineda-Lopez, F.;Montes, E.;1;2016
Pineda-Lopez, F.;Benitez, D.S.;1;2016
Guerra, A.;Montes, E.;1;2016
Guerra, A.;Benitez, D.S.;1;2016
Montes, E.;Benitez, D.S.;1;2016
Lara-Cueva, R.A.;Aguilar, D.;1;2016
Lara-Cueva, R.A.;Leon, P.;1;2016
Lara-Cueva, R.A.;Almeida, D.;1;2016
Lara-Cueva, R.A.;Benitez, D.;1;2016
Aguilar, D.;Leon, P.;1;2016
Aguilar, D.;Almeida, D.;1;2016
Aguilar, D.;Benitez, D.;1;2016
Leon, P.;Almeida, D.;1;2016
Leon, P.;Benitez, D.;1;2016
Almeida, D.;Benitez, D.;1;2016
Sanchez, A.;Arauz, J.;1;2016
Sanchez, A.;McClure, J.W.;1;2016
Sanchez, A.;Miller, Z.;1;2016
Arauz, J.;McClure, J.W.;1;2016
Arauz, J.;Miller, Z.;1;2016
McClure, J.W.;Miller, Z.;1;2016
Lara-Cueva, R.;Carrera, E.V.;1;2016
Lara-Cueva, R.;Morejon, J.F.;1;2016
Lara-Cueva, R.;Benitez, D.;1;2016
Carrera, E.V.;Morejon, J.F.;1;2016
Carrera, E.V.;Benitez, D.;1;2016
Morejon, J.F.;Benitez, D.;1;2016
Llano, D.;Sánchez, A.;1;2016
Mancheno, S.;Sánchez, A.;1;2016
Benitez, D.S.;Quek, S.;2;2015
Benitez, D.S.;Gaydecki, P.;2;2015
Quek, S.;Gaydecki, P.;2;2015
Benitez, D.S.;Debut, A.;1;2016
Benitez, D.S.;Cumbal, L.;1;2016
Debut, A.;Cumbal, L.;1;2016
Lara-Cueva, R.;Benítez, D.;1;2015
Lara-Cueva, R.;Fernández, C.;1;2015
Lara-Cueva, R.;Morales, C.;1;2015
Benítez, D.;Fernández, C.;1;2015
Benítez, D.;Morales, C.;1;2015
Fernández, C.;Morales, C.;1;2015
