Source;Target;Weight;Year
Miyata, H.H.;Nagano, M.S.;4;2019
Ranck Júnior, R.;Yanasse, H.H.;1;2019
Ranck Júnior, R.;Morabito, R.;1;2019
Ranck Júnior, R.;Junqueira, L.;1;2019
Yanasse, H.H.;Morabito, R.;1;2019
Yanasse, H.H.;Junqueira, L.;1;2019
Morabito, R.;Junqueira, L.;1;2019
dos Santos, W.M.;Siqueira, A.A.G.;3;2019
Motta, D.;Casaca, W.;2;2018
Motta, D.;Paiva, A.;2;2018
Casaca, W.;Paiva, A.;2;2018
Traina, A.J.M.;Brinis, S.;2;2019
Traina, A.J.M.;Pedrosa, G.V.;2;2017
Traina, A.J.M.;Avalhais, L.P.S.;1;2019
Traina, A.J.M.;Traina, C.;12;2017
Brinis, S.;Pedrosa, G.V.;1;2019
Brinis, S.;Avalhais, L.P.S.;1;2019
Brinis, S.;Traina, C.;2;2019
Pedrosa, G.V.;Avalhais, L.P.S.;1;2019
Pedrosa, G.V.;Traina, C.;1;2019
Avalhais, L.P.S.;Traina, C.;1;2019
Shulby, C.D.;Ferreira, M.D.;1;2019
Shulby, C.D.;de Mello, R.F.;1;2019
Shulby, C.D.;Aluisio, S.M.;1;2019
Ferreira, M.D.;de Mello, R.F.;2;2018
Ferreira, M.D.;Aluisio, S.M.;1;2019
de Mello, R.F.;Aluisio, S.M.;1;2019
Garcés, L.;Oquendo, F.;2;2017
Garcés, L.;Nakagawa, E.Y.;4;2017
Oquendo, F.;Nakagawa, E.Y.;3;2017
Duarte, F.S.L.G.;Rios, R.A.;1;2019
Duarte, F.S.L.G.;Hruschka, E.R.;1;2019
Duarte, F.S.L.G.;de Mello, R.F.;1;2019
Rios, R.A.;Hruschka, E.R.;1;2019
Rios, R.A.;de Mello, R.F.;1;2019
Hruschka, E.R.;de Mello, R.F.;1;2019
Silva, E.F.;Oliveira, L.T.;1;2019
Silva, E.F.;Oliveira, J.F.;1;2019
Silva, E.F.;Toledo, F.M.B.;1;2019
Oliveira, L.T.;Oliveira, J.F.;1;2019
Oliveira, L.T.;Toledo, F.M.B.;1;2019
Oliveira, J.F.;Toledo, F.M.B.;2;2019
Soares, V.H.A.;Campello, R.J.G.B.;1;2019
Soares, V.H.A.;Nourashrafeddin, S.;1;2019
Soares, V.H.A.;Milios, E.;1;2019
Soares, V.H.A.;Naldi, M.C.;1;2019
Campello, R.J.G.B.;Nourashrafeddin, S.;1;2019
Campello, R.J.G.B.;Milios, E.;1;2019
Campello, R.J.G.B.;Naldi, M.C.;1;2019
Nourashrafeddin, S.;Milios, E.;1;2019
Nourashrafeddin, S.;Naldi, M.C.;1;2019
