Source;Target;Weight;Year
Vargas Muñoz, J.;Gonçalves, M.A.;1;2019
Vargas Muñoz, J.;Dias, Z.;1;2019
Vargas Muñoz, J.;da S. Torres, R.;1;2019
Gonçalves, M.A.;Dias, Z.;1;2019
Gonçalves, M.A.;da S. Torres, R.;1;2019
Dias, Z.;da S. Torres, R.;1;2019
Werneck, R.D.O.;Raveaux, R.;1;2019
Werneck, R.D.O.;Tabbone, S.;2;2018
Werneck, R.D.O.;Torres, R.D.S.;3;2018
Raveaux, R.;Tabbone, S.;2;2018
Raveaux, R.;Torres, R.D.S.;1;2019
Tabbone, S.;Torres, R.D.S.;3;2018
Gomes, L.A.F.;Torres, R.D.S.;1;2019
Gomes, L.A.F.;Côrtes, M.L.;1;2019
Torres, R.D.S.;Côrtes, M.L.;1;2019
Aranha, D.F.;Van De Graaf, J.;1;2019
Barcellos, M.;Aranha, D.F.;1;2019
Hasan, M.M.;Lwin, K.;1;2019
Hasan, M.M.;Imani, M.;1;2019
Hasan, M.M.;Bittencourt, L.F.;1;2019
Hasan, M.M.;Hossain, M.A.;1;2019
Lwin, K.;Imani, M.;1;2019
Lwin, K.;Bittencourt, L.F.;1;2019
Lwin, K.;Hossain, M.A.;1;2019
Imani, M.;Bittencourt, L.F.;1;2019
Imani, M.;Hossain, M.A.;1;2019
Bittencourt, L.F.;Hossain, M.A.;1;2019
Seabra Oliveira, D.;Epstein, J.;1;2019
Seabra Oliveira, D.;Kurose, J.;1;2019
Seabra Oliveira, D.;Rocha, A.;1;2019
Epstein, J.;Kurose, J.;1;2019
Epstein, J.;Rocha, A.;1;2019
Kurose, J.;Rocha, A.;1;2019
Matias, P.;Barbosa, P.;1;2019
Matias, P.;Cardoso, T.N.C.;2;2019
Matias, P.;Campos, D.M.;1;2019
Matias, P.;Aranha, D.F.;2;2019
Barbosa, P.;Cardoso, T.N.C.;1;2019
Barbosa, P.;Campos, D.M.;1;2019
Barbosa, P.;Aranha, D.F.;1;2019
Cardoso, T.N.C.;Campos, D.M.;1;2019
Cardoso, T.N.C.;Aranha, D.F.;2;2019
Campos, D.M.;Aranha, D.F.;1;2019
Cavalcante, C.C.B.;Maschio, C.;1;2019
Cavalcante, C.C.B.;Santos, A.A.S.;1;2019
Cavalcante, C.C.B.;Schiozer, D.;1;2019
Cavalcante, C.C.B.;Rocha, A.;1;2019
Maschio, C.;Santos, A.A.S.;1;2019
Maschio, C.;Schiozer, D.;1;2019
Maschio, C.;Rocha, A.;1;2019
Santos, A.A.S.;Schiozer, D.;1;2019
Santos, A.A.S.;Rocha, A.;1;2019
Schiozer, D.;Rocha, A.;1;2019
Pelegrina, G.D.;Attux, R.;1;2019
Pelegrina, G.D.;Duarte, L.T.;3;2018
Attux, R.;Duarte, L.T.;2;2018
Aranha, D.F.;Barbosa, P.Y.S.;1;2019
Aranha, D.F.;Araújo, C.L.;1;2019
Barbosa, P.Y.S.;Cardoso, T.N.C.;1;2019
Barbosa, P.Y.S.;Araújo, C.L.;1;2019
Barbosa, P.Y.S.;Matias, P.;1;2019
Cardoso, T.N.C.;Araújo, C.L.;1;2019
Araújo, C.L.;Matias, P.;1;2019
Menini, N.;Almeida, A.E.;2;2018
Menini, N.;Lamparelli, R.;1;2019
Menini, N.;Hirota, M.;1;2019
Menini, N.;Torres, R.D.S.;1;2019
Almeida, A.E.;Lamparelli, R.;1;2019
Almeida, A.E.;Hirota, M.;1;2019
Almeida, A.E.;Torres, R.D.S.;1;2019
Lamparelli, R.;Hirota, M.;1;2019
Lamparelli, R.;Torres, R.D.S.;1;2019
Hirota, M.;Torres, R.D.S.;1;2019
Benedito, M.P.L.;Pedrosa, L.L.C.;1;2019
Faz-Hernández, A.;López, J.;3;2018
Faz-Hernández, A.;Dahab, R.;1;2019
López, J.;Dahab, R.;1;2019
Buchdid, S.B.;Pereira, R.;1;2019
Buchdid, S.B.;Baranauskas, M.C.C.;1;2019
Pereira, R.;Baranauskas, M.C.C.;1;2019
Sousa, R.;Pereira, M.;1;2019
Sousa, R.;Pereira, F.M.Q.;1;2019
Sousa, R.;Araujo, G.;1;2019
Pereira, M.;Pereira, F.M.Q.;1;2019
Pereira, M.;Araujo, G.;4;2017
Pereira, F.M.Q.;Araujo, G.;2;2017
Rodrigues, P.G.;Filho, C.A.S.;1;2019
Rodrigues, P.G.;Attux, R.;1;2019
Rodrigues, P.G.;Castellano, G.;1;2019
Rodrigues, P.G.;Soriano, D.C.;1;2019
Filho, C.A.S.;Attux, R.;1;2019
Filho, C.A.S.;Castellano, G.;1;2019
Filho, C.A.S.;Soriano, D.C.;1;2019
Attux, R.;Castellano, G.;2;2018
Attux, R.;Soriano, D.C.;1;2019
Castellano, G.;Soriano, D.C.;1;2019
Dourado, Í.C.;Galante, R.;1;2019
Dourado, Í.C.;Gonçalves, M.A.;1;2019
Dourado, Í.C.;da Silva Torres, R.;1;2019
Galante, R.;Gonçalves, M.A.;1;2019
Galante, R.;da Silva Torres, R.;1;2019
Gonçalves, M.A.;da Silva Torres, R.;1;2019
Phellan, R.;Lindner, T.;1;2019
Phellan, R.;Helle, M.;2;2018
Phellan, R.;Okell, T.W.;1;2019
Phellan, R.;Forkert, N.D.;2;2018
Lindner, T.;Helle, M.;1;2019
Lindner, T.;Okell, T.W.;1;2019
Lindner, T.;Forkert, N.D.;1;2019
Helle, M.;Okell, T.W.;1;2019
Helle, M.;Forkert, N.D.;2;2018
Okell, T.W.;Forkert, N.D.;1;2019
Oliveira, T.;López, J.;3;2018
Oliveira, T.;Cervantes-Vázquez, D.;1;2019
Oliveira, T.;Rodríguez-Henríquez, F.;3;2018
López, J.;Cervantes-Vázquez, D.;1;2019
López, J.;Rodríguez-Henríquez, F.;3;2018
Cervantes-Vázquez, D.;Rodríguez-Henríquez, F.;1;2019
Dias, A.P.C.;Proenca, S.P.B.;1;2019
Dias, A.P.C.;Bittencourt, M.L.;1;2019
Proenca, S.P.B.;Bittencourt, M.L.;1;2019
Lintzmayer, C.N.;Miyazawa, F.K.;2;2018
Lintzmayer, C.N.;Xavier, E.C.;3;2018
Miyazawa, F.K.;Xavier, E.C.;2;2018
Wiederhecker, G.S.;Dainese, P.;1;2019
Wiederhecker, G.S.;Alegre, T.P.M.;1;2019
Dainese, P.;Alegre, T.P.M.;1;2019
Vargas-Munoz, J.E.;Chowdhury, A.S.;1;2019
Vargas-Munoz, J.E.;Alexandre, E.B.;1;2019
Vargas-Munoz, J.E.;Vechiatto Miranda, P.A.;1;2019
Vargas-Munoz, J.E.;Falcao, A.X.;2;2017
Chowdhury, A.S.;Alexandre, E.B.;1;2019
Chowdhury, A.S.;Vechiatto Miranda, P.A.;1;2019
Chowdhury, A.S.;Falcao, A.X.;1;2019
Alexandre, E.B.;Vechiatto Miranda, P.A.;1;2019
Alexandre, E.B.;Falcao, A.X.;1;2019
Vechiatto Miranda, P.A.;Falcao, A.X.;1;2019
Dourado, I.C.;Pedronette, D.C.G.;1;2019
Dourado, I.C.;Torres, R.D.S.;2;2018
Pedronette, D.C.G.;Torres, R.D.S.;3;2017
Do Rosario, V.M.;Borin, E.;5;2017
Do Rosario, V.M.;Breternitz, M.;1;2019
Borin, E.;Breternitz, M.;1;2019
Lucena, O.;Souza, R.;1;2019
Lucena, O.;Rittner, L.;1;2019
Lucena, O.;Frayne, R.;1;2019
Lucena, O.;Lotufo, R.;1;2019
Souza, R.;Rittner, L.;2;2019
Souza, R.;Frayne, R.;2;2019
Souza, R.;Lotufo, R.;2;2019
Rittner, L.;Frayne, R.;4;2017
Rittner, L.;Lotufo, R.;4;2018
Frayne, R.;Lotufo, R.;3;2018
Alic, A.S.;Almeida, J.;2;2018
Alic, A.S.;Aloisio, G.;1;2019
Alic, A.S.;Silva, P.;1;2019
Alic, A.S.;Vieira, M.;1;2019
Almeida, J.;Aloisio, G.;1;2019
Almeida, J.;Silva, P.;1;2019
Almeida, J.;Vieira, M.;1;2019
Aloisio, G.;Silva, P.;1;2019
Aloisio, G.;Vieira, M.;1;2019
Silva, P.;Vieira, M.;1;2019
Muñoz, J.A.V.;Dias, Z.;1;2019
Muñoz, J.A.V.;Da Torres, R.S.;1;2019
Dias, Z.;Da Torres, R.S.;1;2019
Queiroz, T.A.;Bracht, E.C.;1;2019
Queiroz, T.A.;Miyazawa, F.K.;1;2019
Queiroz, T.A.;Bittencourt, M.L.;1;2019
Bracht, E.C.;Miyazawa, F.K.;1;2019
Bracht, E.C.;Bittencourt, M.L.;1;2019
Miyazawa, F.K.;Bittencourt, M.L.;1;2019
Da Silva Vasconcelos, R.C.;Pedrini, H.;2;2019
Ttito, D.;Quispe, R.;1;2019
Ttito, D.;Rivera, A.R.;1;2019
Ttito, D.;Pedrini, H.;1;2019
Quispe, R.;Rivera, A.R.;1;2019
Quispe, R.;Pedrini, H.;1;2019
Rivera, A.R.;Pedrini, H.;1;2019
Dos Reis, J.C.;MacÊdo Borges, M.V.;1;2019
Dos Reis, J.C.;Pereira Gribeler, G.;1;2019
MacÊdo Borges, M.V.;Pereira Gribeler, G.;1;2019
Kuehlkamp, A.;Pinto, A.;1;2019
Kuehlkamp, A.;Rocha, A.;1;2019
Kuehlkamp, A.;Bowyer, K.W.;1;2019
Kuehlkamp, A.;Czajka, A.;1;2019
Pinto, A.;Rocha, A.;3;2018
Pinto, A.;Bowyer, K.W.;1;2019
Pinto, A.;Czajka, A.;1;2019
Rocha, A.;Bowyer, K.W.;1;2019
Rocha, A.;Czajka, A.;1;2019
Bowyer, K.W.;Czajka, A.;1;2019
Cameiro, S.A.;Da Silva, G.P.;1;2019
Cameiro, S.A.;Leite, G.V.;1;2019
Cameiro, S.A.;Guimaraes, S.J.F.;1;2019
Cameiro, S.A.;Pedrini, H.;1;2019
Da Silva, G.P.;Leite, G.V.;1;2019
Da Silva, G.P.;Guimaraes, S.J.F.;1;2019
Da Silva, G.P.;Pedrini, H.;1;2019
Leite, G.V.;Guimaraes, S.J.F.;1;2019
Leite, G.V.;Pedrini, H.;1;2019
Guimaraes, S.J.F.;Pedrini, H.;1;2019
Roberto Esouza, M.;Bertolini, D.;1;2019
Roberto Esouza, M.;Pedrini, H.;1;2019
Roberto Esouza, M.;Costa, Y.M.G.;1;2019
Bertolini, D.;Pedrini, H.;1;2019
Bertolini, D.;Costa, Y.M.G.;1;2019
Pedrini, H.;Costa, Y.M.G.;1;2019
Dos Reis, J.C.;Lombello, L.O.;1;2019
Dos Reis, J.C.;Bonacin, R.;4;2018
Lombello, L.O.;Bonacin, R.;1;2019
Gomes, R.L.;Da Ponte, F.R.P.;6;2018
