Source;Target;Weight;Year
Martinez-Vargas, J.D.;Duque-Muñoz, L.;2;2017
Martinez-Vargas, J.D.;Vargas-Bonilla, F.;1;2019
Martinez-Vargas, J.D.;Lopez, J.D.;2;2017
Martinez-Vargas, J.D.;Castellanos-Dominguez, G.;3;2017
Duque-Muñoz, L.;Vargas-Bonilla, F.;1;2019
Duque-Muñoz, L.;Lopez, J.D.;1;2019
Duque-Muñoz, L.;Castellanos-Dominguez, G.;3;2015
Vargas-Bonilla, F.;Lopez, J.D.;1;2019
Vargas-Bonilla, F.;Castellanos-Dominguez, G.;1;2019
Lopez, J.D.;Castellanos-Dominguez, G.;2;2017
Vásquez-Correa, J.C.;Arias-Vergara, T.;10;2015
Vásquez-Correa, J.C.;Orozco-Arroyave, J.R.;23;2015
Vásquez-Correa, J.C.;Klucken, J.;1;2019
Vásquez-Correa, J.C.;Nöth, E.;19;2015
Arias-Vergara, T.;Orozco-Arroyave, J.R.;13;2015
Arias-Vergara, T.;Klucken, J.;1;2019
Arias-Vergara, T.;Nöth, E.;11;2015
Orozco-Arroyave, J.R.;Klucken, J.;1;2019
Orozco-Arroyave, J.R.;Nöth, E.;31;2015
Klucken, J.;Nöth, E.;1;2019
Rios-Urrego, C.D.;Vásquez-Correa, J.C.;1;2019
Rios-Urrego, C.D.;Vargas-Bonilla, J.F.;1;2019
Rios-Urrego, C.D.;Lopera, F.;1;2019
Rios-Urrego, C.D.;Orozco-Arroyave, J.R.;1;2019
Vásquez-Correa, J.C.;Vargas-Bonilla, J.F.;5;2016
Vásquez-Correa, J.C.;Lopera, F.;1;2019
Vargas-Bonilla, J.F.;Lopera, F.;1;2019
Vargas-Bonilla, J.F.;Orozco-Arroyave, J.R.;14;2015
Lopera, F.;Orozco-Arroyave, J.R.;1;2019
Castrillón, R.;Acien, A.;1;2019
Castrillón, R.;Orozco-Arroyave, J.R.;2;2017
Castrillón, R.;Ortega-Garcia, J.;1;2019
Castrillón, R.;Villegas, A.;1;2019
Acien, A.;Orozco-Arroyave, J.R.;1;2019
Acien, A.;Ortega-Garcia, J.;1;2019
Acien, A.;Villegas, A.;1;2019
Orozco-Arroyave, J.R.;Ortega-Garcia, J.;1;2019
Orozco-Arroyave, J.R.;Villegas, A.;1;2019
Ortega-Garcia, J.;Villegas, A.;1;2019
Moofarry, J.F.;Sarria-Paja, M.;1;2019
Moofarry, J.F.;Orozco-Arroyave, J.R.;1;2019
Sarria-Paja, M.;Orozco-Arroyave, J.R.;1;2019
Giraldo-Zuluaga, J.-H.;Salazar, A.;3;2018
Giraldo-Zuluaga, J.-H.;Gomez, A.;2;2018
Giraldo-Zuluaga, J.-H.;Diaz-Pulido, A.;2;2018
Salazar, A.;Gomez, A.;3;2016
Salazar, A.;Diaz-Pulido, A.;2;2018
Gomez, A.;Diaz-Pulido, A.;2;2018
Arias-Londoño, J.D.;Gómez-García, J.A.;1;2019
Arias-Londoño, J.D.;Moro-Velazquez, L.;1;2019
Arias-Londoño, J.D.;Godino-Llorente, J.I.;1;2019
Gómez-García, J.A.;Moro-Velazquez, L.;1;2019
Gómez-García, J.A.;Godino-Llorente, J.I.;2;2018
Moro-Velazquez, L.;Godino-Llorente, J.I.;1;2019
Lopez, J.D.;Tierney, T.M.;1;2019
Lopez, J.D.;Sucerquia, A.;2;2016
Lopez, J.D.;Brookes, M.J.;1;2019
Lopez, J.D.;Barnes, G.R.;1;2019
Tierney, T.M.;Sucerquia, A.;1;2019
Tierney, T.M.;Brookes, M.J.;1;2019
Tierney, T.M.;Barnes, G.R.;1;2019
Sucerquia, A.;Brookes, M.J.;1;2019
Sucerquia, A.;Barnes, G.R.;1;2019
Brookes, M.J.;Barnes, G.R.;1;2019
Giraldo, M.A.;Duitama, J.F.;1;2018
Giraldo, M.A.;Arias-Londoño, J.D.;1;2018
Duitama, J.F.;Arias-Londoño, J.D.;2;2018
Arias-Vergara, T.;Vasquez-Correa, J.C.;2;2016
Arias-Vergara, T.;Klumpp, P.;3;2017
Arias-Vergara, T.;Noth, E.;1;2018
Vasquez-Correa, J.C.;Orozco-Arroyave, J.R.;3;2016
Vasquez-Correa, J.C.;Klumpp, P.;1;2018
Vasquez-Correa, J.C.;Noth, E.;2;2016
Orozco-Arroyave, J.R.;Klumpp, P.;3;2017
Orozco-Arroyave, J.R.;Noth, E.;3;2016
Klumpp, P.;Noth, E.;1;2018
Orozco-Arroyave, J.R.;Hannink, J.;2;2018
Vásquez-Correa, J.C.;Hannink, J.;2;2018
Vargas-Bonilla, J.F.;Hannink, J.;2;2018
Vargas-Bonilla, J.F.;Nöth, E.;9;2015
Hannink, J.;Nöth, E.;2;2018
Giraldo-Zuluaga, J.-H.;Diez, G.;1;2018
Giraldo-Zuluaga, J.-H.;Vargas, J.F.;1;2018
Giraldo-Zuluaga, J.-H.;Peñuela, M.;1;2018
Salazar, A.;Diez, G.;2;2016
Salazar, A.;Vargas, J.F.;1;2018
Salazar, A.;Peñuela, M.;1;2018
Diez, G.;Vargas, J.F.;1;2018
Diez, G.;Peñuela, M.;1;2018
Vargas, J.F.;Peñuela, M.;1;2018
Gómez, W.E.;Isaza, C.V.;1;2018
Gómez, W.E.;Daza, J.M.;1;2018
Isaza, C.V.;Daza, J.M.;1;2018
Giraldo Londoño, M.A.;Duitama, J.F.;1;2018
Giraldo Londoño, M.A.;Arias-Londoño, J.D.;1;2018
Rodríguez-Calvache, M.;Calle, A.;1;2018
Rodríguez-Calvache, M.;Valderrama, S.;1;2018
Rodríguez-Calvache, M.;López, I.A.;1;2018
Rodríguez-Calvache, M.;López, J.D.;1;2018
Calle, A.;Valderrama, S.;1;2018
Calle, A.;López, I.A.;1;2018
Calle, A.;López, J.D.;1;2018
Valderrama, S.;López, I.A.;1;2018
Valderrama, S.;López, J.D.;1;2018
López, I.A.;López, J.D.;1;2018
Quintero-Zea, A.;Rodríguez, M.;1;2018
Quintero-Zea, A.;Cano, M.I.;1;2018
Quintero-Zea, A.;Trujillo, N.;1;2018
Quintero-Zea, A.;López, J.D.;3;2017
Rodríguez, M.;Cano, M.I.;1;2018
Rodríguez, M.;Trujillo, N.;1;2018
Rodríguez, M.;López, J.D.;1;2018
Cano, M.I.;Trujillo, N.;1;2018
Cano, M.I.;López, J.D.;1;2018
Trujillo, N.;López, J.D.;1;2018
Barrientos, J.;López, J.D.;1;2018
Barrientos, J.;Valencia, F.;1;2018
López, J.D.;Valencia, F.;1;2018
Pérez-Toro, P.A.;Vásquez-Correa, J.C.;1;2018
Pérez-Toro, P.A.;Arias-Vergara, T.;1;2018
