Source;Target;Weight;Year
Wolff, P.;Ríos, S.A.;1;2019
Wolff, P.;Graña, M.;1;2019
Ríos, S.A.;Graña, M.;2;2019
Moreno, E.;Cruz-Hernández, P.;1;2019
Moreno, E.;Hemmat, Z.;1;2019
Moreno, E.;Mojab, A.;1;2019
Moreno, E.;Michael, E.A.;2;2018
Cruz-Hernández, P.;Hemmat, Z.;1;2019
Cruz-Hernández, P.;Mojab, A.;1;2019
Cruz-Hernández, P.;Michael, E.A.;1;2019
Hemmat, Z.;Mojab, A.;1;2019
Hemmat, Z.;Michael, E.A.;1;2019
Mojab, A.;Michael, E.A.;1;2019
Mendoza, M.;Poblete, B.;3;2018
Mendoza, M.;Valderrama, I.;3;2018
Poblete, B.;Valderrama, I.;3;2018
Sánchez, L.K.;Emery, X.;1;2019
Sánchez, L.K.;Séguret, S.A.;1;2019
Emery, X.;Séguret, S.A.;1;2019
Casorrán, C.;Fortz, B.;1;2019
Casorrán, C.;Labbé, M.;1;2019
Casorrán, C.;Ordóñez, F.;2;2017
Fortz, B.;Labbé, M.;1;2019
Fortz, B.;Ordóñez, F.;1;2019
Labbé, M.;Ordóñez, F.;2;2017
Cancino, C.A.;Amirbagheri, K.;1;2019
Cancino, C.A.;Merigó, J.M.;2;2016
Cancino, C.A.;Dessouky, Y.;1;2019
Amirbagheri, K.;Merigó, J.M.;1;2019
Amirbagheri, K.;Dessouky, Y.;1;2019
Merigó, J.M.;Dessouky, Y.;2;2017
Rios, G.;Tobar, F.;3;2017
Leottau, D.L.;Lobos-Tsunekawa, K.;2;2018
Leottau, D.L.;Jaramillo, F.;1;2019
Leottau, D.L.;Ruiz-del-Solar, J.;3;2017
Lobos-Tsunekawa, K.;Jaramillo, F.;1;2019
Lobos-Tsunekawa, K.;Ruiz-del-Solar, J.;1;2019
Jaramillo, F.;Ruiz-del-Solar, J.;1;2019
Lopez, C.;De Souza, C.;1;2019
Lopez, C.;Gaytan, S.;1;2019
Lopez, C.;Gutierrez, F.J.;2;2018
De Souza, C.;Gaytan, S.;1;2019
De Souza, C.;Gutierrez, F.J.;1;2019
Gaytan, S.;Gutierrez, F.J.;1;2019
Quinteros, M.;Guignard, M.;1;2019
Quinteros, M.;Weintraub, A.;1;2019
Quinteros, M.;Llambias, M.;1;2019
Quinteros, M.;Tapia, C.;1;2019
Guignard, M.;Weintraub, A.;1;2019
Guignard, M.;Llambias, M.;1;2019
Guignard, M.;Tapia, C.;1;2019
Weintraub, A.;Llambias, M.;1;2019
Weintraub, A.;Tapia, C.;1;2019
Llambias, M.;Tapia, C.;1;2019
Garmendia, A.;Graña, M.;4;2017
Garmendia, A.;Lopez-Guede, J.M.;4;2017
Garmendia, A.;Rios, S.;3;2017
Graña, M.;Lopez-Guede, J.M.;4;2017
Graña, M.;Rios, S.;5;2016
Lopez-Guede, J.M.;Rios, S.;3;2017
Atat, R.;Liu, L.;3;2018
Atat, R.;Wu, J.;3;2018
Atat, R.;Ashdown, J.;1;2019
Atat, R.;Yi, Y.;2;2018
Liu, L.;Wu, J.;3;2018
Liu, L.;Ashdown, J.;1;2019
Liu, L.;Yi, Y.;2;2018
Wu, J.;Ashdown, J.;1;2019
Wu, J.;Yi, Y.;2;2018
Ashdown, J.;Yi, Y.;1;2019
Liao, Z.;Zhao, B.;1;2019
Liao, Z.;Liu, S.;1;2019
Liao, Z.;Zhang, Y.;4;2018
Liao, Z.;Wu, J.;5;2017
Zhao, B.;Liu, S.;1;2019
Zhao, B.;Zhang, Y.;1;2019
Zhao, B.;Wu, J.;1;2019
Liu, S.;Zhang, Y.;1;2019
Liu, S.;Wu, J.;1;2019
Zhang, Y.;Wu, J.;6;2016
Fan, X.;Chen, Z.;1;2019
Fan, X.;Cai, F.;1;2019
Fan, X.;Liao, Z.;4;2018
Chen, Z.;Cai, F.;1;2019
Chen, Z.;Liao, Z.;2;2019
Cai, F.;Liao, Z.;2;2019
Liao, Z.;Liao, Z.;1;2019
Navarro, C.F.;Perez, C.A.;1;2019
Blanco-Mesa, F.;León-Castro, E.;5;2018
Blanco-Mesa, F.;Merigó, J.M.;10;2016
León-Castro, E.;Merigó, J.M.;9;2018
Cespedes, S.;Salamanca, J.;2;2015
Cespedes, S.;Yanez, A.;2;2018
Cespedes, S.;Vinasco, D.;1;2019
Salamanca, J.;Yanez, A.;2;2017
Salamanca, J.;Vinasco, D.;2;2017
Yanez, A.;Vinasco, D.;2;2017
Martínez, L.;Ruiz-del-Solar, J.;2;2016
Martínez, L.;Sun, L.;1;2019
Martínez, L.;Siebert, J.P.;1;2019
Martínez, L.;Aragon-Camarasa, G.;1;2019
Ruiz-del-Solar, J.;Sun, L.;1;2019
Ruiz-del-Solar, J.;Siebert, J.P.;1;2019
Ruiz-del-Solar, J.;Aragon-Camarasa, G.;1;2019
Sun, L.;Siebert, J.P.;1;2019
Sun, L.;Aragon-Camarasa, G.;1;2019
Siebert, J.P.;Aragon-Camarasa, G.;1;2019
Chudnovsky, M.;Schaudt, O.;2;2017
Chudnovsky, M.;Spirkl, S.;2;2017
Chudnovsky, M.;Stein, M.;2;2017
Chudnovsky, M.;Zhong, M.;2;2017
Schaudt, O.;Spirkl, S.;2;2017
Schaudt, O.;Stein, M.;3;2015
Schaudt, O.;Zhong, M.;2;2017
Spirkl, S.;Stein, M.;2;2017
Spirkl, S.;Zhong, M.;2;2017
Stein, M.;Zhong, M.;2;2017
Celemin, C.;Ruiz-del-Solar, J.;2;2019
Pairo, W.;Loncomilla, P.;1;2019
Pairo, W.;del Solar, J.R.;1;2019
Loncomilla, P.;del Solar, J.R.;1;2019
Merino, A.I.;Soto, J.A.;1;2019
Poblete, P.V.;Viola, A.;1;2019
Yu, L.;Zeng, S.;1;2019
Yu, L.;Merigó, J.M.;1;2019
Yu, L.;Zhang, C.;1;2019
Zeng, S.;Merigó, J.M.;1;2019
Zeng, S.;Zhang, C.;1;2019
Merigó, J.M.;Zhang, C.;1;2019
Barceló, P.;Hong, C.-D.;1;2019
Barceló, P.;Le, X.-B.;1;2019
Barceló, P.;Lin, A.W.;3;2015
Barceló, P.;Niskanen, R.;1;2019
Hong, C.-D.;Le, X.-B.;1;2019
Hong, C.-D.;Lin, A.W.;1;2019
Hong, C.-D.;Niskanen, R.;1;2019
Le, X.-B.;Lin, A.W.;1;2019
Le, X.-B.;Niskanen, R.;1;2019
Lin, A.W.;Niskanen, R.;1;2019
Barceló, P.;Figueira, D.;2;2018
Barceló, P.;Romero, M.;7;2016
Figueira, D.;Romero, M.;1;2019
Fariña, A.;Martínez-Prieto, M.A.;2;2016
Fariña, A.;Claude, F.;2;2016
Fariña, A.;Prezza, N.;1;2019
Fariña, A.;Seco, D.;1;2019
Martínez-Prieto, M.A.;Claude, F.;3;2016
Martínez-Prieto, M.A.;Prezza, N.;1;2019
Martínez-Prieto, M.A.;Seco, D.;1;2019
Claude, F.;Prezza, N.;1;2019
Claude, F.;Seco, D.;1;2019
Prezza, N.;Seco, D.;1;2019
Adamaszek, A.;Har-Peled, S.;1;2019
Adamaszek, A.;Wiese, A.;1;2019
Har-Peled, S.;Wiese, A.;1;2019
Correa, J.;Cristi, A.;2;2019
Correa, J.;Oosterwijk, T.;2;2017
Cristi, A.;Oosterwijk, T.;1;2019
Correa, J.;Epstein, R.;1;2019
Correa, J.;Escobar, J.;1;2019
Correa, J.;Epstein, B.;1;2019
Epstein, R.;Escobar, J.;1;2019
Epstein, R.;Cristi, A.;1;2019
Epstein, R.;Epstein, B.;1;2019
Escobar, J.;Cristi, A.;1;2019
Escobar, J.;Epstein, B.;1;2019
Cristi, A.;Epstein, B.;1;2019
Correa, J.;Dütting, P.;1;2019
Correa, J.;Fischer, F.;1;2019
Correa, J.;Schewior, K.;1;2019
Dütting, P.;Fischer, F.;1;2019
Dütting, P.;Schewior, K.;1;2019
Fischer, F.;Schewior, K.;1;2019
Durán, G.;Durán, S.;1;2019
Durán, G.;Marenco, J.;1;2019
Durán, G.;Mascialino, F.;1;2019
Durán, G.;Rey, P.A.;1;2019
Durán, S.;Marenco, J.;1;2019
Durán, S.;Mascialino, F.;1;2019
Durán, S.;Rey, P.A.;1;2019
Marenco, J.;Mascialino, F.;1;2019
Marenco, J.;Rey, P.A.;1;2019
Mascialino, F.;Rey, P.A.;1;2019
Galdames, F.J.;Perez, C.A.;4;2015
Galdames, F.J.;Estévez, P.A.;2;2018
Galdames, F.J.;Adams, M.;1;2019
Perez, C.A.;Estévez, P.A.;2;2018
Perez, C.A.;Adams, M.;1;2019
Estévez, P.A.;Adams, M.;1;2019
Celemin, C.;Kober, J.;2;2019
Ruiz-del-Solar, J.;Kober, J.;1;2019
Gutierrez, F.J.;Muñoz, D.;4;2015
Gutierrez, F.J.;Ochoa, S.F.;15;2015
Gutierrez, F.J.;Tapia, J.M.;2;2016
Muñoz, D.;Ochoa, S.F.;4;2015
Muñoz, D.;Tapia, J.M.;1;2019
Ochoa, S.F.;Tapia, J.M.;2;2016
Díaz-Domínguez, D.;Gagie, T.;1;2019
Díaz-Domínguez, D.;Navarro, G.;1;2019
Gagie, T.;Navarro, G.;16;2015
Verma, R.;Merigó, J.M.;4;2019
Tabareau, N.;Tanter, É.;3;2015
Jin, Y.;Wu, H.;1;2019
Jin, Y.;Merigó, J.M.;1;2019
Jin, Y.;Peng, B.;1;2019
Wu, H.;Merigó, J.M.;1;2019
Wu, H.;Peng, B.;1;2019
Merigó, J.M.;Peng, B.;1;2019
Nolte, D.;Bertoglio, C.;1;2019
