Source;Target;Weight;Year
Mazuera-Rozo, A.;Bautista-Mora, J.;1;2019
Mazuera-Rozo, A.;Linares-Vásquez, M.;1;2019
Mazuera-Rozo, A.;Rueda, S.;2;2018
Mazuera-Rozo, A.;Bavota, G.;1;2019
Bautista-Mora, J.;Linares-Vásquez, M.;1;2019
Bautista-Mora, J.;Rueda, S.;1;2019
Bautista-Mora, J.;Bavota, G.;1;2019
Linares-Vásquez, M.;Rueda, S.;1;2019
Linares-Vásquez, M.;Bavota, G.;3;2017
Rueda, S.;Bavota, G.;1;2019
Lara, P.;Sánchez, M.;2;2016
Lara, P.;Villalobos, J.;2;2016
Sánchez, M.;Villalobos, J.;13;2015
De La Hoz, H.D.F.;Sosa, J.S.;1;2019
De La Hoz, H.D.F.;Cardozo, N.;1;2019
Sosa, J.S.;Cardozo, N.;1;2019
Fonseca, D.;Leal-Pinto, S.M.;1;2019
Fonseca, D.;Roa-Cordero, M.V.;1;2019
Fonseca, D.;Muñoz-Castro, Á.;1;2019
Fonseca, D.;Hurtado, J.J.;1;2019
Leal-Pinto, S.M.;Roa-Cordero, M.V.;1;2019
Leal-Pinto, S.M.;Muñoz-Castro, Á.;1;2019
Leal-Pinto, S.M.;Hurtado, J.J.;1;2019
Roa-Cordero, M.V.;Muñoz-Castro, Á.;1;2019
Roa-Cordero, M.V.;Hurtado, J.J.;1;2019
Muñoz-Castro, Á.;Hurtado, J.J.;1;2019
Herrera-Quintero, L.F.;Chavarriaga, J.;2;2018
Herrera-Quintero, L.F.;Banse, K.;3;2016
Herrera-Quintero, L.F.;Bermudez, D.;1;2019
Herrera-Quintero, L.F.;Proeller, G.;1;2019
Chavarriaga, J.;Banse, K.;2;2018
Chavarriaga, J.;Bermudez, D.;2;2018
Chavarriaga, J.;Proeller, G.;1;2019
Banse, K.;Bermudez, D.;2;2018
Banse, K.;Proeller, G.;1;2019
Bermudez, D.;Proeller, G.;1;2019
Perez, B.;Correal, D.;2;2018
Perez, B.;Astudillo, H.;1;2019
Correal, D.;Astudillo, H.;3;2015
Scalabrino, S.;Bavota, G.;3;2017
Scalabrino, S.;Linares-Vasquez, M.;1;2019
Scalabrino, S.;Lanza, M.;1;2019
Scalabrino, S.;Oliveto, R.;4;2017
Bavota, G.;Linares-Vasquez, M.;4;2017
Bavota, G.;Lanza, M.;2;2019
Bavota, G.;Oliveto, R.;3;2017
Linares-Vasquez, M.;Lanza, M.;1;2019
Linares-Vasquez, M.;Oliveto, R.;1;2019
Lanza, M.;Oliveto, R.;1;2019
Aghajani, E.;Nagy, C.;1;2019
Aghajani, E.;Vega-Marquez, O.L.;1;2019
Aghajani, E.;Bavota, G.;1;2019
Aghajani, E.;Lanza, M.;1;2019
Nagy, C.;Vega-Marquez, O.L.;1;2019
Nagy, C.;Bavota, G.;1;2019
Nagy, C.;Lanza, M.;1;2019
Vega-Marquez, O.L.;Bavota, G.;1;2019
Vega-Marquez, O.L.;Lanza, M.;1;2019
Barreiro-Gomez, J.;Obando, G.;2;2017
Barreiro-Gomez, J.;Ocampo-Martinez, C.;8;2016
Barreiro-Gomez, J.;Quijano, N.;10;2016
Obando, G.;Ocampo-Martinez, C.;1;2019
