ID;Label;KeywordsB2018;KeywordsA2018
Larrain, H.;Larrain, H.;Optimization,Automated teller machines,Neighborhood search,Cash industry;Routing,Public transport,Queuing theory,Express service,Frequency optimization,Exact algorithm,Due dates,Heuristic,Local search,Hybrid algorithm,Bus stop,Bus rapid transit,VMND
Coelho, L.C.;Coelho, L.C.;Optimization,Automated teller machines,Neighborhood search,Cash industry;Routing,Exact algorithm,Due dates,Heuristic,Local search,Hybrid algorithm,VMND
Archetti, C.;Archetti, C.;;Routing,Exact algorithm,Due dates,Heuristic,Local search,Hybrid algorithm,VMND
Speranza, M.G.;Speranza, M.G.;;Routing,Exact algorithm,Due dates,Heuristic,Local search,Hybrid algorithm,VMND
Echeverria, A.;Echeverria, A.;;
Nussbaum, M.;Nussbaum, M.;interactive learning environments,Systematics,Economic,computer-supported collaborative learning,Teaching arithmetic,Determinants of effectiveness,tablet PC,multiple-choice question,XO computer,Research,Individual feedback,Second digital divide,MANETs,Bibliographies,arithmetic practice,1:N education,drill-and-practice,Teaching mathematics,single-display groupware,self-paced learning,speech recognition,Education,Museum-like spaces,Digital skills test,Engagement,fine-grained multiple-choice,computer-assisted language learning,1:1 Education,educational video game,E-Participation,Digital literacy,design-based research,Theoretical stance,Educational computer lab,Resource integration,Government consultation processes,interpersonal computer,spelling,Teachers' work in the classroom,Qualitative,Self-Adaptation,Response format,Software Architecture,Web-based surveys,Design-based research,speech synthesis,Games,Quick Response (QR) codes,Simulations,Computer science,social and cultural status,Multi-Agent Systems,Response rate,Guidelines,Computers,formative assessment,Connectivity,Interpersonal Computer,Resource orchestration,Mobile Learning,Experimental design,Response times,constructed-response,Conferences,Email-embedded survey,ICT,Quantitative,language laboratory,Self-organizing;collaboration,time off-task,computer-supported collaborative learning,learning scripts,multimodality,orchestration,direct instruction,Guidance,digital game,educational video game,Vygotsky,constructivism,time on-task,problem-solving,touch screens,writing,literacy instruction,feedback,learning arithmetic,Argumentation
Albers, C.J.;Albers, C.J.;;
Tsai, C.-C.;Tsai, C.-C.;Guidelines,Qualitative,Research,Quantitative,Theoretical stance;
van Braak, J.;van Braak, J.;;
Li, P.;Li, P.;;image resolution,video surveillance,Face recognition
