ID;Label;KeywordsB2018;KeywordsA2018
Navarro, R.;Navarro, R.;;Educational videogames,Human factors
Vega, V.;Vega, V.;;Educational videogames,Human factors
Paz, F.;Paz, F.;Method,Usability inspection,human computer-interaction,Semiotic inspection method,Video Prototyping,heuristic evaluation,Heuristic evaluation,Experimental study,Transactional web applications,User experience,Usability heuristics,Experimental case study,Experimental evaluation,Systematic mapping review,usability,Scrum,Human computer-interaction,transactional web applications,Website,evaluation methods,Usability evaluation methods,Communicability evaluation,User-centered design,Automatic teller machine,Software development process,systematic mapping review,user-centered design,Comparative study,Storyboarding,Usability testing,Perception model,usability study,User experience (UX),Usability,Videogames,Semiotic engineering,Human-computer interaction,usability testing,User interface design,Usability evaluation,Systematic review,human-computer interaction,Agile methodologies,Human computer interaction;E-Commerce applications,Automated teller machine,Model,Heuristic evaluation,Systematic literature review,Human behavior,Web services,Experimental case study,Human-systems integration,Assessment framework,User-centered design,Tools,Evaluation methods,Systems engineering,Design Thinking,educational technology,Usability,Application of computer science,Human-computer interaction,Mobile educational games,Quantitative metrics,Primary school students,PM4r,E-commerce,Human computer interaction,Mobile application,Usability principles,Software development,Transactional web applications,User experience,Human-Computer Interaction,Automated Teller Machine,Usability assessment,augmented reality,Perception study,Software applications,Automated-Teller Machine,Project management,Usability study,Emocards,Software metrics,Graphical user interfaces,Usability testing,Mobile passenger application,Assessment protocol,Usability heuristics,User interfaces,User-Centered Design,Chabot,Design thinking,Quality software,Metrics,Playability heuristics,Software architecture,Innovation,Usability evaluation methods,Design sprint,User satisfaction,Augmented reality,User interface design,Usability evaluation,Systematic review,Electronic commerce,Framework,Method adoption model,Web accessibility,Public transport,E-commerce applications,Human factors,Multidisciplinary development project,usability heuristics,Usability methods,ISO and usability,Information system,Automatic teller machine,User interface,Design process,Video games,Cultural behavior,Usability guidelines,Design,Nielsen usability guidelines,Agile development
Paz, F.A.;Paz, F.A.;Usability inspection,human computer-interaction,Semiotic inspection method,heuristic evaluation,Heuristic evaluation,Experimental study,Experimental case study,Experimental evaluation,Human computer-interaction,transactional web applications,Communicability evaluation,Comparative study,Perception model,usability study,Usability,usability testing,Human-computer interaction,User interface design,Usability heuristics;Usability,Perception study,Human-computer interaction,Systems engineering,Quantitative metrics,E-commerce applications,Method adoption model,Human factors,Heuristic evaluation,Usability principles,Usability evaluation methods,Human-Computer Interaction,Human-systems integration,Assessment framework,Assessment protocol,Usability heuristics
Moquillaza, A.;Moquillaza, A.;Usability,Semiotic engineering,Human-computer interaction,Video Prototyping,Usability evaluation,Heuristic evaluation,Transactional web applications,User-centered design,Storyboarding,Usability testing,Automatic teller machine,Human computer interaction;E-Commerce applications,Web accessibility,Automated teller machine,User interfaces,Human factors,Heuristic evaluation,Human-Computer Interaction,Automated Teller Machine,Human-systems integration,Usability assessment,Assessment framework,Quality software,User-centered design,Software applications,Automatic teller machine,User interface,Software metrics,Evaluation methods,Systems engineering,Design Thinking,Usability,Human-computer interaction,Quantitative metrics,Usability evaluation,Systematic review,Framework,Usability heuristics
Falconi, F.;Falconi, F.;;Automated teller machine,Usability,Human-computer interaction,User-centered design,Design Thinking
Arteaga, D.;Arteaga, D.;;Application of computer science,Software architecture,Chabot,Information system,Web services
Arenas, J.;Arenas, J.;;Mobile passenger application,Public transport,Design process,Application of computer science,Usability,Model,User interface design,Mobile application,Software architecture,Innovation,Chabot,User-centered design,Information system,Web services,Experimental case study
Tupia, M.;Tupia, M.;SAT problem,Heuristics,Information security,Local government,Genetic algorithms,metaheuristics,Ubiquitous technology,Water distribution,GRASP algorithm,Traveling salesman problem,GRASP algorithms,M-government,Genetic algorithm,3D-TSP problem,El niño,TSP,Electronic government,bioinformatics,Meta heuristics,evolutionary algorithms,Framework;BYOD,Services,tourism,Model,Metaheuristic,Chabot,Bio-Inspired Algorithms,Web services,Digital government,Taboo search,Ecuador,Information security,Local government,Mobile devices,E-government,Software architecture,2D-Cutting Problem,Information system,Bin packing problem,Survey,Bio-inspired algorithm,PICOC,expert systems,Genetic algorithm,artificial intelligence,state of art,Production Scheduling,Digital gap,Electronic government,SME,Meta heuristics,Job scheduling,Peru,Implementation,Cuckoo Search Algorithm,Application of computer science,systematic review,Cybersecurity model,Optimization,Bat Algorithm,Kitchenham,Governance,Digital services
Bruzza, M.;Bruzza, M.;Ubiquitous technology,M-government,Electronic government,Framework,Information security,Local government;BYOD,Services,tourism,Model,Chabot,Bio-Inspired Algorithms,Web services,Ecuador,Information security,Local government,Mobile devices,E-government,Software architecture,2D-Cutting Problem,Information system,Survey,PICOC,expert systems,artificial intelligence,state of art,Digital gap,Electronic government,SME,Implementation,Cuckoo Search Algorithm,Application of computer science,systematic review,Cybersecurity model,Optimization,Kitchenham,Governance,Digital services
Villegas, B.;Villegas, B.;3D-printing,Parametric design,Transmetacarpal amputation,Upper limb prostheses,Robotics;biosignals,stuttering,respiratory patterns
Flores, K.M.;Flores, K.M.;;respiratory patterns,3D printed,transradial amputee,stuttering,prosthesis arm,biosignals
Pacheco-Barrios, K.;Pacheco-Barrios, K.;;biosignals,stuttering,respiratory patterns
Elias, D.;Elias, D.;Biomedical Engineering,3D-printing,Parametric design,hand prosthetics,sensory substitution,Robotics,Transmetacarpal amputation,Upper limb prostheses,Haptic device,sensory feedback,EMG,Finger force sensing,Strain gauge sensor;respiratory patterns,3D printed,transradial amputee,stuttering,prosthesis arm,biosignals
Abarca, V.E.;Abarca, V.E.;;prosthesis arm,3D printed,transradial amputee
Dias, G.P.;Dias, G.P.;;Peru,E-government,Digital government,Ecuador,Digital services,Local government
Cáceres, S.V.;Cáceres, S.V.;;education,usability,systematic mapping,m-learning,mobile
Pow-Sang, J.A.;Pow-Sang, J.A.;Usability inspection,Requirements precedence,human computer-interaction,UCPD,function points,Semiotic inspection method,Latino IT curriculum,Requirements prioritization,heuristic evaluation,jigsaw,Systematic literature review,Heuristic evaluation,Experimental study,Experimental case study,IT,Experimental evaluation,Engineering education,computer engineering,Systematic mapping review,Software engineering experimentation,usability,cooperative learning,IT in Latin america,Human computer-interaction,transactional web applications,CE2016,evaluation methods,Use cases,Usability evaluation methods,Communicability evaluation,User-centered design,software engineering education,Software development process,systematic mapping review,user-centered design,Comparative study,Software engineering,Active learning,NFR,Jigsaw technique,curricular guidelines,Computing education,User stories,Method evaluation model,Perception model,usability study,Requirements engineering,Academia & industry,Usability,Collaborative learning,Information technology,Requirement elicitation,usability testing,Human-computer interaction,User interface design,SLR,computer engineering in Latin America,Non functional requirements,human-computer interaction,object oriented design,Method adoption model,Usability heuristics;education,usability,systematic mapping,Human-computer interaction,Usability principles,Heuristic evaluation,Usability evaluation methods,m-learning,mobile,Assessment protocol
Scharff, M.;Scharff, M.;;bio-inspired system,Flow detection,natural vibrissa,beam-like model.,tactile sensor
Rivera Campos, R.A.;Rivera Campos, R.A.;;bio-inspired system,Flow detection,natural vibrissa,beam-like model.,tactile sensor
Merker, L.;Merker, L.;;bio-inspired system,Flow detection,natural vibrissa,beam-like model.,tactile sensor
Behn, C.;Behn, C.;;bio-inspired system,Flow detection,natural vibrissa,beam-like model.,tactile sensor
Zimmermann, K.;Zimmermann, K.;;bio-inspired system,Flow detection,natural vibrissa,beam-like model.,tactile sensor
Espinoza, J.;Espinoza, J.;;Design,Usability,Model,Mobile application,Innovation,Software development,User-centered design,PM4r,Project management,Nielsen usability guidelines
Loarte, P.;Loarte, P.;;Design,Usability,Model,Mobile application,Innovation,Software development,User-centered design,PM4r,Project management,Nielsen usability guidelines
Flores, L.;Flores, L.;ISO/IEC 12207,CMM,CMMI-DEV,CMMI,model harmonization;Design,Usability,Project portfolio management,Software development,PM4r,Project management,Nielsen usability guidelines,Small entity
Chang, A.;Chang, A.;;educational technology,Playability heuristics,Augmented reality,Video games,Human computer interaction,usability heuristics,augmented reality,Usability heuristics
Montalvo, L.;Montalvo, L.;;Playability heuristics,Augmented reality,Video games,Human computer interaction,Usability heuristics
Diaz, E.;Diaz, E.;;Metrics,E-Commerce applications,Usability,Software metrics,Systems engineering,Usability evaluation,Human factors,Systematic review,Human-systems integration,E-commerce,Quality software
Flores, S.;Flores, S.;;Metrics,Usability,Software metrics,Usability evaluation,Human-systems integration,E-commerce
Lin Gao, X.W.;Lin Gao, X.W.;;Mobile educational games,Usability evaluation,Primary school students,Systematic literature review,Usability guidelines
Véliz, B.M.;Véliz, B.M.;;Mobile educational games,Usability evaluation,Primary school students,Systematic literature review,Usability guidelines
Arenas, J.J.;Arenas, J.J.;;E-Commerce applications,educational technology,Software metrics,Perception study,Human-computer interaction,E-commerce applications,Usability evaluation,Systematic review,Human computer interaction,Usability heuristics,usability heuristics,Method adoption model,augmented reality,Quality software
Palomino, M.;Palomino, M.;CMMI,Agile practice,Agile software development;Systematic literature review,Methods,Methodologies,Techniques
