ID;Label;KeywordsB2018;KeywordsA2018
Rodríguez-Ruiz, J.;Rodríguez-Ruiz, J.;;
Medina-Pérez, M.A.;Medina-Pérez, M.A.;Masquerader detection,Imbalanced databases,Masquerade Detection,Biometrics,Pattern recognition,Supervised classifier,Minutiae-based algorithms,Information Security,Classifier ensemble,One-class classifier,Behavioural patterns,Contrast patterns,Personal risk detection,Anomaly detection,One-class classification,Latent fingerprints,Physiological patterns;visualisation,wearable sensors,Masquerade detection,Decision tree ensemble,Clustering,pattern-based classification,Supervised classification,Contrast pattern,One-class classification,Cache optimization,Cluster validity indexes,Language interoperability,MCPR,Influence modeling,one-class classification,Data visualization,Scientometrics,Fingerprint recognition,Visual analytics,Personal risk detection,IoT,Pattern mining,Social networks,Bot detection,Information extraction,Classifier ensembles,Pattern recognition,User behavior,machine learning,File access,multivariate decision trees,Twitter,information security,comprehensible classifiers,Log analysis
Monroy, R.;Monroy, R.;Masquerader detection,Imbalanced databases,Masquerade Detection,Decidability,Tracking,Model checking,Supervised classifier,Information Security,Classifier ensemble,Contrast patterns,Formal methods,Motion planning,Pursuit-evasion,Complexity,Security protocols,One-class classifier,Browser based protocols;social networks,visualisation,Latent fingerprint identification,wearable sensors,Masquerade detection,Decision tree ensemble,Clustering,bot detection,pattern-based classification,Supervised classification,Contrast pattern,One-class classification,Cluster validity indexes,Influence modeling,one-class classification,Data visualization,Visual analytics,Contrast patterns,Personal risk detection,IoT,Pattern mining,Social networks,Bot detection,Classifier ensembles,Pattern recognition,User behavior,Minutia descriptor,machine learning,Fingerprint feature representation,File access,Minutia descriptor evaluation,multivariate decision trees,Twitter,information security,supervised classification,comprehensible classifiers,Log analysis
Loyola-González, O.;Loyola-González, O.;Imbalanced databases,Biometrics,Minutiae-based algorithms,Supervised classifier,Contrast patterns,Latent fingerprints;Social networks,Bot detection,Information extraction,Pattern recognition,MCPR,multivariate decision trees,Influence modeling,Twitter,Scientometrics,comprehensible classifiers,Visual analytics,pattern-based classification,Supervised classification,Contrast pattern
Cervantes, B.;Cervantes, B.;;Bot detection,Decision tree ensemble,Data visualization,Log analysis,Supervised classification,Contrast pattern,Pattern mining
Gómez, F.;Gómez, F.;;Data visualization,Pattern mining,Log analysis
Ramírez-Márquez, J.;Ramírez-Márquez, J.;;Data visualization,Pattern mining,Log analysis
Munõz-Ibañez, C.;Munõz-Ibañez, C.;;Aluminum alloys,Semi parametric modelling,Back-propagation,Hierarchical neural network
Alfaro-Ponce, M.;Alfaro-Ponce, M.;;Unknown input observers,Differential neural network,Aluminum alloys,Super-twisting algorithm,Electrophysiological response,Hierarchical neural network,Back-propagation,Sliding mode,Semi parametric modelling
Chairez, I.;Chairez, I.;Differential neural network,Parallel numerical solutions,Finite element method,Non-parametric identification,CUDA/C,Distributed parameter systems;Unknown input observers,Differential neural network,Aluminum alloys,Super-twisting algorithm,Electrophysiological response,Hierarchical neural network,Back-propagation,Sliding mode,Semi parametric modelling
Rojas-López, A.;Rojas-López, A.;;Motivation,Engagement,Strategy,Teaching,Challenge,Gamification,Programming
Rincón-Flores, E.G.;Rincón-Flores, E.G.;;Motivation,Engagement,Strategy,Teaching,Challenge,Gamification,Programming
Mena, J.;Mena, J.;Energy,Challenge based learning,Teachers' digital competence,Open innovation,Problem solution,Innovation based evidence,Open resource education,MOOC,Training inservice teachers,MOOCs,Modeling,Gamification,Open educational resources,Improving classroom teaching,Challenges,Distance education and telelearning;Motivation,Engagement,MOOCs,Teacher education,Challenge,Gamification
García-Peñalvo, F.J.;García-Peñalvo, F.J.;Technology,PhD programme,User experience,Doctoral consortium,Coursera,Education,Statistical analysis,Usability evaluation prototype,Mooc,educational software,User centered design,SWOT,Open innovation,Knowledge society,Repository,Design user interface,Collaborative knowledge construction,Doctoral Consortium,ICT skills,Science 2.0,Discovery tools,Social innovation labs (laboratories),Learning analytics,Log analysis,Social innovation laboratories,simulator;Ph.D. programme,Open access repository,Motivation,TAM,Validity of a measure,Engagement,Knowledge society,Technology,Reliability,User experience,Challenge,Doctoral consortium,Gamification,Survey,Education
Ramírez-Montoya, M.S.;Ramírez-Montoya, M.S.;Statistical analysis,Open innovation,Learning analytics,Social innovation labs (laboratories),Mooc,Knowledge society,Collaborative knowledge construction,Technology,Social innovation laboratories,PhD programme,Doctoral consortium,Coursera,Log analysis,Education,Doctoral Consortium;Open access repository,TAM,Instructional design,MOOCs,Teacher education,Technology,User experience,Doctoral consortium,Education,Ph.D. programme,Engagement,MOOC,Survey,Open innovation,Knowledge society,Challenge,Motivation,Validity of a measure,Energy sustainability,Entrepreneurship competencies,Reliability,Gamification
Desirena-López, G.;Desirena-López, G.;Modeling,TCPN,Control,Scheduling;Timed continuous petri nets,Multiprocessor,Modeling,Feedback control,Thermal-aware scheduling,Real-time systems
Ramírez-Treviño, A.;Ramírez-Treviño, A.;Modeling,TCPN,Control,Scheduling;Timed continuous petri nets,Petri Nets,Multiprocessor,Automation,Discrete Event Systems,Modeling,Feedback control,Thermal-aware scheduling,Real-time systems
Briz, J.L.;Briz, J.L.;Modeling,TCPN,Control,Scheduling;Timed continuous petri nets,Multiprocessor,Modeling,Feedback control,Thermal-aware scheduling,Real-time systems
Vázquez, C.R.;Vázquez, C.R.;Control,Hybrid systems,Diagnosis and Fault Detection,Petri Nets,Switched systems,TCPN,Observers,Hybrid Systems,Modeling,Petri nets,Observability,Scheduling,Finite time observers;Timed continuous petri nets,Petri Nets,Finite-time consensus,Multiprocessor,Automation,fixed-time consensus,multi-agent systems,Discrete Event Systems,Modeling,self-organising systems,Feedback control,Thermal-aware scheduling,dynamical networks,Real-time systems,multiple interacting autonomous agents
Gómez-Gutiérrez, D.;Gómez-Gutiérrez, D.;Control,Hybrid systems,Switched systems,TCPN,Observers,Modeling,Petri nets,Observability,Scheduling,Finite time observers;Multi-agent systems,Timed continuous petri nets,Self-organizing systems,Finite-time consensus,Multiprocessor,self-organising systems,fixed-time consensus,multi-agent systems,Modeling,Feedback control,Multiple interacting autonomous agents,Thermal-aware scheduling,dynamical networks,Real-time systems,multiple interacting autonomous agents
Curiel-Ramirez, L.A.;Curiel-Ramirez, L.A.;;Semi-autonomous Vehicles,Internet of Vehicles,Autonomous Vehicles,Internet of Things,Automotive Vehicles,autonomous vehicles,intelligent transportation,system architecture,modular framework
Izquierdo-Reyes, J.;Izquierdo-Reyes, J.;;Backpack,Semi-autonomous Vehicles,Internet of Vehicles,Facial analysis,Autonomous Vehicles,Security,Smart,Emotional domotics,Internet of Things,Automotive Vehicles,autonomous vehicles,intelligent transportation,system architecture,Intelligent ambient,modular framework,RFID,Facial action coding system
Bustamante-Bello, M.R.;Bustamante-Bello, M.R.;;Semi-autonomous Vehicles,Internet of Vehicles,Ergonomy,Facial analysis,Autonomous Vehicles,Workstation Design,Emotional domotics,Internet of Things,Automotive Vehicles,User experience,Emotional Domotics,Intelligent ambient,Productivity,Facial Action Coding System,Facial action coding system
Ramirez-Mendoza, R.A.;Ramirez-Mendoza, R.A.;;Data processing,Semi-autonomous Vehicles,Automotive applications,Intelligent vehicles,Shock absorbers,Internet of Things,Road vehicles,Internet of Vehicles,Motion control,spline fitting,autonomous vehicles,system architecture,Automotive systems,modular framework,noise,curvature,Biometry,Automotive Vehicles,error minimization,knot-placement,Biometrics,Autonomous Vehicles,Cognitive,Autonomous,intelligent transportation,Vehicle dynamics
Garcia-Barba, A.;Garcia-Barba, A.;;Semi-autonomous Vehicles,Internet of Vehicles,Autonomous Vehicles,Internet of Things,Automotive Vehicles
Castañeda, H.;Castañeda, H.;Adaptive control,Flight control,Extended observer,Fixed wing UAV,UAVs;Robust control,Quadrotor MAV,Spatial modeling,Adaptive sliding mode control,Sliding mode control,Embedded control,Quadrotor MAVs
Gordillo, J.L.;Gordillo, J.L.;Assisted navigation,Electronic nose,Ventilation model,Active-backdrivability,Sniffing robot,Haptics,Artificial smell sensor,Assistance-as-needed,Geared DC motor,Teleoperation,Odor tracking algorithm,Wearable robots,Chemical sensors,Bio-inspired nose,Powered orthosis,Biomimetics,Computer vision,Human-robot interaction;Robust control,Quadrotor MAV,Spatial modeling,Adaptive sliding mode control,Sliding mode control,Embedded control,Quadrotor MAVs
Rosales, A.;Rosales, A.;sliding mode control,fixed-frequency,describing function,variable gain,self-regulation,DFIG,frequency-domain analysis,Sliding Mode Control,relay systems;
Ibarra, L.;Ibarra, L.;Type-2 Fuzzy systems,Fuzzy sets,sliding mode control,Footprint of uncertainty,fixed-frequency,describing function,Membership functions,variable gain,self-regulation,Possibility theory,Data analysis,Membership function,Parametrization,Ellipsoidal rules,relay systems,Uncertainty measurements;
Ponce, P.;Ponce, P.;under-actuated robotics,Fuzzy sets,Artificial organic networks,Footprint of uncertainty,Fuzzy-molecular inference model,Model predictive controller,Intelligent control,Artificial hydrocarbon networks,DFIG,Possibility theory,Artificial neural network,Technology transfer motivation,Ellipsoidal rules,Photovoltaic Systems,variable gain,Exoskeleton,QFT control,Membership function,Dynamic systems,Maximum Power Point Tracking (MPPT),Integral errors,IC,PID control,Data analysis,Membership functions,Artificial intelligence,Type-2 Fuzzy systems,fixed-frequency,hand,Electromagnetic induction,Robotics,FPGAs,frequency-domain analysis,Social skills,Parametrization,Robot,Sliding Mode Control,compliant robotics,Signal detection theory,Uncertainty measurements,grasping and manipulation,Coupled-tanks,ANFIS,sliding mode control,Energy harvesting,Reconfigurable micro-machine tool,prosthetics,describing function,self-regulation,Piezoelectric materials,Fuzzy logic type 2,relay systems,P&O,DC-DC converters,Fuzzy logic;Eye muscles,Power electronics,Artificial organic networks,STEM,LEGO®,NI labview,Fuzzy Control,ultrasonic sensors,assistive technology,Engineering control systems,Therapy,software,Education,BLDCM,Fuzzy controllers,Agri-food production,Human eye movement,Optimization by Particle Swarm,Agri-Food 4.0,Wind turbine,Speed controller,Artificial intelligence,Image classification,technology transfer,Intelligent control systems,collision avoidance,Fuzzy logic,Lifetime,Deep neural networks,Power Electronics Module,Robot,university-industry,smart wheelchairs,Digitalisation,Sensing,Sequence prediction,Autism,fuzzy logic,Connectivity,FPGA,Convolutional neural networks,Artificial neural networks,Elementary school,Long short-term neural networks,PSO,Fuzzy Logic,Tablet,Industry 4.0,Smart and sustainable systems
Molina, A.;Molina, A.;under-actuated robotics,Fuzzy sets,Artificial organic networks,Footprint of uncertainty,Fuzzy-molecular inference model,Model predictive controller,Intelligent control,Artificial hydrocarbon networks,Concurrent Engineering,DFIG,Possibility theory,Artificial neural network,Project design,Enterprise interoperability,Technology transfer motivation,Ellipsoidal rules,Photovoltaic Systems,Enterprise integration,variable gain,Project assessment,Exoskeleton,QFT control,Membership function,Concurrent Enterprising,Dynamic systems,Maximum Power Point Tracking (MPPT),Integral errors,IC,PID control,Data analysis,Membership functions,Extended Enterprise,Artificial intelligence,Service models,Smart enterprise,Type-2 Fuzzy systems,fixed-frequency,Enterprise modelling,Virtual Enterprise,hand,Electromagnetic induction,Fuzzy logic,Robotics,FPGAs,frequency-domain analysis,Social skills,Parametrization,Robot,Sliding Mode Control,compliant robotics,Signal detection theory,Uncertainty measurements,grasping and manipulation,Coupled-tanks,ANFIS,sliding mode control,System dynamics,Energy harvesting,prosthetics,describing function,Reference Curriculum,Manufacturing practices,Reconfigurable micro-machine tool,self-regulation,Piezoelectric materials,Sensing enterprise,Program logic models,Fuzzy logic type 2,relay systems,P&O,DC-DC converters,System thinking;Eye muscles,Power electronics,Artificial organic networks,STEM,LEGO®,NI labview,Fuzzy Control,ultrasonic sensors,assistive technology,Engineering control systems,Therapy,Internet of Things,software,Education,BLDCM,Fuzzy controllers,Integrated product development,Interactive Collaboration,Agri-food production,Human eye movement,Optimization by Particle Swarm,Manufacturing systems development,Open Innovation Laboratory,Agri-Food 4.0,Wind turbine,Speed controller,Artificial intelligence,Image classification,technology transfer,Intelligent control systems,collision avoidance,Active learning,Fuzzy logic,Lifetime,Deep neural networks,Power Electronics Module,Robot,Education 4.0,university-industry,smart wheelchairs,Industrial engineering,Digitalisation,Sensing,Sequence prediction,Collaborative learning,ICTs,Autism,fuzzy logic,Connectivity,FPGA,Convolutional neural networks,Artificial neural networks,Elementary school,Long short-term neural networks,PSO,New Product Development,Fuzzy Logic,Learning Methods,Open Innovation,Tablet,Industry 4.0,Smart and sustainable systems
Camiña, J.B.;Camiña, J.B.;Masquerader detection,Masquerade Detection,Pattern recognition,Information Security,Classifier ensemble,One-class classifier,Behavioural patterns,Personal risk detection,Anomaly detection,One-class classification,Physiological patterns;File access,Masquerade detection,User behavior,information security,One-class classification
Villanueva, L.A.P.;Villanueva, L.A.P.;;File access,Masquerade detection,User behavior,information security,One-class classification
Gurrola, L.C.G.;Gurrola, L.C.G.;;File access,Masquerade detection,User behavior,information security,One-class classification
Mayo-Maldonado, J.C.;Mayo-Maldonado, J.C.;stability,quadratic differential forms,Behaviors,Positive-realness,switched systems,dissipativity,power converters;Power electronics,Converters,current ripple cancelation,interleaving converters,Laboratory implementation,Switched capacitor circuits,Low power electronics,high-gain converters,Power flow control,switched capacitors,stability,DC-DC converter,Laboratory tests,Power Electronics,stability analysis,modeling,DC-DC power converters,FACTS,power flow control,linear matrix inequalities,mathematical models,DC-DC converters
Valdez-Resendiz, J.E.;Valdez-Resendiz, J.E.;;Power electronics,Converters,current ripple cancelation,PEMFC system,interleaving converters,Laboratory implementation,Switched capacitor circuits,Low power electronics,high-gain converters,Power conversion,Power flow control,switched capacitors,stability,DC-DC converter,Laboratory tests,Power Electronics,stability analysis,modeling,DC-DC power converters,FACTS,power flow control,linear matrix inequalities,mathematical models,Pulse width modulation converters,DC-DC converters
Rosas-Caro, J.C.;Rosas-Caro, J.C.;Output feedback control,Mass-spring-damper system,Magnetic levitation,Signal estimation;Power electronics,Converters,current ripple cancelation,PEMFC system,interleaving converters,Laboratory implementation,Switched capacitor circuits,Low power electronics,high-gain converters,Power conversion,Power flow control,switched capacitors,stability,DC-DC converter,Laboratory tests,Power Electronics,stability analysis,modeling,DC-DC power converters,FACTS,power flow control,linear matrix inequalities,mathematical models,Pulse width modulation converters,DC-DC converters
Salgado, I.;Salgado, I.;;Unknown input observers,Differential neural network,Electrophysiological response,Super-twisting algorithm,Sliding mode
Camacho, O.;Camacho, O.;;Unknown input observers,Differential neural network,Electrophysiological response,Super-twisting algorithm,Sliding mode
Shaikh, A.A.;Shaikh, A.A.;Production,Particle swarm optimization,Inventory,Partial backlogging,Flexible reliability;time dependent demand,EOQ inventory model,Inflation,Partially backlogged shortage,Order-size dependent trade credit,Imperfect production,fuzzy costs.,Deterioration,Fuzzy number,Nonlinear stock dependent holding cost,Particle swarm optimization,production and repair rates,Inventory model,Shortages,Two warehouse,EOQ model,reverse logistics,Interval-valued cost,Credit policy,Inventory,Partial backlogging,Interval-valued inventory cost,Non-instantaneous deterioration,Advertise and price dependent demand,Advance payment,ination,Two warehouses,Stock-dependent demand,Weibull distribution
Cárdenas-Barrón, L.E.;Cárdenas-Barrón, L.E.;Queuing theory,Inventory control,rework,Defective items,Hybrid genetic algorithm,EPQ inventory model,Deterioration,MINLP,multiple shipments,Bargaining,Binary code,Pricing,Read rate,Channel coordination,Bi-level model,Remanufacturing,Production,Particle swarm optimization,Steel,Supplier selection,Obsolescence,EPQ model,Lot sizing,EOQ,RFID,random defective rate,Multi-period,replenishment lot size,Genetic algorithm,Outsourcing,Inventory,Reduce and optimize approach (ROA),Backorders,Partial backlogging,Flexible reliability,Hamming distance,Reduced costs,Human learning,MODM methods,Tags,Compensation on disposal cost,Fuzzy inventory management,Multi-products,Mixed integer linear programming,Quantity discount,Learning in fuzziness,Interference;Joint decision for three players,time dependent demand,EOQ inventory model,Inflation,Partially backlogged shortage,Order-size dependent trade credit,Reach stacker vehicle,fuzzy costs.,Imperfect production,Deterioration,Pricing,Fuzzy number,Sensor distribution,Sale period,Maritime terminal,Particle swarm optimization,Nonlinear stock dependent holding cost,Shortage,production and repair rates,Inventory model,Without derivatives,Supply chain management,Shortages,Economic production quantity,Algebraic method,EOQ,Inventory models,Energy consumption,two-level credit period,Differential evolution,reverse logistics,Interval-valued cost,Credit policy,90B05,Wireless sensor networks,Inventory,Rehandle movements,Power demand pattern,Partial backlogging,Discount offer,Maximum profit,Non-instantaneous deterioration,constant deterioration,Backlog,Lot sizingo,Advertise and price dependent demand,credit-dependent quadratic demand,Non-linear holding cost,Two warehouses,Container space allocation problem,ination,Stock-dependent demand,Integer multipliers,Ptimization,Optimal ordering policy,Imperfect production system,Weibull distribution,Coverage area
Bhunia, A.K.;Bhunia, A.K.;Production,Particle swarm optimization,Inventory,Partial backlogging,Flexible reliability;Fuzzy number,EOQ model,Advertise and price dependent demand,Advance payment,Partially backlogged shortage,Credit policy,Particle swarm optimization,Partial backlogging,Inventory model,Interval-valued inventory cost,Deterioration,Weibull distribution,Two warehouse
