ID;Label;KeywordsB2018;KeywordsA2018
Fuentes-Pineda, G.;Fuentes-Pineda, G.;;Beyond-pairwise,Co-occurring words,Large-scale,Topic discovery,Sampled Min-Hashing
Meza-Ruiz, I.V.;Meza-Ruiz, I.V.;Random forest,NLP,Machine learning,Author profiling,Random forest regression;Beyond-pairwise,Co-occurring words,Large-scale,Topic discovery,Sampled Min-Hashing
Ruderman, M.;Ruderman, M.;;hydraulic actuator,High-order sliding mode observer,force sensing,Robust exact differentiator
Fridman, L.;Fridman, L.;Periodic motion,nonlinear systems,Ship onboard crane,Unknown input,Tracking controller,Sliding mode observers,non-affine systems,Linear matrix inequalities,performance margins,Variable structure systems,Orbital stabilization,Robustification,Estimation,Controller parameter,Viscous friction,Zero dynamic,Time-varying systems,Uncertain linear time-varying system,Underactuated system,Homoclinic orbit,Vector and non-smooth lyapunov functions,Multivariable control systems,sliding mode observers,Hierarchical observer,Virtual control,Nonlinear sliding surface,Computer simulations,Electro-mechanical systems,Nyquist plot,Time varying linear quadratic optimal control,Robust control,Linear quadratic control,Invariant zero,Time-varying control systems,Simulation,Slide mode controller,Implementation purpose,modelling and identification,Output integral sliding-mode technique,Observers,Identification,Frequency domain analysis,Equilibrium point,Under-actuated systems,Biped robot,Uncertain systems,Optimal control,Controller design,Slide mode control,Unknown input observer,sliding-modes,Fault detection and isolation,Discrete-time super twisting algorithm,Prescribe amplitude,Joint position,Periodic orbit,sliding mode control,Orbital stability,Sliding mode observer,Coulomb friction,Convex models,Periodic solution,Vehicle modelling,Describe function,Sliding mode differentiator,adaptive control,Twisting and super-twisting algorithms,Sliding mode control,Vertical forces,Parametric resonance,Stability in control theory;nonlinear systems,sliding-mode control,Robust exact differentiator,stability margins,Finite-time convergence,force sensing,Lyapunov function,Sliding-mode observer,Sliding modes,variable structure systems,Levant's differentiator,super-twisting algorithm,output feedback,higher order sliding-mode control,higher-order sliding modes (HOSM),frequency-domain analysis,Adaptive control,sliding mode control,reaching time,dissipative observer,hydraulic actuator,global stability,Uncertain nonlinear systems,adaptive control,High-order sliding mode observer,global/semi-global stability,exact differentiators
Pasolli, P.;Pasolli, P.;;hydraulic actuator,High-order sliding mode observer,force sensing,Robust exact differentiator
Arroyo-Fernández, I.;Arroyo-Fernández, I.;;Artificial intelligence,Information entropy,Automatic text summarization,TF–IDF,Word embedding,Natural language processing,Statistical feature analysis,Sentence representation,Sentence embedding
Curiel, A.;Curiel, A.;;Artificial intelligence,Automatic text summarization,Statistical feature analysis,Natural language processing
Méndez-Cruz, C.-F.;Méndez-Cruz, C.-F.;Unsupervised learning,Morpheme segmentation,Affixality measurements,Morphology induction,Information retrieval,Morphological Segmentation;Artificial intelligence,Information entropy,Automatic text summarization,TF–IDF,Word embedding,Natural language processing,Statistical feature analysis,Sentence representation,Sentence embedding
Cruz-Zavala, E.;Cruz-Zavala, E.;fast surfaces,Subaperture stitching,convex surfaces,Newton interferometer;finite-time regulation,passivity-based control,sum of squares problem,Lyapunov functions,Observers,Energy shaping,finite-time (FT) control,Finite-time differentiators,LMIs,Sliding mode control,Nonlinear systems,Euler-Lagrange systems,Euler-Lagrange (EL) systems,homogeneous systems
Moreno, J.A.;Moreno, J.A.;Stability of nonlinear systems,Extremum seeking,C1320,Parameter estimation,Time-varying systems,Lyapunov function,Bioreactors,time varying,Lyapunov analysis,Tubular reactors,C1220,Supertwisting observer,Output feedback,Bioprocesses and biosystems,Nonlinear observer design,Time-varying control systems,Simulation,State and input estimation,modelling and identification,Second-order systems,Observers,second-order sliding modes,Lyapunov methods,Detectability,Bioprocesses,sliding mode,Adaptive control,State estimation,Sensor location,finite time,Sliding mode observer,Lipschitz function,Unobservable systems,C1340G,adaptive control,Extended Kalman filter,Time-varying coefficient,discontinuous control,Sliding mode control,Stability in control theory;nonlinear systems,spherical stabilizer,Singularity analysis,sum of squares problem,preserving order observers,Parallel manipulator,finite-time regulation,Sliding-mode observer,stability radii,Higher-order sliding modes,positive systems,satellite's attitude control,LMIs,Sliding modes,friction drive,Nonlinear systems,Observer,Euler-Lagrange (EL) systems,super-twisting algorithm,linear time-varying systems,passivity-based control,Walking rehabilitation device,Observers,Lyapunov methods,Energy shaping,differentiators,finite-time (FT) control,Euler-Lagrange systems,delayed output,Control moment gyroscope,Lyapunov functions,dissipative observer,Finite-time differentiators,Sliding mode control,Direct and inverse kinematics,Interval observers,homogeneous systems
Sierra, G.;Sierra, G.;Frobenius metric,Kernel selection,Generalization Ability,San pedro martir,Term,Morpheme segmentation,Definition,Telescope design,Doc2Vec,Automatic Text Summarization,Graph-based clustering,Logistic regression,Unsupervised learning,Classification,TSPM,Affixality measurements,Text Mining,Morphology induction,Ground-based telescope,Tweets,Natural language analysis,One-class SVM,Machine Learning,Information extraction,Telescope engineering,Definitional context,Optical instrumentation,Taxonomy,POS,Regression Estimation,N-grams,Document processing,Blogs,Authorship verification,Spectral clustering,Social Network,Information retrieval,Morphological Segmentation;Machine learning,Lexical search,Natural language parsing,Sentence embedding,Information entropy,Minimalist grammars,Corpus in Spanish,Authorship analysis,Rhetorical relations,TF–IDF,Text representation,Logistic regression,Text clustering,Natural language compilers,Word vectors,Stylometry,Conversation analysis,Alzheimer's disease,Spanish,Literature review,Word embedding,Support vector Machine,Joint Sentiment Topic Modeling,Systems specification,Natural language graphs,Word association norms,Writing style,Sentiment analysis,Mildly context sensitive grammars,Natural language processing,Node2vec,Sentence representation,Information retrieval,Aggressiveness detection
Torres-Moreno, J.-M.;Torres-Moreno, J.-M.;Machine Learning,POS,Regression Estimation,Generalization Ability,N-grams,Classification,Text Mining,Blogs,Tweets,Social Network,Automatic Text Summarization;Information entropy,TF–IDF,Word embedding,Natural language processing,Sentence representation,Sentence embedding
Sidorov, G.;Sidorov, G.;;Machine learning,Sentence embedding,Resource,Information entropy,Authorship analysis,TF–IDF,Character n-grams,balanced corpus of tweets,Author profiling,Stylometry,Social media,Author clustering,Location identification,Spanish,feature extraction,Word embedding,Language variety identification,Fake news,machine learning,Writing style,N-grams,Convolutional neural networks,Occupation identification,Natural language processing,Deep learning,Corpus,emotion recognition,Authorship-link ranking,Sentence representation,sentiment analysis,Gender identification,Hierarchical clustering
Vargas, K.;Vargas, K.;;arbitrarily connected network,Failure detector,time-To-live value,ADD channel
Rajsbaum, S.;Rajsbaum, S.;Distributed problems,Message-passing system,T-resilience,Byzantine process,Impossibility,Task,Snapshot object,Problem hierarchy,Topology,Rotating,Approximate agreement,Decision task,Symmetry breaking,Fault Tolerance,Read/write shared memory,Long-lived objects,Distributed computing,Sequential specifications,Neighbor discovery,Distributed verification,Multiple and Distributed Robots,Colorless task,Renaming,Convergence,Consensus,Nondeterminism,Higman’s lemma,t-Resilience,K-set agreement,Crash failure,Process crash failure,Graph Algorithms,Asynchronous systems,Agreement,Immediate snapshot,Shared memory,Linearizability,Fault-tolerance,Runtime verification,Reliable broadcast,Atomic read/write register,Read/write registers,Reliable shared memory,Rendezvous,Single-writer/multi-reader register,Deterministic,Iterated immediate snapshot,Wait-free computing,Asynchronous read/write model,Distributed computability,Iterated model,Distributed decision,Space complexity,Task solvability,Asynchronous system,Asynchronous message-passing system,Coordination,Well-quasi-ordering,Shared Memory,Mobile Robots,Randomized algorithms,Quorum,Failure detectors,Distributed algorithms,Well-quasi-order,Sensor network,Set agreement,Robots Algorithms,Runtime monitoring,Read–write shared memory,Gathering,Formal specifications,Tasks,Specification,Algebraic Topology,Broadcast abstraction,Combinatorial topology,Directional antennae,Wait-freedom,Concurrent object;MWMR registers,Distributed task,Process crash,Wait-free computing,Object composability,Mobile robots,Non-determinism,Distributed algorithm,linearizability,Sequential specification,Fault tolerance,Process crash failure,Agreement,Shared memory,Synchronous distributed computing,Locality of a computation,Gathering,Topology,Symmetry breaking,Asynchronous system,Concurrency,Linearizability,ADD channel,Cole and Vishkin’s coloring algorithm,Synchronous communication,Asynchronous message-passing system,Message-passing,Termination,snapshot object,Anonymity,process crash failure,Decentralized algorithms for robots,Combinatorial topology,Set-linearizability,Failure detector,atomic read/write register,Wait-free,Vertex coloring problem,Anonymous processes,Wait-freedom,Concurrent object,arbitrarily connected network,time-To-live value,Robot gathering,Rendezvous
Alcántara, M.;Alcántara, M.;;Fault tolerance,Decentralized algorithms for robots,Termination,Gathering,Wait-free computing,Mobile robots,Rendezvous
Castañeda, A.;Castañeda, A.;Distributed problems,Set agreement,Process crash,Crash failure,Asynchronous read/write model,Distributed computability,Task,Agreement,Problem hierarchy,Decision task,Formal specifications,Symmetry breaking,Early decision,Linearizability,Long-lived objects,T-Resilience,Round-based algorithm,Coordination,Tasks,Early stopping,Specification,Synchronous message-passing system,Sequential specifications,Renaming,Wait-freedom,Concurrent object,Consensus,Nondeterminism;Common2,Helping,Nonblocking,Lock-freedom,Multi-core algorithms,Low memory compact algorithm,Distributed task,Process crash,Wait-free computing,Object composability,Mobile robots,Non-determinism,Distributed algorithm,Internet of things,Sequential specification,Fault tolerance,Distributed graph algorithms,Process crash failure,Agreement,Queues,Shared memory,Synchronous distributed computing,Locality of a computation,Non-blocking,Gathering,Symmetry breaking,Asynchronous system,Concurrency,Linearizability,Synchronous communication,Cole and Vishkin’s coloring algorithm,Consensus number,Message-passing,Termination,Shared objects,Self-healing fault-tolerant P2P algorithm,Stacks,Decentralized algorithms for robots,Distributed computing,Combinatorial topology,Set-linearizability,Distributed message passing algorithm,Compact Forgiving Tree,Vertex coloring problem,Compact Thorup–Zwick routing,Wait-freedom,Concurrent object,Strong linearizability,Robot gathering,Rendezvous
Flores-Peñaloza, D.;Flores-Peñaloza, D.;Optimal algorithms,Combinatorial optimization,Geometric optimization,Inequalities;Fault tolerance,Decentralized algorithms for robots,k-Modem,Termination,Gathering,Art Gallery problem,Wait-free computing,k-Transmitter,Mobile robots,Modem illumination,Rendezvous,Polygon illumination
Flores, F.C.;Flores, F.C.;;Automatic classification,CSS-map,Lithic technology,Pattern recognition,Projectile points,Image analysis,Computer vision
Ugalde, F.G.;Ugalde, F.G.;;Automatic classification,CSS-map,Lithic technology,Pattern recognition,Projectile points,Image analysis,Computer vision
Díaz, J.L.P.;Díaz, J.L.P.;;Automatic classification,CSS-map,Lithic technology,Pattern recognition,Projectile points,Image analysis,Computer vision
Del Pilar Angeles, M.;Del Pilar Angeles, M.;data matching,record linkage,de-duplication;Automatic classification,CSS-map,Lithic technology,Pattern recognition,Projectile points,Image analysis,Computer vision
Miyatake, M.N.;Miyatake, M.N.;;Automatic classification,CSS-map,Lithic technology,Pattern recognition,Projectile points,Image analysis,Computer vision
Lithgow-Serrano, O.;Lithgow-Serrano, O.;;Transcriptional-regulation,Semantic Textual Similarity,Natural Language Processing,Corpus,Genomics,Similarity
Gama-Castro, S.;Gama-Castro, S.;;Corpus,Transcriptional-regulation,Genomics,Similarity
Ishida-Gutiérrez, C.;Ishida-Gutiérrez, C.;;Corpus,Transcriptional-regulation,Genomics,Similarity
Velázquez-Ramírez, D.;Velázquez-Ramírez, D.;;Corpus,Transcriptional-regulation,Genomics,Similarity
Collado-Vides, J.;Collado-Vides, J.;;Transcriptional-regulation,Falsification,Semantic Textual Similarity,Necessary and sufficient conditions,Natural Language Processing,Corpus,Genomics,Similarity,Ontology definition
Oliveira, T.R.;Oliveira, T.R.;;Adaptive control,output feedback,higher order sliding-mode control,global stability,Uncertain nonlinear systems,higher-order sliding modes (HOSM),variable structure systems,global/semi-global stability,exact differentiators
Rodrigues, V.H.P.;Rodrigues, V.H.P.;;Adaptive control,output feedback,higher order sliding-mode control,global stability,Uncertain nonlinear systems,higher-order sliding modes (HOSM),variable structure systems,global/semi-global stability,exact differentiators
González-Acuña, R.G.;González-Acuña, R.G.;;
Avendaño-Alejo, M.;Avendaño-Alejo, M.;;Aspheric lens,Deflectometry,Aspherical surface,null screen,Exact ray tracing,Null screen,deectometry,Measurement of errors
Gutiérrez-Vega, J.C.;Gutiérrez-Vega, J.C.;;
Pliego-Jiménez, J.;Pliego-Jiménez, J.;adaptive control,cooperative robots,Telemanipulation,force control;
Arteaga-Pérez, M.;Arteaga-Pérez, M.;adaptive control,cooperative robots,Telemanipulation,force control;Ultimate boundedness,Unknown environment,Observer design,Force control
Sánchez-Sánchez, P.;Sánchez-Sánchez, P.;Design a velocity observer,Force tracking,Saturated function,Principle of orthogonalization,Cooperative robots,Control performance,Hyperbolic tangent function;
Alegría-Galicia, C.;Alegría-Galicia, C.;;Geometric optimization,Convex hull,Polygon,Area optimization,Restricted-orientation geometry,Polyhedron,Rotation,Perimeter optimization,Points covering,Fitting
Orden, D.;Orden, D.;;Geometric optimization,Convex subsets,Orthoconvexity,Rectilinear convex hull,Convex hull,Optimization,Polygon,Area optimization,Erdős-Szekeres problems,Polyhedron,Rotation,Perimeter optimization,Restricted-orientation geometry,Points covering,Fitting
Palios, L.;Palios, L.;;Geometric optimization,Polygon,Polyhedron,Rotation,Points covering
Seara, C.;Seara, C.;;Geometric optimization,Convex hull,Polygon,Area optimization,Restricted-orientation geometry,Polyhedron,Rotation,Perimeter optimization,Points covering,Fitting
Urrutia, J.;Urrutia, J.;Red-blue points,Sensor network,Inequalities,Erdos-Szekeres-type problem,Enumerative problems,Partial orders,Barrier coverage,NP-completeness,Optimal algorithms,Geometric optimization,Algorithms,Mobile sensors,Dual space,Multigraphs,Cyclic permutations,Combinatorial optimization,Empty k-gons,Algorithmic complexity,Convex blocking,Non-crossing rays configurations;Convex hull,Polygon,k-Modem,Computational geometry,Moving points in the plane,Perimeter optimization,Art Gallery problem,k-Transmitter,Modem illumination,Fitting,Enumerative problems,Lines in 3-space,Cross-section,Cycle,Order type,Convex sets,Colored rays,Rotation,Circular sequences,Solid angle sum,Convex and reflex vertices in orthogonal polyhedra,Convex subsets,Movement,Equipartition,Speed,Restricted-orientation geometry,Robot,Red and blue points in the plane,Orthogonal polyhedra,Points covering,Area optimization,Islands,Search,Geometric optimization,Orthoconvexity,Rectilinear convex hull,Ray configurations,Optimization,Direction,Erdős-Szekeres problems,Polyhedron,Polygon illumination
Badillo-Hernandez, U.;Badillo-Hernandez, U.;;Gasification reactor,Distributed system,Structural stability,Tubular heterogeneous reactor,Reduced order model,Multiplicity
Alvarez, J.;Alvarez, J.;State and input estimation,State estimation,Sensor location,Bioreactors,Unobservable systems,Observers,Tubular reactors,Extended Kalman filter,Bioprocesses and biosystems,Detectability,Nonlinear observer design;Gasification reactor,Distributed system,Structural stability,Tubular heterogeneous reactor,Reduced order model,Multiplicity
Alvarez-Icaza, L.;Alvarez-Icaza, L.;MICMAC,Linear integral filters,Tridiagonal matrices,Parameter and state identification,wind velocity estimation,structural analysis,real-time identification,LuGre friction model,On-ramps,Matrix parameterization,relative velocity,Cellular Automata models,wind turbine,Computer simulation,Stribeck effect,maximum power point tracking,Bottlenecks,Traffic analysis,Stable shear building models,Recursive least squares,Gershgorin circles,Dynamic friction model,Traffic flow models,Adaptive observer,Least squares,Shear building,sustainable mobility,Coulomb friction,urban transportation infrastructure,Multilane traffic flow,Projection methods,Cellular automaton;Structural health monitoring,Gasification reactor,Linear integral filters,Wave propagation,Distributed system,Parameter estimation,Generalized predictive control,Quadcopter,Unmanned aerial vehicle,Damage detection,Structural stability,Tubular heterogeneous reactor,Reduced order model,Obstacle avoidance,Multiplicity
Gutiérrez-Giles, A.;Gutiérrez-Giles, A.;Speed control,robotic manipulators,Force control,state observers,Disturbance rejection,Switched reluctance motors,Robust control,Observers design,position control,robust control;force control,Force control,Ultimate boundedness,Unknown environment,Transparent bilateral teleoperation,observer design,unknown environment,Observer design
Arteaga-Pérez, M.A.;Arteaga-Pérez, M.A.;Force reflecting,Position-force tracking control,Disturbance rejection,Principle of orthogonalization,Control performance,Hyperbolic tangent function,Speed control,Design a velocity observer,Force tracking,Robust control,robust control,Force control,robotic manipulators,Saturated function,Master-slave systems,Transparency,state observers,Cooperative robots,Teleoperation,Switched reluctance motors,Observers design,position control;force control,unknown environment,observer design,Transparent bilateral teleoperation
Sarmiento, C.;Sarmiento, C.;;object recognition,place recognition,pattern recognition,computer vision,hidden markov models
Savage, J.;Savage, J.;Space representations,wireless network,Fuzzy ARTMAP,mobile devices,Roadmaps for mobile robots,multimedia,Multiplatform,Artificial Neural Networks,FPGAs,Image Processing,Vector quantization clustering,Multivariate patterns,global position system,Genetic Algorithms,monitoring,Mobile Robots Behaviors,SVM;Domestic service robots,Path planning,object recognition,Service robots,Knowledge representation,place recognition,pattern recognition,computer vision,Behavior-based robotics,Autonomous navigation,Semantic reasoning,hidden markov models
Juarez, A.;Juarez, A.;;object recognition,place recognition,pattern recognition,computer vision,hidden markov models
Pacheco, A.;Pacheco, A.;;object recognition,place recognition,pattern recognition,computer vision,hidden markov models
Matamoros, M.;Matamoros, M.;Space representations,Roadmaps for mobile robots,Artificial Neural Networks,FPGAs,Vector quantization clustering,Genetic Algorithms,Mobile Robots Behaviors;object recognition,Service robots,Knowledge representation,place recognition,pattern recognition,computer vision,Semantic reasoning,hidden markov models
Dewasme, L.;Dewasme, L.;;Kalman filter,Sensitivity analysis,Software sensors,Bioprocesses,Robust estimation
Sbarciog, M.;Sbarciog, M.;;Kalman filter,Sensitivity analysis,Software sensors,Bioprocesses,Robust estimation
Rocha-Cózatl, E.;Rocha-Cózatl, E.;;Kalman filter,Sensitivity analysis,Software sensors,Bioprocesses,Robust estimation
Haugen, F.;Haugen, F.;;Kalman filter,Sensitivity analysis,Software sensors,Bioprocesses,Robust estimation
Vande Wouwer, A.;Vande Wouwer, A.;State estimation,Extremum seeking,Sliding mode observer,Output feedback,Bioprocesses;Kalman filter,Sensitivity analysis,Software sensors,Bioprocesses,Robust estimation
Rosenblueth, D.A.;Rosenblueth, D.A.;BDD,Shortest path,Bellman-Ford,Runtime monitoring,model checking,Nash equilibrium,Fault-tolerance,Distributed algorithms;Service robots,Knowledge representation,Semantic reasoning
Estrada, H.;Estrada, H.;;Service robots,Knowledge representation,Semantic reasoning
Okada, H.;Okada, H.;;Service robots,Knowledge representation,Semantic reasoning
Zenil, H.;Zenil, H.;Classical computation,Turing machine model,Computationalism,Computability,Natural computation;time resource-bounded complexity,Dynamical systems,Levin’s semi-measure,finite-state complexity,lossless compression,Undecidability,Algorithmic coding-theorem,Emergence,information theory,Shannon entropy,Solomonoff’s induction,Adaptation,computable algorithmic complexity,Complexity,Open-ended evolution,linear-bounded complexity,transducer complexity,context-free grammar complexity
Badillo, L.;Badillo, L.;;time resource-bounded complexity,Levin’s semi-measure,finite-state complexity,lossless compression,Algorithmic coding-theorem,information theory,Shannon entropy,Solomonoff’s induction,computable algorithmic complexity,linear-bounded complexity,transducer complexity,context-free grammar complexity
Hernández-Orozco, S.;Hernández-Orozco, S.;;time resource-bounded complexity,Dynamical systems,Levin’s semi-measure,finite-state complexity,lossless compression,Undecidability,Algorithmic coding-theorem,Emergence,information theory,Shannon entropy,Solomonoff’s induction,Adaptation,computable algorithmic complexity,Complexity,Open-ended evolution,linear-bounded complexity,transducer complexity,context-free grammar complexity
Hernández-Quiroz, F.;Hernández-Quiroz, F.;Classical computation,Turing machine model,Computationalism,Computability,Natural computation;time resource-bounded complexity,Dynamical systems,Levin’s semi-measure,finite-state complexity,lossless compression,Undecidability,Algorithmic coding-theorem,Emergence,information theory,Shannon entropy,Solomonoff’s induction,Adaptation,computable algorithmic complexity,Complexity,Open-ended evolution,linear-bounded complexity,transducer complexity,context-free grammar complexity
Aldana-Galván, I.;Aldana-Galván, I.;;Orthogonal polyhedra,Solid angle sum,Computational geometry,Convex and reflex vertices in orthogonal polyhedra
Álvarez-Rebollar, J.L.;Álvarez-Rebollar, J.L.;;Orthogonal polyhedra,Solid angle sum,Computational geometry,Convex and reflex vertices in orthogonal polyhedra
