ID;Label;KeywordsB2018;KeywordsA2018
Debattista, J.;Debattista, J.;;
Fernández, J.D.;Fernández, J.D.;;
Vidal, M.-E.;Vidal, M.-E.;Source selection,Linked enterprise data,AutomationML,Hybrid system,Relation discovery,Completeness model,Enterprise knowledge graphs,Query Execution,RDF Data,Data-driven tasks,Graph partitioning,Volumetric Image,RDF,Linked data,Web 3D-Visualizer,Crowd Knowledge,RDF data,Semantic similarity measures,Industry 4.0,Crowd knowledge,SPARQL query,RDF-Molecule,Crowdsourcing,Semantic data integration,Semantic Annotations,Knowledge graph,Microtasks,DICOM Ontology,Federated query processing,Semantic similarity,Enterprise information systems,Semantic web technologies,Hybrid System,Query decomposition,Fragment replication,SPARQL Query,Integration on demand,Query execution,Completeness Model;Ontology Engineering,Knowledge graphs,Maritime Applications,Dependency Graph,Test-Driven Ontology Development,Data integration,Oceanographic Data,RDF,Big Data,Big Data Applications,Test Cases,RDF molecules
Umbrich, J.;Umbrich, J.;;
Lytra, I.;Lytra, I.;;Oceanographic Data,Maritime Applications,Big Data,Big Data Applications
Orlandi, F.;Orlandi, F.;;Oceanographic Data,Maritime Applications,Big Data,Big Data Applications
Attard, J.;Attard, J.;;Oceanographic Data,Maritime Applications,Big Data,Big Data Applications
Halilaj, L.;Halilaj, L.;Semantic data integration,AutomationML,Industry 4.0;Dependency Graph,Ontology Engineering,Test-Driven Ontology Development,Test Cases
Grangel-González, I.;Grangel-González, I.;Semantic data integration,AutomationML,Industry 4.0;Dependency Graph,Ontology Engineering,Test-Driven Ontology Development,Test Cases
Lohmann, S.;Lohmann, S.;;Dependency Graph,Ontology Engineering,Test-Driven Ontology Development,Test Cases
Auer, S.;Auer, S.;Enterprise information systems,Linked enterprise data,Semantic web technologies,Industry 4.0,RDF-Molecule,Enterprise knowledge graphs,AutomationML,Semantic data integration,RDF,Knowledge graph,Integration on demand;Ontology Engineering,Knowledge graphs,Dependency Graph,Test-Driven Ontology Development,Data integration,RDF,Test Cases,RDF molecules
Musyaffa, F.A.;Musyaffa, F.A.;;
Li, Y.;Li, Y.;;
