ID;Label;KeywordsB2018;KeywordsA2018
Proano, E.;Proano, E.;;
Navarro, M.;Navarro, M.;;
Sanchez, A.;Sanchez, A.;;
Benitez, D.S.;Benitez, D.S.;Magnetic field imaging,Magnetoinductive sensors,Magnetic Field,Image processing,Brain Computer Interface,Neural Network Classification,Baropodometry,Eyewink Detection,Texture Analysis,NDE,instrumented shoes,signal processing,Magneto-inductive sensors,Hurst-operator,Edge-detection,EEG,Sensor array,Nanoparticles;ARM,Mode-Matching,NCTUns,NT-RS,MmR,WiMAX,vehicle detection,pattern classification,Seismic signal processing,signal detection,S matrix,vehicle classification,MS,Odroid-XU4,wavelet transforms,System Identification,PID control,Coupler,system capacity,T-RS,real-time systems,Model Predictive Control,Energy Reduction,Numerical Methods,IEEE 802.16
Pico, L.C.;Pico, L.C.;;vehicle detection,ARM,vehicle classification,Odroid-XU4
Sotomayor, D.;Sotomayor, D.;Vehicle identification,ARM,ODROID-U3,Speed determination;faults detection,broken bars,induction motor modeling,induction motors,frequency analysis
Castellanos, S.;Castellanos, S.;;faults detection,broken bars,induction motor modeling,induction motors,frequency analysis
Arcos-Aviles, D.;Arcos-Aviles, D.;;faults detection,broken bars,induction motor modeling,induction motors,frequency analysis
Benítez, D.;Benítez, D.;Ad-Hoc,Head Computer Interface,delay,jitter,Robotic Arm,Low Complexity,througput,QoS,Emotiv EPOC Headset,packet loss,WDS,IEEE 802.11.b;faults detection,broken bars,induction motor modeling,induction motors,frequency analysis
Canizares, A.;Canizares, A.;;3D-printable,Bionic Arm,Prosthetic Arm,EMG,Low Cost Prosthesis,Prosthesis,Myoelectric Sensor
Pazos, J.;Pazos, J.;;3D-printable,Bionic Arm,Prosthetic Arm,EMG,Low Cost Prosthesis,Prosthesis,Myoelectric Sensor
Benitez, D.;Benitez, D.;IEEE 802.16-2004,machine learning,propagation model,feature selection,semi-empirical,WiMAX,Volcanic events,signal classification;3D-printable,Bionic Arm,Prosthetic Arm,EMG,Low Cost Prosthesis,Prosthesis,Myoelectric Sensor
Lara-Cueva, R.;Lara-Cueva, R.;Ad-Hoc,delay,jitter,machine learning,througput,QoS,feature selection,packet loss,WDS,Volcanic events,IEEE 802.11.b,signal classification;real-time systems,pattern classification,MS,NCTUns,NT-RS,T-RS,MmR,Seismic signal processing,wavelet transforms,signal detection,WiMAX,IEEE 802.16,system capacity
Paillacho, V.;Paillacho, V.;;real-time systems,pattern classification,Seismic signal processing,wavelet transforms,signal detection
Villalva, M.;Villalva, M.;;real-time systems,pattern classification,Seismic signal processing,wavelet transforms,signal detection
Rojo-Alvarez, J.L.;Rojo-Alvarez, J.L.;;real-time systems,pattern classification,Seismic signal processing,wavelet transforms,signal detection
Caiza, L.;Caiza, L.;;System Identification,PID control,Model Predictive Control,Energy Reduction
Rosich-Oliva, A.;Rosich-Oliva, A.;;System Identification,PID control,Model Predictive Control,Energy Reduction
Ocampo-Martinez, C.;Ocampo-Martinez, C.;;System Identification,PID control,Model Predictive Control,Energy Reduction
Custodio-Rivera, D.;Custodio-Rivera, D.;;NCTUns,NT-RS,MS,T-RS,MmR,WiMAX,IEEE 802.16,system capacity
Carrera, E.V.;Carrera, E.V.;machine learning,Diabetic retinopathy,support vector machines,feature selection,Volcanic events,digital image processing,signal classification;Digital image processing,Machine learning algorithms,Finger-vein biometry
Izurieta, S.;Izurieta, S.;;Digital image processing,Machine learning algorithms,Finger-vein biometry
Carrera, R.;Carrera, R.;support vector machines,Diabetic retinopathy,digital image processing,machine learning;Digital image processing,Machine learning algorithms,Finger-vein biometry
Haro-Baez, R.;Haro-Baez, R.;Linecalc,S Parameters,Microstrip,Coupling factor C,Coupler,Effective electric length,C-Band;Coupler,Numerical Methods,Mode-Matching,S matrix
Benítez, D.S.;Benítez, D.S.;QRS-onset detection,ARM,ODROID-U3,edges,Integral equations,skeleton,centers,Pocklington Equation,cells,morphological wings analysis,Effective electric length,ECG,Gaussian noise,patterns,Adaptive baseline estimation,Vehicle identification,Coupler,C-Band,Least Square method,Method of Moments,Linecalc,radii,S Parameters,Speed determination,insects,Microstrip,Coupling factor C,Electromagnetic theory;
Navarro, M.S.;Navarro, M.S.;Method of Moments,Pocklington Equation,Least Square method,Integral equations,Electromagnetic theory;
Sánchez, A.;Sánchez, A.;Interference mitigation,Method of Moments,Pocklington Equation,Least Square method,Self-orga-nized,Wireless,Integral equations,White spaces,Self-coexistence,Electromagnetic theory;
Fiallos-Silva, C.;Fiallos-Silva, C.;Linecalc,S Parameters,Microstrip,Coupling factor C,Coupler,Effective electric length,C-Band;
Acosta-Buenaño, F.;Acosta-Buenaño, F.;Linecalc,S Parameters,Microstrip,Coupling factor C,Coupler,Effective electric length,C-Band;
Rosero, M.F.;Rosero, M.F.;Vehicle identification,ARM,ODROID-U3,Speed determination;
Leon, P.;Leon, P.;ARM,IEEE 802.16-2004,ODROID-U3,Speed determination,propagation model,Vehicle identification,semi-empirical,WiMAX;
Gonzalez, A.;Gonzalez, A.;support vector machines,Diabetic retinopathy,digital image processing,machine learning;
Aguiar, S.;Aguiar, S.;Head Computer Interface,Speech Disorders,Robotic Arm,Low Complexity,Glove,Hearing Impairment,Morse Code,Emotiv EPOC Headset,Communication,Sign Language;
