ID;Label;KeywordsB2018;KeywordsA2018
Morabito, R.;Morabito, R.;;Lot sizing,Combinatorial optimization,Hybrid Approach,Production planning,Multiple Compartments,Container Loading Problems,Beverage Distribution,Supplier selection,Flexible systems
Filho, G.P.R.;Filho, G.P.R.;;Complex networks,sensor,Meta-heuristic,computational intelligence,wireless sensor networks,energy efficiency,Long Short-Term Memory,IoT,Combinatorial optimization,domotics,Intelligent Control,fog computing,Multilevel optimization,Large-scale networks,wireless sensor and actuator networks,Gated Recurrent Unit,Bipartite networks,home automation,Fault-Tolerance,Actuator,Indoor Localization
Meneguette, R.I.;Meneguette, R.I.;;
Ueyama, J.;Ueyama, J.;;Domotic,Biological Control,Database,Vector Control,Infrastructure,Precision Agriculture,Home Automation System,Emotion,Smart home,Decision-making,sensor,Social media,computational intelligence,Human–computer interaction (HCI),Analysis of feelings,Facebook reactions,wireless sensor networks,Emoticons,Recognition of emotions,energy efficiency,Knowledge base,Sentiment analysis,Long Short-Term Memory,Emotion recognition,IoT,Speech,Sensor,Energy efficiency,domotics,Intelligent Control,fog computing,Wireless,Classification,Dynamic Environment,UAV,Clustering,Emotional state,wireless sensor and actuator networks,Gated Recurrent Unit,Energy management,home automation,Cognitive computing,Social networks,Energy consumption,Fault-Tolerance,Actuator,Indoor Localization
Villas, L.A.;Villas, L.A.;;IoT,computational intelligence,domotics,home automation,fog computing,wireless sensor networks,energy efficiency,Actuator,sensor,wireless sensor and actuator networks
Saviniec, L.;Saviniec, L.;Variable Neighborhood Search,Iterated Local Search,Class–teacher timetabling,Minimum Cost Assignment Problem,Conflict graph;Iterated local search,Parallel metaheuristics,Tabu search,Timetabling,Simulated annealing
Santos, M.O.;Santos, M.O.;;Lot sizing,Combinatorial optimization,Production planning,Crossover,Iterated local search,Parallel metaheuristics,Tabu search,Timetabling,Supplier selection,VRPTW,Clustering,Flexible systems,Evolutionary Algorithm,Simulated annealing
Costa, A.M.;Costa, A.M.;;Iterated local search,Parallel metaheuristics,Tabu search,Timetabling,Simulated annealing
Brandão, A.A.F.;Brandão, A.A.F.;;Computing education,Data aggregation,Interactive geometry,Software product line,educational technology,Scalability,Organizational models,BDI,Distributed Hash Table,Internet of things,Method,Contextual planning,Learning,Multiagent system,Multiagent systems,interface design,Variability,AmI,Multiagent systems.,gestural interfaces,Perception,Interoperability.,Context-aware systems,Blind,usability,Survey,Visual impairment,Inclusion
Fabro, A.T.;Fabro, A.T.;;Quantitative imaging,Radiomics,Quantitative image analysis,Pattern recognition,Metastasis prediction,Lung cancer
Garcia, K.D.;Garcia, K.D.;;Online learning,Data stream,Concept drift,kNN Prototyping,Novelty detection,Online clustering,Transfer learning,Unsupervised domain adaptation,Human activity recognition
Carvalho, T.;Carvalho, T.;;Deep learning,Structuring process,Software architecture,CG detection,Open data,Transfer learning,Fake news,Open Government Data,Digital forensics
Mendes-Moreira, J.;Mendes-Moreira, J.;;kNN Prototyping,Data stream,Online clustering,Transfer learning,Unsupervised domain adaptation,Human activity recognition
de Carvalho, A.C.P.L.F.;de Carvalho, A.C.P.L.F.;;Preprocessing technique,food truck recommendation,Label noise,Bioinformatics,Partially labeled data,Rule induction,Ensemble of classifiers,Multi-Class imbalanced learning,Borderline noise,Data stream,kNN Prototyping,Recommender system,Machine learning,Algorithm selection,Metalearning,Dynamic stock networks,Meta-learning,Portfolio optimization,Stock market,Online clustering,Non-agnostic active learning,Noise filters,Active learning,Genetic Algorithms,Cluster editing,Agnostic active learning,Online learning,recommender system,Support vector machines,Tuning recommendation,Noise injection,Hyperparameter tuning,Concept drift,Clustering,Unsupervised domain adaptation,Data sampling,Human activity recognition,multilabel dataset,PCTs,Recommendation system,Evolutionary algorithms,Collaborative Filtering,Unsupervised learning,Data characterization,lncRNAs,Protein function prediction,Data labeling,Hierarchical Multi-label Classification,Novelty detection,Transfer learning,Feature selection,multilabel classification
Traina, A.J.M.;Traina, A.J.M.;Bag-of-words,domain index,Lung diseases,texture,medical images,Salient points,CT scans,statistical modeling,Image features,heat map,classification,CBIR,Shape descriptor,content-based image retrieval,metric spaces,superpixel.;Graph-based representation,Semantic disambiguation,image retrieval,Textual database,Feature point matching,content-based image retrieval,Mammography,Veracity,Missing values,Fractal dimension,Feature extraction,Image segmentation,Semantic network,medical images,Variety,Semantic-aware data processing,Magnetic resonance imaging,skin ulcer,Big-data characteristics,Disambiguation,CBIR,κ-nearest neighbor,Inverted index,RDBMS,Visual signature,Lung classification,Metric access method,Semantic search,Feature correlation,Missing data,Missing at random,Filtering,Content-based image retrieval,Metric access methods,Statistical modeling,Semantic queries,Metric Access Method,Outliers removal,domain index,Proposals,Complex data,Complex datasets,Bag-of-visual-words,Similarity search,Vertebral compression fractures,Bags-of-visual-words,Feature extraction methods,NoSQL indexing,Query relaxation,Textual databases,Hospitals,Indexes,Image retrieval,3D vertebrae reconstruction,Balanced Growth,metric spaces,Index,Heat map representation
Traina Jr., C.;Traina Jr., C.;Metric Access Methods,Cutting Local Additional Pivots,Anticipation of Child Information,Similarity queries;
Bedo, M.V.N.;Bedo, M.V.N.;;Wound images,Metric data,DBSCAN,MLP,Superpixels,Similarity searching,SQL,RDBMS
Miyata, H.H.;Miyata, H.H.;;total flow time,Variable neighborhood search,Blocking flow shop,constructive heuristics,Constructive heuristics,preventive maintenance,No-wait flow shop,Clustering search,Classification,Literature review,Dependent-sequence setup times,Preventive maintenance,Total tardiness,Scheduling,scheduling,Solution methods
Nagano, M.S.;Nagano, M.S.;;Warehouse management,total flow time,Mixed Integer Programming,Variable neighborhood search,Optimization,VRP,Multiobjective,knowledge creation,Picking systems,Literature review,Dependent-sequence setup times,Scheduling,Solution methods,total flowtime,Total flowtime,constructive heuristics,individual competence,Genetic algorithms,Minimize costs,Setup time,university-industry relations,innovation,Preventive maintenance,Heuristics,scheduling,heuristics,Genetic Algorithms,Genetic algorithm,Blocking flow shop,No-idle,Parallel machines,no-idle flowshop,Clustering problem,preventive maintenance,communication,Billing sequencing,No-wait flow shop,Classification,Maximize billing,Picking process,Constructive Genetic Algorithm,Feature selection,Hybrid Renewable Energy Systems,Distribution,Constructive heuristics,Flowshop,Project team work,Clustering search,innovation culture,Integrated scheduling,information literacy,Total tardiness,Strategic Planning
Ranck Júnior, R.;Ranck Júnior, R.;;Multiple Compartments,Hybrid Approach,Beverage Distribution,Container Loading Problems
Yanasse, H.H.;Yanasse, H.H.;;Multiple Compartments,Hybrid Approach,Beverage Distribution,Container Loading Problems
Junqueira, L.;Junqueira, L.;;Multiple Compartments,Hybrid Approach,Beverage Distribution,Container Loading Problems
dos Santos, W.M.;dos Santos, W.M.;;Robotics rehabilitation,Adaptive controller,Model predictive control,Rehabilitation robotics,Impedance control,EMG-driven controller,Exoskeleton,Torque estimation,Optimal impedance
Siqueira, A.A.G.;Siqueira, A.A.G.;;Rehabilitation robotics,EMG-driven controller,impedance control,Optimal impedance,Control,Optimal,Rehabilitation,Torque estimation,assist-as-needed,Robotics rehabilitation,Adaptive controller,adaptive controller,Impedance control,Exoskeleton,Adaptive,Estimation,neuro-rehabilitation,Model predictive control,Robotic
Motta, D.;Motta, D.;;optimal transport,fundus-image,accuracy,registration,blood vessel detection,transformation,Retinal image registration,image alignment
Casaca, W.;Casaca, W.;;optimal transport,fundus-image,accuracy,registration,blood vessel detection,transformation,Retinal image registration,image alignment
Paiva, A.;Paiva, A.;dynamic meshes.,morphing,least-squares meshes,cross-parameterization;Surface reconstruction,optimal transport,fundus-image,accuracy,Particle-based fluids,Liquid animation,registration,blood vessel detection,transformation,Boundary particles,Particle resampling,Retinal image registration,image alignment,Assistive Robots
Brinis, S.;Brinis, S.;;Fractal dimension,Missing data,Variety,Similarity search,Missing at random,Bags-of-visual-words,Feature extraction methods,Big-data characteristics,Content-based image retrieval,Veracity,Missing values
Pedrosa, G.V.;Pedrosa, G.V.;Image features,Bag-of-words,Salient points,Shape descriptor;Missing data,Variety,Similarity search,Bags-of-visual-words,Feature extraction methods,Big-data characteristics,Content-based image retrieval,Veracity
Avalhais, L.P.S.;Avalhais, L.P.S.;;Missing data,Variety,Similarity search,Bags-of-visual-words,Feature extraction methods,Big-data characteristics,Content-based image retrieval,Veracity
Traina, C.;Traina, C.;medical images,content-based image retrieval,metric spaces,domain index;Multidimensional proximity search,Graph-based representation,Semantic disambiguation,Exploratory data analysis,Complex networks,image retrieval,Crime analysis,Feature point matching,content-based image retrieval,Mammography,Veracity,Missing values,Fractal dimension,Feature extraction,Semantic network,medical images,Variety,Semantic-aware data processing,SQL,Magnetic resonance imaging,skin ulcer,Big-data characteristics,CBIR,Inverted index,RDBMS,Visual signature,Lung classification,Metric access method,Feature correlation,Missing data,Missing at random,Filtering,Content-based image retrieval,Statistical modeling,Semantic queries,Metric Access Method,Outliers removal,domain index,Proposals,Complex data,Pattern analysis,Relational database systems,Bag-of-visual-words,Similarity search,Bags-of-visual-words,Feature extraction methods,NoSQL indexing,Query relaxation,Textual databases,Criminal communities,Hospitals,Image retrieval,Indexes,3D vertebrae reconstruction,Balanced Growth,metric spaces,Index,Heat map representation
Shulby, C.D.;Shulby, C.D.;;Convolutional neural networks,Shallow learning,Support vector machines,Speech recognition,Acoustic modeling,Statistical learning theory
Ferreira, M.D.;Ferreira, M.D.;;Convolutional neural networks,Shallow learning,Face recognition,Support vector machines,Handwritten digit recognition,Architecture assessment,Convolutional neural network,Object recognition,Dynamical systems,Speech recognition,Acoustic modeling,Statistical learning theory
de Mello, R.F.;de Mello, R.F.;;Face recognition,Modeling and prediction,Cross-recurrence quantification analysis,Architecture assessment,Time series,Convolutional neural networks,Time series analysis,Acoustic modeling,Statistical learning theory,Shallow learning,Positive and unlabeled,McDiarmid's inequality,Semi-supervised classification,Support vector machines,Data decomposition,Concept drift,Data streams,Convolutional neural network,Self-training,Phase space,Speech recognition,Object recognition,Algorithmic stability,Handwritten digit recognition,Dynamical systems
Aluisio, S.M.;Aluisio, S.M.;Syntax Simplification,Common Sense,Accessibility,Lexical Simplification,Literacy;Convolutional neural networks,Shallow learning,Support vector machines,Speech recognition,Acoustic modeling,Statistical learning theory
Garcés, L.;Garcés, L.;Sustainability,Software architecture,Systems-of-systems,Model transformation,Automatic generation,Simulation,Reference architecture;Health-care supportive home systems,Architectural erosion,Software architecture,Systems-of-systems,validation,Model transformation,testing,Crisis and emergency systems,System-of-systems,Connector,Mediator,systems-of-systems,Architectural drift
Oquendo, F.;Oquendo, F.;Software architecture,Systems-of-systems,Model transformation,Automatic generation,Simulation;Health-care supportive home systems,Software architecture,Systems-of-systems,Crisis and emergency systems,Software Architecture,Connector,Mediator,Systems-of-Systems
Nakagawa, E.Y.;Nakagawa, E.Y.;Protocol Definition,Sustainability,Software architecture,Systems-of-systems,Systematic Literature Review,Model transformation,Automatic generation,Secondary Study,Systematic Mapping Study,Survey,Reference architecture,Systematic mapping study,System-of-systems,Simulation,Big data system;national defense and security,Health-care supportive home systems,industrial case study,Self-adaptive software,Forward snowballing,Systematic mapping study,Software variability,Goals,ISO/IEC 12207,Critical embedded system,Software component,Connector,Model-Driven,Systematic literature review,Model-driven,requirements modeling,Architecture design,Design patterns,Design,model-based systems engineering,Industry,Missions,Architectural drift,Formal languages,Health care supportive home,Reference Architecture,Architectural erosion,Secondary studies,Update,Virtual prototypes,Modeling,Model,Satellites control,Simulation,Systems-of-Systems,Model-based,Continuous engineering,Repository,Evaluation,SOA,semi-formal languages,systems-of-systems (SoS) engineering,Mobile applications,Experience Report,Lessons Learned,GoF patterns,Software asset,System-of-systems,Crisis and emergency systems,systematic mapping,systems-of-systems (SoS),Architecture simulation,Ambient assisted living,Diabetes mellitus,Reference architecture,pattern grime,Software architecture,experience report,quality attributes,Systems-of-systems,Model transformation,Search evidence,Architecture drivers,Software Architecture,Mediator,Systemsof-Systems,Document-centric approach,Model-Based,Service-oriented architecture,Pattern,Quality analysis,Information systems
Duarte, F.S.L.G.;Duarte, F.S.L.G.;Multidimensional,Concept drift,Surrogate data,Data streams;Time series analysis,Data decomposition,Data streams,Modeling and prediction
Rios, R.A.;Rios, R.A.;;Time series analysis,Data decomposition,Data streams,Modeling and prediction
Hruschka, E.R.;Hruschka, E.R.;;Deep learning,Open set,Semisupervised Learning,Image classification,Gaussian Mixture Models,Data decomposition,Modeling and prediction,Constrained Clustering,Time series analysis,Data streams,Clustering,Active learning
Silva, E.F.;Silva, E.F.;;Cutting and packing,Mathematical model,Cutting path
Oliveira, L.T.;Oliveira, L.T.;;Cutting and packing,Mathematical model,Cutting path
Oliveira, J.F.;Oliveira, J.F.;;Mathematical model,Packing,Cutting and packing,Irregular packing,Nesting problem,Separation Lines,Irregular Packing Problems,Circle Packing,Mathematical modeling,Cutting path,Cutting
Toledo, F.M.B.;Toledo, F.M.B.;Cutting and packing,Mixed integer programming,Irregular strip packing problem,Clique covering;Lot sizing,Mathematical model,Market-driven foundry,Relax-and-fix heuristic,Packing,Cutting and packing,Irregular packing,Nesting problem,Cutting,Mixed integer programming,Mathematical modeling,Cutting path
Soares, V.H.A.;Soares, V.H.A.;;Semantic similarity,Text mining,Document clustering,Similarity measure
Campello, R.J.G.B.;Campello, R.J.G.B.;;Semantic similarity,Density-based clustering,Co-training,Hierarchical clustering,Semi-supervised classification,Recommender systems,Semi-supervised clustering,Cluster evaluation and selection,Similarity measure,Ensembles,Text mining,Document clustering,Semi-supervised learning
Nourashrafeddin, S.;Nourashrafeddin, S.;;Semantic similarity,Interactive document clustering,Key-term,Interactive,Keyterm-based clustering,Text,Document projection,Visualization,Similarity measure,Text mining,Document clustering,User study
Milios, E.;Milios, E.;;Semantic similarity,Visual analytics,Information retrieval,Similarity measure,Text mining,Document clustering,Active learning
Naldi, M.C.;Naldi, M.C.;;Semantic similarity,Text mining,Document clustering,Similarity measure
Sá Junior, J.J.D.M.;Sá Junior, J.J.D.M.;;Dynamic texture analysis method,Contour-based analysis,Randomized neural network,Dynamic textures,Shape classification
Ribas, L.C.;Ribas, L.C.;;Complex networks,Dynamic texture,Randomized neural network,Bag-of-visual words,Box-counting,Fractal dimension,Feature extraction,Dynamic texture analysis method,Diffusion,Scene analysis,Network sciences,Networks,Random walks,Dynamic textures,Euclidean distance transform,Texture analysis,Complex network,Shape classification,Deterministic walks,Deterministic walk,Shape analysis,Deep Convolutional Neural Networks
Bruno, O.M.;Bruno, O.M.;Pattern recognition,Schroedinger transform,Texture,Texture analysis;Gaussian pyramid,Pap-smear database,Complex networks,Contour-based analysis,Dynamic texture,Global average pooling,Randomized neural network,Bag-of-visual words,Web-based application,Plant classification,texture enhancement,Box-counting,Feature extraction,Fractal dimension,Titanium alloy,cryptosystems,Dynamic texture analysis method,Color–texture,anisotropic diffusion,Diffusion,Scene analysis,Multilayer networks,Network sciences,Fractal descriptors,Morphological diffusion,PRNG,Networks,Random walks,Color textures,image processing,logistic map,Shock filter,Texture,Chaos,Triangular prism,Dynamic textures,Euclidean distance transform,deep-zoom,Texture analysis,Complex network,Shape classification,Randomized neural network based signature,Texture classification,Network analysis,Cryptography,Deterministic walks,Deterministic walk,Pattern recognition,Shape analysis,Preprocessing,Metallography,Leaf midrib,Deep Convolutional Neural Networks
Artur, E.;Artur, E.;;Feature selection,Visual analytics,Data visualization,Attribute space analysis
Minghim, R.;Minghim, R.;Cellular component,IIS,Force-directed layout,CellNetVis,Network,Cell diagram;Interactive document clustering,Attribute space analysis,Multi-dimensional data,Text,Visual analytics,Information retrieval,Document clustering,Active learning,Similarity trees,Keyterm-based clustering,Image and text visualization,Visualization,multidimensional projection,Interactive,User study,multilevel projection,Key-term,Multi-scale visualization,Document projection,information visualization,Feature selection,Data visualization
Sousa, F.S.;Sousa, F.S.;;Meshless interpolation,Reservoir simulation,Darcy flow,Projection method,Robin boundary conditions,Navier-Stokes equations,Two-Lagrange-multiplier method,Moving least squares,Tree-based grids,Porous media,Domain decomposition,Multiscale approximation,Finite difference methods,Optimized Schwarz
Lages, C.F.;Lages, C.F.;;Meshless interpolation,Projection method,Navier-Stokes equations,Moving least squares,Tree-based grids,Finite difference methods
Ansoni, J.L.;Ansoni, J.L.;;Meshless interpolation,Projection method,Navier-Stokes equations,Moving least squares,Tree-based grids,Finite difference methods
Castelo, A.;Castelo, A.;;Meshless interpolation,Projection method,Navier-Stokes equations,Moving least squares,Tree-based grids,Finite difference methods
Simao, A.;Simao, A.;Confirmed sets,Simulation relations,Completeness conditions,Test suite completeness,Experiments;Process algebra,FSM testing,Projection method,Software product line,service composition,Hierarchical featured finite state machine,event sequence graphs,test case generation,150% model,Moving least squares,Model validation,model-based testing,Family model,Finite difference methods,Software product lines,service-oriented architecture,Formal testing,Test case generation,web services,Navier-Stokes equations,software engineering,Test generation,Model learning,Meshless interpolation,Formal modeling,query learning,Tree-based grids,Featured finite state machine
Sandim, M.;Sandim, M.;;Surface reconstruction,Particle-based fluids,Liquid animation,Particle resampling,Boundary particles
Oe, N.;Oe, N.;;Surface reconstruction,Particle-based fluids,Liquid animation,Particle resampling,Boundary particles
Cedrim, D.;Cedrim, D.;;Surface reconstruction,Particle-based fluids,Liquid animation,Particle resampling,Boundary particles
Pagliosa, P.;Pagliosa, P.;dynamic meshes.,morphing,least-squares meshes,cross-parameterization;Surface reconstruction,Particle-based fluids,Liquid animation,Particle resampling,Boundary particles
Campos, V.D.A.;Campos, V.D.A.;;retrotransposons,Vector quantization,Unsupervised learning,profile hidden Markov models,Gaussian mixture model,Speaker recognition,i-vector,transposable elements.,Speaker retrieval
Pedronette, D.C.G.;Pedronette, D.C.G.;Content-based image retrieval,Rank diffusion,Unsupervised learning;Ontology,Vector quantization,Efficiency,Unsupervised learning,Semantic gap,Ranking,Effectiveness estimation,Gaussian mixture model,Speaker recognition,Cartesian product,Content-based image retrieval,Effectiveness,Image retrieval,i-vector,Interactive image retrieval,Speaker retrieval
Furtado, M.G.S.;Furtado, M.G.S.;;Lot sizing,Market-driven foundry,Mixed integer programming,Relax-and-fix heuristic
Camargo, V.C.B.;Camargo, V.C.B.;;Lot sizing,Market-driven foundry,Relax-and-fix heuristic,Production planning and control,Spreadsheets,Performance measurement,Supply chain management,Mixed integer programming,Decision support systems
Castro Gertrudes, J.;Castro Gertrudes, J.;;Density-based clustering,Semi-supervised classification,Semi-supervised clustering
Zimek, A.;Zimek, A.;;Density-based clustering,Semi-supervised classification,Semi-supervised clustering
Sander, J.;Sander, J.;;Hierarchical clustering,Semi-supervised classification,Cluster evaluation and selection,Density-based clustering,Semi-supervised clustering
Vega-Oliveros, D.A.;Vega-Oliveros, D.A.;;Complex networks,Complex Networks,Centrality measures,Text networks,Network science,Temporal Networks,Fire Activity,Geographical Data Modeling and Analytics,Amazon Basin,Clustering,Text mining,Automatic keyword extraction
Gomes, P.S.;Gomes, P.S.;;Complex networks,Centrality measures,Text networks,Network science,Clustering,Text mining,Automatic keyword extraction
E. Milios, E.;E. Milios, E.;;Complex networks,Centrality measures,Text networks,Network science,Clustering,Text mining,Automatic keyword extraction
Berton, L.;Berton, L.;;Complex networks,Centrality measures,Text networks,Network science,Clustering,Text mining,Automatic keyword extraction
Matias, P.;Matias, P.;;
Barbosa, P.;Barbosa, P.;;Quantitative assessment of microscopic images,High resolution lung biopsy,Airway-centered Interstitial Fibrosis,Transfer learning,Unsupervised domain adaptation,Interstitial fibrosis diagnosis,Image analysis,Human activity recognition
Cardoso, T.N.C.;Cardoso, T.N.C.;;
Campos, D.M.;Campos, D.M.;;
Aranha, D.F.;Aranha, D.F.;;
Hidalgo, M.C.;Hidalgo, M.C.;;Embedded controller,Nonlinear control,Sliding mode control,Friction compensation,Control valves
Garcia, C.;Garcia, C.;Detection of IO pairs,Correlation,Closed-loop,System identification,Covariance;Control loop performance,Wiener models,PI System,Stiction compensation,Hammerstein models,Embedded controller,Nonlinear control,pH control,Feedback linearization,MPC relevant identification,Key Performance Indicators,Sliding mode control,Friction compensation,Friction,Internal model control,Control valves,System identification
Angélico, B.A.;Angélico, B.A.;;Dynamometer,Symmetric optimum criterion,Embedded controller,LMI,Electronic control unit,Automotive applications,quadratic programming,Robotics,mechatronic systems,reaction wheel,unicycle,Sliding mode control,PI controllers,predictive control,DTC-SVM,Adaptive cruise control,cruise control,Nonlinear control,system identification,Control valves,Three-phase induction motors,Digital control,Friction compensation,Metaheuristic optimization,Frequency response method
Tannuri, E.A.;Tannuri, E.A.;;Systems modeling,System dynamics,Embedded controller,Nonlinear control,Feedback linearization,Gyroscopes,Nonlinear control systems,Sliding mode control,Friction compensation,Control valves
Colombo, F.T.;Colombo, F.T.;;Model-based control strategies,Parallel kinematic machine,Image processing,Visual servoing
de Carvalho Fontes, J.V.;de Carvalho Fontes, J.V.;;Model-based control strategies,Parallel kinematic machine,Image processing,Visual servoing
da Silva, M.M.;da Silva, M.M.;;Image processing,Parallel kinematic machine,Robust control,Heavy-duty vehicle,Model-based control strategies,Articulated vehicle,Lateral control,Path following,Visual servoing
Guiraldello, R.T.;Guiraldello, R.T.;;Reservoir simulation,Darcy flow,Robin boundary conditions,Two-Lagrange-multiplier method,Porous media,Domain decomposition,Multiscale approximation,Optimized Schwarz
Ausas, R.F.;Ausas, R.F.;;Reservoir simulation,Darcy flow,Robin boundary conditions,Two-Lagrange-multiplier method,Porous media,Domain decomposition,Multiscale approximation,Optimized Schwarz
Pereira, F.;Pereira, F.;;Reservoir simulation,Darcy flow,Robin boundary conditions,Two-Lagrange-multiplier method,Porous media,Domain decomposition,Multiscale approximation,Optimized Schwarz
Buscaglia, G.C.;Buscaglia, G.C.;;Reservoir simulation,Darcy flow,Robin boundary conditions,Two-Lagrange-multiplier method,Porous media,Domain decomposition,Multiscale approximation,Optimized Schwarz
Cuadros Linares, O.;Cuadros Linares, O.;;Cone beam computed tomography,Image analysis,Quantitative assessment of microscopic images,High resolution lung biopsy,Graph clustering,Bone segmentation,Airway-centered Interstitial Fibrosis,Super-voxels,Interstitial fibrosis diagnosis,Mandible,Skull
Bianchi, J.;Bianchi, J.;;Cone beam computed tomography,Graph clustering,Bone segmentation,Super-voxels,Mandible,Skull
Raveli, D.;Raveli, D.;;Cone beam computed tomography,Graph clustering,Bone segmentation,Super-voxels,Mandible,Skull
Batista Neto, J.;Batista Neto, J.;;Cone beam computed tomography,Graph clustering,Bone segmentation,Super-voxels,Mandible,Skull
Hamann, B.;Hamann, B.;Visual feature selection,Time-varying multivariate data,Visual analytics,Ionospheric scintillation,Data visualization;Cone beam computed tomography,time-varying multivariate data,visual feature selection,Visual analytics,Graph clustering,Bone segmentation,data visualization,data analytics,Super-voxels,Mandible,Skull
Mantovani, R.G.;Mantovani, R.G.;;Dimensionality reduction,Protein Function Prediction,Multi-label k-Nearest Neighbor,Support vector machines,Hierarchy of multi-label classifier,Meta-learning,Tuning recommendation,Hyperparameter tuning,Back propagation multi-label learning,Problem transformation,Recommender system,Sentiment analysis,Hierarchical Multi-label Classification,Algorithm recommendation,Algorithm adaptation,Multi-label Feature Selection
Rossi, A.L.D.;Rossi, A.L.D.;Deep learning,Wood classification,Image classification,Machine learning;Dimensionality reduction,Support vector machines,Meta-learning,Tuning recommendation,Hyperparameter tuning,Recommender system,Algorithm recommendation
Alcobaça, E.;Alcobaça, E.;;Support vector machines,Meta-learning,Tuning recommendation,Hyperparameter tuning,Recommender system
Vanschoren, J.;Vanschoren, J.;;Support vector machines,Meta-learning,Tuning recommendation,Hyperparameter tuning,Recommender system
Scheicher, R.B.;Scheicher, R.B.;;Text classification,Text semantics,Sentiment analysis
Sinoara, R.A.;Sinoara, R.A.;Text mining,Text semantics,Systematic review;Contextual information,Document embeddings,Text semantics,Context-aware recommender systems,Recommender systems,Opinion mining,Systematic review,Sentiment analysis,Text classification,Text mining,Semantic representation
