ID;Label;KeywordsB2018;KeywordsA2018
Rodríguez, S.;Rodríguez, S.;;Parallel evolutionary algorithms,Xeon Phi,NES,Neuroevolution
Parodi, F.;Parodi, F.;Artificial intelligence,Xeon Phi,Evolutionary algorithms;Parallel evolutionary algorithms,Xeon Phi,NES,Neuroevolution
Nesmachnow, S.;Nesmachnow, S.;Bloom's taxonomy,Artificial Neural Networks,Big data,smart cities,Parallel evolutionary algorithms,Intelligent Transportation Systems,metaheuristics,IaaS,brokering,Scheduling,data centers,Containers,Execution time estimation,Clusters and datacenters,Active learning,Hadoop,evolutionary algorithms,Artificial intelligence,Fluorescence analysis,Image processing,energy sector,Control and planning,cloud brokering,green energy,Cloud,Scientific computing,NUMA,Empirical execution time analysis,Xeon Phi,optimization,scheduling,Multiobjective optimization,public transport,Penalty scheduling policy,Mobility analysis,Green energy,Unmanned Aerial Vehicles,virtual machine planning,Mesos,multiobjective optimization,Energy efficiency,Multi-objective scheduling,Provider income,GPU,Project management,Communications,Inertial Sensors,Public transport,High performance computing,Data centers,Prototyping,Visualization,Climate records,cloud computing,Virtualization,C programming language,planning,Cloud computing,Evolutionary algorithms,parallel computing,VHDL,Affinity,Visual Odometry,Multicore,Distributed memory,Computer science education,Software,Infrastructure as a Service,Extended Kalman Filter,Aging scheme,Service level agreement,Distributed computing,Smart cities,Zookeeper;Optimization,traffic engineering,Residue number system,Traffic flow,Robustness optimization,Dynamic verification,Parallel evolutionary algorithms,CDN,Multithreading,smart cities,metaheuristics,Pollution,HPC,Green computing,cloud,Homomorphic encryption,Multiple vehicle types,Cloud simulator,Metaheuristics,Pedestrian movement patterns,Surveillance cameras,Hadoop,Feature extraction,Energy model,Self-gravity,Image processing,resiliency,Storage,scientific computing,NES,Simulation,Neuroevolution,DEM,Monitoring rules,Xeon Phi,Computational Science in Developing Countries,computer science,Multicores,Multiobjective optimization,network design,optimization,Cloud,Security properties,Cosmic rays,Multiobjective evolutionary algorithms,Energy efficiency,Large-scale processing,3-SAT,Event-sequence language,Multiobjetive optimization,big data,Public transport,Independent tasks scheduling,MapReduce,high-performance computing,history of computing,cloud computing,Optimisation,Reliability,Python,education,Cloud computing,Azure,Evolutionary algorithms,Waste management,HST,Computing efficiency,Computational intelligence,intelligent transportation systems,Municipal solid waste,Distributed computing,Smart cities,Security,Countries
Peña, D.;Peña, D.;Smart cities,Evolutionary algorithms,Public transport,Multiobjective optimization;Evolutionary algorithms,Public transport,Smart cities,Multiple vehicle types,Metaheuristics,Multiobjective optimization
Tchernykh, A.;Tchernykh, A.;Bloom's taxonomy,smart cities,metaheuristics,IaaS,Scheduling,data centers,Containers,Execution time estimation,evolutionary algorithms,Image processing,greenhouse gas,cloud brokering,green energy,Active learning,Multiobjective optimization,public transport,Penalty scheduling policy,Service level agreement,Provider income,virtual machine planning,Mesos,multiobjective optimization,Energy efficiency,Multi-objective scheduling,Public transport,High performance computing,Visualization,cloud computing,Cloud computing,Evolutionary algorithms,VHDL,Computer science education,Distributed memory,Infrastructure as a Service,Aging scheme,Smart cities;Optimization,Residue number system,CDN,smart cities,Green computing,Homomorphic encryption,Cloud simulator,Multiple vehicle types,Metaheuristics,Hadoop,Energy model,Storage,Multicores,Multiobjective optimization,Cloud,Energy efficiency,3-SAT,big data,Public transport,MapReduce,cloud computing,Optimisation,Reliability,Cloud computing,Evolutionary algorithms,Computing efficiency,intelligent transportation systems,Smart cities,Security
Drozdov, A.Y.;Drozdov, A.Y.;Bloom's taxonomy,Provider income,Energy efficiency,VHDL,Computer science education,Multi-objective scheduling,Visualization,IaaS,Service level agreement,Active learning,Cloud computing;Evolutionary algorithms,Public transport,Smart cities,Multiple vehicle types,Metaheuristics,Multiobjective optimization
Garichev, S.N.;Garichev, S.N.;Smart cities,Evolutionary algorithms,Public transport,Multiobjective optimization;Evolutionary algorithms,Public transport,Smart cities,Multiple vehicle types,Metaheuristics,Multiobjective optimization
Muraña, J.;Muraña, J.;;Energy model,Energy efficiency,Computing efficiency,Green computing,Cloud simulator,Multicores
Armenta, F.;Armenta, F.;;Energy model,Energy efficiency,Green computing,Cloud simulator,Multicores
Richart, M.;Richart, M.;Acceleration,5G,wireless network virtualization,IEEE 802.11,WiFi,Software Defined Radio,GNU radio,slice isolation,LTE,wireless resource management,Wireless network slicing;Airtime allocation,5G,Wireless Networks,Image Colorization,Wireless resource management,WiFi,Queue scheduling,Deficit round robin,Optical Networks,airtime allocation,Machine Learning,wireless resource management,Wireless network slicing,Neural Networks
Baliosian, J.;Baliosian, J.;Imitation,Motor Control,6LoWPAN,Humanoid Robots,LTE,wireless network virtualization,Genetic algorithms,CoAP,WSN,802.15.4,slice isolation,Learning,IoT,Multi Instructor Learning,5G,WiFi,Biped locomotion,Context,Wireless network slicing,Protocols,Adaptation models,Routing,Electronic mail,Monitoring,wireless resource management,Security;Airtime allocation,5G,Wireless Networks,Image Colorization,Wireless resource management,WiFi,cryptography provider,Queue scheduling,security offloading,SIM card,Deficit round robin,Optical Networks,airtime allocation,Machine Learning,wireless resource management,Wireless network slicing,Neural Networks
Serrat, J.;Serrat, J.;5G,wireless network virtualization,WiFi,slice isolation,LTE,wireless resource management,Wireless network slicing;Airtime allocation,5G,Wireless resource management,WiFi,Queue scheduling,Deficit round robin,Wireless network slicing
Gorricho, J.-L.;Gorricho, J.-L.;5G,wireless network virtualization,WiFi,slice isolation,LTE,wireless resource management,Wireless network slicing;Airtime allocation,5G,Wireless resource management,WiFi,Queue scheduling,Deficit round robin,Wireless network slicing
Agüero, R.;Agüero, R.;;Airtime allocation,5G,Wireless resource management,WiFi,Queue scheduling,Deficit round robin,airtime allocation,wireless resource management,Wireless network slicing
Aliaga, J.I.;Aliaga, J.I.;Incomplete LU (ILU) factorization,High performance,Hardware accelerators,Graphics processors (GPUs),Intel Xeon Phi,Graphic processors,Multicore processors,Sparse triangular linear systems,Graphics processing unit (GPU),Iterative solvers,Preconditioned iterative solvers,Conjugate gradient (CG) method,Sparse linear systems,Reconditioned Conjugate Gradient solver,Sparse linear algebra,Preconditioning,Multi-core processors,Incomplete LU factorization,Graphics processing units (GPUs),Energy efficiency,Task and data parallelism,ILUPACK,Distributed memory platforms;Data parallelism,GMRES,GPUs,MGSO,Massively parallel processing,Data-parallelism,ILUPACK preconditioner,Linear Systems,High performance,Sparse linear systems,Sparse triangular solver,Preconditioning technique,ILUPACK,Jetson TX1,Iterative Krylov-subspace methods,Graphics processing units (GPUs)
Dufrechou, E.;Dufrechou, E.;Numerical model of the Río de la Plata,Incomplete LU (ILU) factorization,High performance,Linear Systems,HPC,Implicit Euler,Hardware accelerators,Graphics processors (GPUs),Gauss-Huard algorithm,high performance,Graphic processors,Symmetric band linear algebra,Multicore processors,Sparse triangular linear systems,Graphics processing unit (GPU),Iterative solvers,Preconditioned iterative solvers,Xeon Phi processor,Feedback control,Conjugate gradient (CG) method,Sparse linear systems,Sparse linear algebra,Preconditioning,Multi-core processors,sparse triangular linear systems,graphic processors,Incomplete LU factorization,Energy efficiency,Model reduction,GPUs,GPU,multi-core processors,Differential Riccati equation (DRE),LQR,Linearly implicit Euler,Gauss-Huard,LU factorization,ILUPACK,NVIDIA Jetson Kl,Distributed memory platforms,Dense linear systems;synchronization free methods,GMRES,MGSO,Data-parallelism,Linear Systems,High performance,Graphics processors (GPUs),low-rank,Cusparse,Sparse triangular linear systems,graphics processing units,Sparse linear systems,graphics processors (GPUs),mixed precision,Iterative Krylov-subspace methods,Graphics processing units (GPUs),Data parallelism,algebraic Riccati equations,GPUs,Massively parallel processing,ILUPACK preconditioner,Jetson TX1,synchronization-free methods,matrix equations,Level sets,Sparse triangular solver,ILUPACK,Preconditioning technique,level-set analysis
Ezzatti, P.;Ezzatti, P.;Variable neighborhood search,Graphics processing unit,GNU radio,Heterogeneous systems,Gauss-Huard algorithm,Graphic processors,Graphics processing unit (GPU),Conjugate gradient (CG) method,finite differences,Sparse linear algebra,differential equation,Acceleration,GPU,BLAS,multi-core processors,Graph500,Task and data parallelism,Linearly implicit Euler,Gauss-Jordan elimination,GPGPU,Parallelism,matrix sign function,NVIDIA Jetson Kl,Numerical model of the Río de la Plata,ARM,High performance,Linear Systems,Graphics processors (GPUs),Roofline model,high performance,Symmetric band linear algebra,Accuracy,sparse triangular linear systems,graphic processors,GPUs,CUDA,Mixed precision,CPU+GPU,IEEE 802.11,ILUPACK,LINPACK,Distributed memory platforms,Functional Programming,Dense linear systems,Multicore architectures,Graphics Processing Units (GPUs),Incomplete LU (ILU) factorization,Min-Min heuristic,Finite difference,LR-ADI solver,Newton’s third law,HPC,Software Defined Radio,Gauss–Huard method,Hardware accelerators,Parallel implementation,matrix inverse,Preconditioned iterative solvers,Heterogeneous computing,Xeon Phi processor,Feedback control,Reconditioned Conjugate Gradient solver,Preconditioning,Multi-core processors,graphics processors,Incomplete LU factorization,Graphics processing units (GPUs),Differential Riccati equation (DRE),CPU–GPU computing,generalized Lyapunov matrix equations,Cholesky factorization,linear systems,matrix inversion,Partial differential equations,Implicit Euler,Inverse Lighting Problems,Intel Xeon Phi,HPCG,Bordered-band matrices,Multicore processors,Sparse triangular linear systems,Iterative solvers,Non-bonded forces,Linear systems,Hybrid hardware platforms,Sparse linear systems,GPU computing,Energy efficiency,Model reduction,Dense linear algebra,LQR,Matrix inversion,Linear systems of equations,Gauss-Huard,Symmetric positive definite linear systems,Gauss–Jordan-elimination,LU factorization,Haskell,Lyapunov matrix equations,NAMD,HPL,Energy-awareness;synchronization free methods,GMRES,MGSO,Data-parallelism,Linear Systems,High performance,Graphics processors (GPUs),low-rank,Cusparse,Sparse triangular linear systems,graphics processing units,Sparse linear systems,graphics processors (GPUs),mixed precision,Xeon Phi,Iterative Krylov-subspace methods,Graphics processing units (GPUs),Data parallelism,algebraic Riccati equations,GPUs,Massively parallel processing,ILUPACK preconditioner,Jetson TX1,synchronization-free methods,Solar radiation computation,matrix equations,Level sets,Sparse triangular solver,ILUPACK,Preconditioning technique,level-set analysis
