ID;Label;KeywordsB2018;KeywordsA2018
Oliveira, H.M.N.S.;Oliveira, H.M.N.S.;Elastic optical network with space division multiplexing,P-cycle FIPP,Multi-core fiber,Protection;Multi-core Fiber,Traffic grooming,elastic optical network with space division multiplexing,FIPP p-cycle,multi-core fiber,modulation,Survivability,Space Division Multiplexing,Elastic optical network with space division multiplexing,Elastic Optical Net- work,Protection,Multi-core fiber,Elastic Optical Network with Space Division Multiplexing
da Fonseca, N.L.S.;da Fonseca, N.L.S.;;Elastic optical network with space division multiplexing,Multi-core fiber,Survivability
Felzmann, I.B.;Felzmann, I.B.;;
Susin, M.M.;Susin, M.M.;clock synchro-nization,WSN,time synchronization,TSTP;
Duenha, L.;Duenha, L.;DVFS,MPSoCBench,performance,simulation,energy consumption;Dark silicon,Multicore design,Design space exploration (DSE),Performance simulation,Physical design estimates
Azevedo, R.;Azevedo, R.;DVFS,MPSoCBench,performance,simulation,energy consumption;Optimization,Emulation,Dark silicon,Multicore design,Memory approximation,CS0,Computer science,instruction level parallelism,Design space exploration (DSE),Energy Efficiency,Active learning,Value prediction,prefetching,Performance simulation,address prediction,CS1,load value prediction,speculative execution,Physical design estimates,Phase Analysis,Approximate Computing,Sampled simulation,PBL,Interpreter,PI
Wanner, L.F.;Wanner, L.F.;clock synchro-nization,WSN,time synchronization,TSTP;
Botega, L.C.;Botega, L.C.;;Congestion control,intelligent transportation systems,public safety,VANETs,vehicular re-routing,multi-objective optimization
Rohmer, E.;Rohmer, E.;;optical fiber sensors,human-robot interaction,Prosthetics,force myography,Optical fiber sensor,Human-robot interaction,Force sensors,Bio inspirired Robotics,force measurement,Human Machine Interface,Upper Limb Prosthesis,Force myography
Vargas Muñoz, J.;Vargas Muñoz, J.;;Approximate nearest neighbors search,Graph-based search,Hierarchical clustering,Guided search
Gonçalves, M.A.;Gonçalves, M.A.;Relevance feedback,Diversity,Multimodal retrieval,Machine learning;Approximate nearest neighbors search,Graph-based search,Hierarchical clustering,Guided search
Dias, Z.;Dias, Z.;;reversals,Semantic concept detection,Computational biology,Transpositions,Distance learning,computer vision,Nearest neighbors graph,Nearest neighbor search,violence classification,Intergenic regions,Super short reversals,genome rearrangement,approximation algorithms,Heuristics,Computational Biology,Super short operations,Reversals and transpositions,semantic concept detection,Violence classification,Prefix rearrangements,transpositions,Approximate nearest neighbors search,Graph-based search,Approximation algorithm,Sorting permutations,Graph topological features,Genome rearrangements,weighted operations,Hierarchical clustering,Genetic programming,Guided search,Genome rearrangement,Weighted operations,Deep-learning,Approximation algorithms,deep-learning,Reversals,Circular permutations,Diameter,forensic computing
da S. Torres, R.;da S. Torres, R.;;Approximate nearest neighbors search,Graph-based search,Hierarchical clustering,Guided search
Werneck, R.D.O.;Werneck, R.D.O.;;Graph-based classification,Science - experiments,Cost learning,Bag models,SVM,Workflow,Open-set recognition,Recommendation systems (Information filtering),Machine learning,Graph matching,Graph-based retrieval
Raveaux, R.;Raveaux, R.;;Cost learning,SVM,Open-set recognition,Graph matching
Tabbone, S.;Tabbone, S.;;Early fusion,Graph-based classification,Cost learning,Graph-based fusion,MediaEval,SVM,Event prediction,Graph-based rank fusion,Rank aggregation,Open-set recognition,Flood detection,Bag models,Graph embedding,Image representation,Graph matching,Graph-based retrieval
