ID;Label;KeywordsB2018;KeywordsA2018
Fernandez Slezak, D.;Fernandez Slezak, D.;;
Sigman, M.;Sigman, M.;Children problem solving,Stochastic behavior modeling,Monte Carlo Tree Search,Heuristics,N-Puzzles,First graders,Planning;
Cecchi, G.A.;Cecchi, G.A.;;
Amalric, M.;Amalric, M.;;
Wang, L.;Wang, L.;;
Pica, P.;Pica, P.;;
Dehaene, S.;Dehaene, S.;;
Carrillo, F.;Carrillo, F.;;
Mota, N.;Mota, N.;;
Copelli, M.;Copelli, M.;;
Cecchi, G.;Cecchi, G.;;
Slezak, D.F.;Slezak, D.F.;;
Paz, L.;Paz, L.;Children problem solving,Stochastic behavior modeling,Monte Carlo Tree Search,Heuristics,N-Puzzles,First graders,Planning;
Goldin, A.P.;Goldin, A.P.;Children problem solving,Stochastic behavior modeling,Monte Carlo Tree Search,Heuristics,N-Puzzles,First graders,Planning;
Diuk, C.;Diuk, C.;Children problem solving,Stochastic behavior modeling,Monte Carlo Tree Search,Heuristics,N-Puzzles,First graders,Planning;
