ID;Label;KeywordsB2018;KeywordsA2018
Kacha, A.;Kacha, A.;Dysarthric speech,Spectrogram,Principal component analysis;
Grenez, F.;Grenez, F.;Dysarthric speech,Spectrogram,Principal component analysis;
Orozco-Arroyave, J.R.;Orozco-Arroyave, J.R.;Wavelet transform,Aging voice,Atypical speech,Laryngeal pathologies (LP),Dysphonia,Intelligibility,Voiced/unvoiced frames,Mobile device,Language independent assessment,intelligibility,Parkinson's disease (PD),Speech compression,Parkinson’s disease,Voiced/unvoiced transitions,Phonation,Speech disorders,Stability,Multi-language,speech,Energy content,Time-frequency representations,linear prediction,Fundamental frequency estimation,Pitch modulation,Noisy Speech Signal,Continuous speech,Word accuracy,Voiced/unvoiced,UPDRS,Non-modal phonation,I-vectors,Telephone channel,Time-frequency,UPDRS score,Speech Enhancement,Spectral-cepstral modeling,Voice segmentation,cepstral analysis,Background noise,Speech,Interpretation,Classification,Visualization,MFCCs,Acoustic features,Mobile communications network,GMM-UBM,Paralinguistics,Internet,Pathological voice detection,Articulation,Non-stationary signals,Principal component analysis,Disphonia,Train/Test mismatch,Disarhtria,Spectrogram,Severity estimation,Periodicity,relative spectra analysis,Parkinson's disease,Speech enhancement,Noise measures,Speaker Verification,Kernel Principal Component analysis,Regression,Speech monitoring,Hypernasality,articulation,Hypokinetic dysarthria,Unvoiced frames,Dynamic time Warping,Nonlinear dynamic parameterization,Pathological speech,Wavelet packet transform,Neural networks,Telemonitoring,User modeling,Monitoring,Reverberant environments,Time dependent ARMA models,Hidden Markov models,Dysarthria,Non-controlled noise conditions,Continuous speech characterization,Articulatory,Speech processing,Speech codec,Phonatory,Prosody,Cosine distance,Voice Assessment,Speech signal,Modulation spectra,Dysarthric speech,Multi-class SVM,Non-linear dynamics,Speech emotion recognition,Parkinon's disease,Speech corpus,Non-linear speech processing,Time-frequency analysis,Laryngeal pathologies,Hesitation in speech,Phonological features,Language and motor planning,Convolutional neural network,Nonlinear behavior,speech spectrum,Speaker model,Speech discrimination,Decision trees,Glottal flow;Articulation,Speaker models,Dysarthria,deep learning,Mobile devices,Speech processing,I-vectors,Kinematic features,Handwriting processing,Inertial sensors,Intelligibility,i–Vectors,Gait processing,Multitask learning,Speech impairments,Prosody,Phonological posteriors,Parkinson's disease,Speech enhancement,Articulation analysis,Dysarthria assessment,Parkinson’s disease,Phonation,Modulation components,Speech disorders,Non-linear dynamics,Speech,Nonlinear dynamics,GMM–UBM,Recurrent neural network,speech,Handwriting,Longitudinal analysis,Geometrical features,Classification,covariance features,iVectors,gait,Python,convolutional neural networks,Pathological speech,Software,Parkinson's Disease,Gated recurrent units,Speaker recognition techniques,handwriting,Gait assessment,GMM-UBM,Automatic speech recognition
Schoentgen, J.;Schoentgen, J.;Dysarthric speech,Spectrogram,Principal component analysis;
Martinez-Vargas, J.D.;Martinez-Vargas, J.D.;MSP,Kernel matrix,MEG/EEG brain imaging,Beamformers;M/EEG inverse problem,enhanced data covariance,multiple kernel learning,Gaussian kernel
Duque-Muñoz, L.;Duque-Muñoz, L.;MSP,Triaxial accelerometer,Customized wavelet,Sports performance,Epileptic seizure detection,MEG/EEG brain imaging,Fall detection,Brain state classification,Kernel matrix,Relevant analysis,Beamformers;M/EEG inverse problem,enhanced data covariance,multiple kernel learning,Gaussian kernel
Vargas-Bonilla, F.;Vargas-Bonilla, F.;;M/EEG inverse problem,enhanced data covariance,multiple kernel learning,Gaussian kernel
Lopez, J.D.;Lopez, J.D.;EEG brain imaging,Brain-computer interface,Greedy Search,Forward problem,Beamformers;magnetic field measurement,optically pumped magnetometers,machine learning,magnetic sensors,M/EEG inverse problem,magnetic noise,multiple kernel learning,Gaussian kernel,magnetometers,noise cancellation,graph theory,scalp EEG,Kalman filter,enhanced data covariance,ex-combatants,Magnetoencephalography,functional connectivity,EEG phenotypes
Castellanos-Dominguez, G.;Castellanos-Dominguez, G.;MSP,Kernel functions,Customized wavelet,Relevance analysis,Epileptic seizure detection,MEG/EEG brain imaging,Brain state classification,Kernel matrix,ECG feature extraction,Relevant analysis,Beamformers;M/EEG inverse problem,enhanced data covariance,multiple kernel learning,Gaussian kernel
Vásquez-Correa, J.C.;Vásquez-Correa, J.C.;Wavelet transform,Articulation,Aging voice,Dysarthria,Non-controlled noise conditions,Non-stationary signals,Voiced/unvoiced,UPDRS,Non-modal phonation,I-vectors,Train/Test mismatch,Telephone channel,Mobile device,Language independent assessment,Prosody,UPDRS score,Speech Enhancement,Parkinson's disease,Speech enhancement,Voice segmentation,Parkinson’s disease,Phonation,Multi-class SVM,Background noise,Non-linear dynamics,Speech emotion recognition,Non-linear speech processing,Speech,Phonological features,Convolutional neural network,Time-frequency representations,Fundamental frequency estimation,Speaker model,Wavelet packet transform,Neural networks,Noisy Speech Signal,Time dependent ARMA models,Monitoring,Continuous speech;Articulation,Speaker models,Dysarthria,deep learning,Speech processing,I-vectors,Kinematic features,Handwriting processing,Inertial sensors,Intelligibility,i–Vectors,Gait processing,Multitask learning,Prosody,Phonological posteriors,Parkinson's disease,Articulation analysis,Dysarthria assessment,Parkinson’s disease,Phonation,Speech disorders,Non-linear dynamics,Nonlinear dynamics,GMM–UBM,Recurrent neural network,speech,Handwriting,Longitudinal analysis,Phonological features,Geometrical features,Classification,gait,Python,convolutional neural networks,Pathological speech,Software,Parkinson's Disease,Gated recurrent units,handwriting,Gait assessment,Automatic speech recognition
Arias-Vergara, T.;Arias-Vergara, T.;Articulation,Aging voice,Dysarthria,Non-controlled noise conditions,Voiced/unvoiced,UPDRS,Mobile device,Prosody,Parkinson's disease,Speech enhancement,Speaker Verification,Parkinson’s disease,Phonation,Speech disorders,Multi-class SVM,User modeling,Speech monitoring,Speech,Speech corpus,MFCCs,Pathological speech,Speaker model,Neural networks,GMM-UBM,Monitoring;Speaker models,Dysarthria,deep learning,Mobile devices,Speech processing,I-vectors,Inertial sensors,Intelligibility,i–Vectors,Multitask learning,Speech impairments,Parkinson's disease,Speech enhancement,Articulation analysis,Dysarthria assessment,Parkinson’s disease,Speech disorders,Nonlinear dynamics,GMM–UBM,speech,Longitudinal analysis,Phonological features,Classification,gait,convolutional neural networks,handwriting,Gait assessment,Automatic speech recognition
Klucken, J.;Klucken, J.;;convolutional neural networks,deep learning,speech,Parkinson's disease,handwriting,gait
Nöth, E.;Nöth, E.;Wavelet transform,Atypical speech,Laryngeal pathologies (LP),Dysphonia,Voiced/unvoiced frames,Mobile device,Language independent assessment,Parkinson's disease (PD),Speech compression,Parkinson’s disease,Voiced/unvoiced transitions,Phonation,Speech disorders,Stability,Multi-language,Energy content,Time-frequency representations,linear prediction,Pitch modulation,Continuous speech,Voiced/unvoiced,UPDRS,Non-modal phonation,I-vectors,Telephone channel,Time-frequency,UPDRS score,Spectral-cepstral modeling,cepstral analysis,Background noise,Speech,Interpretation,Visualization,Acoustic features,Mobile communications network,GMM-UBM,Paralinguistics,Internet,Pathological voice detection,Articulation,Non-stationary signals,Disphonia,phonological vocoding,Train/Test mismatch,Disarhtria,Periodicity,relative spectra analysis,Parkinson's disease,Speech enhancement,Noise measures,Kernel Principal Component analysis,Speech monitoring,Hypernasality,Unvoiced frames,Nonlinear dynamic parameterization,Pathological speech,non-modal phonation,Wavelet packet transform,Telemonitoring,User modeling,Monitoring,Reverberant environments,Time dependent ARMA models,Hidden Markov models,Dysarthria,Non-controlled noise conditions,Continuous speech characterization,Articulatory,Speech codec,Phonatory,Prosody,Cosine distance,Speech signal,Non-linear dynamics,Speech emotion recognition,Non-linear speech processing,Time-frequency analysis,Laryngeal pathologies,Hesitation in speech,Phonological features,Language and motor planning,Convolutional neural network,Nonlinear behavior,speech spectrum,Speaker model,Decision trees,Glottal flow;Articulation,Speaker models,Dysarthria,deep learning,Speech processing,I-vectors,Handwriting processing,Inertial sensors,Intelligibility,i–Vectors,Gait processing,Multitask learning,Prosody,Phonological posteriors,Parkinson's disease,Articulation analysis,Dysarthria assessment,Parkinson’s disease,Phonation,Speech disorders,Nonlinear dynamics,GMM–UBM,Recurrent neural network,speech,Longitudinal analysis,Phonological features,Classification,gait,Python,convolutional neural networks,Pathological speech,Software,Parkinson's Disease,Gated recurrent units,handwriting,Gait assessment,Automatic speech recognition
Rios-Urrego, C.D.;Rios-Urrego, C.D.;;Parkinson's disease,Handwriting,Geometrical features,Kinematic features,Non-linear dynamics
Vargas-Bonilla, J.F.;Vargas-Bonilla, J.F.;MSP,Dysarthria,Continuous speech characterization,MEG/EEG brain imaging,Pathological voice detection,Speech codec,Train/Test mismatch,Time-frequency,Telephone channel,Dysphonia,relative spectra analysis,Voiced/unvoiced frames,Parkinson's disease,Voice Assessment,Speaker Verification,Modulation spectra,Speech compression,Parkinson’s disease,Speech disorders,cepstral analysis,Background noise,Non-linear dynamics,Speech emotion recognition,Non-linear speech processing,Speech corpus,Time-frequency analysis,MFCCs,Nonlinear behavior,linear prediction,Beamformers,speech spectrum,Wavelet packet transform,Mobile communications network,Telemonitoring,GMM-UBM,Kernel matrix,Speech discrimination,User modeling,Internet,Glottal flow;Intelligibility,Articulation,Software,Dysarthria,Prosody,Parkinson's disease,Handwriting,Geometrical features,Speech processing,Kinematic features,Python,Phonation,Non-linear dynamics
Lopera, F.;Lopera, F.;;Parkinson's disease,Handwriting,Geometrical features,Kinematic features,Non-linear dynamics
Castrillón, R.;Castrillón, R.;Articulation,Speaker model,Dysarthria,Prosody,UPDRS,Parkinson’s disease,Phonation;
Acien, A.;Acien, A.;;
Ortega-Garcia, J.;Ortega-Garcia, J.;;
Villegas, A.;Villegas, A.;;
Moofarry, J.F.;Moofarry, J.F.;;covariance features,Parkinson's disease,Modulation components
Sarria-Paja, M.;Sarria-Paja, M.;;covariance features,Parkinson's disease,Modulation components
Giraldo-Zuluaga, J.-H.;Giraldo-Zuluaga, J.-H.;;Multi-layer robust principal component analysis,Microalgae recognition,Least Absolute Shrinkage and Selection Operator,Camera-Trap,Image segmentation,Convolutional Neural Networks,mammal recognition,Scenedesmus algae,Pattern recognition,Background subtraction,Multi-Layer Robust Principal Component Analysis,Camera-trap images,Microorganism classification
Salazar, A.;Salazar, A.;Animal species recognition,Camera-trap,Snapshot Serengeti,Deep convolutional neural networks;Multi-layer robust principal component analysis,Microalgae recognition,Least Absolute Shrinkage and Selection Operator,Camera-Trap,Image segmentation,Convolutional Neural Networks,mammal recognition,Scenedesmus algae,Pattern recognition,Background subtraction,Multi-Layer Robust Principal Component Analysis,Camera-trap images,Microorganism classification
Gomez, A.;Gomez, A.;;Multi-layer robust principal component analysis,Least Absolute Shrinkage and Selection Operator,Camera-Trap,Image segmentation,Convolutional Neural Networks,mammal recognition,Background subtraction,Multi-Layer Robust Principal Component Analysis,Camera-trap images
Diaz-Pulido, A.;Diaz-Pulido, A.;;Multi-layer robust principal component analysis,Least Absolute Shrinkage and Selection Operator,Camera-Trap,Image segmentation,Convolutional Neural Networks,mammal recognition,Background subtraction,Multi-Layer Robust Principal Component Analysis,Camera-trap images
