ID;Label;KeywordsB2018;KeywordsA2018
Merigó, J.M.;Merigó, J.M.;Operational research,Country analysis,Mean,Correlation coefficient,Spain,Group decision making,Portfolio selection,Article influence score,Sales forecasting,H-index,Aggregation systems,IOWA operator,Heronian mean,Compatibility,Majority concept,Female entrepreneurship,Fuzzy decision-making,Latin America,Web of Science,Qualitative decision making,Financial decision making,GEM,Variance,Journal impact,Ronald R. Yager,ordered weighted average (OWA),Educational research,Journal rankings,Chinese medical diagnosis,Multi-expert MCDM,Co-working,Induced aggregation operators,variance,Hesitant fuzzy set,portfolio selection,reinsurance,Fuzzy research,Correlation measure,Interval multiplicative preference relation,Group decision-making,COWGA operator,Citation analysis,Bonferroni means,Moore's families,DHFS,map,Bon-owa operators,Weighted average,Supplier selection,Dempster-Shafer belief structure,Web of science,h-index,Galois lattice,Economic growth,Fuzzy logic,Management Science,Ontological analysis,Distance measures,Citations,VOS viewer,Probability,Ordered weighted average,GDM,Entrepreneurial group decision making,Finance,Economics,Journal analysis,CiteSpace,Journals,Strategic management,Female entrepreneurial activity,Weighting methods,Bibliometric analysis,Minkowski distance,Aggregation operators,review,Entrepreneurship,Triangular fuzzy number,Institutional economics,Bibliometrics,Linguistic decision making,OWA operators,Women entrepreneurship,Uncertainty,Hesitant fuzzy linguistic term set,Innovation,OWA operator;linguistic information,Inflation,Science to business,Fuzzy number,Pythagorean fuzzy set (PFS),prioritized aggregation operators,Group decision making,Multi-criteria decision making,group decision making,Fuzzy numbers,Industry-science,HOWA operator,IOWA operator,Multiple attribute group decision making,Intuitionistic uncertain linguistic sets,Co-citation,pattern recognition,Fuzzy theory,exchange rate,multiattribute group decision making (MAGDM),network visualization,Web of Science,Enterprise risk management,Fuzzy divergence,Prioritized aggregation operators,Induced aggregation operators,citation analysis,variance,economy,H-Index,multiple attribute decision-making,logarithmic aggregation operators,distance operator,VOSviewer,Social economy,Group decision-making,Bonferroni means,Econometric forecasting,asymmetric information,Aggregation functions,Asia,Multi-attribute group decision making,strategy decision-making,Weighted average,Tourism,Majority opinion,Average fixed asset,innovation project management,Web of science,h-Index,induced aggregation operators,h-index,Soft computing,heavy moving averages,triangular fuzzy number,Partitioned heronian mean operator,Fuzzy logic,Hamacher aggregation operator,web of science,TOPSIS,Fuzzy distances,multi-attribute decision making,intuitionistic fuzzy sets Pythagorean fuzzy sets,Decision making,Distance measures,Web of Science (WoS),Forgotten effects,fuzzy Jensen-exponential divergence,Linguistic intuitionistic fuzzy sets,VOS viewer,transparency and access to information,Jensen-Shannon divergence,Delphi analysis,Stakeholder dynamics,Soft majority concept,induced ordered weighted averaging (IOWA),Fuzzy entropy,Moving average,journal,Weighting methods,probabilistic aggregation operators,research and development projects selection,Decision-making,Minkowski distance,bibliometrics,similarity measure,Aggregation operators,partitioned Bonferroni mean,Bonferroni mean,University-industry collaborations,Analytics,group decision-making,distance measures,Bibliometrics,sales forecasting,ontological analysis,Multi-expert decision making,Technology transfer,induced ordered weighted average operator,Subjectivity and incidences,OWA operator
Cancino, C.A.;Cancino, C.A.;Location-based systems,Country analysis,VOS viewer,Web of Science,Collaboration,Bibliometrics,Innovation,Management control systems;Analytics,Web of Science,Bibliometrics,VOS viewer
Brisaboa, N.R.;Brisaboa, N.R.;Clustered points,Grids,Temporal graphs,k2-tree,Text indexing,Grammar compression,Compressed data structures,Compression,Repetitive sequences,Compact data structures,RDF,Ternary relations,Query processing,K2-tree,Aggregated queries,Dynamic binary relations;Dynamic compression,multidimensional data,Web graphs,compact data structures,Compression,Compact data structures,Variable to Variable,compact sequence,Moving objects databases,Images,wavelet trees
Cerdeira-Pena, A.;Cerdeira-Pena, A.;Compression,k2-tree,Dynamic binary relations;
de Bernardo, G.;de Bernardo, G.;Temporal graphs,k2-tree,Compressed data structures,Compression,RDF,Ternary relations,K2-tree,Dynamic binary relations;
Navarro, G.;Navarro, G.;Compressed string dictionaries,Compressed sequence representations,Heavy-path decomposition,Metric spaces,Potts model,Range Minimum Queries,databases,Succinct data structures,data systems,Vertical partitioning,Computers and information processing,Text indexing,Deterministic construction,Text databases,RDF,Multi-thread file I/O,Grammar compression,Transfer matrix,k nearest neighbors,Metric space searching,compressed data structures,Packet extraction,Grids,Inverted indexes,Strip lattices,dynamic range majority,Self-index,Parallel computing,Compression,Lowest common ancestors,Memory-based SPARQL solution,k2-tree,Indexing metric spaces,Encoding data structures,Ordinal trees,Document retrieval,Document indexing,Compact data structure,Ternary relations,Secondary memory indices,Wavelet tree,Text processing,Deletion-contraction,Algorithm engineering,Repetitive collections,Geometric data structures,Text retrieval,K2-tree,Compact data structures,Inverted index,Ranked document retrieval,Clustered points,Intrinsic dimension,Self-indexes,Network traces,Compressed data structures,Repetitive sequences,Query processing,Aggregated queries,Dynamic binary relations,Cartesian trees,Compressed suffix array,Compressed index,Suffix arrays,Searching by content in multimedia,huffman coding,String collections,Suffix trees,Balanced Parentheses,Range majority queries,Temporal graphs,Top-k document retrieval,Complexity of searching,Packet indexing,data compression,Pattern matching,Proximity search;Range queries,Wheeler graph,Dynamic compression,Signaling pathways,cell cycle,Compression,Variable to Variable,Document listing,Burrows Wheeler Transform,Moving objects databases,algorithm,String databases,Repetitive string collections,Succinct data structures,graph compression,DNA sequencing,Space efficient construction,protein complexes,Tunneling,compact data structures,Trees and permutations,Relative Lempel Ziv,Compact data structures,compact sequence,Range counting,Integer functions,Parallel algorithm,BWT,Grammar compression,Top-k queries,Images,grammar compression,repetitive collections,irreducible grammars,computation friendly compression,multidimensional data,PageRank,Range minimum queries,induced suffix sorting,Compressed data structures,Repetitive sequences,Document retrieval,Repetitive text collections,empirical entropy,RePair,Compressed indexes,suffix trees,Compressed text indexing,Data compression,compressed text indexing,Grammar-based indexing,Overlap graph,Majorities on trees,Web graphs,matrix multiplications,grammar-based compression,Succinct ordinal trees,String attractors,Pattern matching,wavelet trees,De Bruijn graph
Berbegal-Mirabent, J.;Berbegal-Mirabent, J.;;Science to business,Technology transfer,University-industry collaborations,Industry-science,Bibliometrics
Mulet-Forteza, C.;Mulet-Forteza, C.;;Social economy,Forgotten effects,Delphi analysis
Torres-Martínez, A.;Torres-Martínez, A.;reinsurance,Fuzzy logic,OWA operators,Minkowski distance;Multi-criteria decision making,Fuzzy logic,Fuzzy distances,OWA operator
Gil-Lafuente, A.M.;Gil-Lafuente, A.M.;International Journal of Intelligent Systems,Strategic management,Ronald R. Yager,Weighted average,Bibliometric analysis,Web of science,induced aggregation operators,bibliometrics,Group decision making,Induced aggregation operators,Fuzzy research,H-index,logarithmic aggregation operators,group decision-making,VOS viewer,Bibliometrics,Probability,Fuzzy decision-making,Web of Science,OWA operator;Tourism,innovation project management,Web of science,Decision-making,h-Index,Aggregation operators,heavy moving averages,economy,H-Index,Stakeholder,group decision making,Fuzzy numbers,HOWA operator,logarithmic aggregation operators,distance measures,Group decision-making,Power/influence,Bibliometrics,Stakeholder dynamics,Fuzzy relation,Strategy,Fuzzy theory,exchange rate,Econometric forecasting,Subjectivity and incidences,Asia,OWA operator
Amirbagheri, K.;Amirbagheri, K.;;Analytics,Web of Science,Bibliometrics,VOS viewer
Yang, J.-B.;Yang, J.-B.;Web of science,Finance,Bibliometrics,Journal rankings;
Ferrer-Comalat, J.C.;Ferrer-Comalat, J.C.;Aggregation operators,Triangular fuzzy number,Sales forecasting,Probability,OWA operator;
Linares-Mustarós, S.;Linares-Mustarós, S.;Aggregation operators,Triangular fuzzy number,Sales forecasting,Probability,OWA operator;
Kacprzyk, J.;Kacprzyk, J.;Co-working,Ronald R. Yager,Bon-owa operators,Galois lattice,VOS viewer,Entrepreneurship,Moore's families,Bibliometric analysis,Web of science,Bonferroni means;distance measures,group decision making,innovation project management,logarithmic aggregation operators,OWA operator
Maldonado, S.;Maldonado, S.;analytics,Business analytics,L1 norm,Kernel K-means,Dynamic data mining,Churn prediction,Customer retention,Hierarchical classification,fuzzy systems,support vector clustering (SVC),Conjoint analysis,Support vector machines,Clustering,visualization,Data mining,university enrollment,nested logit,Maximum profit,feature selection,Feature selection;OWA operators,Support vector machines,OWA quantifiers,Hinge loss
Peters, G.;Peters, G.;;Data analysis,dynXcube-Framework,Dynamic data analysis,ADUR acronym
Weber, R.;Weber, R.;Cybercrime,Perfect Bayesian equilibrium,Fuzzy sets,Kernel K-means,Business analytics,Phishing filtering,Dynamic data mining,Churn prediction,Customer retention,fuzzy systems,support vector clustering (SVC),Rough sets,Conjoint analysis,Support vector machines,Support Vector Clustering,Clustering,Adversarial classification,visualization,Incremental learning,Data mining,Maximum profit,Signaling games,Feature selection;h-index,Data analysis,dynXcube-Framework,Temporal networks,Criminal propensity,Dynamic data analysis,Social networks,VOS viewer,Web of Science,Community detection,Crime analytics,Bibliometrics,ADUR acronym,Association,Node attributes,Rational choice
Wolff, P.;Wolff, P.;;Emergency department,Data science,Clinical decision support systems,Machine learning,Triage
Ríos, S.A.;Ríos, S.A.;Context-awareness,Digital image processing,kNN,Apnea screening,Ubiquitous health,Evaluation assessment,Cloud-computing,Extended-minima transform,Electroencephalogram,Polysomnography,Web-based platform,Fuzzy c-means (FCM),Screening algorithms,Network,Sensor,Semantic web,Latent semantics,Electrode,Diabetic retinopathy,Quality measures,Health,Remote,Business process management,E-Health,Apnea classification,Ubiquitous health system,Pattern recognition,Neural networks,Monitoring,Text mining,Sleep disorder,Ubiquitous health services;Latent topic analysis,Fuzzy concept analysis,Online Social Networks,Emergency department,Data science,Influencer detection,Clinical decision support systems,Machine learning,Semantic modelling,Triage,Social network analysis
Graña, M.;Graña, M.;Adaptive ensembles,hospitalization prediction,Hospital readmission,Readmission risk,readmission,Bagging,Electronic health record,Information processing,Ensemble classifiers,Imbalanced data,Ensemble learning,Emergency readmission prediction,Class imbalance,Clinical decision support system,Triple model methodology,Classification,Knowledge extraction,imbalanced classification,Artificial neural networks,Innovatoin in Medicine,Extreme learning machine,Computational intelligence,Semantic model;Triage prediction,Latent topic analysis,Neural regression,Fuzzy concept analysis,Online Social Networks,Childdre hostpital care,Hospital readmission,Emergency department,Neural networks,Data science,Influencer detection,Clinical decision support systems,Machine learning,Semantic modelling,Triage,Survival analysis,Social network analysis
