ID;Label;KeywordsB2018;KeywordsA2018
Mazuera-Rozo, A.;Mazuera-Rozo, A.;;Operating system,Secure IoT,Smart Homes,Android,Access Control,Vulnerabilities,Empirical study
Bautista-Mora, J.;Bautista-Mora, J.;;Operating system,Android,Vulnerabilities,Empirical study
Linares-Vásquez, M.;Linares-Vásquez, M.;Database-centric applications,Mutation testing,Optimizations,Documentation,SQL-data statements,Android,Schema constraints,Empirical studies,Operators,Fault taxonomy,Mining software repositories,Measurement;Operating system,Mutation testing,Mining app stores,mobile,code,quality warning prediction,program comprehension,User reviews,JavaScript,maintaining software,Node.js,Operators,textual analysis,natural language,Empirical study,code readability,Android,Mobile app evolution,unit test cases,Vulnerabilities
Rueda, S.;Rueda, S.;IoT,Intimacy;Configuration management system,Operating system,Secure IoT,IT risk evaluation,Smart Homes,Android,Configuration item,Access Control,Vulnerabilities,Empirical study,Service security
Bavota, G.;Bavota, G.;Operating System,Software metrics,Empirical Studies,Code understandability,Mutation testing,Taxonomy,Android,Negative result,Operators,Classifiers,Fault taxonomy,Software Licenses,Vulnerabilities,Empirical study;Operating system,Mining app stores,Computer bugs,User reviews,Empirical Study,Negative result,Software measurement,Empirical study,Software metrics,Code understandability,Software,Documentation,API Compatibility Issues,Android,Readability metrics,Indexes,Mobile app evolution,Complexity theory,Vulnerabilities
Lara, P.;Lara, P.;Modeling language,Operational Technology,Archimate;Enterprise modeling,Operational technologies,ArchiMate
Sánchez, M.;Sánchez, M.;Project based learning,Archimate,Automated analysis,Tool evaluation,Composition,IT architecture,Reality simulated cases,Domain specific modeling languages,Behavioral view,Enterprise analysis,Structural view,Business models,Architecture deliverable,Enterprise models,Operational Technology,Enterprise Architecture analysis,simulation,Visualization,Business model pattern,Modeling language,executable model,Models imprecision,Analysis,ArchiMate,Analysis chains,Enterprise architecture,Enterprise modeling,Business model,Analysis tools;Project based learning,ArchiMate,Dynamic analysis,Model driven architecture,Virtual enterprises,Operational technologies,IT architecture,Enterprise modeling,Business model
Villalobos, J.;Villalobos, J.;Project based learning,Archimate,Automated analysis,Tool evaluation,Composition,Constructors,IT architecture,semantics,Reality simulated cases,Domain specific modeling languages,Behavioral view,Enterprise analysis,Structural view,model theory,Architecture deliverable,Model analysis,Model,System Dynamics,Simulation,Enterprise models,Business models,Operational Technology,Enterprise Architecture analysis,Patterns,System dynamics,Canvas,simulation,Visualization,Business model pattern,Modeling language,executable model,ontology,Models imprecision,Flow,Visual analysis,Analysis,enterprise modeling,ArchiMate,Analysis chains,Enterprise architecture,Enterprise modeling,nuance,Execution,Business model,Analysis tools;Project based learning,ArchiMate,Dynamic analysis,Model driven architecture,Virtual enterprises,Operational technologies,IT architecture,Enterprise modeling,Business model
De La Hoz, H.D.F.;De La Hoz, H.D.F.;;Distributed systems,Consistency,Dependency relations
Sosa, J.S.;Sosa, J.S.;;Distributed systems,Consistency,Dependency relations
Cardozo, N.;Cardozo, N.;Recovery,W-learning,Microservices,Dynamically adaptive systems,Context interaction problem,Emergent services,Software architecture,Conflict resolution,Dynamic service composition,Consistency,Role,Implementation framework,Unanticipated adaptation,Con.ict resolution techniques,Dynamically adaptive so.ware systems,Context-oriented programming,Rollback,Roles;Feature modeling,Software variability,Multi product lines,Version control,Selection and scoping,Dynamic,Distributed systems,Cross-model constraints,Consistency,Configuration management,Context-oriented programming,Dynamic fusion,Generators,Context testing and simulation,Variability modeling,Dependency relations,Dynamic adaptation,Collaborative development,Context query language,Precedence relation discovery,Constraint programming,Concept prerequisite learning
Fonseca, D.;Fonseca, D.;;Cytotoxicity,Crystal structure,Pyrazole and dinitrobenzoate ligands,Trypanosoma cruzi,Land cover classification,Cobalt(II) complexes,Random forests,CDCol,Machin learning,Antifungal activity,Dimorphic switch,Open data cube
Leal-Pinto, S.M.;Leal-Pinto, S.M.;;Cytotoxicity,Crystal structure,Pyrazole and dinitrobenzoate ligands,Trypanosoma cruzi,Cobalt(II) complexes,Antifungal activity,Dimorphic switch
Roa-Cordero, M.V.;Roa-Cordero, M.V.;;Cytotoxicity,Crystal structure,Pyrazole and dinitrobenzoate ligands,Trypanosoma cruzi,Cobalt(II) complexes,Antifungal activity,Dimorphic switch
Muñoz-Castro, Á.;Muñoz-Castro, Á.;;Cytotoxicity,Crystal structure,Pyrazole and dinitrobenzoate ligands,Trypanosoma cruzi,Cobalt(II) complexes,Antifungal activity,Dimorphic switch
Hurtado, J.J.;Hurtado, J.J.;;Cytotoxicity,Crystal structure,Pyrazole and dinitrobenzoate ligands,Trypanosoma cruzi,Cobalt(II) complexes,Antifungal activity,Dimorphic switch
