Source;Target;Weight;Year
Vicuña, M.I.;Palma, W.;1;2019
Vicuña, M.I.;Olea, R.;1;2019
Palma, W.;Olea, R.;1;2019
Sahli Costabal, F.;Perdikaris, P.;1;2019
Sahli Costabal, F.;Kuhl, E.;2;2017
Sahli Costabal, F.;Hurtado, D.E.;2;2017
Perdikaris, P.;Kuhl, E.;1;2019
Perdikaris, P.;Hurtado, D.E.;1;2019
Kuhl, E.;Hurtado, D.E.;2;2017
Wang, W.-L.;Castro, L.M.;2;2019
Wang, W.-L.;Lachos, V.H.;1;2019
Wang, W.-L.;Lin, T.-I.;2;2019
Castro, L.M.;Lachos, V.H.;1;2019
Castro, L.M.;Lin, T.-I.;2;2019
Lachos, V.H.;Lin, T.-I.;1;2019
Larrain, H.;Coelho, L.C.;2;2017
Larrain, H.;Archetti, C.;1;2019
Larrain, H.;Speranza, M.G.;1;2019
Coelho, L.C.;Archetti, C.;1;2019
Coelho, L.C.;Speranza, M.G.;1;2019
Archetti, C.;Speranza, M.G.;1;2019
Echeverria, A.;Nussbaum, M.;1;2019
Echeverria, A.;Albers, C.J.;1;2019
Echeverria, A.;Tsai, C.-C.;1;2019
Echeverria, A.;van Braak, J.;1;2019
Nussbaum, M.;Albers, C.J.;1;2019
Nussbaum, M.;Tsai, C.-C.;4;2015
Nussbaum, M.;van Braak, J.;1;2019
Albers, C.J.;Tsai, C.-C.;1;2019
Albers, C.J.;van Braak, J.;1;2019
Tsai, C.-C.;van Braak, J.;1;2019
Ribeiro, J.;Ríos-Vera, C.;1;2019
Ribeiro, J.;Melo, F.;2;2015
Ribeiro, J.;Schüller, A.;2;2015
Ríos-Vera, C.;Melo, F.;1;2019
Ríos-Vera, C.;Schüller, A.;1;2019
Melo, F.;Schüller, A.;2;2015
Gómez, G.I.;Velarde, V.;3;2018
Gómez, G.I.;Sáez, J.C.;2;2018
Velarde, V.;Sáez, J.C.;2;2018
Li, P.;Prieto, L.;1;2019
Li, P.;Mery, D.;2;2018
Li, P.;Flynn, P.J.;2;2018
Prieto, L.;Mery, D.;2;2019
Prieto, L.;Flynn, P.J.;1;2019
Mery, D.;Flynn, P.J.;2;2018
Estañol, M.;Munoz-Gama, J.;1;2019
Estañol, M.;Carmona, J.;1;2019
Estañol, M.;Teniente, E.;1;2019
Munoz-Gama, J.;Carmona, J.;1;2019
Munoz-Gama, J.;Teniente, E.;1;2019
Carmona, J.;Teniente, E.;1;2019
Hernández, C.;Rivera Ottenberger, D.;1;2019
Hernández, C.;Moessner, M.;1;2019
Hernández, C.;Crosby, R.D.;1;2019
Hernández, C.;Ditzen, B.;1;2019
Rivera Ottenberger, D.;Moessner, M.;1;2019
Rivera Ottenberger, D.;Crosby, R.D.;1;2019
Rivera Ottenberger, D.;Ditzen, B.;1;2019
Moessner, M.;Crosby, R.D.;1;2019
Moessner, M.;Ditzen, B.;1;2019
Crosby, R.D.;Ditzen, B.;1;2019
Zegarra, O.;Alarcón, L.F.;2;2017
Zhu, J.;Jahn, W.;1;2019
Zhu, J.;Rein, G.;1;2019
Jahn, W.;Rein, G.;1;2019
Paz, A.A.;Arenas, G.A.;1;2019
Paz, A.A.;Castillo-Galán, S.;1;2019
Paz, A.A.;Herrera, E.A.;1;2019
Paz, A.A.;Krause, B.J.;1;2019
Arenas, G.A.;Castillo-Galán, S.;1;2019
Arenas, G.A.;Herrera, E.A.;1;2019
Arenas, G.A.;Krause, B.J.;1;2019
Castillo-Galán, S.;Herrera, E.A.;1;2019
Castillo-Galán, S.;Krause, B.J.;1;2019
Herrera, E.A.;Krause, B.J.;1;2019
Chen, Y.;Wei, W.;1;2019
Chen, Y.;Liu, F.;1;2019
Chen, Y.;Sauma, E.E.;1;2019
Chen, Y.;Mei, S.;1;2019
Wei, W.;Liu, F.;1;2019
Wei, W.;Sauma, E.E.;1;2019
