Source;Target;Weight;Year
Mehdikhani, R.;Valmohammadi, C.;1;2019
Cabrera-Donayre, R.;Gonzalez, D.;1;2019
Arteaga, D.;Arenas, J.;1;2019
Arteaga, D.;Paz, F.;1;2019
Arteaga, D.;Tupia, M.;1;2019
Arteaga, D.;Bruzza, M.;1;2019
Arenas, J.;Paz, F.;3;2018
Arenas, J.;Tupia, M.;1;2019
Arenas, J.;Bruzza, M.;1;2019
Paz, F.;Tupia, M.;1;2019
Paz, F.;Bruzza, M.;1;2019
Tupia, M.;Bruzza, M.;8;2016
Sotomayor-Beltran, C.;Delgado, A.;1;2019
Flores, L.F.;Tucto, K.Y.;1;2019
Flores, L.F.;Guerra, J.A.;1;2019
Flores, L.F.;Grieseler, R.;1;2019
Flores, L.F.;Weingärtner, R.;1;2019
Tucto, K.Y.;Guerra, J.A.;1;2019
Tucto, K.Y.;Grieseler, R.;1;2019
Tucto, K.Y.;Weingärtner, R.;1;2019
Guerra, J.A.;Grieseler, R.;1;2019
Guerra, J.A.;Weingärtner, R.;1;2019
Grieseler, R.;Weingärtner, R.;1;2019
Delgado, A.;Reyes, H.;1;2019
Delgado, A.;Romero, I.;1;2019
Delgado, A.;Mancilla, C.C.;1;2019
Reyes, H.;Romero, I.;1;2019
Reyes, H.;Mancilla, C.C.;1;2019
Romero, I.;Mancilla, C.C.;1;2019
Achanccaray, D.;Chau, J.M.;1;2019
Achanccaray, D.;Pirca, J.;2;2018
Achanccaray, D.;Sepulveda, F.;1;2019
Achanccaray, D.;Hayashibe, M.;3;2018
Chau, J.M.;Pirca, J.;1;2019
Chau, J.M.;Sepulveda, F.;1;2019
Chau, J.M.;Hayashibe, M.;1;2019
Pirca, J.;Sepulveda, F.;1;2019
Pirca, J.;Hayashibe, M.;2;2018
Sepulveda, F.;Hayashibe, M.;1;2019
Villegas, B.;Flores, K.M.;1;2019
Villegas, B.;Pacheco-Barrios, K.;1;2019
Villegas, B.;Elias, D.;2;2017
Flores, K.M.;Pacheco-Barrios, K.;1;2019
Flores, K.M.;Elias, D.;2;2019
Pacheco-Barrios, K.;Elias, D.;1;2019
Abarca, V.E.;Flores, K.M.;1;2019
Abarca, V.E.;Elias, D.;1;2019
Quesada, J.;Silva, G.;3;2017
Quesada, J.;Rodriguez, P.;4;2016
Quesada, J.;Wohlberg, B.;3;2017
Silva, G.;Rodriguez, P.;5;2016
Silva, G.;Wohlberg, B.;2;2017
Rodriguez, P.;Wohlberg, B.;7;2015
Cárdenas, R.J.;Beltrán, C.A.;1;2019
Cárdenas, R.J.;Gutiérrez, J.C.;1;2019
Beltrán, C.A.;Gutiérrez, J.C.;1;2019
Dias, G.P.;Bruzza, M.;1;2019
Dias, G.P.;Tupia, M.;2;2019
Chaudhry, H.;Raffo, M.;1;2019
Chaudhry, H.;Silva-Cardenas, C.;1;2019
Chaudhry, H.;Villegas, C.;1;2019
Raffo, M.;Silva-Cardenas, C.;1;2019
Raffo, M.;Villegas, C.;1;2019
Silva-Cardenas, C.;Villegas, C.;1;2019
Silva-Cardenas, C.;Rodriguez-Vazquez, A.;1;2019
Bejar, E.;Moran, A.;3;2018
Zeller, C.B.;Cabral, C.R.B.;1;2019
Zeller, C.B.;Lachos, V.H.;1;2019
Zeller, C.B.;Benites, L.;1;2019
Cabral, C.R.B.;Lachos, V.H.;1;2019
Cabral, C.R.B.;Benites, L.;1;2019
Lachos, V.H.;Benites, L.;1;2019
Ortiz, E.S.;Lobos, G.;1;2019
Ortiz, E.S.;Guevara, D.;1;2019
Lobos, G.;Guevara, D.;1;2019
Velez, C.I.;Afcha, S.M.;1;2019
Velez, C.I.;Bustamante, M.A.;1;2019
Afcha, S.M.;Bustamante, M.A.;1;2019
Cáceres, S.V.;Pow-Sang, J.A.;1;2019
Arrasco, C.;Khlebnikov, S.;1;2019
Arrasco, C.;Oncevay, A.;1;2019
Arrasco, C.;Castanon, C.B.;1;2019
Khlebnikov, S.;Oncevay, A.;1;2019
Khlebnikov, S.;Castanon, C.B.;1;2019
Oncevay, A.;Castanon, C.B.;1;2019
Medina-Rodriguez, R.;Castanon, C.B.;1;2019
Medina-Rodriguez, R.;Hashimoto, R.F.;1;2019
Castanon, C.B.;Hashimoto, R.F.;1;2019
Scharff, M.;Rivera Campos, R.A.;1;2019
Scharff, M.;Merker, L.;2;2018
Scharff, M.;Behn, C.;2;2018
Scharff, M.;Zimmermann, K.;2;2018
