Source;Target;Weight;Year
Aguirre-Ramos, H.;Avina-Cervantes, J.G.;1;2019
Aguirre-Ramos, H.;Ilunga-Mbuyamba, E.;1;2019
Aguirre-Ramos, H.;Cruz-Aceves, I.;1;2019
Aguirre-Ramos, H.;Gallegos-Arellano, E.;1;2019
Avina-Cervantes, J.G.;Ilunga-Mbuyamba, E.;1;2019
Avina-Cervantes, J.G.;Cruz-Aceves, I.;1;2019
Avina-Cervantes, J.G.;Gallegos-Arellano, E.;1;2019
Ilunga-Mbuyamba, E.;Cruz-Aceves, I.;1;2019
Ilunga-Mbuyamba, E.;Gallegos-Arellano, E.;1;2019
Cruz-Aceves, I.;Gallegos-Arellano, E.;1;2019
EL-Latif, A.A.A.;Abd-El-Atty, B.;1;2019
EL-Latif, A.A.A.;Venegas-Andraca, S.E.;1;2019
EL-Latif, A.A.A.;Mazurczyk, W.;1;2019
Abd-El-Atty, B.;Venegas-Andraca, S.E.;2;2019
Abd-El-Atty, B.;Mazurczyk, W.;1;2019
Venegas-Andraca, S.E.;Mazurczyk, W.;1;2019
Rodríguez-Ruiz, J.;Medina-Pérez, M.A.;1;2019
Rodríguez-Ruiz, J.;Monroy, R.;1;2019
Rodríguez-Ruiz, J.;Loyola-González, O.;1;2019
Medina-Pérez, M.A.;Monroy, R.;12;2016
Medina-Pérez, M.A.;Loyola-González, O.;7;2016
Monroy, R.;Loyola-González, O.;5;2017
Cervantes, B.;Gómez, F.;1;2019
Cervantes, B.;Monroy, R.;3;2018
Cervantes, B.;Medina-Pérez, M.A.;3;2018
Cervantes, B.;Ramírez-Márquez, J.;1;2019
Gómez, F.;Monroy, R.;1;2019
Gómez, F.;Medina-Pérez, M.A.;1;2019
Gómez, F.;Ramírez-Márquez, J.;1;2019
Monroy, R.;Ramírez-Márquez, J.;1;2019
Medina-Pérez, M.A.;Ramírez-Márquez, J.;1;2019
Munõz-Ibañez, C.;Alfaro-Ponce, M.;1;2019
Munõz-Ibañez, C.;Chairez, I.;1;2019
Alfaro-Ponce, M.;Chairez, I.;2;2019
Yungaicela-Naula, N.;Garza-Castañon, L.E.;1;2019
Yungaicela-Naula, N.;Zhang, Y.;1;2019
Yungaicela-Naula, N.;Minchala-Avila, L.I.;1;2019
Garza-Castañon, L.E.;Zhang, Y.;1;2019
Garza-Castañon, L.E.;Minchala-Avila, L.I.;1;2019
Zhang, Y.;Minchala-Avila, L.I.;3;2015
Abd-El-Atty, B.;Abd El-Latif, A.A.;1;2019
Abd El-Latif, A.A.;Venegas-Andraca, S.E.;1;2019
Ong, S.-B.;Kwek, X.-Y.;1;2019
Ong, S.-B.;Katwadi, K.;1;2019
Ong, S.-B.;Cabrera-Fuentes, H.A.;1;2019
Ong, S.-B.;Hausenloy, D.J.;1;2019
Kwek, X.-Y.;Katwadi, K.;1;2019
Kwek, X.-Y.;Cabrera-Fuentes, H.A.;1;2019
Kwek, X.-Y.;Hausenloy, D.J.;1;2019
Katwadi, K.;Cabrera-Fuentes, H.A.;1;2019
Katwadi, K.;Hausenloy, D.J.;1;2019
Cabrera-Fuentes, H.A.;Hausenloy, D.J.;2;2019
Camposeco-Negrete, C.;de Dios Calderón-Nájera, J.;2;2019
del Castillo, R.M.;Miralrio, A.;1;2019
del Castillo, R.M.;Rios, C.;1;2019
del Castillo, R.M.;Salcedo, R.;1;2019
Miralrio, A.;Rios, C.;1;2019
Miralrio, A.;Salcedo, R.;1;2019
Rios, C.;Salcedo, R.;1;2019
Rojas-López, A.;Rincón-Flores, E.G.;2;2018
Rojas-López, A.;Mena, J.;1;2019
Rojas-López, A.;García-Peñalvo, F.J.;1;2019
Rojas-López, A.;Ramírez-Montoya, M.S.;1;2019
Rincón-Flores, E.G.;Mena, J.;1;2019
Rincón-Flores, E.G.;García-Peñalvo, F.J.;1;2019
Rincón-Flores, E.G.;Ramírez-Montoya, M.S.;1;2019
Mena, J.;García-Peñalvo, F.J.;1;2019
Mena, J.;Ramírez-Montoya, M.S.;2;2019
García-Peñalvo, F.J.;Ramírez-Montoya, M.S.;8;2016
Desirena-López, G.;Ramírez-Treviño, A.;2;2016
Desirena-López, G.;Briz, J.L.;2;2016
Desirena-López, G.;Vázquez, C.R.;2;2016
Desirena-López, G.;Gómez-Gutiérrez, D.;2;2016
Ramírez-Treviño, A.;Briz, J.L.;2;2016
Ramírez-Treviño, A.;Vázquez, C.R.;3;2016
Ramírez-Treviño, A.;Gómez-Gutiérrez, D.;2;2016
Briz, J.L.;Vázquez, C.R.;2;2016
Briz, J.L.;Gómez-Gutiérrez, D.;2;2016
Vázquez, C.R.;Gómez-Gutiérrez, D.;5;2015
Curiel-Ramirez, L.A.;Izquierdo-Reyes, J.;3;2018
Curiel-Ramirez, L.A.;Bustamante-Bello, M.R.;1;2019
Curiel-Ramirez, L.A.;Ramirez-Mendoza, R.A.;3;2018
Curiel-Ramirez, L.A.;Garcia-Barba, A.;1;2019
Izquierdo-Reyes, J.;Bustamante-Bello, M.R.;3;2018
Izquierdo-Reyes, J.;Ramirez-Mendoza, R.A.;3;2018
Izquierdo-Reyes, J.;Garcia-Barba, A.;1;2019
Bustamante-Bello, M.R.;Ramirez-Mendoza, R.A.;1;2019
Bustamante-Bello, M.R.;Garcia-Barba, A.;1;2019
Ramirez-Mendoza, R.A.;Garcia-Barba, A.;1;2019
Castañeda, H.;Gordillo, J.L.;2;2019
Rosales, A.;Ibarra, L.;3;2017
Rosales, A.;Ponce, P.;5;2017
Rosales, A.;Molina, A.;5;2017
Ibarra, L.;Ponce, P.;5;2015
Ibarra, L.;Molina, A.;5;2015
Ponce, P.;Molina, A.;28;2015
Camiña, J.B.;Medina-Pérez, M.A.;4;2016
Camiña, J.B.;Monroy, R.;3;2016
