Source;Target;Weight;Year
Lombardi, L.E.;Martí, M.A.;1;2016
Lombardi, L.E.;Capece, L.;1;2016
Martí, M.A.;Capece, L.;1;2016
Clua, O.;Feldgen, M.;2;2015
Frank, G.A.;Dorso, C.O.;1;2016
Robiolo, G.;Pasquini, R.;1;2017
Robiolo, G.;Isoldi, J.;1;2017
Robiolo, G.;Dams, C.;1;2017
Robiolo, G.;Sarria, V.;1;2017
Pasquini, R.;Isoldi, J.;1;2017
Pasquini, R.;Dams, C.;1;2017
Pasquini, R.;Sarria, V.;1;2017
Isoldi, J.;Dams, C.;1;2017
Isoldi, J.;Sarria, V.;1;2017
Dams, C.;Sarria, V.;1;2017
Levitan, R.;Beňuš, Š.;1;2016
Levitan, R.;Gálvez, R.H.;1;2016
Levitan, R.;Weise, A.;1;2016
Levitan, R.;Hirschberg, J.;1;2016
Beňuš, Š.;Gálvez, R.H.;1;2016
Beňuš, Š.;Weise, A.;1;2016
Beňuš, Š.;Hirschberg, J.;1;2016
Gálvez, R.H.;Weise, A.;1;2016
Gálvez, R.H.;Hirschberg, J.;1;2016
Weise, A.;Hirschberg, J.;1;2016
Cabrelli, C.;Molter, U.;2;2015
Cabrelli, C.;Paternostro, V.;1;2017
Cabrelli, C.;Philipp, F.;1;2017
Molter, U.;Paternostro, V.;1;2017
Molter, U.;Philipp, F.;1;2017
Paternostro, V.;Philipp, F.;2;2015
Bondar, C.;Ormazabal, M.;1;2017
Bondar, C.;Crivaro, A.;1;2017
Bondar, C.;Rozenfeld, P.A.;1;2017
Bondar, C.;Mucci, J.M.;1;2017
Ormazabal, M.;Crivaro, A.;1;2017
Ormazabal, M.;Rozenfeld, P.A.;1;2017
Ormazabal, M.;Mucci, J.M.;1;2017
Crivaro, A.;Rozenfeld, P.A.;1;2017
Crivaro, A.;Mucci, J.M.;1;2017
Rozenfeld, P.A.;Mucci, J.M.;1;2017
Romano, S.A.;Pérez-Schuster, V.;1;2017
Romano, S.A.;Jouary, A.;1;2017
Romano, S.A.;Pietri, T.;1;2017
Romano, S.A.;Sumbre, G.;1;2017
Pérez-Schuster, V.;Jouary, A.;1;2017
Pérez-Schuster, V.;Pietri, T.;1;2017
Pérez-Schuster, V.;Sumbre, G.;1;2017
Jouary, A.;Pietri, T.;1;2017
Jouary, A.;Sumbre, G.;1;2017
Pietri, T.;Sumbre, G.;1;2017
Iglesias, M.A.;Barraza, N.R.;1;2017
Verghelet, P.;Mocskos, E.;1;2017
Castro, R.;Kofman, E.;1;2015
Garbervetsky, D.;Zoppi, E.;1;2017
Garbervetsky, D.;Livshits, B.;1;2017
Zoppi, E.;Livshits, B.;1;2017
González, N.;Calot, E.P.;1;2015
Rukavina, A.;Landoni, M.;1;2015
Rukavina, A.;Verasay, P.;1;2015
Rukavina, A.;Traverso, M.L.;1;2015
