Source;Target;Weight;Year
Loreiro, M.;Britez, S.;1;2019
Loreiro, M.;Casco, S.;1;2019
Loreiro, M.;Pons, J.L.;1;2019
Loreiro, M.;Brunetti, F.;1;2019
Britez, S.;Casco, S.;1;2019
Britez, S.;Pons, J.L.;1;2019
Britez, S.;Brunetti, F.;1;2019
Casco, S.;Pons, J.L.;1;2019
Casco, S.;Brunetti, F.;1;2019
Pons, J.L.;Brunetti, F.;4;2017
Sandoval, V.;Ritter, J.;1;2019
Sandoval, V.;Cantero, N.;1;2019
Sandoval, V.;Caceres, M.;1;2019
Sandoval, V.;Fillipini, R.;1;2019
Ritter, J.;Cantero, N.;1;2019
Ritter, J.;Caceres, M.;1;2019
Ritter, J.;Fillipini, R.;1;2019
Cantero, N.;Caceres, M.;1;2019
Cantero, N.;Fillipini, R.;1;2019
Caceres, M.;Fillipini, R.;1;2019
Arteta, R.;Saldivar, J.;2;2018
Arteta, R.;Parra, C.;2;2018
Arteta, R.;Cernuzzi, L.;2;2018
Saldivar, J.;Parra, C.;2;2018
Saldivar, J.;Cernuzzi, L.;2;2018
Parra, C.;Cernuzzi, L.;2;2018
Resquín, F.;Ibáñez, J.;1;2019
Resquín, F.;Herrero, O.;2;2017
Resquín, F.;Brunetti, F.;3;2017
Resquín, F.;Pons, J.L.;3;2017
Ibáñez, J.;Herrero, O.;1;2019
Ibáñez, J.;Brunetti, F.;1;2019
Ibáñez, J.;Pons, J.L.;1;2019
Herrero, O.;Brunetti, F.;2;2017
Herrero, O.;Pons, J.L.;2;2017
Saldivar, J.;Alcaraz, M.;1;2018
Parra, C.;Alcaraz, M.;1;2018
Alcaraz, M.;Arteta, R.;1;2018
Alcaraz, M.;Cernuzzi, L.;1;2018
Riquelme, L.;Gonzalez, M.;1;2018
Riquelme, L.;Aquino, N.;1;2018
Riquelme, L.;Cernuzzi, L.;1;2018
Gonzalez, M.;Aquino, N.;3;2017
Gonzalez, M.;Cernuzzi, L.;3;2017
Aquino, N.;Cernuzzi, L.;7;2016
Sanchiz, E.;González, M.;1;2018
Sanchiz, E.;Aquino, N.;2;2017
Sanchiz, E.;Cernuzzi, L.;2;2017
González, M.;Aquino, N.;3;2016
González, M.;Cernuzzi, L.;5;2015
Aquino, N.;Pastor, O.;1;2018
Cernuzzi, L.;Pastor, O.;2;2016
Martínez-Sugastti, J.;Stuardo, F.;1;2017
Martínez-Sugastti, J.;González, V.;1;2017
Stuardo, F.;González, V.;1;2017
Nuñez, G.;González, M.;1;2017
Nuñez, G.;Aquino, N.;1;2017
Nuñez, G.;Cernuzzi, L.;1;2017
Torres, M.;Caceres, J.J.;1;2017
Torres, M.;Jimenez, R.;1;2017
Torres, M.;Baran, B.;2;2015
Torres, M.;Paccanaro, A.;1;2017
Caceres, J.J.;Jimenez, R.;1;2017
Caceres, J.J.;Baran, B.;1;2017
Caceres, J.J.;Paccanaro, A.;1;2017
Jimenez, R.;Baran, B.;1;2017
Jimenez, R.;Paccanaro, A.;1;2017
Baran, B.;Paccanaro, A.;1;2017
Resquín, F.;Ibañez, J.;2;2017
Herrero, O.;Ibañez, J.;1;2017
Ibañez, J.;Brunetti, F.;2;2017
Ibañez, J.;Pons, J.L.;2;2017
Ruffinelli, D.;Barán, B.;1;2017
Galeano, I.;Casariego, J.;1;2017
Galeano, I.;Merln, M.;1;2017
Galeano, I.;Gonzalez, M.;1;2017
Casariego, J.;Merln, M.;1;2017
Casariego, J.;Gonzalez, M.;1;2017
Merln, M.;Gonzalez, M.;1;2017
Sanchiz, E.;Gonzalez, M.;1;2017
Bonhaure, D.;Gonzalez, M.;1;2017
Bonhaure, D.;Aquino, N.;1;2017
Bonhaure, D.;Cernuzzi, L.;1;2017
Bonhaure, D.;Pons, C.;1;2017
Gonzalez, M.;Pons, C.;1;2017
Aquino, N.;Pons, C.;1;2017
Cernuzzi, L.;Pons, C.;1;2017
Baran, B.;Ruffinelli, D.;1;2017
Centurion, A.A.;Inchaustti, W.;1;2017
Ortigoza, J.;Lopez-Pires, F.;2;2016
Ortigoza, J.;Baran, B.;2;2016
Lopez-Pires, F.;Baran, B.;2;2016
Grau, I.;Cernuzzi, L.;1;2017
Grau, I.;Villafiorita, A.;1;2017
Cernuzzi, L.;Villafiorita, A.;1;2017
Fernández, H.;Mercado, G.;1;2017
Fernández, H.;González, V.;1;2017
Fernández, H.;Bunetti, F.;1;2017
Mercado, G.;González, V.;1;2017
Mercado, G.;Bunetti, F.;1;2017
González, V.;Bunetti, F.;1;2017
Resquín, F.;González-Vargas, J.;1;2017
González-Vargas, J.;Ibañez, J.;1;2017
González-Vargas, J.;Brunetti, F.;1;2017
González-Vargas, J.;Pons, J.L.;1;2017
Resquin, F.;Ibanez, J.;1;2016
Resquin, F.;Gonzalez-Vargas, J.;1;2016
Resquin, F.;Torres, L.;1;2016
Resquin, F.;Pons, J.L.;1;2016
Ibanez, J.;Gonzalez-Vargas, J.;1;2016
Ibanez, J.;Torres, L.;1;2016
Ibanez, J.;Pons, J.L.;1;2016
Gonzalez-Vargas, J.;Torres, L.;1;2016
Gonzalez-Vargas, J.;Pons, J.L.;1;2016
Torres, L.;Pons, J.L.;1;2016
Ibarra, F.;Korovina, O.;1;2016
Ibarra, F.;Báez, M.;1;2016
Ibarra, F.;Cernuzzi, L.;1;2016
Ibarra, F.;Barysheva, G.A.;1;2016
Korovina, O.;Báez, M.;1;2016
Korovina, O.;Cernuzzi, L.;1;2016
Korovina, O.;Barysheva, G.A.;1;2016
Báez, M.;Cernuzzi, L.;1;2016
Báez, M.;Barysheva, G.A.;1;2016
Cernuzzi, L.;Barysheva, G.A.;1;2016
López, I.;González, M.;1;2016
López, I.;Aquino, N.;1;2016
López, I.;Cernuzzi, L.;1;2016
González, M.;Pastor, O.;1;2016
Hume, A.;Giunchiglia, F.;1;2015
Hume, A.;Cemuzzi, L.;1;2015
Giunchiglia, F.;Cemuzzi, L.;1;2015
Chenu-Abente, R.;Giunchiglia, F.;1;2015
Chenu-Abente, R.;Cernuzzi, L.;1;2015
Giunchiglia, F.;Cernuzzi, L.;1;2015
Cajes, V.;González, M.;1;2015
Cajes, V.;Cernuzzi, L.;1;2015
