Source;Target;Weight;Year
Gamess, E.;Garroz, J.;1;2019
Verma, V.K.;Ntalianis, K.;1;2019
Verma, V.K.;Moreno, C.M.;1;2019
Verma, V.K.;Yang, C.-T.;1;2019
Ntalianis, K.;Moreno, C.M.;1;2019
Ntalianis, K.;Yang, C.-T.;1;2019
Moreno, C.M.;Yang, C.-T.;1;2019
Derras, M.;Deruelle, L.;2;2018
Derras, M.;Douin, J.M.;1;2019
Derras, M.;Pollet, Y.;1;2019
Derras, M.;Reiner, V.;1;2019
Deruelle, L.;Douin, J.M.;1;2019
Deruelle, L.;Pollet, Y.;1;2019
Deruelle, L.;Reiner, V.;1;2019
Douin, J.M.;Pollet, Y.;1;2019
Douin, J.M.;Reiner, V.;1;2019
Pollet, Y.;Reiner, V.;1;2019
Aguirre-Munizaga, M.;Lagos-Ortiz, K.;1;2019
Aguirre-Munizaga, M.;Vergara-Lozano, V.;2;2018
Aguirre-Munizaga, M.;Sinche-Guzmán, A.;2;2018
Aguirre-Munizaga, M.;Hernández-Rosas, J.;2;2018
Lagos-Ortiz, K.;Vergara-Lozano, V.;1;2019
Lagos-Ortiz, K.;Sinche-Guzmán, A.;1;2019
Lagos-Ortiz, K.;Hernández-Rosas, J.;1;2019
Vergara-Lozano, V.;Sinche-Guzmán, A.;2;2018
Vergara-Lozano, V.;Hernández-Rosas, J.;2;2018
Sinche-Guzmán, A.;Hernández-Rosas, J.;2;2018
Rojas, O.;Otero, B.;1;2019
Rojas, O.;Alvarado, L.;1;2019
Rojas, O.;Mus, S.;1;2019
Rojas, O.;Tous, R.;1;2019
Otero, B.;Alvarado, L.;1;2019
Otero, B.;Mus, S.;1;2019
Otero, B.;Tous, R.;1;2019
Alvarado, L.;Mus, S.;1;2019
Alvarado, L.;Tous, R.;1;2019
Mus, S.;Tous, R.;1;2019
Derras, M.;Levy, N.;1;2018
Derras, M.;Losavio, F.;1;2018
Deruelle, L.;Levy, N.;1;2018
Deruelle, L.;Losavio, F.;1;2018
Levy, N.;Losavio, F.;1;2018
Garcia, P.;Dominguez, X.;1;2018
Garcia, P.;Chiza, D.;1;2018
Garcia, P.;Restrepo, J.;1;2018
Dominguez, X.;Chiza, D.;1;2018
Dominguez, X.;Restrepo, J.;1;2018
Chiza, D.;Restrepo, J.;1;2018
Ramirez, H.L.N.;Kassar, G.G.C.;1;2018
Ramirez, H.L.N.;Maestre, F.C.B.;1;2018
Ramirez, H.L.N.;Avendano, L.A.S.;1;2018
Ramirez, H.L.N.;Toro, C.G.;1;2018
Kassar, G.G.C.;Maestre, F.C.B.;1;2018
Kassar, G.G.C.;Avendano, L.A.S.;1;2018
Kassar, G.G.C.;Toro, C.G.;1;2018
Maestre, F.C.B.;Avendano, L.A.S.;1;2018
Maestre, F.C.B.;Toro, C.G.;1;2018
Avendano, L.A.S.;Toro, C.G.;1;2018
Fernandes, K.;Cardoso, J.S.;4;2015
Fernandes, K.;Fernandes, J.;4;2015
Cardoso, J.S.;Fernandes, J.;4;2015
Fernandes, K.;Chicco, D.;1;2018
Chicco, D.;Cardoso, J.S.;1;2018
Chicco, D.;Fernandes, J.;1;2018
Barroso, R.H.;Malpica, W.N.;1;2018
Francisco, S.J.;Rina, S.;1;2018
Villegas, O.;Castillo, J.;1;2018
Martin, A.;Gamess, E.;1;2018
Martin, A.;Urribarri, D.;1;2018
Martin, A.;Gómez, J.;1;2018
Gamess, E.;Urribarri, D.;1;2018
Gamess, E.;Gómez, J.;1;2018
Urribarri, D.;Gómez, J.;1;2018
Andrade, L.;Quintero, J.;1;2018
Andrade, L.;Gamess, E.;1;2018
Andrade, L.;Russoniello, A.;1;2018
Quintero, J.;Gamess, E.;1;2018
Quintero, J.;Russoniello, A.;1;2018
Gamess, E.;Russoniello, A.;1;2018
Ferreira, M.;Piscitelli, V.;2;2016
Aguirre-Munizaga, M.;Vásquez-Bermudez, M.;1;2018
Vergara-Lozano, V.;Vásquez-Bermudez, M.;1;2018
Sinche-Guzmán, A.;Vásquez-Bermudez, M.;1;2018
Vásquez-Bermudez, M.;Hernández-Rosas, J.;1;2018
Zapata, H.;Dimuro, G.P.;1;2018
Zapata, H.;Fernández, J.;1;2018
Zapata, H.;Bustince, H.;2;2017
Dimuro, G.P.;Fernández, J.;1;2018
Dimuro, G.P.;Bustince, H.;1;2018
Fernández, J.;Bustince, H.;1;2018
Bezeira, A.M.;Villapol, M.;1;2017
Bezeira, A.M.;Scalise, E.;1;2017
Bezeira, A.M.;Naranjo, C.;1;2017
Bezeira, A.M.;Alvarez, F.;1;2017
Villapol, M.;Scalise, E.;1;2017
Villapol, M.;Naranjo, C.;1;2017
Villapol, M.;Alvarez, F.;1;2017
Scalise, E.;Naranjo, C.;1;2017
Scalise, E.;Alvarez, F.;1;2017
Naranjo, C.;Alvarez, F.;1;2017
Perez, D.;Astor, M.A.;1;2017
Perez, D.;Abreu, D.P.;1;2017
Perez, D.;Scalise, E.;1;2017
Astor, M.A.;Abreu, D.P.;1;2017
Astor, M.A.;Scalise, E.;1;2017
Abreu, D.P.;Scalise, E.;1;2017
Gonzalez-Abril, L.;Angulo, C.;1;2017
Gonzalez-Abril, L.;Nuñez, H.;1;2017
Gonzalez-Abril, L.;Leal, Y.;1;2017
Angulo, C.;Nuñez, H.;1;2017
Angulo, C.;Leal, Y.;1;2017
Nuñez, H.;Leal, Y.;1;2017
Sprock, A.S.;Gallegos, J.P.;1;2017
Sprock, A.S.;Vicari, R.M.;3;2016
Gallegos, J.P.;Vicari, R.M.;1;2017
Sprock, A.S.;Rincón, M.R.;1;2017
Sprock, A.S.;Maldonado, J.;1;2017
Sprock, A.S.;Toscano, A.;1;2017
Vicari, R.M.;Rincón, M.R.;1;2017
Vicari, R.M.;Maldonado, J.;1;2017
Vicari, R.M.;Toscano, A.;1;2017
Rincón, M.R.;Maldonado, J.;1;2017
Rincón, M.R.;Toscano, A.;1;2017
Maldonado, J.;Toscano, A.;1;2017
Martínez-De Dios, J.R.;Ollero, A.;1;2017
Martínez-De Dios, J.R.;Fernández, F.J.;1;2017
Martínez-De Dios, J.R.;Regoli, C.;1;2017
Ollero, A.;Fernández, F.J.;1;2017
Ollero, A.;Regoli, C.;1;2017
Fernández, F.J.;Regoli, C.;1;2017
Zapata, H.;Montes, S.;1;2017
Zapata, H.;Baczyński, M.;1;2017
Zapata, H.;Fernandez, J.;1;2017
Bustince, H.;Montes, S.;1;2017
Bustince, H.;Baczyński, M.;1;2017
Bustince, H.;Fernandez, J.;1;2017
Montes, S.;Baczyński, M.;1;2017
Montes, S.;Fernandez, J.;1;2017
Baczyński, M.;Fernandez, J.;1;2017
Mijares, H.;Marize, D.;1;2017
Mijares, H.;Bonillo, R.;1;2017
Mijares, H.;Pedro, N.;1;2017
