Source;Target;Weight;Year
Alarcón, A.G.;Germán, A.;1;2018
Alarcón, A.G.;Aleksinkó, A.;1;2018
Alarcón, A.G.;Scavuzzo, C.M.;1;2018
Alarcón, A.G.;Ferral, A.;1;2018
Germán, A.;Aleksinkó, A.;1;2018
Germán, A.;Scavuzzo, C.M.;1;2018
Germán, A.;Ferral, A.;1;2018
Aleksinkó, A.;Scavuzzo, C.M.;1;2018
Aleksinkó, A.;Ferral, A.;1;2018
Scavuzzo, C.M.;Ferral, A.;1;2018
Morales, I.;Neves, B.;1;2018
Morales, I.;Oporto, Z.;1;2018
Morales, I.;Piguet, O.;1;2018
Neves, B.;Oporto, Z.;1;2018
Neves, B.;Piguet, O.;1;2018
Oporto, Z.;Piguet, O.;1;2018
Ramírez-Ávila, G.M.;Kurths, J.;1;2018
Ramírez-Ávila, G.M.;Deneubourg, J.L.;1;2018
Kurths, J.;Deneubourg, J.L.;1;2018
Dolz, F.C.;Mosquera, X.D.;1;2017
Dolz, F.C.;Pacheco, D.D.;1;2017
Mosquera, X.D.;Pacheco, D.D.;1;2017
Ruiz-Verd, A.;Jiménez, J.C.;1;2016
Ruiz-Verd, A.;Lazzaro, X.;1;2016
Ruiz-Verd, A.;Sobrino, J.A.;1;2016
Ruiz-Verd, A.;Moreno, J.;1;2016
Jiménez, J.C.;Lazzaro, X.;1;2016
Jiménez, J.C.;Sobrino, J.A.;1;2016
Jiménez, J.C.;Moreno, J.;1;2016
Lazzaro, X.;Sobrino, J.A.;1;2016
Lazzaro, X.;Moreno, J.;1;2016
Sobrino, J.A.;Moreno, J.;1;2016
Satge, F.;Denezine, M.;1;2016
Satge, F.;Pillco, R.;1;2016
Satge, F.;Seyler, F.;1;2016
Satge, F.;Bonnet, M.-P.;1;2016
Denezine, M.;Pillco, R.;1;2016
Denezine, M.;Seyler, F.;1;2016
Denezine, M.;Bonnet, M.-P.;1;2016
Pillco, R.;Seyler, F.;1;2016
Pillco, R.;Bonnet, M.-P.;1;2016
Seyler, F.;Bonnet, M.-P.;1;2016
Dolz, F.C.;Cuarita, L.G.;1;2016
Dolz, F.C.;Tovar, E.;1;2016
Cuarita, L.G.;Tovar, E.;1;2016
Chalco-Cano, Y.;Lodwick, W.A.;1;2015
Chalco-Cano, Y.;Condori-Equice, W.;1;2015
Lodwick, W.A.;Condori-Equice, W.;1;2015
