Source;Target;Weight;Year
Granados, I.;Calò, M.;1;2019
Granados, I.;Ramos, V.;1;2019
Calò, M.;Ramos, V.;1;2019
Fuentes-Pineda, G.;Meza-Ruiz, I.V.;1;2019
Vega Magdaleno, G.D.;Alanís García, A.Y.;1;2019
Vega Magdaleno, G.D.;Hernandez-Vargas, E.A.;1;2019
Alanís García, A.Y.;Hernandez-Vargas, E.A.;1;2019
de Anda-Jáuregui, G.;Alcalá-Corona, S.A.;2;2018
de Anda-Jáuregui, G.;Espinal-Enríquez, J.;1;2019
de Anda-Jáuregui, G.;Hernández-Lemus, E.;2;2018
Alcalá-Corona, S.A.;Espinal-Enríquez, J.;2;2015
Alcalá-Corona, S.A.;Hernández-Lemus, E.;2;2018
Espinal-Enríquez, J.;Hernández-Lemus, E.;1;2019
Torres, L.;Suárez-Serrato, P.;1;2019
Torres, L.;Eliassi-Rad, T.;1;2019
Suárez-Serrato, P.;Eliassi-Rad, T.;1;2019
Macías-Díaz, J.E.;Hendy, A.S.;1;2019
Arana, O.;Garcia, F.;2;2018
Arana, O.;Gomez, J.;2;2018
Garcia, F.;Gomez, J.;3;2017
Valencia-Ortega, M.;Fuentes-Azcatl, R.;1;2019
Valencia-Ortega, M.;Dominguez, H.;1;2019
Fuentes-Azcatl, R.;Dominguez, H.;1;2019
Ruderman, M.;Fridman, L.;1;2019
Ruderman, M.;Pasolli, P.;1;2019
Fridman, L.;Pasolli, P.;1;2019
Fernández-Escamilla, H.N.;Quijano-Briones, J.J.;1;2019
Fernández-Escamilla, H.N.;Guerrero-Sánchez, J.;1;2019
Fernández-Escamilla, H.N.;Martínez-Guerra, E.;1;2019
Fernández-Escamilla, H.N.;Takeuchi, N.;1;2019
Quijano-Briones, J.J.;Guerrero-Sánchez, J.;1;2019
Quijano-Briones, J.J.;Martínez-Guerra, E.;1;2019
Quijano-Briones, J.J.;Takeuchi, N.;1;2019
Guerrero-Sánchez, J.;Martínez-Guerra, E.;1;2019
Guerrero-Sánchez, J.;Takeuchi, N.;4;2015
Martínez-Guerra, E.;Takeuchi, N.;1;2019
Bornacelli, J.;Torres-Torres, C.;1;2019
Bornacelli, J.;Can-Uc, B.;1;2019
Bornacelli, J.;Cheang-Wong, J.C.;1;2019
Bornacelli, J.;Oliver, A.;1;2019
Torres-Torres, C.;Can-Uc, B.;1;2019
Torres-Torres, C.;Cheang-Wong, J.C.;1;2019
Torres-Torres, C.;Oliver, A.;1;2019
Can-Uc, B.;Cheang-Wong, J.C.;1;2019
Can-Uc, B.;Oliver, A.;1;2019
Cheang-Wong, J.C.;Oliver, A.;1;2019
Estrada, F.;Tol, R.S.J.;3;2015
Estrada, F.;Botzen, W.J.W.;1;2019
Tol, R.S.J.;Botzen, W.J.W.;1;2019
Rodríguez-Liñán, G.M.;Heinen, M.;1;2019
Naveja, J.J.;Pilón-Jiménez, B.A.;1;2019
Naveja, J.J.;Bajorath, J.;2;2019
Naveja, J.J.;Medina-Franco, J.L.;4;2016
Pilón-Jiménez, B.A.;Bajorath, J.;1;2019
Pilón-Jiménez, B.A.;Medina-Franco, J.L.;1;2019
Bajorath, J.;Medina-Franco, J.L.;2;2019
Vega-Bautista, A.;de la Garza, M.;1;2019
Vega-Bautista, A.;Carrero, J.C.;1;2019
Vega-Bautista, A.;Godínez-Victoria, M.;1;2019
Vega-Bautista, A.;Drago-Serrano, M.E.;1;2019
de la Garza, M.;Carrero, J.C.;1;2019
de la Garza, M.;Godínez-Victoria, M.;1;2019
de la Garza, M.;Drago-Serrano, M.E.;1;2019
Carrero, J.C.;Godínez-Victoria, M.;1;2019
Carrero, J.C.;Drago-Serrano, M.E.;2;2017
Godínez-Victoria, M.;Drago-Serrano, M.E.;1;2019
Lopez-Rincon, A.;Martinez-Archundia, M.;1;2019
Lopez-Rincon, A.;Martinez-Ruiz, G.U.;1;2019
Lopez-Rincon, A.;Schoenhuth, A.;1;2019
Lopez-Rincon, A.;Tonda, A.;1;2019
Martinez-Archundia, M.;Martinez-Ruiz, G.U.;1;2019
Martinez-Archundia, M.;Schoenhuth, A.;1;2019
Martinez-Archundia, M.;Tonda, A.;1;2019
Martinez-Ruiz, G.U.;Schoenhuth, A.;1;2019
Martinez-Ruiz, G.U.;Tonda, A.;1;2019
Schoenhuth, A.;Tonda, A.;1;2019
Arroyo-Fernández, I.;Curiel, A.;1;2019
Arroyo-Fernández, I.;Méndez-Cruz, C.-F.;2;2019
Curiel, A.;Méndez-Cruz, C.-F.;1;2019
Martinez-Moreno, C.G.;Epardo, D.;1;2019
Martinez-Moreno, C.G.;Balderas-Márquez, J.E.;1;2019
Martinez-Moreno, C.G.;Harvey, S.;2;2018
Martinez-Moreno, C.G.;Arámburo, C.;1;2019
Epardo, D.;Balderas-Márquez, J.E.;1;2019
Epardo, D.;Harvey, S.;1;2019
Epardo, D.;Arámburo, C.;1;2019
Balderas-Márquez, J.E.;Harvey, S.;1;2019
Balderas-Márquez, J.E.;Arámburo, C.;1;2019
Harvey, S.;Arámburo, C.;2;2018
Hermosillo-Gomez, J.A.;Benitez-Perez, H.;1;2019
Rubio-Acosta, E.;Solano-González, J.;1;2019
Rubio-Acosta, E.;García-Nocetti, D.F.;1;2019
Rubio-Acosta, E.;Fuentes-Cruz, M.;1;2019
Solano-González, J.;García-Nocetti, D.F.;1;2019
Solano-González, J.;Fuentes-Cruz, M.;1;2019
García-Nocetti, D.F.;Fuentes-Cruz, M.;1;2019
Olmedo, E.M.;de la Garza, C.G.V.;1;2019
Olmedo, E.M.;Fomine, S.;1;2019
de la Garza, C.G.V.;Fomine, S.;1;2019
Raggi, M.;Colosi, D.;1;2019
Raggi, M.;Flores, M.;1;2019
Raggi, M.;García-Velázquez, L.M.;1;2019
Raggi, M.;Torres-Miranda, A.;1;2019
Colosi, D.;Flores, M.;1;2019
Colosi, D.;García-Velázquez, L.M.;1;2019
Colosi, D.;Torres-Miranda, A.;1;2019
Flores, M.;García-Velázquez, L.M.;1;2019
Flores, M.;Torres-Miranda, A.;1;2019
García-Velázquez, L.M.;Torres-Miranda, A.;1;2019
Fuentes-García, R.;Mena, R.H.;1;2019
Fuentes-García, R.;Walker, S.G.;1;2019
Mena, R.H.;Walker, S.G.;1;2019
Gurubel, K.J.;Sanchez, E.N.;1;2019
Gurubel, K.J.;Coronado-Mendoza, A.;1;2019
Gurubel, K.J.;Sulbaran-Rangel, B.;1;2019
Gurubel, K.J.;Breton-Deval, L.;1;2019
Sanchez, E.N.;Coronado-Mendoza, A.;1;2019
Sanchez, E.N.;Sulbaran-Rangel, B.;1;2019
Sanchez, E.N.;Breton-Deval, L.;1;2019
Coronado-Mendoza, A.;Sulbaran-Rangel, B.;1;2019
Coronado-Mendoza, A.;Breton-Deval, L.;1;2019
Sulbaran-Rangel, B.;Breton-Deval, L.;1;2019
Zamora-Antuñano, M.A.;Pimentel, P.E.O.;1;2019
Zamora-Antuñano, M.A.;Orozco-Gamboa, G.;1;2019
Zamora-Antuñano, M.A.;Santos, E.R.;1;2019
Zamora-Antuñano, M.A.;Baltazar, A.J.R.;1;2019
Pimentel, P.E.O.;Orozco-Gamboa, G.;1;2019
Pimentel, P.E.O.;Santos, E.R.;1;2019
Pimentel, P.E.O.;Baltazar, A.J.R.;1;2019
Orozco-Gamboa, G.;Santos, E.R.;1;2019
Orozco-Gamboa, G.;Baltazar, A.J.R.;1;2019
Santos, E.R.;Baltazar, A.J.R.;1;2019
Sánchez-Herrero, J.F.;Frías-López, C.;1;2019
Sánchez-Herrero, J.F.;Escuer, P.;1;2019
Sánchez-Herrero, J.F.;Sánchez-Gracia, A.;1;2019
Sánchez-Herrero, J.F.;Rozas, J.;1;2019
Frías-López, C.;Escuer, P.;1;2019
Frías-López, C.;Sánchez-Gracia, A.;1;2019
Frías-López, C.;Rozas, J.;1;2019
Escuer, P.;Sánchez-Gracia, A.;1;2019
Escuer, P.;Rozas, J.;1;2019
Sánchez-Gracia, A.;Rozas, J.;1;2019
Zhang, C.;López-Parra, M.;1;2019
Zhang, C.;Chen, J.;1;2019
Zhang, C.;Tian, L.;1;2019
López-Parra, M.;Chen, J.;1;2019
López-Parra, M.;Tian, L.;1;2019
Chen, J.;Tian, L.;1;2019
del Castillo, R.M.;Miralrio, A.;1;2019
del Castillo, R.M.;Rios, C.;1;2019
del Castillo, R.M.;Salcedo, R.;1;2019
Miralrio, A.;Rios, C.;1;2019
Miralrio, A.;Salcedo, R.;1;2019
Rios, C.;Salcedo, R.;3;2015
Pérez-Zárate, D.;Santoyo, E.;1;2019
Pérez-Zárate, D.;Acevedo-Anicasio, A.;1;2019
Pérez-Zárate, D.;Díaz-González, L.;1;2019
Pérez-Zárate, D.;García-López, C.;1;2019
Santoyo, E.;Acevedo-Anicasio, A.;1;2019
Santoyo, E.;Díaz-González, L.;1;2019
Santoyo, E.;García-López, C.;1;2019
Acevedo-Anicasio, A.;Díaz-González, L.;1;2019
Acevedo-Anicasio, A.;García-López, C.;1;2019
Díaz-González, L.;García-López, C.;1;2019
Pellicer, D.;Potočnik, P.;1;2019
Pellicer, D.;Toledo, M.;1;2019
Potočnik, P.;Toledo, M.;1;2019
Anzaldo Olivares, B.;Moreno, O.P.;1;2019
Anzaldo Olivares, B.;Téllez, G.H.;1;2019
Anzaldo Olivares, B.;Mendoza, A.;1;2019
Anzaldo Olivares, B.;Pérez, R.G.;1;2019
Moreno, O.P.;Téllez, G.H.;1;2019
Moreno, O.P.;Mendoza, A.;1;2019
Moreno, O.P.;Pérez, R.G.;1;2019
Téllez, G.H.;Mendoza, A.;1;2019
Téllez, G.H.;Pérez, R.G.;1;2019
Mendoza, A.;Pérez, R.G.;1;2019
Lopez-Garcia, I.;Espinosa-Perez, G.;1;2019
Lopez-Garcia, I.;Cardenas, V.;1;2019
Espinosa-Perez, G.;Cardenas, V.;1;2019
Salcedo, R.;Fomina, L.;1;2019
Salcedo, R.;Ibarra, J.;1;2019
Rios, C.;Fomina, L.;1;2019
Rios, C.;Ibarra, J.;1;2019
Fomina, L.;Ibarra, J.;1;2019
Cruz-Valderrama, J.E.;Gómez-Maqueo, X.;1;2019
Cruz-Valderrama, J.E.;Salazar-Iribe, A.;1;2019
Cruz-Valderrama, J.E.;Quezada-Rodríguez, E.;1;2019
Cruz-Valderrama, J.E.;Gamboa-Debuen, A.;1;2019
Gómez-Maqueo, X.;Salazar-Iribe, A.;1;2019
Gómez-Maqueo, X.;Quezada-Rodríguez, E.;1;2019
Gómez-Maqueo, X.;Gamboa-Debuen, A.;1;2019
Salazar-Iribe, A.;Quezada-Rodríguez, E.;1;2019
Salazar-Iribe, A.;Gamboa-Debuen, A.;1;2019
Quezada-Rodríguez, E.;Gamboa-Debuen, A.;1;2019
Cruz-Zavala, E.;Moreno, J.A.;4;2018
Sanchez-Lopez, J.D.D.;Murrieta-Rico, F.N.;1;2019
Sanchez-Lopez, J.D.D.;Petranovskii, V.;1;2019
Sanchez-Lopez, J.D.D.;Nieto-Hipolito, J.I.;1;2019
Sanchez-Lopez, J.D.D.;Vazquez-Briseño, M.;1;2019
Murrieta-Rico, F.N.;Petranovskii, V.;2;2016
Murrieta-Rico, F.N.;Nieto-Hipolito, J.I.;1;2019
Murrieta-Rico, F.N.;Vazquez-Briseño, M.;1;2019
Petranovskii, V.;Nieto-Hipolito, J.I.;1;2019
Petranovskii, V.;Vazquez-Briseño, M.;1;2019
Nieto-Hipolito, J.I.;Vazquez-Briseño, M.;1;2019
Arroyo-Fernández, I.;Sierra, G.;1;2019
Arroyo-Fernández, I.;Torres-Moreno, J.-M.;1;2019
Arroyo-Fernández, I.;Sidorov, G.;1;2019
Méndez-Cruz, C.-F.;Sierra, G.;2;2016
Méndez-Cruz, C.-F.;Torres-Moreno, J.-M.;1;2019
Méndez-Cruz, C.-F.;Sidorov, G.;1;2019
Sierra, G.;Torres-Moreno, J.-M.;4;2016
Sierra, G.;Sidorov, G.;2;2018
Torres-Moreno, J.-M.;Sidorov, G.;1;2019
Silva, L.O.;Toloza, J.H.;1;2019
Silva, L.O.;Uribe, A.;1;2019
Toloza, J.H.;Uribe, A.;1;2019
Martínez-Ibarra, A.;Martínez-Razo, L.D.;1;2019
Martínez-Ibarra, A.;Vázquez-Martínez, E.R.;1;2019
Martínez-Ibarra, A.;Camacho-Arroyo, I.;1;2019
Martínez-Ibarra, A.;Cerbón, M.;1;2019
Martínez-Razo, L.D.;Vázquez-Martínez, E.R.;1;2019
Martínez-Razo, L.D.;Camacho-Arroyo, I.;1;2019
Martínez-Razo, L.D.;Cerbón, M.;1;2019
Vázquez-Martínez, E.R.;Camacho-Arroyo, I.;1;2019
Vázquez-Martínez, E.R.;Cerbón, M.;1;2019
Camacho-Arroyo, I.;Cerbón, M.;1;2019
Taranto, M.;Barba, L.;1;2019
Taranto, M.;Blancas, J.;1;2019
Taranto, M.;Pecci, A.;1;2019
Taranto, M.;Miriello, D.;1;2019
Barba, L.;Blancas, J.;1;2019
Barba, L.;Pecci, A.;1;2019
Barba, L.;Miriello, D.;1;2019
Blancas, J.;Pecci, A.;1;2019
Blancas, J.;Miriello, D.;1;2019
Pecci, A.;Miriello, D.;1;2019
Tarjus, A.;González-Rivas, C.;1;2019
Tarjus, A.;Amador-Martínez, I.;1;2019
Tarjus, A.;Jaisser, F.;1;2019
Tarjus, A.;Barrera-Chimal, J.;1;2019
González-Rivas, C.;Amador-Martínez, I.;1;2019
González-Rivas, C.;Jaisser, F.;1;2019
González-Rivas, C.;Barrera-Chimal, J.;1;2019
Amador-Martínez, I.;Jaisser, F.;1;2019
Amador-Martínez, I.;Barrera-Chimal, J.;1;2019
Jaisser, F.;Barrera-Chimal, J.;1;2019
Naveja, J.J.;Stumpfe, D.;1;2019
Stumpfe, D.;Medina-Franco, J.L.;1;2019
Stumpfe, D.;Bajorath, J.;1;2019
Quiñones-Grueiro, M.;Prieto-Moreno, A.;1;2019
Quiñones-Grueiro, M.;Verde, C.;3;2017
Quiñones-Grueiro, M.;Llanes-Santiago, O.;2;2019
Prieto-Moreno, A.;Verde, C.;3;2016
Prieto-Moreno, A.;Llanes-Santiago, O.;2;2018
Verde, C.;Llanes-Santiago, O.;3;2018
H'Mŏk, H.L.;Martínez Aguilar, E.;1;2019
H'Mŏk, H.L.;Antúnez García, J.;1;2019
H'Mŏk, H.L.;Siqueiros Beltrones, J.M.;1;2019
H'Mŏk, H.L.;Raymond Herrera, O.;1;2019
Martínez Aguilar, E.;Antúnez García, J.;1;2019
