Source;Target;Weight;Year
Villazón, A.;Sun, H.;2;2018
Villazón, A.;Rosà, A.;1;2019
Villazón, A.;Oporto, S.;1;2019
Villazón, A.;Binder, W.;3;2018
Sun, H.;Rosà, A.;1;2019
Sun, H.;Oporto, S.;1;2019
Sun, H.;Binder, W.;3;2015
Rosà, A.;Oporto, S.;1;2019
Rosà, A.;Binder, W.;1;2019
Oporto, S.;Binder, W.;1;2019
Li, C.;De Oliveira, J.V.;1;2019
Li, C.;Cerrada, M.;3;2016
Li, C.;Sanchez, R.V.;1;2019
Li, C.;Zurita, G.;3;2016
De Oliveira, J.V.;Cerrada, M.;1;2019
De Oliveira, J.V.;Sanchez, R.V.;1;2019
De Oliveira, J.V.;Zurita, G.;1;2019
Cerrada, M.;Sanchez, R.V.;1;2019
Cerrada, M.;Zurita, G.;3;2016
Sanchez, R.V.;Zurita, G.;1;2019
Villarroel, A.;Zurita, G.;1;2019
Villarroel, A.;Velarde, R.;1;2019
Zurita, G.;Velarde, R.;1;2019
Pimienta-Del-Valle, D.;Garcia-Del-Pino, P.;1;2019
Pimienta-Del-Valle, D.;Riera, J.M.;1;2019
Pimienta-Del-Valle, D.;Siles, G.A.;1;2019
Garcia-Del-Pino, P.;Riera, J.M.;1;2019
Garcia-Del-Pino, P.;Siles, G.A.;1;2019
Riera, J.M.;Siles, G.A.;2;2019
Siles, G.A.;Heredia, M.;1;2019
Siles, G.A.;Vilela, M.;2;2018
Heredia, M.;Vilela, M.;1;2019
Benarroch, A.;Siles, G.A.;1;2019
Benarroch, A.;Manuel Riera, J.;1;2019
Siles, G.A.;Manuel Riera, J.;1;2019
Luini, L.;Riva, C.;1;2019
Luini, L.;Quibus, L.;1;2019
Luini, L.;Siles, G.A.;1;2019
Luini, L.;Riera, J.M.;1;2019
Riva, C.;Quibus, L.;1;2019
Riva, C.;Siles, G.A.;1;2019
Riva, C.;Riera, J.M.;1;2019
Quibus, L.;Siles, G.A.;1;2019
Quibus, L.;Riera, J.M.;1;2019
Javed, O.;Villazón, A.;1;2019
Javed, O.;Binder, W.;1;2019
Gonzalez-Garcia, J.;Sotelo-Gonzalez, J.;1;2019
Gonzalez-Garcia, J.;Zegarra-Saldaña, P.;1;2019
Sotelo-Gonzalez, J.;Zegarra-Saldaña, P.;1;2019
Li, C.;Valente De Oliveira, J.;1;2016
Li, C.;Sanchez, V.;1;2016
Valente De Oliveira, J.;Cerrada, M.;1;2016
Valente De Oliveira, J.;Sanchez, V.;1;2016
Valente De Oliveira, J.;Zurita, G.;1;2016
Cerrada, M.;Sanchez, V.;1;2016
Sanchez, V.;Zurita, G.;1;2016
Cerrada, M.;Cabrera, D.;1;2016
Cerrada, M.;Artés, M.;1;2016
Zurita, G.;Cabrera, D.;1;2016
Zurita, G.;Artés, M.;1;2016
Cabrera, D.;Artés, M.;1;2016
Cabrera, D.;Li, C.;1;2016
Artés, M.;Li, C.;1;2016
Sun, H.;Zheng, Y.;1;2015
Sun, H.;Bulej, L.;1;2015
Sun, H.;Tůma, P.;1;2015
Zheng, Y.;Bulej, L.;1;2015
Zheng, Y.;Tůma, P.;1;2015
Zheng, Y.;Binder, W.;1;2015
Bulej, L.;Tůma, P.;1;2015
Bulej, L.;Binder, W.;1;2015
Tůma, P.;Binder, W.;1;2015
Marechal, A.;Buchs, D.;1;2015
