Source;Target;Weight;Year
Muehlig, A.;Jahn, I.J.;1;2019
Muehlig, A.;Heidler, J.;1;2019
Muehlig, A.;Cialla-May, D.;1;2019
Muehlig, A.;Popp, J.;1;2019
Jahn, I.J.;Heidler, J.;1;2019
Jahn, I.J.;Cialla-May, D.;1;2019
Jahn, I.J.;Popp, J.;1;2019
Heidler, J.;Cialla-May, D.;1;2019
Heidler, J.;Popp, J.;1;2019
Cialla-May, D.;Popp, J.;1;2019
Achanccaray, D.;Pacheco, K.;2;2017
Achanccaray, D.;Carranza, E.;2;2017
Achanccaray, D.;Hayashibe, M.;2;2018
Pacheco, K.;Carranza, E.;2;2017
Pacheco, K.;Hayashibe, M.;1;2019
Carranza, E.;Hayashibe, M.;1;2019
Alvarado-Diaz, W.;Meneses-Claudio, B.;1;2019
Alvarado-Diaz, W.;Romero-Alva, V.;1;2019
Alvarado-Diaz, W.;Roman-Gonzalez, A.;1;2019
Alvarado-Diaz, W.;Zimic, M.;1;2019
Meneses-Claudio, B.;Romero-Alva, V.;1;2019
Meneses-Claudio, B.;Roman-Gonzalez, A.;3;2018
Meneses-Claudio, B.;Zimic, M.;2;2019
Romero-Alva, V.;Roman-Gonzalez, A.;1;2019
Romero-Alva, V.;Zimic, M.;1;2019
Roman-Gonzalez, A.;Zimic, M.;6;2016
Diaz-Sotelo, W.J.;Roman-Gonzalez, A.;1;2019
Diaz-Sotelo, W.J.;Vargas-Cuentas, N.I.;1;2019
Diaz-Sotelo, W.J.;Meneses-Claudio, B.;1;2019
Diaz-Sotelo, W.J.;Zimic, M.;1;2019
Roman-Gonzalez, A.;Vargas-Cuentas, N.I.;3;2016
Vargas-Cuentas, N.I.;Meneses-Claudio, B.;1;2019
Vargas-Cuentas, N.I.;Zimic, M.;3;2016
Delgado-Rivera, G.;Roman-Gonzalez, A.;1;2019
Delgado-Rivera, G.;Alva-Mantari, A.;1;2019
Delgado-Rivera, G.;Barrientos-Porras, F.;1;2019
Delgado-Rivera, G.;Salguedo-Bohorquez, M.;1;2019
Roman-Gonzalez, A.;Alva-Mantari, A.;1;2019
Roman-Gonzalez, A.;Barrientos-Porras, F.;1;2019
Roman-Gonzalez, A.;Salguedo-Bohorquez, M.;1;2019
Alva-Mantari, A.;Barrientos-Porras, F.;1;2019
Alva-Mantari, A.;Salguedo-Bohorquez, M.;1;2019
Barrientos-Porras, F.;Salguedo-Bohorquez, M.;1;2019
Medina, M.P.;Valencia, J.S.;1;2019
Medina, M.P.;Mendez, V.M.;3;2018
Medina, M.P.;Escobedo, J.R.C.;1;2019
Medina, M.P.;Placencia, Y.K.A.;4;2018
Valencia, J.S.;Mendez, V.M.;1;2019
Valencia, J.S.;Escobedo, J.R.C.;1;2019
Valencia, J.S.;Placencia, Y.K.A.;1;2019
Mendez, V.M.;Escobedo, J.R.C.;1;2019
Mendez, V.M.;Placencia, Y.K.A.;3;2018
Escobedo, J.R.C.;Placencia, Y.K.A.;1;2019
Cabanillas, J.;Tello, G.;1;2019
Cabanillas, J.;Mercado, B.;1;2019
Cabanillas, J.;Zimic, M.;1;2019
Cabanillas, J.;Gilman, R.;1;2019
Tello, G.;Mercado, B.;1;2019
Tello, G.;Zimic, M.;1;2019
Tello, G.;Gilman, R.;1;2019
Mercado, B.;Zimic, M.;1;2019
Mercado, B.;Gilman, R.;1;2019
Zimic, M.;Gilman, R.;1;2019
Krehenwinkel, H.;Pomerantz, A.;1;2019
Krehenwinkel, H.;Henderson, J.B.;1;2019
Krehenwinkel, H.;Gillespie, R.G.;1;2019
Krehenwinkel, H.;Prost, S.;1;2019
Pomerantz, A.;Henderson, J.B.;1;2019
Pomerantz, A.;Gillespie, R.G.;1;2019
Pomerantz, A.;Prost, S.;1;2019
Henderson, J.B.;Gillespie, R.G.;1;2019
Henderson, J.B.;Prost, S.;1;2019
Gillespie, R.G.;Prost, S.;1;2019
Huaroto, J.J.;Suarez, E.;2;2018
Huaroto, J.J.;Krebs, H.I.;1;2019
Huaroto, J.J.;Marasco, P.D.;1;2019
Huaroto, J.J.;Vela, E.A.;1;2019
Suarez, E.;Krebs, H.I.;1;2019
Suarez, E.;Marasco, P.D.;1;2019
Suarez, E.;Vela, E.A.;1;2019
Krebs, H.I.;Marasco, P.D.;1;2019
Krebs, H.I.;Vela, E.A.;1;2019
Marasco, P.D.;Vela, E.A.;1;2019
Alva Mantari, A.;Zarate Segura, G.W.;1;2018
Alva Mantari, A.;Saldivar-Espinoza, B.;1;2018
Alva Mantari, A.;Sotomayor Beltran, C.;1;2018
Alva Mantari, A.;Roman-Gonzalez, A.;1;2018
Zarate Segura, G.W.;Saldivar-Espinoza, B.;1;2018
Zarate Segura, G.W.;Sotomayor Beltran, C.;1;2018
Zarate Segura, G.W.;Roman-Gonzalez, A.;1;2018
Saldivar-Espinoza, B.;Sotomayor Beltran, C.;1;2018
Saldivar-Espinoza, B.;Roman-Gonzalez, A.;1;2018
Sotomayor Beltran, C.;Roman-Gonzalez, A.;1;2018
Chavez-Alarcon, E.;Segura-Saldana, P.;1;2018
Chavez-Alarcon, E.;Meneses-Claudio, B.;1;2018
Chavez-Alarcon, E.;Roman-Gonzalez, A.;1;2018
Segura-Saldana, P.;Meneses-Claudio, B.;1;2018
Segura-Saldana, P.;Roman-Gonzalez, A.;1;2018
Alicia, A.M.;Ordonez, C.;1;2018
Alicia, A.M.;Sadith, V.Z.;1;2018
Alicia, A.M.;Ramos Aguilar, C.;1;2018
Alicia, A.M.;Mirko, Z.P.;1;2018
Ordonez, C.;Sadith, V.Z.;1;2018
Ordonez, C.;Ramos Aguilar, C.;1;2018
Ordonez, C.;Mirko, Z.P.;1;2018
Sadith, V.Z.;Ramos Aguilar, C.;1;2018
Sadith, V.Z.;Mirko, Z.P.;1;2018
Ramos Aguilar, C.;Mirko, Z.P.;1;2018
Achanccaray, D.;Astucuri, J.;1;2018
Achanccaray, D.;Pirca, J.;1;2018
Achanccaray, D.;Espinoza, V.;1;2018
Astucuri, J.;Hayashibe, M.;1;2018
Astucuri, J.;Pirca, J.;1;2018
Astucuri, J.;Espinoza, V.;1;2018
Hayashibe, M.;Pirca, J.;1;2018
Hayashibe, M.;Espinoza, V.;1;2018
Pirca, J.;Espinoza, V.;1;2018
Suarez, E.;Reymundo, A.A.;1;2018
Suarez, E.;Walsh, C.;1;2018
Suarez, E.;Vela, E.;1;2018
Huaroto, J.J.;Reymundo, A.A.;1;2018
Huaroto, J.J.;Walsh, C.;1;2018
Huaroto, J.J.;Vela, E.;1;2018
Reymundo, A.A.;Walsh, C.;1;2018
Reymundo, A.A.;Vela, E.;1;2018
Walsh, C.;Vela, E.;1;2018
Mehanian, C.;Jaiswal, M.;1;2018
Mehanian, C.;Delahunt, C.;1;2018
Mehanian, C.;Bachman, C.;1;2018
Mehanian, C.;Bell, D.;1;2018
Jaiswal, M.;Delahunt, C.;1;2018
Jaiswal, M.;Bachman, C.;1;2018
Jaiswal, M.;Bell, D.;1;2018
Delahunt, C.;Bachman, C.;1;2018
Delahunt, C.;Bell, D.;1;2018
Bachman, C.;Bell, D.;1;2018
Medina, M.P.;Álvarez, R.P.;2;2018
Medina, M.P.;Rojas, H.J.M.;2;2018
Álvarez, R.P.;Mendez, V.M.;1;2018
Álvarez, R.P.;Rojas, H.J.M.;1;2018
Álvarez, R.P.;Placencia, Y.K.A.;2;2018
Mendez, V.M.;Rojas, H.J.M.;2;2018
Rojas, H.J.M.;Placencia, Y.K.A.;2;2018
Medina, M.P.;Silva-Valencia, J.;1;2018
Medina, M.P.;Escobedo, E.J.C.;1;2018
Silva-Valencia, J.;Álvarez, R.P.;1;2018
Silva-Valencia, J.;Escobedo, E.J.C.;1;2018
Silva-Valencia, J.;Placencia, Y.K.A.;1;2018
Álvarez, R.P.;Escobedo, E.J.C.;1;2018
Escobedo, E.J.C.;Placencia, Y.K.A.;1;2018
Medina, M.P.;Alvarez, R.P.;1;2018
Alvarez, R.P.;Mendez, V.M.;1;2018
Alvarez, R.P.;Rojas, H.J.M.;1;2018
Alvarez, R.P.;Placencia, Y.K.A.;1;2018
Zenteno, O.;González, E.;2;2018
Zenteno, O.;Treuillet, S.;2;2018
Zenteno, O.;Llanos, A.;1;2018
