Source;Target;Weight;Year
Buitrago Boret, S.E.;Romero Marin, O.;1;2019
Andruchow, E.;Corach, G.;1;2019
Andruchow, E.;Recht, L.;1;2019
Corach, G.;Recht, L.;1;2019
Severeyn, E.;Velásquez, J.;4;2015
Severeyn, E.;Herrera, H.;7;2015
Severeyn, E.;Wong, S.;15;2015
Severeyn, E.;Altuve, M.;9;2015
Velásquez, J.;Herrera, H.;4;2015
Velásquez, J.;Wong, S.;4;2015
Velásquez, J.;Altuve, M.;1;2019
Herrera, H.;Wong, S.;7;2015
Herrera, H.;Altuve, M.;2;2015
Wong, S.;Altuve, M.;8;2015
Perpiñan, G.;Severeyn, E.;2;2017
Perpiñan, G.;Wong, S.;2;2017
Perpiñan, G.;Altuve, M.;2;2017
Cardinale, Y.;El Haddad, J.;2;2016
Cardinale, Y.;Manouvrier, M.;3;2016
Cardinale, Y.;Rukoz, M.;6;2015
El Haddad, J.;Manouvrier, M.;2;2016
El Haddad, J.;Rukoz, M.;2;2016
Manouvrier, M.;Rukoz, M.;3;2016
Rodríguez-Montoya, C.;Zerpa García, C.E.;1;2019
Urutegui, A.;Lattarulo, R.;1;2019
Urutegui, A.;Fernández-López, G.;1;2019
Lattarulo, R.;Fernández-López, G.;1;2019
Quelal, R.;Mendoza, L.E.;1;2019
Quelal, R.;Villavicencio, M.;1;2019
Mendoza, L.E.;Villavicencio, M.;2;2018
Abad, J.;Farez, J.;1;2019
Abad, J.;Chasi, P.;1;2019
Abad, J.;Clotet, R.;1;2019
Abad, J.;Huerta, M.;1;2019
Farez, J.;Chasi, P.;1;2019
Farez, J.;Clotet, R.;1;2019
Farez, J.;Huerta, M.;1;2019
Chasi, P.;Clotet, R.;1;2019
Chasi, P.;Huerta, M.;1;2019
Clotet, R.;Huerta, M.;8;2016
Guillermo, J.C.;García-Cedeño, A.;1;2019
Guillermo, J.C.;Rivas-Lalaleo, D.;1;2019
Guillermo, J.C.;Huerta, M.;1;2019
Guillermo, J.C.;Clotet, R.;1;2019
García-Cedeño, A.;Rivas-Lalaleo, D.;1;2019
García-Cedeño, A.;Huerta, M.;1;2019
García-Cedeño, A.;Clotet, R.;1;2019
Rivas-Lalaleo, D.;Huerta, M.;2;2015
Rivas-Lalaleo, D.;Clotet, R.;1;2019
Chbeir, R.;Cardinale, Y.;10;2015
Chbeir, R.;Corchero, A.;1;2019
Chbeir, R.;Angsuchotmetee, C.;3;2018
Chbeir, R.;Calis, G.;1;2019
Cardinale, Y.;Corchero, A.;1;2019
Cardinale, Y.;Angsuchotmetee, C.;3;2018
Cardinale, Y.;Calis, G.;1;2019
Corchero, A.;Angsuchotmetee, C.;1;2019
Corchero, A.;Calis, G.;1;2019
Angsuchotmetee, C.;Calis, G.;1;2019
Debattista, J.;Fernández, J.D.;1;2019
Debattista, J.;Vidal, M.-E.;1;2019
Debattista, J.;Umbrich, J.;1;2019
Fernández, J.D.;Vidal, M.-E.;1;2019
Fernández, J.D.;Umbrich, J.;1;2019
Vidal, M.-E.;Umbrich, J.;1;2019
Soltane, M.;Cardinale, Y.;1;2018
Soltane, M.;Angarita, R.;1;2018
Soltane, M.;Makhlouf, D.;1;2018
Soltane, M.;Okba, K.;1;2018
Cardinale, Y.;Angarita, R.;4;2015
Cardinale, Y.;Makhlouf, D.;1;2018
Cardinale, Y.;Okba, K.;1;2018
Angarita, R.;Makhlouf, D.;1;2018
Angarita, R.;Okba, K.;1;2018
Makhlouf, D.;Okba, K.;1;2018
Negrete Ramírez, J.M.;Roose, P.;1;2018
Negrete Ramírez, J.M.;Dalmau, M.;1;2018
Negrete Ramírez, J.M.;Cardinale, Y.;1;2018
Roose, P.;Dalmau, M.;1;2018
Roose, P.;Cardinale, Y.;1;2018
Dalmau, M.;Cardinale, Y.;1;2018
Velasquez, J.;Severeyn, E.;3;2016
Velasquez, J.;Herrera, H.;2;2018
Velasquez, J.;Encalada, L.;1;2018
Velasquez, J.;Wong, S.;3;2016
Severeyn, E.;Encalada, L.;4;2015
Herrera, H.;Encalada, L.;3;2015
Encalada, L.;Wong, S.;4;2015
Cipriano, D.;Rengifo, J.;1;2018
Cipriano, D.;Aller, J.M.;1;2018
Rengifo, J.;Aller, J.M.;2;2018
Rengifo, J.;Romero, J.;1;2018
Romero, J.;Aller, J.M.;1;2018
Viola, J.;Fajardo, M.;1;2018
Viola, J.;Aller, J.M.;2;2015
Viola, J.;Restrepo, J.;3;2015
Viola, J.;Quizhpi, F.;4;2015
Fajardo, M.;Aller, J.M.;1;2018
Fajardo, M.;Restrepo, J.;1;2018
Fajardo, M.;Quizhpi, F.;1;2018
Aller, J.M.;Restrepo, J.;2;2015
Aller, J.M.;Quizhpi, F.;2;2015
Restrepo, J.;Quizhpi, F.;3;2015
Quiroz, A.;Sorrentino, E.;1;2018
Quiroz, A.;Orea, E.;1;2018
Sorrentino, E.;Orea, E.;1;2018
Diaz, V.V.;Marcano Aviles, D.;1;2018
Pérez, P.;Roose, P.;1;2018
Pérez, P.;Couture, N.;1;2018
Pérez, P.;Marc, D.;1;2018
