Source;Target;Weight;Year
Ponce, M.;Navarrete, D.;1;2018
Ponce, M.;Vernaza, M.G.;1;2018
Navarrete, D.;Vernaza, M.G.;1;2018
Klimley, A.P.;Flagg, M.;1;2017
Klimley, A.P.;Hammerschlag, N.;1;2017
Klimley, A.P.;Hearn, A.;1;2017
Flagg, M.;Hammerschlag, N.;1;2017
Flagg, M.;Hearn, A.;1;2017
Hammerschlag, N.;Hearn, A.;1;2017
García-Jacas, C.R.;Cabrera-Leyva, L.;3;2016
García-Jacas, C.R.;Marrero-Ponce, Y.;4;2016
García-Jacas, C.R.;Cortés-Guzmán, F.;1;2018
García-Jacas, C.R.;García-González, L.A.;1;2018
Cabrera-Leyva, L.;Marrero-Ponce, Y.;3;2016
Cabrera-Leyva, L.;Cortés-Guzmán, F.;1;2018
Cabrera-Leyva, L.;García-González, L.A.;1;2018
Marrero-Ponce, Y.;Cortés-Guzmán, F.;1;2018
Marrero-Ponce, Y.;García-González, L.A.;1;2018
Cortés-Guzmán, F.;García-González, L.A.;1;2018
Mora, J.R.;Cervantes, C.;1;2018
Mora, J.R.;Marquez, E.;1;2018
Cervantes, C.;Marquez, E.;1;2018
García-Tenesaca, M.;Navarrete, E.S.;1;2018
García-Tenesaca, M.;Iturralde, G.A.;1;2018
García-Tenesaca, M.;Battino, M.;1;2018
García-Tenesaca, M.;Alvarez-Suarez, J.M.;1;2018
Navarrete, E.S.;Iturralde, G.A.;1;2018
Navarrete, E.S.;Battino, M.;1;2018
Navarrete, E.S.;Alvarez-Suarez, J.M.;1;2018
Iturralde, G.A.;Battino, M.;1;2018
Iturralde, G.A.;Alvarez-Suarez, J.M.;1;2018
Battino, M.;Alvarez-Suarez, J.M.;1;2018
Martínez-Santiago, O.;Marrero-Ponce, Y.;1;2016
Martínez-Santiago, O.;Barigye, S.J.;1;2016
Martínez-Santiago, O.;Infante, L.V.;1;2016
Martínez-Santiago, O.;Artiles Martínez, L.M.;1;2016
Marrero-Ponce, Y.;Barigye, S.J.;2;2016
Marrero-Ponce, Y.;Infante, L.V.;1;2016
Marrero-Ponce, Y.;Artiles Martínez, L.M.;1;2016
Barigye, S.J.;Infante, L.V.;1;2016
Barigye, S.J.;Artiles Martínez, L.M.;1;2016
Infante, L.V.;Artiles Martínez, L.M.;1;2016
Terán, J.E.;Zambrano, C.H.;1;2018
Terán, J.E.;Mora, J.R.;1;2018
Terán, J.E.;Rincón, L.;1;2018
Terán, J.E.;Torres, F.J.;1;2018
Zambrano, C.H.;Mora, J.R.;1;2018
Zambrano, C.H.;Rincón, L.;1;2018
Zambrano, C.H.;Torres, F.J.;1;2018
Mora, J.R.;Rincón, L.;1;2018
Mora, J.R.;Torres, F.J.;2;2017
Rincón, L.;Torres, F.J.;1;2018
Cortés-Arriagada, D.;Toro-Labbe, A.;1;2017
Cortés-Arriagada, D.;Mora, J.R.;1;2017
Cortés-Arriagada, D.;Mereau, R.;1;2017
Cortés-Arriagada, D.;Torres, F.J.;1;2017
Toro-Labbe, A.;Mora, J.R.;1;2017
Toro-Labbe, A.;Mereau, R.;1;2017
Toro-Labbe, A.;Torres, F.J.;1;2017
Mora, J.R.;Mereau, R.;1;2017
Mereau, R.;Torres, F.J.;1;2017
Villegas-Escobar, N.;Toro-Labbé, A.;1;2017
Villegas-Escobar, N.;Becerra, M.;1;2017
Villegas-Escobar, N.;Mora, J.R.;1;2017
Villegas-Escobar, N.;Rincon, L.;1;2017
Toro-Labbé, A.;Becerra, M.;1;2017
Toro-Labbé, A.;Mora, J.R.;1;2017
Toro-Labbé, A.;Rincon, L.;1;2017
Becerra, M.;Mora, J.R.;1;2017
Becerra, M.;Rincon, L.;1;2017
Mora, J.R.;Rincon, L.;1;2017
García-Jacas, C.R.;Pupo-Meriño, M.;1;2018
García-Jacas, C.R.;Vivas-Reyes, R.;1;2018
Cabrera-Leyva, L.;Pupo-Meriño, M.;1;2018
Cabrera-Leyva, L.;Vivas-Reyes, R.;1;2018
Marrero-Ponce, Y.;Pupo-Meriño, M.;1;2018
Marrero-Ponce, Y.;Vivas-Reyes, R.;1;2018
Pupo-Meriño, M.;Vivas-Reyes, R.;1;2018
Valdés-Martiní, J.R.;Marrero-Ponce, Y.;1;2017
Valdés-Martiní, J.R.;García-Jacas, C.R.;1;2017
Valdés-Martiní, J.R.;Pérez-Giménez, F.;1;2017
Valdés-Martiní, J.R.;Morell, C.A.;1;2017
Marrero-Ponce, Y.;Pérez-Giménez, F.;1;2017
Marrero-Ponce, Y.;Morell, C.A.;1;2017
García-Jacas, C.R.;Pérez-Giménez, F.;1;2017
García-Jacas, C.R.;Morell, C.A.;1;2017
Pérez-Giménez, F.;Morell, C.A.;1;2017
García-Jacas, C.R.;Contreras-Torres, E.;1;2016
García-Jacas, C.R.;Barigye, S.J.;1;2016
Contreras-Torres, E.;Marrero-Ponce, Y.;1;2016
Contreras-Torres, E.;Barigye, S.J.;1;2016
Contreras-Torres, E.;Cabrera-Leyva, L.;1;2016
Barigye, S.J.;Cabrera-Leyva, L.;1;2016
Jara, O.;Ballesteros, F.;2;2018
Jara, O.;Carrera, E.;2;2018
Jara, O.;Dávila, P.;1;2019
Ballesteros, F.;Carrera, E.;2;2018
Ballesteros, F.;Dávila, P.;1;2019
Carrera, E.;Dávila, P.;1;2019
Vallejo-Huanga, D.;Proaño, J.;1;2019
Vallejo-Huanga, D.;Morillo, P.;1;2019
Vallejo-Huanga, D.;Ortega, H.;1;2019
Proaño, J.;Morillo, P.;1;2019
Proaño, J.;Ortega, H.;1;2019
Morillo, P.;Ortega, H.;1;2019
Guanochanga, B.;Cachipuendo, R.;2;2018
Guanochanga, B.;Fuertes, W.;2;2018
Guanochanga, B.;Tapia, F.;2;2018
Guanochanga, B.;Meneses, F.;2;2018
Cachipuendo, R.;Fuertes, W.;2;2018
Cachipuendo, R.;Tapia, F.;2;2018
Cachipuendo, R.;Meneses, F.;2;2018
Fuertes, W.;Tapia, F.;2;2018
Fuertes, W.;Meneses, F.;2;2018
Tapia, F.;Meneses, F.;2;2018
Játiva, R.;Vidal, J.;2;2017
Loza, C.A.;Principe, J.C.;1;2018
Del Pozo, I.;Iturralde, M.;2;2015
Del Pozo, I.;Restrepo, F.;1;2018
Iturralde, M.;Restrepo, F.;1;2018
Proano, E.;Navarro, M.;1;2018
Proano, E.;Sanchez, A.;1;2018
Proano, E.;Benitez, D.S.;1;2018
Navarro, M.;Sanchez, A.;1;2018
Navarro, M.;Benitez, D.S.;1;2018
Sanchez, A.;Benitez, D.S.;1;2018
Pico, L.C.;Benitez, D.S.;1;2018
Alarcón, G.;Jiménez-Jiménez, D.;2;2017
Alarcón, G.;Valentín, A.;2;2017
Alarcón, G.;Martín-López, D.;2;2017
Jiménez-Jiménez, D.;Valentín, A.;2;2017
Jiménez-Jiménez, D.;Martín-López, D.;2;2017
Valentín, A.;Martín-López, D.;2;2017
Espinoza-Aguirre, C.;Pillo-Guanoluisa, D.;1;2018
Intriago-Pazmino, M.;Ibarra-Fiallo, J.;1;2018
Intriago-Pazmino, M.;Alonso-Calvo, R.;1;2018
Intriago-Pazmino, M.;Crespo, J.;1;2018
Intriago-Pazmino, M.;Criollo-Ramos, A.;1;2018
Ibarra-Fiallo, J.;Alonso-Calvo, R.;1;2018
Ibarra-Fiallo, J.;Crespo, J.;1;2018
Ibarra-Fiallo, J.;Criollo-Ramos, A.;1;2018
Alonso-Calvo, R.;Crespo, J.;1;2018
Alonso-Calvo, R.;Criollo-Ramos, A.;1;2018
Crespo, J.;Criollo-Ramos, A.;1;2018
Alias, C.;Olalla, F.E.A.;1;2018
Alias, C.;Potechin, A.;1;2018
Alias, C.;Noche, B.;1;2018
Olalla, F.E.A.;Potechin, A.;1;2018
Olalla, F.E.A.;Noche, B.;1;2018
Potechin, A.;Noche, B.;1;2018
Mocskos, E.;Barrios, C.J.H.;1;2018
Mocskos, E.;Castro, H.;1;2018
Mocskos, E.;Nesmachnow, S.;1;2018
Mocskos, E.;Mayo-Garcia, R.;1;2018
Barrios, C.J.H.;Castro, H.;1;2018
Barrios, C.J.H.;Nesmachnow, S.;1;2018
Barrios, C.J.H.;Mayo-Garcia, R.;1;2018
Castro, H.;Nesmachnow, S.;1;2018
Castro, H.;Mayo-Garcia, R.;1;2018
Nesmachnow, S.;Mayo-Garcia, R.;1;2018
Soria Zurita, N.F.;Colby, M.K.;1;2018
Soria Zurita, N.F.;Tumer, I.Y.;1;2018
Soria Zurita, N.F.;Hoyle, C.;1;2018
Soria Zurita, N.F.;Tumer, K.;1;2018
Colby, M.K.;Tumer, I.Y.;2;2016
Colby, M.K.;Hoyle, C.;2;2016
Colby, M.K.;Tumer, K.;2;2016
Tumer, I.Y.;Hoyle, C.;2;2016
Tumer, I.Y.;Tumer, K.;2;2016
Hoyle, C.;Tumer, K.;2;2016
Sotomayor, D.;Castellanos, S.;1;2018
Sotomayor, D.;Arcos-Aviles, D.;1;2018
