Source;Target;Weight;Year
Miyata, H.H.;Nagano, M.S.;4;2019
Ranck Júnior, R.;Yanasse, H.H.;1;2019
Ranck Júnior, R.;Morabito, R.;1;2019
Ranck Júnior, R.;Junqueira, L.;1;2019
Yanasse, H.H.;Morabito, R.;1;2019
Yanasse, H.H.;Junqueira, L.;1;2019
Morabito, R.;Junqueira, L.;1;2019
Penedo, S.R.M.;Netto, M.L.;1;2019
Penedo, S.R.M.;Justo, J.F.;2;2019
Netto, M.L.;Justo, J.F.;1;2019
dos Santos, W.M.;Siqueira, A.A.G.;3;2019
de Freitas, B.X.;Dorini, T.T.;1;2019
de Freitas, B.X.;Coelho, G.C.;1;2019
de Freitas, B.X.;Nunes, C.A.;1;2019
de Freitas, B.X.;Eleno, L.T.F.;1;2019
Dorini, T.T.;Coelho, G.C.;1;2019
Dorini, T.T.;Nunes, C.A.;1;2019
Dorini, T.T.;Eleno, L.T.F.;2;2018
Coelho, G.C.;Nunes, C.A.;1;2019
Coelho, G.C.;Eleno, L.T.F.;1;2019
Nunes, C.A.;Eleno, L.T.F.;1;2019
Rodrigues, L.;Brancher, J.;1;2019
Motta, D.;Casaca, W.;2;2018
Motta, D.;Paiva, A.;2;2018
Casaca, W.;Paiva, A.;2;2018
Santos J, L.M.;Moreira, E.;1;2019
Traina, A.J.M.;Brinis, S.;2;2019
Traina, A.J.M.;Pedrosa, G.V.;2;2017
Traina, A.J.M.;Avalhais, L.P.S.;1;2019
Traina, A.J.M.;Traina, C.;12;2017
Brinis, S.;Pedrosa, G.V.;1;2019
Brinis, S.;Avalhais, L.P.S.;1;2019
Brinis, S.;Traina, C.;2;2019
Pedrosa, G.V.;Avalhais, L.P.S.;1;2019
Pedrosa, G.V.;Traina, C.;1;2019
Avalhais, L.P.S.;Traina, C.;1;2019
Shulby, C.D.;Ferreira, M.D.;1;2019
Shulby, C.D.;de Mello, R.F.;1;2019
Shulby, C.D.;Aluisio, S.M.;1;2019
Ferreira, M.D.;de Mello, R.F.;2;2018
Ferreira, M.D.;Aluisio, S.M.;1;2019
de Mello, R.F.;Aluisio, S.M.;1;2019
Garcés, L.;Oquendo, F.;2;2017
Garcés, L.;Nakagawa, E.Y.;4;2017
Oquendo, F.;Nakagawa, E.Y.;3;2017
Lima, M.C.S.;Cordeiro, G.M.;1;2019
Lima, M.C.S.;Ortega, E.M.M.;1;2019
Lima, M.C.S.;Nascimento, A.D.C.;1;2019
Cordeiro, G.M.;Ortega, E.M.M.;4;2017
Cordeiro, G.M.;Nascimento, A.D.C.;1;2019
Ortega, E.M.M.;Nascimento, A.D.C.;1;2019
