Source;Target;Weight;Year
Ullah, S.;Denis, P.A.;1;2019
Ullah, S.;Sato, F.;1;2019
Denis, P.A.;Sato, F.;1;2019
Rodríguez, S.;Parodi, F.;1;2019
Rodríguez, S.;Nesmachnow, S.;1;2019
Parodi, F.;Nesmachnow, S.;2;2017
Peña, D.;Tchernykh, A.;2;2017
Peña, D.;Nesmachnow, S.;2;2017
Peña, D.;Drozdov, A.Y.;1;2019
Peña, D.;Garichev, S.N.;2;2017
Tchernykh, A.;Nesmachnow, S.;17;2016
Tchernykh, A.;Drozdov, A.Y.;3;2016
Tchernykh, A.;Garichev, S.N.;2;2017
Nesmachnow, S.;Drozdov, A.Y.;3;2016
Nesmachnow, S.;Garichev, S.N.;2;2017
Drozdov, A.Y.;Garichev, S.N.;1;2019
Canelas, A.;Roche, J.R.;3;2018
Muraña, J.;Nesmachnow, S.;2;2018
Muraña, J.;Armenta, F.;1;2019
Muraña, J.;Tchernykh, A.;2;2018
Nesmachnow, S.;Armenta, F.;1;2019
Armenta, F.;Tchernykh, A.;1;2019
Bonanata, J.;Coitiño, E.L.;1;2019
Gehrke, S.A.;Júnior, J.A.;1;2019
Gehrke, S.A.;Pérez-Díaz, L.;2;2019
Gehrke, S.A.;De Aza, P.N.;2;2019
Gehrke, S.A.;Prados-Frutos, J.C.;1;2019
Júnior, J.A.;Pérez-Díaz, L.;1;2019
Júnior, J.A.;De Aza, P.N.;1;2019
Júnior, J.A.;Prados-Frutos, J.C.;1;2019
Pérez-Díaz, L.;De Aza, P.N.;2;2019
Pérez-Díaz, L.;Prados-Frutos, J.C.;1;2019
De Aza, P.N.;Prados-Frutos, J.C.;1;2019
Richart, M.;Baliosian, J.;7;2015
Richart, M.;Serrat, J.;2;2016
Richart, M.;Gorricho, J.-L.;2;2016
Richart, M.;Agüero, R.;2;2018
Baliosian, J.;Serrat, J.;2;2016
Baliosian, J.;Gorricho, J.-L.;2;2016
Baliosian, J.;Agüero, R.;2;2018
Serrat, J.;Gorricho, J.-L.;2;2016
Serrat, J.;Agüero, R.;1;2019
Gorricho, J.-L.;Agüero, R.;1;2019
Aliaga, J.I.;Dufrechou, E.;9;2016
Aliaga, J.I.;Ezzatti, P.;10;2016
Aliaga, J.I.;Quintana-Ortí, E.S.;9;2016
Dufrechou, E.;Ezzatti, P.;19;2015
Dufrechou, E.;Quintana-Ortí, E.S.;11;2015
Ezzatti, P.;Quintana-Ortí, E.S.;19;2015
Poblete, P.V.;Viola, A.;1;2019
Pérez Zerpa, J.M.;Maso Talou, G.D.;1;2019
Pérez Zerpa, J.M.;Blanco, P.J.;1;2019
Maso Talou, G.D.;Blanco, P.J.;1;2019
Fonseca, D.;Leal-Pinto, S.M.;1;2019
Fonseca, D.;Roa-Cordero, M.V.;1;2019
Fonseca, D.;Muñoz-Castro, Á.;1;2019
Fonseca, D.;Hurtado, J.J.;1;2019
Leal-Pinto, S.M.;Roa-Cordero, M.V.;1;2019
Leal-Pinto, S.M.;Muñoz-Castro, Á.;1;2019
Leal-Pinto, S.M.;Hurtado, J.J.;1;2019
Roa-Cordero, M.V.;Muñoz-Castro, Á.;1;2019
Roa-Cordero, M.V.;Hurtado, J.J.;1;2019
Muñoz-Castro, Á.;Hurtado, J.J.;1;2019
Barthe, G.;Betarte, G.;1;2019
Barthe, G.;Campo, J.D.;1;2019
Barthe, G.;Luna, C.;1;2019
Betarte, G.;Campo, J.D.;3;2015
Betarte, G.;Luna, C.;6;2015
Campo, J.D.;Luna, C.;2;2015
Ehret, T.;Davy, A.;2;2018
Ehret, T.;Morel, J.-M.;2;2018
Ehret, T.;Delbracio, M.;2;2018
Davy, A.;Morel, J.-M.;2;2018
Davy, A.;Delbracio, M.;2;2018
Morel, J.-M.;Delbracio, M.;2;2018
Patrón, C.;Díaz, P.;1;2019
Patrón, C.;García, C.;1;2019
Patrón, C.;De Souza, A.;1;2019
Díaz, P.;García, C.;1;2019
Díaz, P.;De Souza, A.;1;2019
García, C.;De Souza, A.;1;2019
Berger, A.;Ettlin, G.;1;2019
Berger, A.;Quincke, C.;1;2019
Berger, A.;Rodríguez-Bocca, P.;1;2019
Ettlin, G.;Quincke, C.;1;2019
Ettlin, G.;Rodríguez-Bocca, P.;1;2019
Quincke, C.;Rodríguez-Bocca, P.;1;2019
Cancela, H.;Higgins, A.;1;2019
Cancela, H.;Pagès-Bernaus, A.;1;2019
Cancela, H.;Plà-Aragonès, L.M.;1;2019
Higgins, A.;Pagès-Bernaus, A.;1;2019
Higgins, A.;Plà-Aragonès, L.M.;1;2019
Pagès-Bernaus, A.;Plà-Aragonès, L.M.;1;2019
Rossit, D.A.;Olivera, A.;1;2019
Rossit, D.A.;Viana Céspedes, V.;1;2019
Rossit, D.A.;Broz, D.;1;2019
Olivera, A.;Viana Céspedes, V.;1;2019
Olivera, A.;Broz, D.;1;2019
Viana Céspedes, V.;Broz, D.;1;2019
Canelas, A.;Pereira, A.;1;2019
Canelas, A.;Brancher, J.P.;1;2019
Pereira, A.;Roche, J.R.;1;2019
Pereira, A.;Brancher, J.P.;1;2019
Roche, J.R.;Brancher, J.P.;1;2019
Diaz-Caro, A.;Guillermo, M.;1;2019
Diaz-Caro, A.;Miquel, A.;1;2019
Diaz-Caro, A.;Valiron, B.;1;2019
Guillermo, M.;Miquel, A.;3;2016
Guillermo, M.;Valiron, B.;1;2019
Miquel, A.;Valiron, B.;1;2019
Canelas, A.;Carrasco, M.;3;2017
Canelas, A.;López, J.;3;2017
Carrasco, M.;López, J.;3;2017
Martinez, S.;Oliver, J.P.;1;2019
Favaro, F.;Pablo Oliver, J.;1;2019
Canale, E.;Robledo, F.;7;2015
Canale, E.;Romero, P.;10;2015
Canale, E.;Viera, J.;1;2019
Robledo, F.;Romero, P.;25;2015
Robledo, F.;Viera, J.;1;2019
Romero, P.;Viera, J.;1;2019
Bourel, M.;Canale, E.;4;2019
Bourel, M.;Robledo, F.;4;2019
Bourel, M.;Romero, P.;4;2019
Bourel, M.;Stabile, L.;1;2019
Canale, E.;Stabile, L.;1;2019
Robledo, F.;Stabile, L.;1;2019
Romero, P.;Stabile, L.;1;2019
Mayr, C.;Risso, C.;2;2018
Mayr, C.;Grampin, E.;1;2019
Risso, C.;Grampin, E.;1;2019
Zinemanas, P.;Cancela, P.;3;2016
Zinemanas, P.;Rocamora, M.;1;2019
Cancela, P.;Rocamora, M.;1;2019
Mondino, P.;Gonzalez-Andujar, J.L.;1;2019
Gehrke, S.A.;Mazón, P.;1;2019
Gehrke, S.A.;Del Fabbro, M.;1;2019
Mazón, P.;Del Fabbro, M.;1;2019
Mazón, P.;Pérez-Díaz, L.;1;2019
Mazón, P.;De Aza, P.N.;1;2019
Del Fabbro, M.;Pérez-Díaz, L.;1;2019
Del Fabbro, M.;De Aza, P.N.;1;2019
Zimberg, B.;Testuri, C.E.;1;2019
Zimberg, B.;Ferrari, G.;1;2019
Testuri, C.E.;Ferrari, G.;1;2019
Benner, P.;Dufrechou, E.;4;2015
Benner, P.;Ezzatti, P.;9;2015
Benner, P.;Remón, A.;9;2015
Benner, P.;Saak, J.;1;2019
Dufrechou, E.;Remón, A.;5;2015
Dufrechou, E.;Saak, J.;1;2019
Ezzatti, P.;Remón, A.;11;2015
Ezzatti, P.;Saak, J.;3;2016
Remón, A.;Saak, J.;2;2019
Quintana-Ortí, E.S.;Remón, A.;9;2015
Quintana-Ortí, E.S.;Saak, J.;1;2019
Pedraja, D.;Baliosian, J.;1;2019
Pedraja, D.;Betarte, G.;1;2019
Baliosian, J.;Betarte, G.;1;2019
Fernandes, J.P.;Martins, P.;2;2016
Fernandes, J.P.;Pardo, A.;4;2016
Fernandes, J.P.;Saraiva, J.;4;2016
Fernandes, J.P.;Viera, M.;2;2016
Martins, P.;Pardo, A.;2;2016
Martins, P.;Saraiva, J.;2;2016
Martins, P.;Viera, M.;2;2016
Pardo, A.;Saraiva, J.;4;2016
Pardo, A.;Viera, M.;5;2016
Saraiva, J.;Viera, M.;2;2016
Acle, J.P.;Sanchez, E.;3;2015
Acle, J.P.;Reorda, M.S.;3;2015
Sanchez, E.;Reorda, M.S.;3;2015
Macarini, L.A.;Ochoa, X.;1;2019
Macarini, L.A.;Cechinel, C.;2;2019
Macarini, L.A.;Casas, A.P.;1;2019
Macarini, L.A.;Díaz, P.;2;2019
Ochoa, X.;Cechinel, C.;2;2018
Ochoa, X.;Casas, A.P.;1;2019
Ochoa, X.;Díaz, P.;1;2019
Cechinel, C.;Casas, A.P.;2;2018
Cechinel, C.;Díaz, P.;2;2019
Casas, A.P.;Díaz, P.;1;2019
Chiruzzo, L.;Wonsever, D.;5;2015
Santos, W.F.;Guillermo, M.;2;2017
Santos, W.F.;Malherbe, O.;2;2017
Guillermo, M.;Malherbe, O.;2;2017
Martin, A.;Seroussi, G.;2;2017
Martin, A.;Vitale, L.;1;2019
Seroussi, G.;Vitale, L.;2;2015
Babuška, I.;Sawlan, Z.;2;2016
Babuška, I.;Scavino, M.;2;2016
Babuška, I.;Szabó, B.;2;2016
Babuška, I.;Tempone, R.;2;2016
Sawlan, Z.;Scavino, M.;3;2016
Sawlan, Z.;Szabó, B.;2;2016
Sawlan, Z.;Tempone, R.;3;2016
Scavino, M.;Szabó, B.;2;2016
Scavino, M.;Tempone, R.;4;2015
Szabó, B.;Tempone, R.;2;2016
Veirano, F.;Naviner, L.;3;2017
Veirano, F.;Silveira, F.;9;2015
Naviner, L.;Silveira, F.;3;2017
Pérez-Nicoli, P.;Veirano, F.;4;2015
Pérez-Nicoli, P.;Silveira, F.;7;2015
Pérez-Nicoli, P.;Biancheri-Astier, M.;1;2019
Pérez-Nicoli, P.;Diet, A.;1;2019
Pérez-Nicoli, P.;Pichon, L.;1;2019
Biancheri-Astier, M.;Diet, A.;1;2019
Biancheri-Astier, M.;Pichon, L.;1;2019
Biancheri-Astier, M.;Silveira, F.;1;2019
Diet, A.;Pichon, L.;1;2019
Diet, A.;Silveira, F.;1;2019
Pichon, L.;Silveira, F.;1;2019
Benavides, F.;Chanel, C.P.C.;2;2016
Benavides, F.;Monzón, P.;2;2016
Benavides, F.;Grampín, E.;2;2016
Chanel, C.P.C.;Monzón, P.;2;2016
Chanel, C.P.C.;Grampín, E.;2;2016
Monzón, P.;Grampín, E.;2;2016
Martinez, S.;Merola, S.;1;2019
Martinez, S.;Irimescu, A.;1;2019
Merola, S.;Irimescu, A.;1;2019
Bermolen, P.;Jonckheere, M.;1;2019
Bermolen, P.;Larroca, F.;3;2016
Bermolen, P.;Saenz, M.;1;2019
Jonckheere, M.;Larroca, F.;1;2019
Jonckheere, M.;Saenz, M.;1;2019
Larroca, F.;Saenz, M.;1;2019
Takimoto, R.Y.;Matuda, M.;1;2019
Takimoto, R.Y.;Lavras, T.;1;2019
Takimoto, R.Y.;Ueda, E.K.;1;2019
Takimoto, R.Y.;Tsuzuki, M.S.G.;1;2019
Matuda, M.;Lavras, T.;1;2019
Matuda, M.;Ueda, E.K.;1;2019
Matuda, M.;Tsuzuki, M.S.G.;1;2019
Lavras, T.;Ueda, E.K.;1;2019
Lavras, T.;Tsuzuki, M.S.G.;1;2019
Ueda, E.K.;Tsuzuki, M.S.G.;1;2019
Carballo, P.;Perera, P.;1;2019
Carballo, P.;Rama, S.;1;2019
Carballo, P.;Pedemonte, M.;1;2019
Perera, P.;Rama, S.;1;2019
Perera, P.;Pedemonte, M.;1;2019
Rama, S.;Pedemonte, M.;1;2019
Avas, I.;Fernández, E.;1;2019
Betarte, G.;Pardo, A.;2;2019
Betarte, G.;Martinez, R.;3;2016
Pardo, A.;Martinez, R.;2;2019
Betarte, G.;Gimenez, E.;1;2019
Gimenez, E.;Martinez, R.;1;2019
Gimenez, E.;Pardo, A.;1;2019
Vaton, S.;Brun, O.;1;2019
Vaton, S.;Mouchet, M.;1;2019
Vaton, S.;Prabhu, B.J.;1;2019
