Source;Target;Weight;Year
Vargas Muñoz, J.;Gonçalves, M.A.;1;2019
Vargas Muñoz, J.;Dias, Z.;1;2019
Vargas Muñoz, J.;da S. Torres, R.;1;2019
Gonçalves, M.A.;Dias, Z.;1;2019
Gonçalves, M.A.;da S. Torres, R.;1;2019
Dias, Z.;da S. Torres, R.;1;2019
Werneck, R.D.O.;Raveaux, R.;1;2019
Werneck, R.D.O.;Tabbone, S.;2;2018
Werneck, R.D.O.;Torres, R.D.S.;3;2018
Raveaux, R.;Tabbone, S.;2;2018
Raveaux, R.;Torres, R.D.S.;1;2019
Tabbone, S.;Torres, R.D.S.;3;2018
Brollo, G.L.;Tamayo, D.V.;1;2019
Brollo, G.L.;Torres, L.V.;1;2019
Brollo, G.L.;Zoqui, E.J.;1;2019
Tamayo, D.V.;Torres, L.V.;1;2019
Tamayo, D.V.;Zoqui, E.J.;1;2019
Torres, L.V.;Zoqui, E.J.;1;2019
De Sousa, J.M.;Bizao, R.A.;1;2019
De Sousa, J.M.;Sousa Filho, V.P.;1;2019
De Sousa, J.M.;Souza Filho, A.G.;1;2019
De Sousa, J.M.;Galvao, D.S.;1;2019
Bizao, R.A.;Sousa Filho, V.P.;1;2019
Bizao, R.A.;Souza Filho, A.G.;1;2019
Bizao, R.A.;Galvao, D.S.;1;2019
Sousa Filho, V.P.;Souza Filho, A.G.;1;2019
Sousa Filho, V.P.;Galvao, D.S.;1;2019
Souza Filho, A.G.;Galvao, D.S.;1;2019
Rampasso, I.S.;Anholon, R.;2;2018
Rampasso, I.S.;da Silva, D.;1;2019
Rampasso, I.S.;Ordóñez, R.E.C.;1;2019
Rampasso, I.S.;Quelhas, O.L.G.;2;2018
Anholon, R.;da Silva, D.;1;2019
Anholon, R.;Ordóñez, R.E.C.;1;2019
Anholon, R.;Quelhas, O.L.G.;3;2018
da Silva, D.;Ordóñez, R.E.C.;1;2019
da Silva, D.;Quelhas, O.L.G.;1;2019
Ordóñez, R.E.C.;Quelhas, O.L.G.;1;2019
do Val, J.B.R.;Guillotreau, P.;1;2019
do Val, J.B.R.;Vallée, T.;1;2019
Guillotreau, P.;Vallée, T.;1;2019
Gomes, L.A.F.;Torres, R.D.S.;1;2019
Gomes, L.A.F.;Côrtes, M.L.;1;2019
Torres, R.D.S.;Côrtes, M.L.;1;2019
de Lima, G.V.L.;Saito, P.T.M.;1;2019
de Lima, G.V.L.;Lopes, F.M.;1;2019
de Lima, G.V.L.;Bugatti, P.H.;1;2019
Saito, P.T.M.;Lopes, F.M.;1;2019
Saito, P.T.M.;Bugatti, P.H.;6;2017
Lopes, F.M.;Bugatti, P.H.;2;2019
Osório, C.R.D.;Koch, G.G.;1;2019
Osório, C.R.D.;Oliveira, R.C.L.F.;1;2019
Osório, C.R.D.;Montagner, V.F.;1;2019
Koch, G.G.;Oliveira, R.C.L.F.;2;2019
Koch, G.G.;Montagner, V.F.;1;2019
Oliveira, R.C.L.F.;Montagner, V.F.;1;2019
Abreu, E.;Díaz, C.;2;2018
Abreu, E.;Galvis, J.;2;2018
Díaz, C.;Galvis, J.;2;2018
Aranha, D.F.;Van De Graaf, J.;1;2019
Barcellos, M.;Aranha, D.F.;1;2019
Hasan, M.M.;Lwin, K.;1;2019
Hasan, M.M.;Imani, M.;1;2019
Hasan, M.M.;Bittencourt, L.F.;1;2019
Hasan, M.M.;Hossain, M.A.;1;2019
Lwin, K.;Imani, M.;1;2019
Lwin, K.;Bittencourt, L.F.;1;2019
Lwin, K.;Hossain, M.A.;1;2019
Imani, M.;Bittencourt, L.F.;1;2019
Imani, M.;Hossain, M.A.;1;2019
Bittencourt, L.F.;Hossain, M.A.;1;2019
Seabra Oliveira, D.;Epstein, J.;1;2019
Seabra Oliveira, D.;Kurose, J.;1;2019
Seabra Oliveira, D.;Rocha, A.;1;2019
Epstein, J.;Kurose, J.;1;2019
Epstein, J.;Rocha, A.;1;2019
Kurose, J.;Rocha, A.;1;2019
Matias, P.;Barbosa, P.;1;2019
Matias, P.;Cardoso, T.N.C.;2;2019
Matias, P.;Campos, D.M.;1;2019
Matias, P.;Aranha, D.F.;2;2019
Barbosa, P.;Cardoso, T.N.C.;1;2019
Barbosa, P.;Campos, D.M.;1;2019
Barbosa, P.;Aranha, D.F.;1;2019
Cardoso, T.N.C.;Campos, D.M.;1;2019
Cardoso, T.N.C.;Aranha, D.F.;2;2019
Campos, D.M.;Aranha, D.F.;1;2019
Cano, R.G.;de Souza, C.C.;1;2019
Cano, R.G.;de Rezende, P.J.;1;2019
de Souza, C.C.;de Rezende, P.J.;4;2018
Cavalcante, C.C.B.;Maschio, C.;1;2019
Cavalcante, C.C.B.;Santos, A.A.S.;1;2019
Cavalcante, C.C.B.;Schiozer, D.;1;2019
Cavalcante, C.C.B.;Rocha, A.;1;2019
Maschio, C.;Santos, A.A.S.;1;2019
Maschio, C.;Schiozer, D.;1;2019
Maschio, C.;Rocha, A.;1;2019
Santos, A.A.S.;Schiozer, D.;1;2019
Santos, A.A.S.;Rocha, A.;1;2019
Schiozer, D.;Rocha, A.;1;2019
Pelegrina, G.D.;Attux, R.;1;2019
Pelegrina, G.D.;Duarte, L.T.;3;2018
Attux, R.;Duarte, L.T.;2;2018
Reis, M.M.;da Silva, A.J.;1;2019
Reis, M.M.;Zullo Junior, J.;1;2019
Reis, M.M.;Azevedo, A.M.;1;2019
Reis, M.M.;Lopes, É.M.G.;1;2019
da Silva, A.J.;Zullo Junior, J.;1;2019
da Silva, A.J.;Azevedo, A.M.;1;2019
da Silva, A.J.;Lopes, É.M.G.;1;2019
Zullo Junior, J.;Azevedo, A.M.;1;2019
Zullo Junior, J.;Lopes, É.M.G.;1;2019
Azevedo, A.M.;Lopes, É.M.G.;1;2019
Popov, S.;Saa, O.;1;2019
Popov, S.;Finardi, P.;1;2019
Saa, O.;Finardi, P.;1;2019
Devloo, P.R.B.;Durán, O.;3;2018
Devloo, P.R.B.;Gomes, S.M.;6;2017
Devloo, P.R.B.;Ainsworth, M.;1;2019
Durán, O.;Gomes, S.M.;3;2018
Durán, O.;Ainsworth, M.;1;2019
Gomes, S.M.;Ainsworth, M.;1;2019
Frezzatto, L.;Lacerda, M.J.;1;2019
Frezzatto, L.;Oliveira, R.C.L.F.;1;2019
Frezzatto, L.;Peres, P.L.D.;1;2019
Lacerda, M.J.;Oliveira, R.C.L.F.;1;2019
Lacerda, M.J.;Peres, P.L.D.;1;2019
Oliveira, R.C.L.F.;Peres, P.L.D.;4;2017
Bressan, R.S.;Bugatti, P.H.;3;2017
Bressan, R.S.;Saito, P.T.M.;3;2017
Motta, L.L.;Acuña Acurio, B.A.;1;2019
Motta, L.L.;Aniceto, N.F.T.;1;2019
Motta, L.L.;Meloni, L.G.P.;1;2019
Acuña Acurio, B.A.;Aniceto, N.F.T.;1;2019
Acuña Acurio, B.A.;Meloni, L.G.P.;1;2019
Aniceto, N.F.T.;Meloni, L.G.P.;1;2019
Ferrari, A.J.R.;Gozzo, F.C.;2;2019
Ferrari, A.J.R.;Martínez, L.;3;2018
Gozzo, F.C.;Martínez, L.;2;2019
Calado, L.D.;Padilha, G.S.;1;2019
Calado, L.D.;Osório, W.R.;1;2019
Calado, L.D.;Bortolozo, A.D.;1;2019
Padilha, G.S.;Osório, W.R.;1;2019
Padilha, G.S.;Bortolozo, A.D.;1;2019
Osório, W.R.;Bortolozo, A.D.;1;2019
Ferrari, A.J.R.;Clasen, M.A.;1;2019
Ferrari, A.J.R.;Kurt, L.;1;2019
Clasen, M.A.;Kurt, L.;1;2019
Clasen, M.A.;Gozzo, F.C.;1;2019
Clasen, M.A.;Martínez, L.;1;2019
Kurt, L.;Gozzo, F.C.;1;2019
Kurt, L.;Martínez, L.;1;2019
Durán, O.;Valentin, F.;1;2019
Devloo, P.R.B.;Valentin, F.;1;2019
Gomes, S.M.;Valentin, F.;1;2019
Orlande, H.R.B.;Lutaif, N.A.;1;2019
Orlande, H.R.B.;Gontijo, J.A.R.;1;2019
Lutaif, N.A.;Gontijo, J.A.R.;1;2019
Rodriguez, R.L.;Lopes, J.C.;1;2019
Rodriguez, R.L.;Hildebrandt, R.A.;1;2019
Rodriguez, R.L.;de Aguiar, P.R.;1;2019
Rodriguez, R.L.;Bianchi, E.C.;1;2019
Lopes, J.C.;Hildebrandt, R.A.;1;2019
Lopes, J.C.;de Aguiar, P.R.;1;2019
Lopes, J.C.;Bianchi, E.C.;1;2019
Hildebrandt, R.A.;de Aguiar, P.R.;1;2019
Hildebrandt, R.A.;Bianchi, E.C.;1;2019
de Aguiar, P.R.;Bianchi, E.C.;1;2019
Porto, L.F.;Correia Lima, L.N.;1;2019
Porto, L.F.;Pinheiro Flores, M.R.;1;2019
Porto, L.F.;Machado Palhares, C.E.;1;2019
Porto, L.F.;de Barros Vidal, F.;1;2019
Correia Lima, L.N.;Pinheiro Flores, M.R.;1;2019
Correia Lima, L.N.;Machado Palhares, C.E.;1;2019
Correia Lima, L.N.;de Barros Vidal, F.;1;2019
Pinheiro Flores, M.R.;Machado Palhares, C.E.;1;2019
Pinheiro Flores, M.R.;de Barros Vidal, F.;1;2019
Machado Palhares, C.E.;de Barros Vidal, F.;1;2019
Aranha, D.F.;Barbosa, P.Y.S.;1;2019
Aranha, D.F.;Araújo, C.L.;1;2019
Barbosa, P.Y.S.;Cardoso, T.N.C.;1;2019
Barbosa, P.Y.S.;Araújo, C.L.;1;2019
Barbosa, P.Y.S.;Matias, P.;1;2019
Cardoso, T.N.C.;Araújo, C.L.;1;2019
Araújo, C.L.;Matias, P.;1;2019
Menini, N.;Almeida, A.E.;2;2018
Menini, N.;Lamparelli, R.;1;2019
Menini, N.;Hirota, M.;1;2019
Menini, N.;Torres, R.D.S.;1;2019
Almeida, A.E.;Lamparelli, R.;1;2019
Almeida, A.E.;Hirota, M.;1;2019
Almeida, A.E.;Torres, R.D.S.;1;2019
Lamparelli, R.;Hirota, M.;1;2019
Lamparelli, R.;Torres, R.D.S.;1;2019
Hirota, M.;Torres, R.D.S.;1;2019
Louza, F.A.;Telles, G.P.;4;2018
Louza, F.A.;Gog, S.;2;2018
Louza, F.A.;Zhao, L.;2;2018
Telles, G.P.;Gog, S.;2;2018
Telles, G.P.;Zhao, L.;2;2018
Gog, S.;Zhao, L.;2;2018
Benedito, M.P.L.;Pedrosa, L.L.C.;1;2019
Gabbi, T.S.;Koch, G.G.;1;2019
Gabbi, T.S.;Vieira, R.P.;1;2019
Gabbi, T.S.;Maccari, L.A.;1;2019
Gabbi, T.S.;Oliveira, R.C.L.F.;1;2019
