Source;Target;Weight;Year
Fernández-Martínez, S.;Barán, B.;1;2019
Fernández-Martínez, S.;Pinto-Roa, D.P.;1;2019
Barán, B.;Pinto-Roa, D.P.;2;2015
Sosa-Cabrera, G.;García-Torres, M.;1;2019
Sosa-Cabrera, G.;Gómez-Guerrero, S.;1;2019
Sosa-Cabrera, G.;Schaerer, C.E.;1;2019
Sosa-Cabrera, G.;Divina, F.;1;2019
García-Torres, M.;Gómez-Guerrero, S.;1;2019
García-Torres, M.;Schaerer, C.E.;1;2019
García-Torres, M.;Divina, F.;3;2016
Gómez-Guerrero, S.;Schaerer, C.E.;1;2019
Gómez-Guerrero, S.;Divina, F.;1;2019
Schaerer, C.E.;Divina, F.;1;2019
Brizuela Pineda, I.A.;Medina Caballero, R.D.;1;2019
Brizuela Pineda, I.A.;Cáceres Silva, J.J.;1;2019
Brizuela Pineda, I.A.;Mello Román, J.C.;1;2019
Brizuela Pineda, I.A.;Vázquez Noguera, J.L.;1;2019
Medina Caballero, R.D.;Cáceres Silva, J.J.;1;2019
Medina Caballero, R.D.;Mello Román, J.C.;1;2019
Medina Caballero, R.D.;Vázquez Noguera, J.L.;1;2019
Cáceres Silva, J.J.;Mello Román, J.C.;1;2019
Cáceres Silva, J.J.;Vázquez Noguera, J.L.;1;2019
Mello Román, J.C.;Vázquez Noguera, J.L.;1;2019
Lopez-Pires, F.;Baran, B.;7;2016
Lopez-Pires, F.;Pereira, C.;1;2019
Lopez-Pires, F.;Velazquez, M.;1;2019
Lopez-Pires, F.;Gonzalez, O.;1;2019
Baran, B.;Pereira, C.;1;2019
Baran, B.;Velazquez, M.;1;2019
Baran, B.;Gonzalez, O.;1;2019
Pereira, C.;Velazquez, M.;1;2019
Pereira, C.;Gonzalez, O.;1;2019
Velazquez, M.;Gonzalez, O.;1;2019
Loreiro, M.;Britez, S.;1;2019
Loreiro, M.;Casco, S.;1;2019
Loreiro, M.;Pons, J.L.;1;2019
Loreiro, M.;Brunetti, F.;1;2019
Britez, S.;Casco, S.;1;2019
Britez, S.;Pons, J.L.;1;2019
Britez, S.;Brunetti, F.;1;2019
Casco, S.;Pons, J.L.;1;2019
Casco, S.;Brunetti, F.;1;2019
Pons, J.L.;Brunetti, F.;1;2019
Arzamendia, M.;Espartza, I.;1;2019
Arzamendia, M.;Reina, D.G.;5;2017
Arzamendia, M.;Toral, S.L.;4;2017
Arzamendia, M.;Gregor, D.;6;2016
Espartza, I.;Reina, D.G.;1;2019
Espartza, I.;Toral, S.L.;1;2019
Espartza, I.;Gregor, D.;1;2019
Reina, D.G.;Toral, S.L.;4;2017
Reina, D.G.;Gregor, D.;5;2017
Toral, S.L.;Gregor, D.;4;2017
Mello Román, J.C.;Luis Vázquez Noguera, J.;1;2019
Mello Román, J.C.;Legal-Ayala, H.;1;2019
Mello Román, J.C.;Moré, L.;1;2019
Mello Román, J.C.;Pinto-Roa, D.P.;1;2019
Luis Vázquez Noguera, J.;Legal-Ayala, H.;1;2019
Luis Vázquez Noguera, J.;Moré, L.;1;2019
Luis Vázquez Noguera, J.;Pinto-Roa, D.P.;1;2019
Legal-Ayala, H.;Moré, L.;1;2019
Legal-Ayala, H.;Pinto-Roa, D.P.;1;2019
Moré, L.;Pinto-Roa, D.P.;1;2019
Ferreira, F.;Rios, D.;1;2019
Ferreira, F.;Fernandez, F.;1;2019
Ferreira, F.;Escudero, F.;1;2019
Ferreira, F.;Blanco, G.;1;2019
Rios, D.;Fernandez, F.;2;2016
Rios, D.;Escudero, F.;1;2019
Rios, D.;Blanco, G.;5;2016
Fernandez, F.;Escudero, F.;1;2019
Fernandez, F.;Blanco, G.;2;2016
Escudero, F.;Blanco, G.;1;2019
Morinigo, L.;Romero, C.;1;2019
Morinigo, L.;Rios, R.;1;2019
Morinigo, L.;Gonzalez, A.;1;2019
Morinigo, L.;Blanco, G.;1;2019
Romero, C.;Rios, R.;1;2019
Romero, C.;Gonzalez, A.;1;2019
Romero, C.;Blanco, G.;1;2019
Rios, R.;Gonzalez, A.;1;2019
Rios, R.;Blanco, G.;1;2019
Gonzalez, A.;Blanco, G.;1;2019
Aveiro, D.;Rios, D.;1;2019
Aveiro, D.;Blanco, G.;1;2019
Aveiro, D.;Sauer, C.;1;2019
Rios, D.;Sauer, C.;1;2019
Blanco, G.;Sauer, C.;1;2019
Cruz, O.S.;Rios, D.;1;2019
Cruz, O.S.;Ojeda, J.;1;2019
Cruz, O.S.;Blanco, G.;1;2019
Rios, D.;Ojeda, J.;1;2019
Ojeda, J.;Blanco, G.;1;2019
Gavilan, F.;Toledo, S.;3;2017
Gavilan, F.;Rivera, M.;4;2016
Gavilan, F.;Maqueda, E.;3;2016
Gavilan, F.;Gregor, R.;1;2019
Toledo, S.;Rivera, M.;4;2017
Toledo, S.;Maqueda, E.;2;2017
Toledo, S.;Gregor, R.;3;2016
Rivera, M.;Maqueda, E.;3;2016
Rivera, M.;Gregor, R.;5;2016
Maqueda, E.;Gregor, R.;1;2019
Paiva, E.;Llano, M.;1;2019
Paiva, E.;Rodas, J.;1;2019
Paiva, E.;Rodriguez-Pineiro, J.;1;2019
Paiva, E.;Gomez-Redondo, M.;1;2019
Llano, M.;Rodas, J.;1;2019
Llano, M.;Rodriguez-Pineiro, J.;1;2019
Llano, M.;Gomez-Redondo, M.;1;2019
Rodas, J.;Rodriguez-Pineiro, J.;2;2019
Rodas, J.;Gomez-Redondo, M.;2;2019
Rodriguez-Pineiro, J.;Gomez-Redondo, M.;2;2019
Gomez-Redondo, M.;Fretes, H.;1;2019
Gomez-Redondo, M.;Gregor, R.;1;2019
Fretes, H.;Rodriguez-Pineiro, J.;1;2019
Fretes, H.;Rodas, J.;1;2019
Fretes, H.;Gregor, R.;1;2019
Rodriguez-Pineiro, J.;Gregor, R.;1;2019
Rodas, J.;Gregor, R.;9;2016
Espinosa, E.;Melin, P.;1;2019
Espinosa, E.;Guzman, J.;1;2019
Espinosa, E.;Espinoza, J.;1;2019
Espinosa, E.;Gregor, R.;1;2019
Melin, P.;Guzman, J.;1;2019
Melin, P.;Espinoza, J.;1;2019
Melin, P.;Gregor, R.;1;2019
Guzman, J.;Espinoza, J.;1;2019
Guzman, J.;Gregor, R.;1;2019
Espinoza, J.;Gregor, R.;1;2019
Pacher Vega, J.C.;Rodas Benitez, J.E.;1;2019
Pacher Vega, J.C.;Gregor Recalde, R.I.;1;2019
Pacher Vega, J.C.;Renault Lopez, A.;1;2019
Pacher Vega, J.C.;Comparatore Franco, L.D.;1;2019
Rodas Benitez, J.E.;Gregor Recalde, R.I.;1;2019
Rodas Benitez, J.E.;Renault Lopez, A.;1;2019
Rodas Benitez, J.E.;Comparatore Franco, L.D.;1;2019
Gregor Recalde, R.I.;Renault Lopez, A.;1;2019
Gregor Recalde, R.I.;Comparatore Franco, L.D.;1;2019
Renault Lopez, A.;Comparatore Franco, L.D.;1;2019
Kehler, E.;Paciello, J.;1;2019
Kehler, E.;Pane, J.;1;2019
Paciello, J.;Pane, J.;1;2019
Barán, B.;Villagra, M.;2;2016
Acuña, J.M.B.;Cabañas, C.A.P.;1;2019
Acuña, J.M.B.;Sosa-Cabrera, G.;1;2019
Acuña, J.M.B.;García-Díaz, M.E.;1;2019
Cabañas, C.A.P.;Sosa-Cabrera, G.;1;2019
Cabañas, C.A.P.;García-Díaz, M.E.;1;2019
Sosa-Cabrera, G.;García-Díaz, M.E.;1;2019
Quiñonez, B.;Pinto-Roa, D.P.;1;2019
Quiñonez, B.;García-Torres, M.;1;2019
Quiñonez, B.;Núñez-Castillo, C.;1;2019
Quiñonez, B.;Divina, F.;1;2019
Pinto-Roa, D.P.;García-Torres, M.;1;2019
Pinto-Roa, D.P.;Núñez-Castillo, C.;1;2019
Pinto-Roa, D.P.;Divina, F.;1;2019
García-Torres, M.;Núñez-Castillo, C.;1;2019
Núñez-Castillo, C.;Divina, F.;1;2019
von Lücken, C.;Brizuela, C.;1;2019
von Lücken, C.;Barán, B.;1;2019
Brizuela, C.;Barán, B.;3;2015
Diarte, J.;Vazquez, E.;1;2019
Diarte, J.;Shaffer, M.;1;2019
Vazquez, E.;Shaffer, M.;1;2019
Akagi, J.T.;Gaona, C.F.;1;2019
Akagi, J.T.;Mendoza, F.;1;2019
Akagi, J.T.;Saikia, M.P.;1;2019
Akagi, J.T.;Villagra, M.;1;2019
Gaona, C.F.;Mendoza, F.;1;2019
Gaona, C.F.;Saikia, M.P.;1;2019
Gaona, C.F.;Villagra, M.;1;2019
Mendoza, F.;Saikia, M.P.;1;2019
Mendoza, F.;Villagra, M.;1;2019
Saikia, M.P.;Villagra, M.;1;2019
Ayala, M.;Doval-Gandoy, J.;1;2019
Ayala, M.;Rodas, J.;4;2016
Ayala, M.;Gonzalez, O.;3;2016
Ayala, M.;Gregor, R.;5;2016
Doval-Gandoy, J.;Rodas, J.;1;2019
Doval-Gandoy, J.;Gonzalez, O.;1;2019
Doval-Gandoy, J.;Gregor, R.;1;2019
Rodas, J.;Gonzalez, O.;3;2016
Gonzalez, O.;Gregor, R.;3;2016
Mendez, R.;Cardozo, R.;1;2019
Mendez, R.;Noguera, J.L.V.;1;2019
Mendez, R.;Grillo, S.;1;2019
Mendez, R.;García-Torres, M.;1;2019
Cardozo, R.;Noguera, J.L.V.;1;2019
Cardozo, R.;Grillo, S.;1;2019
Cardozo, R.;García-Torres, M.;1;2019
Noguera, J.L.V.;Grillo, S.;1;2019
Noguera, J.L.V.;García-Torres, M.;1;2019
Grillo, S.;García-Torres, M.;1;2019
Kali, Y.;Rodas, J.;2;2018
Kali, Y.;Saad, M.;2;2018
Kali, Y.;Alqaisi, W.;1;2019
Kali, Y.;Benjelloun, K.;1;2019
Rodas, J.;Saad, M.;2;2018
Rodas, J.;Alqaisi, W.;1;2019
Rodas, J.;Benjelloun, K.;1;2019
Saad, M.;Alqaisi, W.;1;2019
Saad, M.;Benjelloun, K.;1;2019
Alqaisi, W.;Benjelloun, K.;1;2019
Rey, M.-D.;Castillejo, M.Á.;1;2019
Rey, M.-D.;Sánchez-Lucas, R.;1;2019
Rey, M.-D.;Valledor, L.;1;2019
Rey, M.-D.;Jorrín-Novo, J.V.;1;2019
Castillejo, M.Á.;Sánchez-Lucas, R.;1;2019
Castillejo, M.Á.;Valledor, L.;1;2019
Castillejo, M.Á.;Jorrín-Novo, J.V.;1;2019
Sánchez-Lucas, R.;Valledor, L.;1;2019
Sánchez-Lucas, R.;Jorrín-Novo, J.V.;1;2019
Valledor, L.;Jorrín-Novo, J.V.;1;2019
Munoz, J.;Aliaga, R.;1;2018
Munoz, J.;Gaisse, P.;1;2018
Munoz, J.;Gregor, R.;1;2018
Munoz, J.;Rodas, J.;1;2018
Aliaga, R.;Gaisse, P.;1;2018
Aliaga, R.;Gregor, R.;1;2018
Aliaga, R.;Rodas, J.;1;2018
Gaisse, P.;Gregor, R.;1;2018
Gaisse, P.;Rodas, J.;1;2018
Renault, A.;Ayala, M.;1;2018
Renault, A.;Comparatore, L.;5;2016
Renault, A.;Pacher, J.;3;2017
Renault, A.;Gregor, R.;4;2016
Ayala, M.;Comparatore, L.;1;2018
Ayala, M.;Pacher, J.;1;2018
Comparatore, L.;Pacher, J.;3;2017
Comparatore, L.;Gregor, R.;5;2016
Pacher, J.;Gregor, R.;2;2018
