Source;Target;Weight;Year
Castaño, F.A.;Hernández, A.M.;1;2019
Castaño, F.A.;Soto-Romero, G.;1;2019
Hernández, A.M.;Soto-Romero, G.;2;2015
Feria-Garzón, M.G.;Rugeles, M.T.;1;2019
Feria-Garzón, M.G.;Hernandez, J.C.;1;2019
Feria-Garzón, M.G.;Lujan, J.A.;1;2019
Feria-Garzón, M.G.;Taborda, N.A.;1;2019
Rugeles, M.T.;Hernandez, J.C.;1;2019
Rugeles, M.T.;Lujan, J.A.;1;2019
Rugeles, M.T.;Taborda, N.A.;1;2019
Hernandez, J.C.;Lujan, J.A.;1;2019
Hernandez, J.C.;Taborda, N.A.;1;2019
Lujan, J.A.;Taborda, N.A.;1;2019
Ochoa, R.;García, E.;1;2019
Ochoa, R.;Robledo, S.M.;3;2016
Ochoa, R.;Cardona G, W.;1;2019
García, E.;Robledo, S.M.;1;2019
García, E.;Cardona G, W.;1;2019
Robledo, S.M.;Cardona G, W.;1;2019
Guisande, C.;Rueda-Quecho, A.J.;2;2019
Guisande, C.;Rangel-Silva, F.A.;2;2019
Guisande, C.;González-Vilas, L.;1;2019
Guisande, C.;Pelayo-Villamil, P.;2;2019
Rueda-Quecho, A.J.;Rangel-Silva, F.A.;2;2019
Rueda-Quecho, A.J.;González-Vilas, L.;1;2019
Rueda-Quecho, A.J.;Pelayo-Villamil, P.;2;2019
Rangel-Silva, F.A.;González-Vilas, L.;1;2019
Rangel-Silva, F.A.;Pelayo-Villamil, P.;2;2019
González-Vilas, L.;Pelayo-Villamil, P.;1;2019
Ochoa, R.;Laio, A.;1;2019
Ochoa, R.;Cossio, P.;1;2019
Laio, A.;Cossio, P.;1;2019
Urrea-Quintero, J.-H.;Ochoa, S.;1;2019
Urrea-Quintero, J.-H.;Hernández, H.;1;2019
Ochoa, S.;Hernández, H.;1;2019
Rincón-Rodriguez, R.;Mena, D.;1;2019
Rincón-Rodriguez, R.;Mena, J.;1;2019
Rincón-Rodriguez, R.;Cardenas, H.;1;2019
Rincón-Rodriguez, R.;Orihuela, P.A.;1;2019
Mena, D.;Mena, J.;1;2019
Mena, D.;Cardenas, H.;1;2019
Mena, D.;Orihuela, P.A.;1;2019
Mena, J.;Cardenas, H.;1;2019
Mena, J.;Orihuela, P.A.;1;2019
Cardenas, H.;Orihuela, P.A.;1;2019
García Morales, L.G.;Aedo Cobo, J.E.;1;2019
García Morales, L.G.;Bagherzadeh, N.;1;2019
Aedo Cobo, J.E.;Bagherzadeh, N.;2;2018
Martinez-Vargas, J.D.;Duque-Muñoz, L.;2;2017
Martinez-Vargas, J.D.;Vargas-Bonilla, F.;1;2019
Martinez-Vargas, J.D.;Lopez, J.D.;2;2017
Martinez-Vargas, J.D.;Castellanos-Dominguez, G.;3;2017
Duque-Muñoz, L.;Vargas-Bonilla, F.;1;2019
Duque-Muñoz, L.;Lopez, J.D.;1;2019
Duque-Muñoz, L.;Castellanos-Dominguez, G.;3;2015
Vargas-Bonilla, F.;Lopez, J.D.;1;2019
Vargas-Bonilla, F.;Castellanos-Dominguez, G.;1;2019
Lopez, J.D.;Castellanos-Dominguez, G.;2;2017
Pinto, M.;Fernández-Pascual, R.;1;2019
Pinto, M.;Caballero-Mariscal, D.;1;2019
Pinto, M.;Guerrero, D.;1;2019
Pinto, M.;Uribe, A.;1;2019
Fernández-Pascual, R.;Caballero-Mariscal, D.;1;2019
Fernández-Pascual, R.;Guerrero, D.;1;2019
Fernández-Pascual, R.;Uribe, A.;1;2019
Caballero-Mariscal, D.;Guerrero, D.;1;2019
Caballero-Mariscal, D.;Uribe, A.;1;2019
Guerrero, D.;Uribe, A.;1;2019
Vásquez-Correa, J.C.;Arias-Vergara, T.;10;2015
Vásquez-Correa, J.C.;Orozco-Arroyave, J.R.;23;2015
Vásquez-Correa, J.C.;Klucken, J.;1;2019
Vásquez-Correa, J.C.;Nöth, E.;19;2015
Arias-Vergara, T.;Orozco-Arroyave, J.R.;13;2015
Arias-Vergara, T.;Klucken, J.;1;2019
Arias-Vergara, T.;Nöth, E.;11;2015
Orozco-Arroyave, J.R.;Klucken, J.;1;2019
Orozco-Arroyave, J.R.;Nöth, E.;31;2015
Klucken, J.;Nöth, E.;1;2019
Popescu, I.;Hristache, M.;1;2019
Popescu, I.;Ciobanu, S.-S.;1;2019
Popescu, I.;Radu, A.;1;2019
Popescu, I.;Duque, C.A.;1;2019
Hristache, M.;Ciobanu, S.-S.;1;2019
Hristache, M.;Radu, A.;1;2019
Hristache, M.;Duque, C.A.;1;2019
Ciobanu, S.-S.;Radu, A.;1;2019
Ciobanu, S.-S.;Duque, C.A.;1;2019
Radu, A.;Duque, C.A.;2;2019
Santoro, B.F.;Rincón, D.;1;2019
Santoro, B.F.;da Silva, V.C.;1;2019
Santoro, B.F.;Mendoza, D.F.;1;2019
Rincón, D.;da Silva, V.C.;1;2019
Rincón, D.;Mendoza, D.F.;1;2019
da Silva, V.C.;Mendoza, D.F.;1;2019
Jaramillo, J.;Arias, J.;1;2019
Yepes Montoya, H.D.;Maria Cardenas Soto, A.;1;2019
Perez, A.E.;Granada Torres, J.J.;1;2019
Lopera, J.A.;Granada, J.J.;1;2019
Lopera, J.A.;Cardenas, A.M.;1;2019
Lopera, J.A.;Zapata, J.D.;2;2019
Granada, J.J.;Cardenas, A.M.;1;2019
Granada, J.J.;Zapata, J.D.;1;2019
Cardenas, A.M.;Zapata, J.D.;1;2019
Cortes, F.M.;Gaviria Gomez, N.;1;2019
Lopez Sanchez, D.A.;Cardenas Soto, A.M.;1;2019
Lopez Sanchez, D.A.;Granada Torres, J.J.;1;2019
Cardenas Soto, A.M.;Granada Torres, J.J.;1;2019
