Source;Target;Weight;Year
Otero, D.F.;Escallón, M.;1;2019
Otero, D.F.;López, C.;1;2019
Otero, D.F.;Akhavan-Tabatabaei, R.;1;2019
Escallón, M.;López, C.;1;2019
Escallón, M.;Akhavan-Tabatabaei, R.;1;2019
López, C.;Akhavan-Tabatabaei, R.;1;2019
Siqueira, J.R.;Peña, N.G.;1;2019
Siqueira, J.R.;ter Horst, E.;1;2019
Siqueira, J.R.;Molina, G.;1;2019
Peña, N.G.;ter Horst, E.;1;2019
Peña, N.G.;Molina, G.;1;2019
ter Horst, E.;Molina, G.;1;2019
Mazuera-Rozo, A.;Bautista-Mora, J.;1;2019
Mazuera-Rozo, A.;Linares-Vásquez, M.;1;2019
Mazuera-Rozo, A.;Rueda, S.;2;2018
Mazuera-Rozo, A.;Bavota, G.;1;2019
Bautista-Mora, J.;Linares-Vásquez, M.;1;2019
Bautista-Mora, J.;Rueda, S.;1;2019
Bautista-Mora, J.;Bavota, G.;1;2019
Linares-Vásquez, M.;Rueda, S.;1;2019
Linares-Vásquez, M.;Bavota, G.;3;2017
Rueda, S.;Bavota, G.;1;2019
Lara, P.;Sánchez, M.;2;2016
Lara, P.;Villalobos, J.;2;2016
Sánchez, M.;Villalobos, J.;13;2015
Acosta, J.P.;Restrepo, S.;1;2019
Acosta, J.P.;Henao, J.D.;1;2019
Acosta, J.P.;López-Kleine, L.;1;2019
Restrepo, S.;Henao, J.D.;1;2019
Restrepo, S.;López-Kleine, L.;1;2019
Henao, J.D.;López-Kleine, L.;1;2019
De La Hoz, H.D.F.;Sosa, J.S.;1;2019
De La Hoz, H.D.F.;Cardozo, N.;1;2019
Sosa, J.S.;Cardozo, N.;1;2019
Abolghasem, S.;Solano, F.;1;2019
Abolghasem, S.;Bedoya, C.D.;1;2019
Abolghasem, S.;Medaglia, A.L.;1;2019
Abolghasem, S.;Sarmiento, O.L.;1;2019
Solano, F.;Bedoya, C.D.;1;2019
Solano, F.;Medaglia, A.L.;1;2019
Solano, F.;Sarmiento, O.L.;1;2019
Bedoya, C.D.;Medaglia, A.L.;1;2019
Bedoya, C.D.;Sarmiento, O.L.;1;2019
Medaglia, A.L.;Sarmiento, O.L.;1;2019
Fonseca, D.;Leal-Pinto, S.M.;1;2019
Fonseca, D.;Roa-Cordero, M.V.;1;2019
Fonseca, D.;Muñoz-Castro, Á.;1;2019
Fonseca, D.;Hurtado, J.J.;1;2019
Leal-Pinto, S.M.;Roa-Cordero, M.V.;1;2019
Leal-Pinto, S.M.;Muñoz-Castro, Á.;1;2019
Leal-Pinto, S.M.;Hurtado, J.J.;1;2019
Roa-Cordero, M.V.;Muñoz-Castro, Á.;1;2019
Roa-Cordero, M.V.;Hurtado, J.J.;1;2019
Muñoz-Castro, Á.;Hurtado, J.J.;1;2019
Castillo, D.;Hidalgo, J.;1;2019
Castillo, D.;Africano, Y.;1;2019
Castillo, D.;Cortes, M.T.;1;2019
Castillo, D.;Bressan, M.;1;2019
Hidalgo, J.;Africano, Y.;1;2019
Hidalgo, J.;Cortes, M.T.;1;2019
Hidalgo, J.;Bressan, M.;1;2019
Africano, Y.;Cortes, M.T.;1;2019
Africano, Y.;Bressan, M.;1;2019
Cortes, M.T.;Bressan, M.;1;2019
Cano M.;J.J.;2;2019
Cano M.;Rocha, A.;1;2019
J.J.;Rocha, A.;1;2019
Sabillón, R.;Cano M.;1;2019
Sabillón, R.;J.J.;1;2019
Tajeddine, R.;Gnilke, O.W.;2;2018
Tajeddine, R.;Karpuk, D.;2;2018
Tajeddine, R.;Freij-Hollanti, R.;2;2018
Tajeddine, R.;Hollanti, C.;2;2018
Gnilke, O.W.;Karpuk, D.;3;2018
Gnilke, O.W.;Freij-Hollanti, R.;3;2018
Gnilke, O.W.;Hollanti, C.;3;2018
Karpuk, D.;Freij-Hollanti, R.;3;2018
Karpuk, D.;Hollanti, C.;3;2018
Freij-Hollanti, R.;Hollanti, C.;3;2018
Herrera-Quintero, L.F.;Chavarriaga, J.;2;2018
Herrera-Quintero, L.F.;Banse, K.;3;2016
Herrera-Quintero, L.F.;Bermudez, D.;1;2019
Herrera-Quintero, L.F.;Proeller, G.;1;2019
Chavarriaga, J.;Banse, K.;2;2018
Chavarriaga, J.;Bermudez, D.;2;2018
Chavarriaga, J.;Proeller, G.;1;2019
Banse, K.;Bermudez, D.;2;2018
Banse, K.;Proeller, G.;1;2019
Bermudez, D.;Proeller, G.;1;2019
Forero R.;F.;1;2019
Forero R.;M. Peña T.;1;2019
Forero R.;N.;1;2019
Forero R.;L.S. da Fonseca, N.;1;2019
F.;M. Peña T.;1;2019
F.;N.;1;2019
F.;L.S. da Fonseca, N.;1;2019
M. Peña T.;N.;1;2019
M. Peña T.;L.S. da Fonseca, N.;1;2019
N.;L.S. da Fonseca, N.;1;2019
Perez, B.;Correal, D.;2;2018
Perez, B.;Astudillo, H.;1;2019
Correal, D.;Astudillo, H.;3;2015
Dorta-Urra, A.;Bargueño, P.;1;2019
Scalabrino, S.;Bavota, G.;3;2017
Scalabrino, S.;Linares-Vasquez, M.;1;2019
Scalabrino, S.;Lanza, M.;1;2019
Scalabrino, S.;Oliveto, R.;4;2017
Bavota, G.;Linares-Vasquez, M.;4;2017
