ID;Label;KeywordsB2018;KeywordsA2018
Vicuña, M.I.;Vicuña, M.I.;;Time-varying models,Local stationarity,Non-stationarity,Minimum distance estimation
Palma, W.;Palma, W.;;Time-varying models,Local stationarity,Non-stationarity,Minimum distance estimation
Olea, R.;Olea, R.;;Time-varying models,Local stationarity,Non-stationarity,Minimum distance estimation
Sahli Costabal, F.;Sahli Costabal, F.;Abaqus,Electro-mechanics,Cardiac mechanics,Finite element analysis,Excitation–contraction;Bayesian inference,Machine learning,Hamiltonian Monte Carlo,Cardiac electrophysiology,Data-driven modeling
Perdikaris, P.;Perdikaris, P.;;Bayesian inference,Machine learning,Hamiltonian Monte Carlo,Cardiac electrophysiology,Data-driven modeling
Kuhl, E.;Kuhl, E.;Abaqus,Electro-mechanics,Cardiac mechanics,Finite element analysis,Excitation–contraction;Bayesian inference,Machine learning,Hamiltonian Monte Carlo,Cardiac electrophysiology,Data-driven modeling
Hurtado, D.E.;Hurtado, D.E.;Finite element method,flow quantification,Porous medium equation,Cardiac mechanics,Finite element analysis,uncertainty quantification,Nonlinear finite element method,Electro-mechanics,parameter sensitivity analysis,Regional lung strain,Lung biomechanics,Cardiac electrophysiology,cardiac electromechanics,3D CINE PC-MRI,Lung CT image analysis,uncertainty propagation,finite elements,wall shear stress,Computational cardiology,Abaqus,oscillatory shear index,Nonlinear diffusion,Excitation–contraction;Bayesian inference,Incompatible modes,Nonlinear preconditioning,Compression,Non-linear reaction–diffusion equation,Nonlinear finite-element method,Machine learning,Hamiltonian Monte Carlo,Newton's method,Solver convergence,Nonlinear elasticity,Soft tissues,Non-conforming finite elements,Cardiac electrophysiology,Data-driven modeling
Wang, W.-L.;Wang, W.-L.;;Common factor loadings,Outright clustering,Detection limit,Censored data,Outliers,ECME algorithm,Clustering,Factor analyzer,Data reduction,AECM algorithm,Truncated multivariate normal distribution
Castro, L.M.;Castro, L.M.;;Common factor loadings,Outright clustering,Detection limit,Censored data,Outliers,ECME algorithm,Clustering,Factor analyzer,Data reduction,AECM algorithm,Truncated multivariate normal distribution
Lachos, V.H.;Lachos, V.H.;;Outright clustering,Detection limit,Censored data,AECM algorithm,Truncated multivariate normal distribution
Lin, T.-I.;Lin, T.-I.;;Common factor loadings,Outright clustering,Detection limit,Censored data,Outliers,ECME algorithm,Clustering,Factor analyzer,Data reduction,AECM algorithm,Truncated multivariate normal distribution
Larrain, H.;Larrain, H.;Optimization,Automated teller machines,Neighborhood search,Cash industry;Routing,Public transport,Queuing theory,Express service,Frequency optimization,Exact algorithm,Due dates,Heuristic,Local search,Hybrid algorithm,Bus stop,Bus rapid transit,VMND
Coelho, L.C.;Coelho, L.C.;Optimization,Automated teller machines,Neighborhood search,Cash industry;Routing,Exact algorithm,Due dates,Heuristic,Local search,Hybrid algorithm,VMND
Archetti, C.;Archetti, C.;;Routing,Exact algorithm,Due dates,Heuristic,Local search,Hybrid algorithm,VMND
Speranza, M.G.;Speranza, M.G.;;Routing,Exact algorithm,Due dates,Heuristic,Local search,Hybrid algorithm,VMND
Echeverria, A.;Echeverria, A.;;
