ID;Label;KeywordsB2018;KeywordsA2018
Navarro, R.;Navarro, R.;;Educational videogames,Human factors
Vega, V.;Vega, V.;;Educational videogames,Human factors
Martinez, S.;Martinez, S.;;
Hidalgo, D.;Hidalgo, D.;;
Benavente, B.;Benavente, B.;;
Paz, F.;Paz, F.;Method,Usability inspection,human computer-interaction,Semiotic inspection method,Video Prototyping,heuristic evaluation,Heuristic evaluation,Experimental study,Transactional web applications,User experience,Usability heuristics,Experimental case study,Experimental evaluation,Systematic mapping review,usability,Scrum,Human computer-interaction,transactional web applications,Website,evaluation methods,Usability evaluation methods,Communicability evaluation,User-centered design,Automatic teller machine,Software development process,systematic mapping review,user-centered design,Comparative study,Storyboarding,Usability testing,Perception model,usability study,User experience (UX),Usability,Videogames,Semiotic engineering,Human-computer interaction,usability testing,User interface design,Usability evaluation,Systematic review,human-computer interaction,Agile methodologies,Human computer interaction;E-Commerce applications,Automated teller machine,Model,Heuristic evaluation,Systematic literature review,Human behavior,Web services,Experimental case study,Human-systems integration,Assessment framework,User-centered design,Tools,Evaluation methods,Systems engineering,Design Thinking,educational technology,Usability,Application of computer science,Human-computer interaction,Mobile educational games,Quantitative metrics,Primary school students,PM4r,E-commerce,Human computer interaction,Mobile application,Usability principles,Software development,Transactional web applications,User experience,Human-Computer Interaction,Automated Teller Machine,Usability assessment,augmented reality,Perception study,Software applications,Automated-Teller Machine,Project management,Usability study,Emocards,Software metrics,Graphical user interfaces,Usability testing,Mobile passenger application,Assessment protocol,Usability heuristics,User interfaces,User-Centered Design,Chabot,Design thinking,Quality software,Metrics,Playability heuristics,Software architecture,Innovation,Usability evaluation methods,Design sprint,User satisfaction,Augmented reality,User interface design,Usability evaluation,Systematic review,Electronic commerce,Framework,Method adoption model,Web accessibility,Public transport,E-commerce applications,Human factors,Multidisciplinary development project,usability heuristics,Usability methods,ISO and usability,Information system,Automatic teller machine,User interface,Design process,Video games,Cultural behavior,Usability guidelines,Design,Nielsen usability guidelines,Agile development
Granollers, T.;Granollers, T.;;
Paz, F.A.;Paz, F.A.;Usability inspection,human computer-interaction,Semiotic inspection method,heuristic evaluation,Heuristic evaluation,Experimental study,Experimental case study,Experimental evaluation,Human computer-interaction,transactional web applications,Communicability evaluation,Comparative study,Perception model,usability study,Usability,usability testing,Human-computer interaction,User interface design,Usability heuristics;Usability,Perception study,Human-computer interaction,Systems engineering,Quantitative metrics,E-commerce applications,Method adoption model,Human factors,Heuristic evaluation,Usability principles,Usability evaluation methods,Human-Computer Interaction,Human-systems integration,Assessment framework,Assessment protocol,Usability heuristics
Moquillaza, A.;Moquillaza, A.;Usability,Semiotic engineering,Human-computer interaction,Video Prototyping,Usability evaluation,Heuristic evaluation,Transactional web applications,User-centered design,Storyboarding,Usability testing,Automatic teller machine,Human computer interaction;E-Commerce applications,Web accessibility,Automated teller machine,User interfaces,Human factors,Heuristic evaluation,Human-Computer Interaction,Automated Teller Machine,Human-systems integration,Usability assessment,Assessment framework,Quality software,User-centered design,Software applications,Automatic teller machine,User interface,Software metrics,Evaluation methods,Systems engineering,Design Thinking,Usability,Human-computer interaction,Quantitative metrics,Usability evaluation,Systematic review,Framework,Usability heuristics
Falconi, F.;Falconi, F.;;Automated teller machine,Usability,Human-computer interaction,User-centered design,Design Thinking
Mehdikhani, R.;Mehdikhani, R.;;Internal knowledge sharing,Sustainable supply chain management,Iran,Strategic collaboration,External knowledge sharing
Valmohammadi, C.;Valmohammadi, C.;;Internal knowledge sharing,Sustainable supply chain management,Iran,Strategic collaboration,External knowledge sharing
Cabrera-Donayre, R.;Cabrera-Donayre, R.;;
Gonzalez, D.;Gonzalez, D.;;
Arteaga, D.;Arteaga, D.;;Application of computer science,Software architecture,Chabot,Information system,Web services
Arenas, J.;Arenas, J.;;Mobile passenger application,Public transport,Design process,Application of computer science,Usability,Model,User interface design,Mobile application,Software architecture,Innovation,Chabot,User-centered design,Information system,Web services,Experimental case study
Tupia, M.;Tupia, M.;SAT problem,Heuristics,Information security,Local government,Genetic algorithms,metaheuristics,Ubiquitous technology,Water distribution,GRASP algorithm,Traveling salesman problem,GRASP algorithms,M-government,Genetic algorithm,3D-TSP problem,El niño,TSP,Electronic government,bioinformatics,Meta heuristics,evolutionary algorithms,Framework;BYOD,Services,tourism,Model,Metaheuristic,Chabot,Bio-Inspired Algorithms,Web services,Digital government,Taboo search,Ecuador,Information security,Local government,Mobile devices,E-government,Software architecture,2D-Cutting Problem,Information system,Bin packing problem,Survey,Bio-inspired algorithm,PICOC,expert systems,Genetic algorithm,artificial intelligence,state of art,Production Scheduling,Digital gap,Electronic government,SME,Meta heuristics,Job scheduling,Peru,Implementation,Cuckoo Search Algorithm,Application of computer science,systematic review,Cybersecurity model,Optimization,Bat Algorithm,Kitchenham,Governance,Digital services
Bruzza, M.;Bruzza, M.;Ubiquitous technology,M-government,Electronic government,Framework,Information security,Local government;BYOD,Services,tourism,Model,Chabot,Bio-Inspired Algorithms,Web services,Ecuador,Information security,Local government,Mobile devices,E-government,Software architecture,2D-Cutting Problem,Information system,Survey,PICOC,expert systems,artificial intelligence,state of art,Digital gap,Electronic government,SME,Implementation,Cuckoo Search Algorithm,Application of computer science,systematic review,Cybersecurity model,Optimization,Kitchenham,Governance,Digital services
Sotomayor-Beltran, C.;Sotomayor-Beltran, C.;;Linear programming,Pulp,Python,Operations research
Delgado, A.;Delgado, A.;;Autistic Spectrum Disorder,Hierarchical Analytical Process,Operations research,Air quality assessment,Social impact assessment,Shannon entropy,Linear programming,CTWF,Agile Methodologies,Grey clustering method,Kanban Method,Pulp,The entropy-weight method,Violence against women,Python,Grey systems theory,DSDM Method,Mining project,Scrum Method,Grey systems,Grey clustering,Entropy-weight method,Lean Method,Inclusive websites,Web pages evaluation.,Citizen criminality
Flores, L.F.;Flores, L.F.;;rf magnetron sputtering,Ytterbium,Photoluminescence lifetime,Silicon oxycarbide,Terbium
Tucto, K.Y.;Tucto, K.Y.;;rf magnetron sputtering,Ytterbium,Photoluminescence lifetime,Silicon oxycarbide,Terbium
Guerra, J.A.;Guerra, J.A.;;rf magnetron sputtering,Ytterbium,Photoluminescence lifetime,Silicon oxycarbide,Terbium
Grieseler, R.;Grieseler, R.;;rf magnetron sputtering,Ytterbium,Photoluminescence lifetime,Silicon oxycarbide,Terbium
Weingärtner, R.;Weingärtner, R.;;rf magnetron sputtering,Ytterbium,Photoluminescence lifetime,Silicon oxycarbide,Terbium
Reyes, H.;Reyes, H.;;Mining project,Social impact assessment,Grey systems
Romero, I.;Romero, I.;;Mining project,Social impact assessment,Grey systems
Mancilla, C.C.;Mancilla, C.C.;;Mining project,Social impact assessment,Grey systems
Achanccaray, D.;Achanccaray, D.;ANFIS,P300,Virtual reality,Brain-computer/machine interface,Rehabilitation,Neurorehabilitation,Neural signal processing,Brain computer interface,Brain Computer Interface;virtual reality,stroke,rehabilitation,brain computer interface
Chau, J.M.;Chau, J.M.;;Parallel Processing,GPU,Median Filter,Image Processing,CUDA
Pirca, J.;Pirca, J.;;
Sepulveda, F.;Sepulveda, F.;;
Hayashibe, M.;Hayashibe, M.;;virtual reality,stroke,rehabilitation,brain computer interface
Villegas, B.;Villegas, B.;3D-printing,Parametric design,Transmetacarpal amputation,Upper limb prostheses,Robotics;biosignals,stuttering,respiratory patterns
Flores, K.M.;Flores, K.M.;;respiratory patterns,3D printed,transradial amputee,stuttering,prosthesis arm,biosignals
Pacheco-Barrios, K.;Pacheco-Barrios, K.;;biosignals,stuttering,respiratory patterns
Elias, D.;Elias, D.;Biomedical Engineering,3D-printing,Parametric design,hand prosthetics,sensory substitution,Robotics,Transmetacarpal amputation,Upper limb prostheses,Haptic device,sensory feedback,EMG,Finger force sensing,Strain gauge sensor;respiratory patterns,3D printed,transradial amputee,stuttering,prosthesis arm,biosignals
Abarca, V.E.;Abarca, V.E.;;prosthesis arm,3D printed,transradial amputee
Moran, A.;Moran, A.;Path planning,Ant colony optimization,Combinatorial optimization,Trajectory following,Linear-fuzzy control,Articulated mobile robots,Truck-trailer robots,Mobile robots;self-driving vehicles,Q-learning,robotics,deep learning,deep deterministic policy gradient (DDPG) algorithm,reinforcement learning,magnetic positioning system,control systems
Quesada, J.;Quesada, J.;Separable Filters,Convolutional Sparse Representation,Convolutional Sparse Coding,Principal Component Pursuit,Vehicle Counting;Separable Filters,Separable Filter learning,Parallel Processing,GPU,Separable filters,Image Processing,Convolutional Sparse Representation,Convolutional Sparse Coding,CUDA,Median Filter,Dictionary Learning
Silva, G.;Silva, G.;Separable Filters,Convolutional Sparse Representation,Convolutional Sparse Coding,Rigid transformations,Principal Component Pursuit,Video Background Modeling;Separable Filters,Separable Filter learning,Convolutional Sparse Representation,Convolutional Sparse Coding,Convolutional Dictionary Learning,FISTA,APG,Dictionary Learning,Consensus
