ID;Label;KeywordsB2018;KeywordsA2018
Castillo-Reyna, J.;Castillo-Reyna, J.;;
García-García, R.M.;García-García, R.M.;;
Ramírez-Medrano, A.;Ramírez-Medrano, A.;;
Chamorro-Urroz, C.D.;Chamorro-Urroz, C.D.;;
Membrillo-Hernández, J.;Membrillo-Hernández, J.;;Challenge based education,Sustainable development,Engineering
Valdez, S.I.;Valdez, S.I.;;
Hernandez, E.;Hernandez, E.;;spherical stabilizer,Singularity analysis,Control moment gyroscope,Walking rehabilitation device,satellite's attitude control,friction drive,Direct and inverse kinematics,Parallel manipulator
Keshtkar, S.;Keshtkar, S.;;spherical stabilizer,Singularity analysis,Control moment gyroscope,Walking rehabilitation device,satellite's attitude control,friction drive,Direct and inverse kinematics,Parallel manipulator
Aguirre-Ramos, H.;Aguirre-Ramos, H.;;Biomedical image feature extraction,Traffic sign recognition,Oblique parabola detection,Parameter optimization,Differential Evolution
Avina-Cervantes, J.G.;Avina-Cervantes, J.G.;;Biomedical image feature extraction,Traffic sign recognition,Oblique parabola detection,Parameter optimization,Differential Evolution
Ilunga-Mbuyamba, E.;Ilunga-Mbuyamba, E.;;Biomedical image feature extraction,Traffic sign recognition,Oblique parabola detection,Parameter optimization,Differential Evolution
Cruz-Aceves, I.;Cruz-Aceves, I.;;Biomedical image feature extraction,Traffic sign recognition,Oblique parabola detection,Parameter optimization,Differential Evolution
Gallegos-Arellano, E.;Gallegos-Arellano, E.;;Biomedical image feature extraction,Traffic sign recognition,Oblique parabola detection,Parameter optimization,Differential Evolution
EL-Latif, A.A.A.;EL-Latif, A.A.A.;;5G networks,Quantum walks,Quantum hash function,Security protocols,Authentication
Abd-El-Atty, B.;Abd-El-Atty, B.;;chaotic systems,Quantum image encryption,Quantum walks on a circle,5G networks,Quantum walks,Quantum hash function,Quantum image processing,Security protocols,Discrete-time quantum walks,Authentication
Venegas-Andraca, S.E.;Venegas-Andraca, S.E.;Region-based,Quantum image encryption,quantum computation,Quantum Sensing,Quantum Geodesy,Earthquakes,Quantum image processing,Radar absorbing materials,Interferometry,Quantum sensors,Synthetic Aperture Radar,Seismology,Quantum image representation,Quantum Synthetic Aperture Radar,Burns,Quantum Sensors,quantum information,Quantum image searching,Quantum computation,Radar cross sections,Animal Behavior,Spectral clustering,Quantum information,Phased Array Radar,Scattering matrix,Data Fusion,Geodesy,Image rotation,data fusion,Quantum watermarking,Shear mapping,Image segmentation,Nyström approximation,Quantum sensing,Data fusion,Seismography,quantum data fusion,Virtual modes,Sensing,Ghost Imaging,Quantum video,Quantum image,Tectonophysics,Compressive Sensing,Quantum algorithms,Mean-shift segmentation,Quantum Radar,Lemurs,Quantum radar,Underwater Sensing,Quantum Information,Radar,Multistatic radar;chaotic systems,quantum algorithms,Quantum image encryption,quantum computing,Quantum walks on a circle,5G networks,Quantum walks,Quantum hash function,Quantum image processing,quantum walks,quantum entanglement,Security protocols,Discrete-time quantum walks,Authentication
Mazurczyk, W.;Mazurczyk, W.;;5G networks,Quantum walks,Quantum hash function,Security protocols,Authentication
Rodríguez-Ruiz, J.;Rodríguez-Ruiz, J.;;
Medina-Pérez, M.A.;Medina-Pérez, M.A.;Masquerader detection,Imbalanced databases,Masquerade Detection,Biometrics,Pattern recognition,Supervised classifier,Minutiae-based algorithms,Information Security,Classifier ensemble,One-class classifier,Behavioural patterns,Contrast patterns,Personal risk detection,Anomaly detection,One-class classification,Latent fingerprints,Physiological patterns;visualisation,wearable sensors,Masquerade detection,Decision tree ensemble,Clustering,pattern-based classification,Supervised classification,Contrast pattern,One-class classification,Cache optimization,Cluster validity indexes,Language interoperability,MCPR,Influence modeling,one-class classification,Data visualization,Scientometrics,Fingerprint recognition,Visual analytics,Personal risk detection,IoT,Pattern mining,Social networks,Bot detection,Information extraction,Classifier ensembles,Pattern recognition,User behavior,machine learning,File access,multivariate decision trees,Twitter,information security,comprehensible classifiers,Log analysis
Monroy, R.;Monroy, R.;Masquerader detection,Imbalanced databases,Masquerade Detection,Decidability,Tracking,Model checking,Supervised classifier,Information Security,Classifier ensemble,Contrast patterns,Formal methods,Motion planning,Pursuit-evasion,Complexity,Security protocols,One-class classifier,Browser based protocols;social networks,visualisation,Latent fingerprint identification,wearable sensors,Masquerade detection,Decision tree ensemble,Clustering,bot detection,pattern-based classification,Supervised classification,Contrast pattern,One-class classification,Cluster validity indexes,Influence modeling,one-class classification,Data visualization,Visual analytics,Contrast patterns,Personal risk detection,IoT,Pattern mining,Social networks,Bot detection,Classifier ensembles,Pattern recognition,User behavior,Minutia descriptor,machine learning,Fingerprint feature representation,File access,Minutia descriptor evaluation,multivariate decision trees,Twitter,information security,supervised classification,comprehensible classifiers,Log analysis
Loyola-González, O.;Loyola-González, O.;Imbalanced databases,Biometrics,Minutiae-based algorithms,Supervised classifier,Contrast patterns,Latent fingerprints;Social networks,Bot detection,Information extraction,Pattern recognition,MCPR,multivariate decision trees,Influence modeling,Twitter,Scientometrics,comprehensible classifiers,Visual analytics,pattern-based classification,Supervised classification,Contrast pattern
Cervantes, B.;Cervantes, B.;;Bot detection,Decision tree ensemble,Data visualization,Log analysis,Supervised classification,Contrast pattern,Pattern mining
Gómez, F.;Gómez, F.;;Data visualization,Pattern mining,Log analysis
Ramírez-Márquez, J.;Ramírez-Márquez, J.;;Data visualization,Pattern mining,Log analysis
Munõz-Ibañez, C.;Munõz-Ibañez, C.;;Aluminum alloys,Semi parametric modelling,Back-propagation,Hierarchical neural network
Alfaro-Ponce, M.;Alfaro-Ponce, M.;;Unknown input observers,Differential neural network,Aluminum alloys,Super-twisting algorithm,Electrophysiological response,Hierarchical neural network,Back-propagation,Sliding mode,Semi parametric modelling
Chairez, I.;Chairez, I.;Differential neural network,Parallel numerical solutions,Finite element method,Non-parametric identification,CUDA/C,Distributed parameter systems;Unknown input observers,Differential neural network,Aluminum alloys,Super-twisting algorithm,Electrophysiological response,Hierarchical neural network,Back-propagation,Sliding mode,Semi parametric modelling
Yungaicela-Naula, N.;Yungaicela-Naula, N.;;Source location,Uav,Metaheuristic,Air pollution,Bayesian
Garza-Castañon, L.E.;Garza-Castañon, L.E.;;Source location,Uav,Metaheuristic,Air pollution,Bayesian
Zhang, Y.;Zhang, Y.;microgrid control,Energy management,Microgrids,Optimal control,load shedding;Source location,Uav,Metaheuristic,Air pollution,Bayesian
Minchala-Avila, L.I.;Minchala-Avila, L.I.;microgrid control,Energy management,Microgrids,Optimal control,load shedding;Source location,Uav,Metaheuristic,Air pollution,Bayesian
Abd El-Latif, A.A.;Abd El-Latif, A.A.;;chaotic systems,Quantum image encryption,Quantum walks on a circle,Quantum image processing,Discrete-time quantum walks
Camposeco-Negrete, C.;Camposeco-Negrete, C.;Energy consumption reduction,Sustainable manufacturing,Turning,Robust Design;Energy consumption reduction,Slot milling,Green manufacturing,Optimization,Turning,WEDM,Robust design,Desirability method,Sustainable manufacturing,Response surface method,Response surface methodology
Ong, S.-B.;Ong, S.-B.;;mdivi-1,mitochondrial morphology,pig,ischemia/reperfusion injury,cardioprotection,Drp1
Kwek, X.-Y.;Kwek, X.-Y.;;mdivi-1,mitochondrial morphology,pig,ischemia/reperfusion injury,cardioprotection,Drp1
Katwadi, K.;Katwadi, K.;;mdivi-1,mitochondrial morphology,pig,ischemia/reperfusion injury,cardioprotection,Drp1
Cabrera-Fuentes, H.A.;Cabrera-Fuentes, H.A.;;mdivi-1,mitochondrial morphology,Cardioprotection,Macrophages,pig,Innate immune response,Cardiac repair,ischemia/reperfusion injury,Myocardial infarction,cardioprotection,Drp1,Remodeling
Hausenloy, D.J.;Hausenloy, D.J.;;mdivi-1,Cardioprotection,Macrophages,pig,Cardiac repair,cardioprotection,Remodeling,Propofol,Innate immune response,Ischemic preconditioning,Carvedilol,Cardiac surgery,ischemia/reperfusion injury,O-GlcNAc,Remote ischemic conditioning,mitochondrial morphology,Ischemia-reperfusion injury,Myocardial infarction,Drp1,Sevoflurane
de Dios Calderón-Nájera, J.;de Dios Calderón-Nájera, J.;;Energy consumption reduction,Slot milling,Green manufacturing,Turning,Sustainable manufacturing,Response surface method,Response surface methodology
del Castillo, R.M.;del Castillo, R.M.;;Carbon nanotorus,Organometallic compounds,DFT,Ferrotoroid
Miralrio, A.;Miralrio, A.;;Carbon nanotorus,Organometallic compounds,DFT,Ferrotoroid
Rios, C.;Rios, C.;;Carbon nanotorus,Organometallic compounds,DFT,Ferrotoroid
Salcedo, R.;Salcedo, R.;;Carbon nanotorus,Organometallic compounds,DFT,Ferrotoroid
Wang-jian, H.;Wang-jian, H.;;Dynamic programming,Optimal input design,Multi UAVs formation,Anomaly detection
Rojas-López, A.;Rojas-López, A.;;Motivation,Engagement,Strategy,Teaching,Challenge,Gamification,Programming
Rincón-Flores, E.G.;Rincón-Flores, E.G.;;Motivation,Engagement,Strategy,Teaching,Challenge,Gamification,Programming
Mena, J.;Mena, J.;Energy,Challenge based learning,Teachers' digital competence,Open innovation,Problem solution,Innovation based evidence,Open resource education,MOOC,Training inservice teachers,MOOCs,Modeling,Gamification,Open educational resources,Improving classroom teaching,Challenges,Distance education and telelearning;Motivation,Engagement,MOOCs,Teacher education,Challenge,Gamification
García-Peñalvo, F.J.;García-Peñalvo, F.J.;Technology,PhD programme,User experience,Doctoral consortium,Coursera,Education,Statistical analysis,Usability evaluation prototype,Mooc,educational software,User centered design,SWOT,Open innovation,Knowledge society,Repository,Design user interface,Collaborative knowledge construction,Doctoral Consortium,ICT skills,Science 2.0,Discovery tools,Social innovation labs (laboratories),Learning analytics,Log analysis,Social innovation laboratories,simulator;Ph.D. programme,Open access repository,Motivation,TAM,Validity of a measure,Engagement,Knowledge society,Technology,Reliability,User experience,Challenge,Doctoral consortium,Gamification,Survey,Education
Ramírez-Montoya, M.S.;Ramírez-Montoya, M.S.;Statistical analysis,Open innovation,Learning analytics,Social innovation labs (laboratories),Mooc,Knowledge society,Collaborative knowledge construction,Technology,Social innovation laboratories,PhD programme,Doctoral consortium,Coursera,Log analysis,Education,Doctoral Consortium;Open access repository,TAM,Instructional design,MOOCs,Teacher education,Technology,User experience,Doctoral consortium,Education,Ph.D. programme,Engagement,MOOC,Survey,Open innovation,Knowledge society,Challenge,Motivation,Validity of a measure,Energy sustainability,Entrepreneurship competencies,Reliability,Gamification
Desirena-López, G.;Desirena-López, G.;Modeling,TCPN,Control,Scheduling;Timed continuous petri nets,Multiprocessor,Modeling,Feedback control,Thermal-aware scheduling,Real-time systems
Ramírez-Treviño, A.;Ramírez-Treviño, A.;Modeling,TCPN,Control,Scheduling;Timed continuous petri nets,Petri Nets,Multiprocessor,Automation,Discrete Event Systems,Modeling,Feedback control,Thermal-aware scheduling,Real-time systems
Briz, J.L.;Briz, J.L.;Modeling,TCPN,Control,Scheduling;Timed continuous petri nets,Multiprocessor,Modeling,Feedback control,Thermal-aware scheduling,Real-time systems
Vázquez, C.R.;Vázquez, C.R.;Control,Hybrid systems,Diagnosis and Fault Detection,Petri Nets,Switched systems,TCPN,Observers,Hybrid Systems,Modeling,Petri nets,Observability,Scheduling,Finite time observers;Timed continuous petri nets,Petri Nets,Finite-time consensus,Multiprocessor,Automation,fixed-time consensus,multi-agent systems,Discrete Event Systems,Modeling,self-organising systems,Feedback control,Thermal-aware scheduling,dynamical networks,Real-time systems,multiple interacting autonomous agents
Gómez-Gutiérrez, D.;Gómez-Gutiérrez, D.;Control,Hybrid systems,Switched systems,TCPN,Observers,Modeling,Petri nets,Observability,Scheduling,Finite time observers;Multi-agent systems,Timed continuous petri nets,Self-organizing systems,Finite-time consensus,Multiprocessor,self-organising systems,fixed-time consensus,multi-agent systems,Modeling,Feedback control,Multiple interacting autonomous agents,Thermal-aware scheduling,dynamical networks,Real-time systems,multiple interacting autonomous agents
Curiel-Ramirez, L.A.;Curiel-Ramirez, L.A.;;Semi-autonomous Vehicles,Internet of Vehicles,Autonomous Vehicles,Internet of Things,Automotive Vehicles,autonomous vehicles,intelligent transportation,system architecture,modular framework
Izquierdo-Reyes, J.;Izquierdo-Reyes, J.;;Backpack,Semi-autonomous Vehicles,Internet of Vehicles,Facial analysis,Autonomous Vehicles,Security,Smart,Emotional domotics,Internet of Things,Automotive Vehicles,autonomous vehicles,intelligent transportation,system architecture,Intelligent ambient,modular framework,RFID,Facial action coding system
Bustamante-Bello, M.R.;Bustamante-Bello, M.R.;;Semi-autonomous Vehicles,Internet of Vehicles,Ergonomy,Facial analysis,Autonomous Vehicles,Workstation Design,Emotional domotics,Internet of Things,Automotive Vehicles,User experience,Emotional Domotics,Intelligent ambient,Productivity,Facial Action Coding System,Facial action coding system
Ramirez-Mendoza, R.A.;Ramirez-Mendoza, R.A.;;Data processing,Semi-autonomous Vehicles,Automotive applications,Intelligent vehicles,Shock absorbers,Internet of Things,Road vehicles,Internet of Vehicles,Motion control,spline fitting,autonomous vehicles,system architecture,Automotive systems,modular framework,noise,curvature,Biometry,Automotive Vehicles,error minimization,knot-placement,Biometrics,Autonomous Vehicles,Cognitive,Autonomous,intelligent transportation,Vehicle dynamics
Garcia-Barba, A.;Garcia-Barba, A.;;Semi-autonomous Vehicles,Internet of Vehicles,Autonomous Vehicles,Internet of Things,Automotive Vehicles
Castañeda, H.;Castañeda, H.;Adaptive control,Flight control,Extended observer,Fixed wing UAV,UAVs;Robust control,Quadrotor MAV,Spatial modeling,Adaptive sliding mode control,Sliding mode control,Embedded control,Quadrotor MAVs
Gordillo, J.L.;Gordillo, J.L.;Assisted navigation,Electronic nose,Ventilation model,Active-backdrivability,Sniffing robot,Haptics,Artificial smell sensor,Assistance-as-needed,Geared DC motor,Teleoperation,Odor tracking algorithm,Wearable robots,Chemical sensors,Bio-inspired nose,Powered orthosis,Biomimetics,Computer vision,Human-robot interaction;Robust control,Quadrotor MAV,Spatial modeling,Adaptive sliding mode control,Sliding mode control,Embedded control,Quadrotor MAVs
Rosales, A.;Rosales, A.;sliding mode control,fixed-frequency,describing function,variable gain,self-regulation,DFIG,frequency-domain analysis,Sliding Mode Control,relay systems;
Ibarra, L.;Ibarra, L.;Type-2 Fuzzy systems,Fuzzy sets,sliding mode control,Footprint of uncertainty,fixed-frequency,describing function,Membership functions,variable gain,self-regulation,Possibility theory,Data analysis,Membership function,Parametrization,Ellipsoidal rules,relay systems,Uncertainty measurements;
