ID;Label;KeywordsB2018;KeywordsA2018
Lombardi, L.E.;Lombardi, L.E.;;
Martí, M.A.;Martí, M.A.;;
Capece, L.;Capece, L.;;
González, G.A.;González, G.A.;;
Barraza, N.R.;Barraza, N.R.;memory channel,Polya noise,Gilbert-Elliot model,logarithmic noise;
Lazzari, L.L.;Lazzari, L.L.;;
Mouliá, P.I.;Mouliá, P.I.;;
Eriz, M.;Eriz, M.;;
Clua, O.;Clua, O.;complexity,student motivation,scaffolding,scaffolding courses,research projects in the classroom,distributed software systems,teaching and research,requirements elicitation;
Feldgen, M.;Feldgen, M.;complexity,student motivation,scaffolding,scaffolding courses,research projects in the classroom,distributed software systems,teaching and research,requirements elicitation;
Frank, G.A.;Frank, G.A.;time delays,couples,Evacuation,panic;
Dorso, C.O.;Dorso, C.O.;time delays,couples,Evacuation,panic;
Robiolo, G.;Robiolo, G.;;
Pasquini, R.;Pasquini, R.;;
Isoldi, J.;Isoldi, J.;;
Dams, C.;Dams, C.;;
Sarria, V.;Sarria, V.;;
Grieskamp, W.;Grieskamp, W.;;
Kicillof, N.;Kicillof, N.;;
Monteverde, D.;Monteverde, D.;;
Olivero, A.;Olivero, A.;;
Yovine, S.;Yovine, S.;Automated code generation,Parallel programming,Formal methods,Software design patterns;
Braberman, V.;Braberman, V.;Formal Specifications,Quantitativemodelling,Partial verification,requirements engineering,Probability,Behavioral modeling,Estimation,specification patterns,Requirements Engineering,Model checking;Tools,Safety,Runtime,Paints,Control systems,Business,Dynamic Update,Adaptive Systems,Controller Synthesis
Ponta, F.L.;Ponta, F.L.;;
Gomez, P.M.;Gomez, P.M.;;
D'Onofrio, E.M.;D'Onofrio, E.M.;;
Santiago, G.;Santiago, G.;;
Lizana, A.;Lizana, A.;;
Martin, N.;Martin, N.;;
Fernandez, E.;Fernandez, E.;;
Campos, J.;Campos, J.;;
Yzuel, M.J.;Yzuel, M.J.;;
Hohendahl, A.T.;Hohendahl, A.T.;;
Zelasco, J.F.;Zelasco, J.F.;;
Donayo, J.;Donayo, J.;;
Ramírez, C.L.;Ramírez, C.L.;;
Zeida, A.;Zeida, A.;;
Jara, G.E.;Jara, G.E.;;
Roitberg, A.E.;Roitberg, A.E.;;
Uchitel, S.;Uchitel, S.;Partial verification,Quantitativemodelling,Probability,Estimation,Model checking;Tools,Safety,Runtime,Paints,Control systems,Business,Dynamic Update,Adaptive Systems,Controller Synthesis
Brunet, G.;Brunet, G.;;
Chechik, M.;Chechik, M.;;
Maronna, R.A.;Maronna, R.A.;;
Yohai, V.J.;Yohai, V.J.;;
Arcia, A.;Arcia, A.;;
Montavont, N.;Montavont, N.;;
Paltrineri, A.;Paltrineri, A.;;
Ros, D.;Ros, D.;;
Levitan, R.;Levitan, R.;Alignment,Virtual agents,Avatars,Entrainment;
Beňuš, Š.;Beňuš, Š.;Virtual agents,Avatars,Turn-taking,Cross-linguistic,Prosody,Entrainment,Alignment,Dialogue;
Gálvez, R.H.;Gálvez, R.H.;Virtual agents,Avatars,Random forest,Entrainment,Alignment,Ridge regression,Stock market,Text mining,Latent semantic analysis;
Weise, A.;Weise, A.;Alignment,Virtual agents,Avatars,Entrainment;
Hirschberg, J.;Hirschberg, J.;Alignment,Virtual agents,Avatars,Entrainment;
Graziano, M.;Graziano, M.;;
Parra, L.C.;Parra, L.C.;;
Sigman, M.;Sigman, M.;;
Heintz, J.;Heintz, J.;;
Roy, M.-F.;Roy, M.-F.;;
Solero, P.;Solero, P.;;
Aspis, A.;Aspis, A.;;
Cabrelli, C.;Cabrelli, C.;;
Molter, U.;Molter, U.;;
Paternostro, V.;Paternostro, V.;Canonical dual,Fusion frame,Perturbation;
Philipp, F.;Philipp, F.;Canonical dual,Fusion frame,Perturbation;
Vaisman, A.A.;Vaisman, A.A.;;
