ID;Label;KeywordsB2018;KeywordsA2018
Loreiro, M.;Loreiro, M.;;
Britez, S.;Britez, S.;;
Casco, S.;Casco, S.;;
Pons, J.L.;Pons, J.L.;FES,Plasticity,BCI,Rehabilitation,Reaching movement;
Brunetti, F.;Brunetti, F.;FES,Plasticity,BCI,Rehabilitation,Reaching movement;
Sandoval, V.;Sandoval, V.;;Work with communities,community developmentprojects,experiential learning
Ritter, J.;Ritter, J.;;Work with communities,community developmentprojects,experiential learning
Cantero, N.;Cantero, N.;;Work with communities,community developmentprojects,experiential learning
Caceres, M.;Caceres, M.;;Work with communities,community developmentprojects,experiential learning
Fillipini, R.;Fillipini, R.;;Work with communities,community developmentprojects,experiential learning
Arteta, R.;Arteta, R.;;Social innovation,Participatory democracy,Public service innovation,Civic technology
Saldivar, J.;Saldivar, J.;;Social innovation,Participatory democracy,Public service innovation,Civic technology
Parra, C.;Parra, C.;;Social innovation,Participatory democracy,Public service innovation,Civic technology
Cernuzzi, L.;Cernuzzi, L.;Sustainability,Model Oriented Web Approach,Web methodologies,Social Networks,Model Driven Development,model driven development,Data Privacy and Security,Semantic Access Control,Model-Driven Development,Interoperability,Semantic Web,Model-to-Model Transformation,Semantic Search,Internet/Web technologies,RIA,remote work,systematic mapping study,Systematic Mapping Study,MDD,Architectural Specific Model,online work,Knowledge Bases,Service Oriented Methodology (SOM),Model driven architecture,Service-Based Application,Model-Driven Architecture,portability,older adults,Model driven development,online contribution,Web application,MDA,Model Driven Architecture,seniors,Navigational models,Linked Data,MoWebA,Rich Internet Applications,mobile cloud applications;Participatory democracy,Network communication,Web Testing,ATDD,Public service innovation,MBT,BDD,MDD,Mobile applications,TDD,TestNG,Cloud,Transformation templates,User interface,Selenium,Software Testing,MDE,Model-driven engineering,Civic technology,Social innovation,Acceptance Tests,Portability
Resquín, F.;Resquín, F.;FES,Plasticity,BCI,Rehabilitation,Reaching movement;
Ibáñez, J.;Ibáñez, J.;;
Herrero, O.;Herrero, O.;FES,Plasticity,BCI,Rehabilitation,Reaching movement;
Alcaraz, M.;Alcaraz, M.;;Social innovation,Participatory democracy,Public service innovation,Civic technology
Riquelme, L.;Riquelme, L.;;Selenium,MBT,Acceptance Tests,BDD,Web Testing,Software Testing,TDD,ATDD,TestNG
Gonzalez, M.;Gonzalez, M.;systematic mapping study,Systematic Mapping Study,type of mobile development,Mobile application,methodology,model driven development,SMS,Architectural Specific Model,Model-Driven Architecture,Model-Driven Development,portability,Model-to-Model Transformation,tools,Rich Internet Applications,mobile cloud applications;Selenium,MBT,Acceptance Tests,BDD,Web Testing,Software Testing,TDD,ATDD,TestNG
Aquino, N.;Aquino, N.;Model Oriented Web Approach,RIA,Rich Internet Applications,systematic mapping study,Systematic Mapping Study,MDD,Architectural Specific Model,Model Driven Development,Model Driven Architecture,model driven development,Model-Driven Architecture,Model-Driven Development,portability,MoWebA,Model-to-Model Transformation,MDA,mobile cloud applications;Model-driven engineering,Network communication,Transformation templates,Selenium,MBT,Acceptance Tests,BDD,Web Testing,MDD,Portability,Software Testing,Mobile applications,TDD,ATDD,MDE,TestNG,Cloud,User interface
Sanchiz, E.;Sanchiz, E.;model driven development,portability,systematic mapping study,mobile cloud applications;Network communication,MDD,Portability,Mobile applications,Cloud
González, M.;González, M.;Model Oriented Web Approach,RIA,Web methodologies,Rich Internet Applications,MDD,Model driven architecture,Web application,Model Driven Development,Model Driven Architecture,Model driven development,Navigational models,MoWebA,MDA;Network communication,MDD,Portability,Mobile applications,Cloud
Pastor, O.;Pastor, O.;Web methodologies,MDD,Model driven architecture,Web application,MDA,Navigational models,Model driven development;Transformation templates,User interface,Model-driven engineering,MDE
Martínez-Sugastti, J.;Martínez-Sugastti, J.;web pages,band-width,prediction algorithms,prefetching;
Stuardo, F.;Stuardo, F.;web pages,band-width,prediction algorithms,prefetching;
González, V.;González, V.;web pages,band-width,prediction algorithms,prefetching;
Nuñez, G.;Nuñez, G.;Model Oriented Web Approach,RIA,Rich Internet Applications,MDD,Model Driven Development,Model Driven Architecture,MoWebA,MDA;
Torres, M.;Torres, M.;Drug repurposing,Multi-objective optimisation,Chagas Disease,Genetic Algorithms;
Caceres, J.J.;Caceres, J.J.;Drug repurposing,Multi-objective optimisation,Chagas Disease,Genetic Algorithms;
Jimenez, R.;Jimenez, R.;Drug repurposing,Multi-objective optimisation,Chagas Disease,Genetic Algorithms;
Baran, B.;Baran, B.;Drug repurposing,Virtual Machine Placement,Dynamic Environments,LNN,quantum circuit,Workload Generation,Cloud Computing,Multi-objective optimisation,Chagas Disease,Genetic Algorithms,linear nearest neighbor,multiobjective;
Paccanaro, A.;Paccanaro, A.;Drug repurposing,Multi-objective optimisation,Chagas Disease,Genetic Algorithms;
Ibañez, J.;Ibañez, J.;FES,Plasticity,BCI,Rehabilitation,Reaching movement;
Ruffinelli, D.;Ruffinelli, D.;Quantum circuit,Multiobjective optimization,LNN,Evolutionary algorithm,quantum circuit,linear nearest neighbor,Linear nearest neighbor,multiobjective;
Barán, B.;Barán, B.;Quantum circuit,Multiobjective optimization,LNN,Evolutionary algorithm,Linear nearest neighbor;
Galeano, I.;Galeano, I.;type of mobile development,Mobile application,methodology,SMS,tools;
Casariego, J.;Casariego, J.;type of mobile development,Mobile application,methodology,SMS,tools;
Merln, M.;Merln, M.;type of mobile development,Mobile application,methodology,SMS,tools;
Bonhaure, D.;Bonhaure, D.;Systematic Mapping Study,Architectural Specific Model,Model-Driven Architecture,Model-Driven Development,Model-to-Model Transformation,Rich Internet Applications;
