ID;Label;KeywordsB2018;KeywordsA2018
Gamess, E.;Gamess, E.;Counting nodes,Wireless networks,INET,Algorithm,OMNeT++,Network simulator;Shopping center,IPv6,SIPp,Load balancer,SIP,Cluster,LLMNR,Link-local multicast name resolution,Access points,Web application,Corosync,Zero-configuration networking,Geolocation,VoIP,Performance evaluation,Kamailio,WiFi,Asterisk,Benchmarking tools,High availability,Mobile application
Garroz, J.;Garroz, J.;;Zero-configuration networking,IPv6,LLMNR,Link-local multicast name resolution,Benchmarking tools,Performance evaluation
Verma, V.K.;Verma, V.K.;;
Ntalianis, K.;Ntalianis, K.;;
Moreno, C.M.;Moreno, C.M.;;
Yang, C.-T.;Yang, C.-T.;;
Brea, E.;Brea, E.;;Game of Patterns,Genetic algorithms,Comparison of metaheuristic optimization methods
Derras, M.;Derras, M.;;Reference Architecture Design,Bottom-up Strategy,Software Product Lines (SPL),Software product line,Software Architecture,Software Product Quality,Domain and realization design,Reference architecture,Application design
Deruelle, L.;Deruelle, L.;;Reference Architecture Design,Bottom-up Strategy,Software Product Lines (SPL),Software product line,Software Architecture,Software Product Quality,Domain and realization design,Reference architecture,Application design
Douin, J.M.;Douin, J.M.;;Reference Architecture Design,Bottom-up Strategy,Software Product Lines (SPL),Software Architecture,Software Product Quality
Pollet, Y.;Pollet, Y.;;Reference Architecture Design,Bottom-up Strategy,Software Product Lines (SPL),Software Architecture,Software Product Quality
Reiner, V.;Reiner, V.;;Reference Architecture Design,Bottom-up Strategy,Software Product Lines (SPL),Software Architecture,Software Product Quality
Aguirre-Munizaga, M.;Aguirre-Munizaga, M.;;Opendata,Meteorological stations,Vigilance,Crowdsourcing,Meteorological data,Webmapping,Sensors,Monitoring,Meteorology
Lagos-Ortiz, K.;Lagos-Ortiz, K.;;Opendata,Meteorological stations,Vigilance,Crowdsourcing,Meteorology
Vergara-Lozano, V.;Vergara-Lozano, V.;;Opendata,Meteorological stations,Vigilance,Crowdsourcing,Meteorological data,Webmapping,Sensors,Monitoring,Meteorology
Sinche-Guzmán, A.;Sinche-Guzmán, A.;;Opendata,Meteorological stations,Vigilance,Crowdsourcing,Meteorological data,Webmapping,Sensors,Monitoring,Meteorology
Hernández-Rosas, J.;Hernández-Rosas, J.;;Opendata,Meteorological stations,Vigilance,Crowdsourcing,Meteorological data,Webmapping,Sensors,Monitoring,Meteorology
Rojas, O.;Rojas, O.;;Supervised,Training and testing data sets,Unsupervised and semisupervised,Earthquake hypocenters,P and S seismic waves,Deep and convolutional neural networks
Otero, B.;Otero, B.;GPU,mimetic finite differences,SIMD extensions,acoustic waves,CUDA programming;Supervised,Training and testing data sets,Unsupervised and semisupervised,Earthquake hypocenters,P and S seismic waves,Deep and convolutional neural networks
Alvarado, L.;Alvarado, L.;;Supervised,Training and testing data sets,Unsupervised and semisupervised,Earthquake hypocenters,P and S seismic waves,Deep and convolutional neural networks
Mus, S.;Mus, S.;;Supervised,Training and testing data sets,Unsupervised and semisupervised,Earthquake hypocenters,P and S seismic waves,Deep and convolutional neural networks
Tous, R.;Tous, R.;;Supervised,Training and testing data sets,Unsupervised and semisupervised,Earthquake hypocenters,P and S seismic waves,Deep and convolutional neural networks
Levy, N.;Levy, N.;;Application design,Domain and realization design,Software product line,Reference architecture
Losavio, F.;Losavio, F.;product derivation,quality model,bottom-up design,software product line,software product lines,reference architecture,quality requirements,bottom-up process,non-functional requirements;Application design,Domain and realization design,Software product line,Reference architecture
Garcia, P.;Garcia, P.;;Nonlinear Regression,Kernel Methods,Chaotic Switching,Non-Intrusive Load Monitoring
Dominguez, X.;Dominguez, X.;;Nonlinear Regression,Kernel Methods,Chaotic Switching,Non-Intrusive Load Monitoring
Chiza, D.;Chiza, D.;;Nonlinear Regression,Kernel Methods,Chaotic Switching,Non-Intrusive Load Monitoring
Restrepo, J.;Restrepo, J.;;Nonlinear Regression,Kernel Methods,Chaotic Switching,Non-Intrusive Load Monitoring
Ramirez, H.L.N.;Ramirez, H.L.N.;;Photovoltaic module,Efficiency,SCILAB,Two-diode model,Photovoltaic cell
Kassar, G.G.C.;Kassar, G.G.C.;;Photovoltaic module,Efficiency,SCILAB,Two-diode model,Photovoltaic cell
Maestre, F.C.B.;Maestre, F.C.B.;;Photovoltaic module,Efficiency,SCILAB,Two-diode model,Photovoltaic cell
Avendano, L.A.S.;Avendano, L.A.S.;;Photovoltaic module,Efficiency,SCILAB,Two-diode model,Photovoltaic cell
Toro, C.G.;Toro, C.G.;;Photovoltaic module,Efficiency,SCILAB,Two-diode model,Photovoltaic cell
Silva Sprock, A.;Silva Sprock, A.;Knowledge based system,Knowledge management,LMS,Moodle;MOODLE,FuzzyILS instruction,Learning styles,Fuzzy sets,FuzzyILS
Crema, A.;Crema, A.;;Bottlenecks,Mixed integer programming,Average shadow price,Resource constraints
Fernandes, K.;Fernandes, K.;Weighted finite automata,Cervical cancer,Colposcopic images,Regularization,Temporal segmentation,Histogram distances,Transfer learning,Digital colposcopy;computer aided diagnosis,Binary classification,Deep learning,Biomedical informatics,Dimensionality reduction,Cervical cancer,machine learning,Health-care informatics,Health informatics,Artificial neural networks,Autoencoder,computer vision,digital colposcopy,Denoising autoencoder
Cardoso, J.S.;Cardoso, J.S.;Weighted finite automata,Cervical cancer,Colposcopic images,Regularization,Temporal segmentation,Histogram distances,Transfer learning,Digital colposcopy;computer aided diagnosis,Binary classification,Deep learning,Biomedical informatics,Dimensionality reduction,Cervical cancer,machine learning,Health-care informatics,Health informatics,Artificial neural networks,Autoencoder,computer vision,digital colposcopy,Denoising autoencoder
Fernandes, J.;Fernandes, J.;Weighted finite automata,Cervical cancer,Colposcopic images,Regularization,Temporal segmentation,Histogram distances,Transfer learning,Digital colposcopy;computer aided diagnosis,Binary classification,Deep learning,Biomedical informatics,Dimensionality reduction,Cervical cancer,machine learning,Health-care informatics,Health informatics,Artificial neural networks,Autoencoder,computer vision,digital colposcopy,Denoising autoencoder
Chicco, D.;Chicco, D.;;Deep learning,Biomedical informatics,Dimensionality reduction,Cervical cancer,Health-care informatics,Health informatics,Artificial neural networks,Autoencoder,Binary classification,Denoising autoencoder
Barroso, R.H.;Barroso, R.H.;;Homogenization,UTL,Broadband,Matching,Metamaterial,Diamagnetism
Malpica, W.N.;Malpica, W.N.;;Homogenization,UTL,Broadband,Matching,Metamaterial,Diamagnetism
Francisco, S.J.;Francisco, S.J.;;Fault monitoring,Computational complexity,Grids,Agent architecture,Load balancing
Rina, S.;Rina, S.;;Fault monitoring,Computational complexity,Grids,Agent architecture,Load balancing
Villegas, O.;Villegas, O.;;Thermal Lens,Thermal diffusibility,Heat transfer,Thermo-optical parameters,Nanoparticles
Castillo, J.;Castillo, J.;;Thermal Lens,Thermal diffusibility,Heat transfer,Thermo-optical parameters,Nanoparticles
Martin, A.;Martin, A.;;Kamailio,SIP,Cluster,SIPp,Corosync,Load balancer,Asterisk,VoIP,High availability
Urribarri, D.;Urribarri, D.;;Kamailio,SIP,Cluster,SIPp,Corosync,Load balancer,Asterisk,VoIP,High availability
Gómez, J.;Gómez, J.;;Kamailio,SIP,Cluster,SIPp,Corosync,Load balancer,Asterisk,VoIP,High availability
Andrade, L.;Andrade, L.;;Shopping center,WiFi,Access points,Web application,Geolocation,Mobile application
Quintero, J.;Quintero, J.;;Shopping center,WiFi,Access points,Web application,Geolocation,Mobile application
Russoniello, A.;Russoniello, A.;;Shopping center,WiFi,Access points,Web application,Geolocation,Mobile application
Ferreira, M.;Ferreira, M.;fluorescence,quantum yield,Rhodamine B,TLS,silver nanoparticles,nanoparticles,Thermal lens spectroscopy;quantum yield,Rhodamine B,thermal lens spectroscopy,TLS,nanoparticles
Piscitelli, V.;Piscitelli, V.;fluorescence,quantum yield,Rhodamine B,TLS,silver nanoparticles,nanoparticles,Thermal lens spectroscopy;quantum yield,Rhodamine B,thermal lens spectroscopy,TLS,nanoparticles
Vásquez-Bermudez, M.;Vásquez-Bermudez, M.;;Meteorological data,Webmapping,Sensors,Monitoring
Zapata, H.;Zapata, H.;Interval-valued fuzzy implications,Interval-valued generalized modus ponens,Admissible order,Interval-valued strong equality index;Overlap function,t-norm,Aggregation function
Dimuro, G.P.;Dimuro, G.P.;;Overlap function,t-norm,Aggregation function
Fernández, J.;Fernández, J.;;Overlap function,t-norm,Aggregation function
Bustince, H.;Bustince, H.;Interval-valued fuzzy implications,Interval-valued generalized modus ponens,Admissible order,Interval-valued strong equality index;Overlap function,t-norm,Aggregation function
Barrera, Y.C.;Barrera, Y.C.;Educational strategies,Algorithms and Programming in the UCV,Algorithms teaching,Curricular design oriented to the development of skills,Academic competences;
Bezeira, A.M.;Bezeira, A.M.;Transactions,Colored Petri Nets,Pitfalls,WiMax MAC IEEE 802.16 Protocol,Dynamic Service Flow,Protocol Language;
Villapol, M.;Villapol, M.;Transactions,Colored Petri Nets,Pitfalls,WiMax MAC IEEE 802.16 Protocol,Dynamic Service Flow,Protocol Language;
Scalise, E.;Scalise, E.;Transactions,Colored Petri Nets,Pitfalls,WiMax MAC IEEE 802.16 Protocol,Dynamic Service Flow,attack,Protocol Language,Machine Learning,Computer networks security,hybrid Machine Learning techniques,intrusion detection;
Naranjo, C.;Naranjo, C.;Transactions,Colored Petri Nets,Pitfalls,WiMax MAC IEEE 802.16 Protocol,Dynamic Service Flow,Protocol Language;
Alvarez, F.;Alvarez, F.;Transactions,Colored Petri Nets,Pitfalls,WiMax MAC IEEE 802.16 Protocol,Dynamic Service Flow,Protocol Language;
Perez, D.;Perez, D.;attack,Machine Learning,Computer networks security,hybrid Machine Learning techniques,intrusion detection;
Astor, M.A.;Astor, M.A.;attack,Machine Learning,Computer networks security,hybrid Machine Learning techniques,intrusion detection;
Abreu, D.P.;Abreu, D.P.;Optimized Link State Routing Protocol (OLSR),Metropolitan Area of Caracas,attack,Hybrid Wireless Mesh Protocol (HWMP),Wireless Mesh Network (WMN),Machine Learning,Urban Geography,Computer networks security,hybrid Machine Learning techniques,intrusion detection;
Gonzalez-Abril, L.;Gonzalez-Abril, L.;Pattern recognition,Support Vector Machines,Cost-sensitive SVM,Post-processing strategies;
Angulo, C.;Angulo, C.;Pattern recognition,Support Vector Machines,Cost-sensitive SVM,Post-processing strategies;
Nuñez, H.;Nuñez, H.;Pattern recognition,Support Vector Machines,Cost-sensitive SVM,Post-processing strategies;
Leal, Y.;Leal, Y.;Pattern recognition,Support Vector Machines,Cost-sensitive SVM,Post-processing strategies;
Sprock, A.S.;Sprock, A.S.;MeLOTS,Silverman Learning Styles Model,Latin-American Higher Education Institutions,Learning Styles,Latin-American Network of Learning Analytics,Instructionals Techniques,Learning Analytics,Research Network,Felder,Felder & Soloman Questionnaire (Test),Fuzzy Logic,FuzzyILS;
Gallegos, J.P.;Gallegos, J.P.;MeLOTS,Learning Styles,Instructionals Techniques,Fuzzy Logic,FuzzyILS;
Vicari, R.M.;Vicari, R.M.;MeLOTS,Knowledge based system,Silverman Learning Styles Model,Latin-American Higher Education Institutions,LMS,Learning Styles,Latin-American Network of Learning Analytics,Knowledge management,Instructionals Techniques,Learning Analytics,Research Network,Moodle,Felder,Felder & Soloman Questionnaire (Test),Fuzzy Logic,FuzzyILS;
