ID;Label;KeywordsB2018;KeywordsA2018
Luna, A.;Luna, A.;;Generation Z,case study,simulations,gamification,constructive research,Revolution 4.0,serious games,ITC2
Chong, M.;Chong, M.;;Generation Z,case study,simulations,gamification,constructive research,Revolution 4.0,serious games,ITC2
Jurburg, D.;Jurburg, D.;Competences,Bloom's taxonomy,Higher education,Engineering;Generation Z,case study,simulations,gamification,constructive research,Revolution 4.0,serious games,ITC2
Sotelo, R.;Sotelo, R.;DTV and broadband multimedia systems,Set-top box and home networking,Subjective methods,Program guides and navigation,HEVC,Multimedia quality and content,Objective evaluation techniques,Recommender Systems,Video Quality Assessment,video subjective tests database,Augmented Broadcasting,VoD,Quality Assessment,MOS,Hybrid Television,Interactivity,ISDB-T,Augmented Reality,ISDB-Tb,Subjective evaluation techniques,HbbTV,Quality of Experience,QoE,UHD,Objective methods,Content management,Video quality assessment,Performance evaluation,interactivity;Future broadcasting services,Quality of Experience,Objective Subjective Evaluation
Joskowicz, J.;Joskowicz, J.;DTV and broadband multimedia systems,Set-top box and home networking,HEVC,Video Quality Assessment,video subjective tests database,Augmented Broadcasting,Quality Assessment,MOS,Hybrid Television,Interactivity,ISDB-T,Augmented Reality,Subjective evaluation techniques,HbbTV,Quality of Experience,QoE,UHD,ISDB-Tb,Performance evaluation;Future broadcasting services,Quality of Experience,Objective Subjective Evaluation
Puddu, R.;Puddu, R.;;Future broadcasting services,Quality of Experience,Objective Subjective Evaluation
Giusto, D.D.;Giusto, D.D.;QoE,HEVC,UHD,MOS,Performance evaluation,Video Quality Assessment,Subjective evaluation techniques;Future broadcasting services,Quality of Experience,Objective Subjective Evaluation
Anedda, M.;Anedda, M.;QoE,HEVC,UHD,MOS,Performance evaluation,Video Quality Assessment,Subjective evaluation techniques;Future broadcasting services,Quality of Experience,Objective Subjective Evaluation
Gonzalez, A.;Gonzalez, A.;;Future broadcasting services,Quality of Experience,Objective Subjective Evaluation
Rondan, N.;Rondan, N.;ISDB-T,Augmented Broadcasting,Augmented Reality,DTV and broadband multimedia systems,Set-top box and home networking,Hybrid Television,HbbTV,Interactivity;
Murroni, M.;Murroni, M.;QoE,HEVC,UHD,MOS,Performance evaluation,Video Quality Assessment,Subjective evaluation techniques;
Perez, A.;Perez, A.;;
Medina, A.;Medina, A.;Competences,Bloom's taxonomy,Higher education,Engineering;
Ruibal, C.;Ruibal, C.;Competences,Bloom's taxonomy,Higher education,Engineering;
Juayek, M.;Juayek, M.;VoD,Program guides and navigation,Quality of Experience,Quality Assessment,Multimedia quality and content,Content management,Objective evaluation techniques,Recommender Systems,ISDB-Tb,Performance evaluation,interactivity,video subjective tests database;
Canale, E.;Canale, E.;random graphs,computational complexity,Computational complexity,network reliability,hop-limit,Monte Carlo,Network reliability,Recursive Variance Reduction,Gilbert's model,planar graphs,Network Reliability,Stochastic Binary System,Monma graphs,diameter constrained reliability,Diameter-constrained reliability;
Cancela, H.;Cancela, H.;random graphs,computational complexity,Computational complexity,network reliability,hop-limit,Monte Carlo,Network reliability,Recursive Variance Reduction,Gilbert's model,planar graphs,Network Reliability,Stochastic Binary System,Monma graphs,diameter constrained reliability,Diameter-constrained reliability;
Robledo, F.;Robledo, F.;random graphs,computational complexity,Computational complexity,network reliability,hop-limit,Network reliability,Gilbert's model,planar graphs,Monma graphs,diameter constrained reliability,Diameter-constrained reliability;
Romero, P.;Romero, P.;random graphs,computational complexity,Computational complexity,network reliability,hop-limit,Network reliability,Gilbert's model,planar graphs,Monma graphs,diameter constrained reliability,Diameter-constrained reliability;
Sartor, P.;Sartor, P.;random graphs,computational complexity,Computational complexity,network reliability,hop-limit,Monte Carlo,Network reliability,Recursive Variance Reduction,Gilbert's model,planar graphs,Network Reliability,Stochastic Binary System,Monma graphs,graph theory,diameter constraints,diameter constrained reliability,Diameter-constrained reliability;
Piecini, J.;Piecini, J.;Monte Carlo,Stochastic Binary System,Recursive Variance Reduction,Network Reliability;
Rubino, G.;Rubino, G.;Monte Carlo,Stochastic Binary System,Recursive Variance Reduction,Network Reliability;
Garella, J.P.;Garella, J.P.;Quality Assessment,Quality of Experience,video subjective tests database,ISDB-Tb;
Duran, D.;Duran, D.;Quality Assessment,Quality of Experience,video subjective tests database,ISDB-Tb;
Tanco, M.;Tanco, M.;;
Santos, J.;Santos, J.;;
Rodriguez, J.L.;Rodriguez, J.L.;;
Reich, J.;Reich, J.;;
Scuoteguazza, A.;Scuoteguazza, A.;;
Lopez Arado, J.C.;Lopez Arado, J.C.;;
Solla, A.G.;Solla, A.G.;;
Costa, N.;Costa, N.;;
Pereira, Z.L.;Pereira, Z.L.;;
Gerszonowicz, S.;Gerszonowicz, S.;;
