ID;Label;KeywordsB2018;KeywordsA2018
Reyes, I.I.;Reyes, I.I.;;
Mendoza Franco, G.A.;Mendoza Franco, G.A.;;
Rodríguez Morales, Á.L.;Rodríguez Morales, Á.L.;;
Villagómez, C.J.;Villagómez, C.J.;;
Garzón, I.L.;Garzón, I.L.;;
Paz-Borbón, L.O.;Paz-Borbón, L.O.;;
Tejeda, J.G.;Tejeda, J.G.;;
Pineda, L.O.;Pineda, L.O.;;
Ávila-Ayala, R.M.;Ávila-Ayala, R.M.;;
Ramírez-Ramírez, L.L.;Ramírez-Ramírez, L.L.;;
Molero-Castillo, G.;Molero-Castillo, G.;;Gaze,Model Checking,Pattern Recognition,Temporal Logic,Description logic,Semantic reasoning,Context-aware systems
Jasso-Villazul, J.;Jasso-Villazul, J.;;
Torres-Vargas, A.;Torres-Vargas, A.;;
Velázquez-Mena, A.;Velázquez-Mena, A.;;
Meunier, F.;Meunier, F.;;
Montejano, L.;Montejano, L.;Piercing number,Intersection structure,Helly’s theorem,Hadwiger–Debrunner theorem;
Osuna-Millan, N.;Osuna-Millan, N.;Perceptual computing,Type-2 fuzzy inference system,Interruption factor,Human-computer interaction,Belief-desire-intention agents,Ambient intelligence;Type-2 fuzzy inference system,Human-machine interaction,Intelligent hybrid systems,Ambient intelligence,User interaction levels,Intelligent agents
Rosales, R.;Rosales, R.;Perceptual computing,Type-2 fuzzy inference system,Interruption factor,Human-computer interaction,Belief-desire-intention agents,Ambient intelligence;Type-2 fuzzy inference system,Human-machine interaction,Intelligent hybrid systems,Ambient intelligence,User interaction levels,Intelligent agents
Lara-Rosano, F.;Lara-Rosano, F.;Perceptual computing,Type-2 fuzzy inference system,Approximate reasoning,Interruption factor,Human-computer interaction,Belief-desire-intention agents,Ambient intelligence,Complex organizational planning,Cultural change,Heuristics,Participative planning,Non-conscious reasoning,Fuzzy logic;Type-2 fuzzy inference system,Human-machine interaction,Intelligent hybrid systems,Ambient intelligence,User interaction levels,Intelligent agents
Garza, A.A.;Garza, A.A.;;
Ramírez, M.R.;Ramírez, M.R.;;
Rosano, F.L.;Rosano, F.L.;;
Cisneros, R.F.R.;Cisneros, R.F.R.;;
Moreno, H.B.R.;Moreno, H.B.R.;;
Guzmán, G.M.;Guzmán, G.M.;;
Salgado, C.;Salgado, C.;;
Vázquez, S.;Vázquez, S.;;
Stephens, C.R.;Stephens, C.R.;Time-series analysis,Classifier,Keys to success,Data mining,Participatory surveillance system,Distance learning,Feature detection,Naïve Bayes,Risk factors,Body temperature,Obesity,Text mining,Influenza,Diabetes,Naive Bayes classifier;Generalized Bayes approximation,Performance prediction,Classification,Error analysis,Naive Bayes approximation
Gutiérrez, J.A.B.;Gutiérrez, J.A.B.;;
Flores, H.;Flores, H.;;
Martínez-Aguilar, E.;Martínez-Aguilar, E.;;
Hmoˇk, H.L.;Hmoˇk, H.L.;;
Ribas Ariño, J.;Ribas Ariño, J.;;
Siqueiros Beltrones, J.M.;Siqueiros Beltrones, J.M.;;DFT,BiFeO 3,Ferromagnetism,Multiferroics,First principles calculations,Ferroelectricity
López-Corona, O.;López-Corona, O.;;
Ruíz, R.D.;Ruíz, R.D.;;
Santana, W.M.;Santana, W.M.;;
Granados, I.;Granados, I.;;Velocity analysis,Passive method,Signal processing,Noise,Seismic
Calò, M.;Calò, M.;;Velocity analysis,Passive method,Signal processing,Noise,Seismic
Ramos, V.;Ramos, V.;;Velocity analysis,Passive method,Signal processing,Noise,Seismic
Fuentes-Pineda, G.;Fuentes-Pineda, G.;;Beyond-pairwise,Co-occurring words,Large-scale,Topic discovery,Sampled Min-Hashing
Meza-Ruiz, I.V.;Meza-Ruiz, I.V.;Random forest,NLP,Machine learning,Author profiling,Random forest regression;Beyond-pairwise,Co-occurring words,Large-scale,Topic discovery,Sampled Min-Hashing
Vega Magdaleno, G.D.;Vega Magdaleno, G.D.;;Influenza treatment,MPC,Neural network identification
Alanís García, A.Y.;Alanís García, A.Y.;;Influenza treatment,MPC,Neural network identification
Hernandez-Vargas, E.A.;Hernandez-Vargas, E.A.;;Influenza treatment,MPC,Neural network identification
de Anda-Jáuregui, G.;de Anda-Jáuregui, G.;;Breast cancer networks,Modular structure,Functional enrichment,Modularity,Gene regulatory networks,Bipartite networks,Breast cancer subtypes
Alcalá-Corona, S.A.;Alcalá-Corona, S.A.;Narcotraffic,Text-mining,Narco-network,Manual curing,Drug cartels,Los Señores del Narco,Communities;Breast cancer networks,Modular structure,Functional enrichment,Modularity,Gene regulatory networks,Bipartite networks,Breast cancer subtypes
Espinal-Enríquez, J.;Espinal-Enríquez, J.;Narcotraffic,Text-mining,Narco-network,Manual curing,Drug cartels,Los Señores del Narco,Communities;Breast cancer networks,Functional enrichment,Modularity,Bipartite networks
Hernández-Lemus, E.;Hernández-Lemus, E.;Transcription factor binding site analysis,Non-equilibrium thermodynamics,Game theory,DNA binding motifs,Myocyte enhancing factor 2C,Transcriptional regulation,Social networks analysis,Genomics of gene expression,Master regulators,Biomedicine,Collaboration networks,Gene regulatory networks,Systems biology,Transcription factor,Cancer,DNA-protein interactions;Breast cancer networks,Modular structure,Functional enrichment,Modularity,Gene regulatory networks,Bipartite networks,Breast cancer subtypes
Torres, L.;Torres, L.;fluid acceleration,Liénard systems,Descriptor systems,Parameter identification,Mechanical systems,fluid dynamics,pipelines,Fourier coefficients,fault isolation,fault diagnosis,State observers,Variable-order operators,Periodical signals,state observers,observer design,Riemann–Liouville derivative,Signal processing,Takagi–Sugeno systems;Graph embedding,Real-time,Cuckoo search algorithm,fault detection and isolation,Leak diagnosis,Liouville–Caputo fractional derivative,Fractional calculus,Graph distance,estimation,pipelines,Gompertz model,diagnosis,Steady state,Pipelines,Atangana–Baleanu fractional derivative,Fourier series,Extended Kalman Filter,Liénard type model,Grünwald–Letnikov approximation,Length spectrum,Data fusion,Fractional order Kalman filter,Algebraic topology,Lienard equation,Cuckoo search optimization algorithm,Riemann–Liouville derivative
Suárez-Serrato, P.;Suárez-Serrato, P.;Twitter,Social bots,Protests;Graph embedding,Honduras,Social network analysis,Algebraic topology,socialbots,Mexico,Length spectrum,Socialbots,human rights,social network analysis,Elections,Graph distance,Spanish
Eliassi-Rad, T.;Eliassi-Rad, T.;;Graph embedding,Length spectrum,Graph distance,Algebraic topology
Macías-Díaz, J.E.;Macías-Díaz, J.E.;finite-difference scheme,hyperbolic partial differential equation,Burgers–Fisher equation,integro-differential generalization,Burgers–Huxley equation,dynamical consistency;Activator-inhibitor system,Numerically efficient technique,Fractional centered differences,Convergence and stability,Parabolic equation with fractional diffusion and convection,Structure-preserving method,Anomalously diffusive hyperbolic system,Crank–Nicolson finite-difference scheme,Pattern formation in molecular dynamics,Riesz space-fractional derivatives,Existence and uniqueness of numerical solutions,Discrete energy method
Hendy, A.S.;Hendy, A.S.;;Activator-inhibitor system,Convergence and stability,Anomalously diffusive hyperbolic system,Pattern formation in molecular dynamics,Existence and uniqueness of numerical solutions,Discrete energy method
Arana, O.;Arana, O.;;Localization algorithms,Location estimation,Wireless networks,Obfuscation,MAC exchange,TPC,Anonymity,Location privacy
Garcia, F.;Garcia, F.;;Localization algorithms,Location estimation,Wireless networks,Obfuscation,MAC exchange,TPC,Anonymity,Location privacy
Gomez, J.;Gomez, J.;DCF,IEEE 802.11,Round-robin,RegionDCF,Hybrid MAC,TDMA,CSMA;Localization algorithms,Location estimation,Wireless networks,Energy saving,Wireless sensors networks,Obfuscation,MAC exchange,Delay tolerant approach,TPC,Anonymity,Location privacy,Urban sensing,Mobile crowdsensing
Bribiesca, E.;Bribiesca, E.;Chain coding,3D representation,3D discrete trees,Surface representation,3D discrete curves,Rotational symmetry detection,Chain code,Discrete surfaces,Shape-of-curve symmetry,Boundary surface,Surface trees,Three dimensional tree representation,3D descriptor,Mirror symmetry detection,Edging trees,Compression methods,Voxel-based objects;Reconfigurable chain code,Chain coding,Polygonal curves,Symmetry detection,Bird wings,Broken lines,Osculating polygons,Extended slope chain code,2D curves,High definition contour shapes,Polygonal paths,Slope Chain Code,Slope chain code,The SCC polygonal spiral
Valencia-Ortega, M.;Valencia-Ortega, M.;;Zeolite,Molecular dynamics,Anionic surfactant,Adsorption,Carbon dioxide
Fuentes-Azcatl, R.;Fuentes-Azcatl, R.;;Zeolite,Molecular dynamics,Anionic surfactant,Adsorption,Carbon dioxide
Dominguez, H.;Dominguez, H.;Phenol adsorption,Surfactant micelles,Protein structure,Coarse-grained molecular simulations,Alcohol/surfactant mixtures,Surfactant structure,Protein–surfactant interaction,Atomistic molecular dynamics,Bilayer and double bilayer structures,Computer simulations,Structural transitions,Protein–surfactant complex,Molecular dynamics,Surfactant-modified surfaces;Zeolite,Molecular dynamics,Anionic surfactant,Adsorption,Carbon dioxide
Ruderman, M.;Ruderman, M.;;hydraulic actuator,High-order sliding mode observer,force sensing,Robust exact differentiator
Fridman, L.;Fridman, L.;Periodic motion,nonlinear systems,Ship onboard crane,Unknown input,Tracking controller,Sliding mode observers,non-affine systems,Linear matrix inequalities,performance margins,Variable structure systems,Orbital stabilization,Robustification,Estimation,Controller parameter,Viscous friction,Zero dynamic,Time-varying systems,Uncertain linear time-varying system,Underactuated system,Homoclinic orbit,Vector and non-smooth lyapunov functions,Multivariable control systems,sliding mode observers,Hierarchical observer,Virtual control,Nonlinear sliding surface,Computer simulations,Electro-mechanical systems,Nyquist plot,Time varying linear quadratic optimal control,Robust control,Linear quadratic control,Invariant zero,Time-varying control systems,Simulation,Slide mode controller,Implementation purpose,modelling and identification,Output integral sliding-mode technique,Observers,Identification,Frequency domain analysis,Equilibrium point,Under-actuated systems,Biped robot,Uncertain systems,Optimal control,Controller design,Slide mode control,Unknown input observer,sliding-modes,Fault detection and isolation,Discrete-time super twisting algorithm,Prescribe amplitude,Joint position,Periodic orbit,sliding mode control,Orbital stability,Sliding mode observer,Coulomb friction,Convex models,Periodic solution,Vehicle modelling,Describe function,Sliding mode differentiator,adaptive control,Twisting and super-twisting algorithms,Sliding mode control,Vertical forces,Parametric resonance,Stability in control theory;nonlinear systems,sliding-mode control,Robust exact differentiator,stability margins,Finite-time convergence,force sensing,Lyapunov function,Sliding-mode observer,Sliding modes,variable structure systems,Levant's differentiator,super-twisting algorithm,output feedback,higher order sliding-mode control,higher-order sliding modes (HOSM),frequency-domain analysis,Adaptive control,sliding mode control,reaching time,dissipative observer,hydraulic actuator,global stability,Uncertain nonlinear systems,adaptive control,High-order sliding mode observer,global/semi-global stability,exact differentiators
Pasolli, P.;Pasolli, P.;;hydraulic actuator,High-order sliding mode observer,force sensing,Robust exact differentiator
Fernández-Escamilla, H.N.;Fernández-Escamilla, H.N.;;Density functional theory,Puckered nanotubes,Arsenene
Quijano-Briones, J.J.;Quijano-Briones, J.J.;;Density functional theory,Puckered nanotubes,Arsenene
Guerrero-Sánchez, J.;Guerrero-Sánchez, J.;Gallium nitride,Diffusion,Surfaces,Yttrium nitride,Surface formation energy,Adsorption;Silicane,Adsorption process,Stability,N content,Radical-initiated reaction,Silicene,Interface formation energy,Puckered nanotubes,Arsenene,Benzaldehyde,Dangling bond,Energy barrier,Antiferromagnetic arrangement,Density functional theory
Martínez-Guerra, E.;Martínez-Guerra, E.;grooves,Sunlight Concentration,Light-pipe,Fresnel lens,optical design,Non-imaging Optics,Nonimaging Fresnel lenses,Illumination,solar collector,square lightpipe,Light Extraction,Fresnel losses,illumination,Lightpipe,Optical Design,Total Internal Reection,Chromatic Aberration,non-tracking solar systems,nonimaging optics;Density functional theory,Puckered nanotubes,Arsenene
Takeuchi, N.;Takeuchi, N.;Organic functionalization,Minimum energy path,Two-dimensional materials,Adsorption,Diffusion,Gallium nitride,Acetylene,Hydrogen vacancy,Boron nitride,Functionalization,Hexagonal boron nitride,Hydrogen abstraction,Radical-initiated reaction,Surfaces,Yttrium nitride,Surface formation energy,Density functional theory,Chemisorption;Silicane,Adsorption process,Stability,N content,Radical-initiated reaction,Silicene,Interface formation energy,Puckered nanotubes,Arsenene,Benzaldehyde,Dangling bond,Energy barrier,Antiferromagnetic arrangement,Density functional theory
Bornacelli, J.;Bornacelli, J.;;Ion-implantation,Off-resonance excitations,Third-order nonlinear optics,Hybrid nanocomposite
Torres-Torres, C.;Torres-Torres, C.;;Ion-implantation,Off-resonance excitations,Third-order nonlinear optics,Hybrid nanocomposite
Can-Uc, B.;Can-Uc, B.;;Ion-implantation,Off-resonance excitations,Third-order nonlinear optics,Hybrid nanocomposite
Cheang-Wong, J.C.;Cheang-Wong, J.C.;;Silver films,Raman-SERS,Off-resonance excitations,Silica microspheres,Third-order nonlinear optics,Ion-implantation,Hybrid nanocomposite,Nanosphere lithography
Oliver, A.;Oliver, A.;Optical confinement,SiOx,Submicron optical waveguide;Ion-implantation,Off-resonance excitations,Third-order nonlinear optics,Hybrid nanocomposite
Estrada, F.;Estrada, F.;Adaptation,Integrated assessment model,Persistence of shocks,Economic costs of climate change;GTAP,Systematic sensitivity analysis,Sea level rise,System dynamics,Coping range,Monte Carlo,Integrated assessment model,Adaptation,CGE,Economic costs of climate change
Tol, R.S.J.;Tol, R.S.J.;Adaptation,Integrated assessment model,Persistence of shocks,Economic costs of climate change;GTAP,Systematic sensitivity analysis,Sea level rise,System dynamics,Coping range,Monte Carlo,Integrated assessment model,Adaptation,CGE,Economic costs of climate change
Botzen, W.J.W.;Botzen, W.J.W.;;System dynamics,Coping range,Integrated assessment model,Adaptation,Economic costs of climate change
Rodríguez-Liñán, G.M.;Rodríguez-Liñán, G.M.;;Granular Gases,Molecular Dynamics simulations,Effective Potentials
Heinen, M.;Heinen, M.;;Granular Gases,Molecular Dynamics simulations,Effective Potentials
Naveja, J.J.;Naveja, J.J.;Activity cliff generators,Prostatic 5α -reductase,Benign prostatic hyperplasia,Chemoinformatics,Chemical space,Structure–activity relationships;Analog searching,Scaffold,Analog series-based scaffold,Virtual screening,Computer-aided drug design,RECAP,Activity landscape,D-Tools,Core structure-property relationships (CSPR),Chemoinformatics,Epi-informatics,Collaboration,ChemMaps,Structure–activity relationships
Pilón-Jiménez, B.A.;Pilón-Jiménez, B.A.;;Analog searching,Scaffold,Analog series-based scaffold,Virtual screening,RECAP,Core structure-property relationships (CSPR)
Bajorath, J.;Bajorath, J.;;Analog searching,Scaffold,Analog series-based scaffold,Virtual screening,RECAP,Core structure-property relationships (CSPR)
Medina-Franco, J.L.;Medina-Franco, J.L.;Panamanian biodiversity,Activity cliff enrichment factor,Shannon entropy,Chemical diversity,Structural similarity,HDAC,SEARS,Similarity,Activity cliffs,SAS maps,Molecular fingerprints,Prostatic 5α -reductase,Bromodomains,Benign prostatic hyperplasia,Chemoinformatics,Chemotype,Structure–activity relationships,Diversity,Structural diversity,Activity landscape,Data mining,Molecular scaffolds,Epi-informatics,Consensus diversity plots,Cheminformatics,Physicochemical properties,Information content,Activity cliff generators,DNA methyltransferase,Epigenetics,Chemical space,Natural products;Scaffold,Molecular scaffold,Analog series-based scaffold,Benzimidazoles,Leishmania,Protein–protein inhibitors,Analog searching,Computer-aided drug design,Molecular fingerprints,D-Tools,Chemoinformatics,Structure–activity relationships,chemoinformatics,Small molecules,RECAP,pKa,Activity landscape,Core structure-property relationships (CSPR),Synthetic peptides,Epi-informatics,Similarity searching,ChemMaps,Cheminformatics,ionization constant,Representation,Virtual screening,acidity,Combinatorial chemistry,basicity,Collaboration,Chemical space
Vega-Bautista, A.;Vega-Bautista, A.;;lactoferrin,immunomodulation,lactoferricin,lactobacilli,milk,intestinal homeostasis,bifidobacteria
de la Garza, M.;de la Garza, M.;;lactoferrin,immunomodulation,lactoferricin,lactobacilli,milk,intestinal homeostasis,bifidobacteria
Carrero, J.C.;Carrero, J.C.;Inflammation,Innate immunity,Infections,Lactoferrin;lactoferrin,immunomodulation,lactoferricin,lactobacilli,milk,intestinal homeostasis,bifidobacteria
Godínez-Victoria, M.;Godínez-Victoria, M.;;lactoferrin,immunomodulation,lactoferricin,lactobacilli,milk,intestinal homeostasis,bifidobacteria
Drago-Serrano, M.E.;Drago-Serrano, M.E.;Inflammation,Innate immunity,Infections,Lactoferrin;lactoferrin,immunomodulation,lactoferricin,lactobacilli,milk,intestinal homeostasis,bifidobacteria
Lopez-Rincon, A.;Lopez-Rincon, A.;;Dataset,miRNA,Machine learning,MicroRNAs,Classifiers,Feature selection
Martinez-Archundia, M.;Martinez-Archundia, M.;;Dataset,miRNA,Machine learning,MicroRNAs,Classifiers,Feature selection
Martinez-Ruiz, G.U.;Martinez-Ruiz, G.U.;;Dataset,miRNA,Machine learning,MicroRNAs,Classifiers,Feature selection
Schoenhuth, A.;Schoenhuth, A.;;Dataset,miRNA,Machine learning,MicroRNAs,Classifiers,Feature selection
Tonda, A.;Tonda, A.;;Dataset,miRNA,Machine learning,MicroRNAs,Classifiers,Feature selection
Arroyo-Fernández, I.;Arroyo-Fernández, I.;;Artificial intelligence,Information entropy,Automatic text summarization,TF–IDF,Word embedding,Natural language processing,Statistical feature analysis,Sentence representation,Sentence embedding
Curiel, A.;Curiel, A.;;Artificial intelligence,Automatic text summarization,Statistical feature analysis,Natural language processing
Méndez-Cruz, C.-F.;Méndez-Cruz, C.-F.;Unsupervised learning,Morpheme segmentation,Affixality measurements,Morphology induction,Information retrieval,Morphological Segmentation;Artificial intelligence,Information entropy,Automatic text summarization,TF–IDF,Word embedding,Natural language processing,Statistical feature analysis,Sentence representation,Sentence embedding
Martinez-Moreno, C.G.;Martinez-Moreno, C.G.;;Excitotoxicity,Neurotrophic,Regeneration,Retina,Growth hormone,Synaptogenic
Epardo, D.;Epardo, D.;;Excitotoxicity,Neurotrophic,Regeneration,Retina,Growth hormone,Synaptogenic
Balderas-Márquez, J.E.;Balderas-Márquez, J.E.;;Excitotoxicity,Neurotrophic,Regeneration,Retina,Growth hormone,Synaptogenic
Harvey, S.;Harvey, S.;;Excitotoxicity,Extrahypothalamic,GnRH,Neurotrophic,Regeneration,Retina,Growth hormone,Neuroprotection,CNS,Therapy,Extrapituitary,GH,Synaptogenic,Neuroregeneration
Arámburo, C.;Arámburo, C.;;Excitotoxicity,Extrahypothalamic,GnRH,Neurotrophic,Regeneration,Retina,Growth hormone,Neuroprotection,CNS,Therapy,Extrapituitary,GH,Synaptogenic,Neuroregeneration
Hermosillo-Gomez, J.A.;Hermosillo-Gomez, J.A.;;Real-time,reduction to UNiprocessor,Bayesian networks
Benitez-Perez, H.;Benitez-Perez, H.;;Real-time,reduction to UNiprocessor,Bayesian networks
Rubio-Acosta, E.;Rubio-Acosta, E.;;Doppler ultrasound blood flow measurement,Computational complexity reduction,Time-frequency distributions,Signal processing
Solano-González, J.;Solano-González, J.;;Doppler ultrasound blood flow measurement,Computational complexity reduction,Time-frequency distributions,Signal processing
García-Nocetti, D.F.;García-Nocetti, D.F.;;Doppler ultrasound blood flow measurement,Computational complexity reduction,Time-frequency distributions,Signal processing
Fuentes-Cruz, M.;Fuentes-Cruz, M.;;Doppler ultrasound blood flow measurement,Computational complexity reduction,Time-frequency distributions,Signal processing
de León, J.A.S.;de León, J.A.S.;;Binomial coefficient calculation,Binomials,Multinomial coefficient calculation,Multinomial
Olmedo, E.M.;Olmedo, E.M.;;Relaxation energies,Doping,Phosphorene nanoflakes
de la Garza, C.G.V.;de la Garza, C.G.V.;;Relaxation energies,Doping,Phosphorene nanoflakes
Fomine, S.;Fomine, S.;DFT,boron,doping,restricted active space,Molecular diode,Polarons,Rectification,porphyrin,multiconfigurational,Graphene,Dispersion correction,Dioxaporphyrin,molecular diode,Fullerene,rectification,Reorganization energy,Porphyrin,fullerene C28;Relaxation energies,Doping,Phosphorene nanoflakes
Raggi, M.;Raggi, M.;Pseudo-orientation,Map,Tolerant Tverberg partition,Order-type homogeneous set,Consistent bicoloring,Orientation,Flag,Tverberg partition;Networks,Communities,Sympatry network,Biogeography,Overlapped niche,Fuzzy logic
Colosi, D.;Colosi, D.;;Networks,Communities,Sympatry network,Biogeography,Overlapped niche,Fuzzy logic
Flores, M.;Flores, M.;Time-frequency analysis,Hilbert-Huang transform,Non-traditional time-series characterization scheme,Spontaneous pupillary oscillation;Networks,Communities,Sympatry network,Biogeography,Overlapped niche,Fuzzy logic
García-Velázquez, L.M.;García-Velázquez, L.M.;;Networks,Communities,Sympatry network,Biogeography,Overlapped niche,Fuzzy logic
Torres-Miranda, A.;Torres-Miranda, A.;;Networks,Communities,Sympatry network,Biogeography,Overlapped niche,Fuzzy logic
Fuentes-García, R.;Fuentes-García, R.;;Conditional maximization,Hopfield network,Modal estimation
Mena, R.H.;Mena, R.H.;Density estimation,Dirichlet process,Stick-breaking construction,Dependent process,Particulate matter;Conditional maximization,Hopfield network,Modal estimation
Walker, S.G.;Walker, S.G.;;Conditional maximization,Hopfield network,Modal estimation
Gurubel, K.J.;Gurubel, K.J.;;passivity,anaerobic bioprocesses,biofuels,recurrent neural network,inverse optimal control
Sanchez, E.N.;Sanchez, E.N.;;passivity,anaerobic bioprocesses,biofuels,recurrent neural network,inverse optimal control
Coronado-Mendoza, A.;Coronado-Mendoza, A.;;passivity,anaerobic bioprocesses,biofuels,recurrent neural network,inverse optimal control
