ID;Label;KeywordsB2018;KeywordsA2018
Muehlig, A.;Muehlig, A.;;Quantitative SERS detection of PZA and POA,Surface-enhanced Raman spectroscopy (SERS),Personal medicine,Drug resistant mycobacteria,Lab-on-a-Chip (LoC)
Jahn, I.J.;Jahn, I.J.;;Quantitative SERS detection of PZA and POA,Surface-enhanced Raman spectroscopy (SERS),Personal medicine,Drug resistant mycobacteria,Lab-on-a-Chip (LoC)
Heidler, J.;Heidler, J.;;Quantitative SERS detection of PZA and POA,Surface-enhanced Raman spectroscopy (SERS),Personal medicine,Drug resistant mycobacteria,Lab-on-a-Chip (LoC)
Cialla-May, D.;Cialla-May, D.;;Quantitative SERS detection of PZA and POA,Surface-enhanced Raman spectroscopy (SERS),Personal medicine,Drug resistant mycobacteria,Lab-on-a-Chip (LoC)
Popp, J.;Popp, J.;;Quantitative SERS detection of PZA and POA,Surface-enhanced Raman spectroscopy (SERS),Personal medicine,Drug resistant mycobacteria,Lab-on-a-Chip (LoC)
Achanccaray, D.;Achanccaray, D.;Neurorehabilitation,Brain-computer/machine interface,Neural signal processing;virtual reality,stroke,rehabilitation,brain computer interface
Pacheco, K.;Pacheco, K.;Neurorehabilitation,Brain-computer/machine interface,Neural signal processing;virtual reality,stroke,rehabilitation,brain computer interface
Carranza, E.;Carranza, E.;Neurorehabilitation,Brain-computer/machine interface,Neural signal processing;virtual reality,stroke,rehabilitation,brain computer interface
Hayashibe, M.;Hayashibe, M.;;virtual reality,stroke,rehabilitation,brain computer interface
Alvarado-Diaz, W.;Alvarado-Diaz, W.;;under-ten Children,BIA,lean Fat,Analysis,fat Mass,bioimpedance,total Body Water
Meneses-Claudio, B.;Meneses-Claudio, B.;;under-ten Children,Brain-computer interface,BIA,electroencephalogram,lean Fat,BCI,Analysis,Image processing,Stroke or heart attack,fat Mass,bioimpedance,Diagonal ear fold,total Body Water,Ischemic cardiopathy,Segmentation,yes/no question,SOM
Romero-Alva, V.;Romero-Alva, V.;;under-ten Children,BIA,lean Fat,Analysis,fat Mass,bioimpedance,total Body Water
Roman-Gonzalez, A.;Roman-Gonzalez, A.;image processing,remote diagnostics,communication system,yes-no questions,echography,M-CHAT,BCI,brain-computer interface,EEG,Pneumonia,ultrasound,eye tracking,diagnosis,Autism spectrum disorders,Ultrasound images;under-ten Children,earthquakes,fat Mass,Ischemic cardiopathy,risk,Analysis,Stroke or heart attack,bioimpedance,total Body Water,Total amount of electrons,yes/no question,SOM,Anemia,electroencephalogram,Brain-computer interface,BIA,lean Fat,BCI,ionosphere,prevention,Segmentation,Palpebral conjunctiva,Segmentation method,Image processing,Diagonal ear fold,Android application
Zimic, M.;Zimic, M.;image processing,remote diagnostics,communication system,yes-no questions,echography,M-CHAT,BCI,brain-computer interface,EEG,Pneumonia,ultrasound,eye tracking,diagnosis,Autism spectrum disorders,Ultrasound images;Chagas,under-ten Children,fat Mass,QRS score,ECG signals,Analysis,bioimpedance,Signal processing,total Body Water,yes/no question,Waveforms,SOM,electroencephalogram,Brain-computer interface,BIA,lean Fat,BCI,Confounder,Neural networks
Diaz-Sotelo, W.J.;Diaz-Sotelo, W.J.;;electroencephalogram,Brain-computer interface,BCI,yes/no question,SOM
Vargas-Cuentas, N.I.;Vargas-Cuentas, N.I.;communication system,yes-no questions,M-CHAT,BCI,brain-computer interface,EEG,eye tracking,diagnosis,Autism spectrum disorders;electroencephalogram,Brain-computer interface,BCI,yes/no question,SOM
Delgado-Rivera, G.;Delgado-Rivera, G.;;Anemia,Palpebral conjunctiva,Segmentation method,Image processing,Android application
Alva-Mantari, A.;Alva-Mantari, A.;;Anemia,Palpebral conjunctiva,Segmentation method,Image processing,Android application
Barrientos-Porras, F.;Barrientos-Porras, F.;;Anemia,Palpebral conjunctiva,Segmentation method,Image processing,Android application
Salguedo-Bohorquez, M.;Salguedo-Bohorquez, M.;;Anemia,Palpebral conjunctiva,Segmentation method,Image processing,Android application
Medina, M.P.;Medina, M.P.;;Teaching competences,Clinical Environment,Medical school,Teachers,Application of knowledge,Medical education,Learning,Faculty of Medicine,Integration of knowledge,ICT,Evaluation by Competencies
Valencia, J.S.;Valencia, J.S.;;
Mendez, V.M.;Mendez, V.M.;;Teaching competences,Medical school,Application of knowledge,Medical education,Integration of knowledge,ICT
Escobedo, J.R.C.;Escobedo, J.R.C.;;
Placencia, Y.K.A.;Placencia, Y.K.A.;;Teaching competences,Clinical Environment,Medical school,Teachers,Application of knowledge,Medical education,Learning,Faculty of Medicine,Integration of knowledge,ICT,Evaluation by Competencies
Cabanillas, J.;Cabanillas, J.;;Chagas,ECG signals,Confounder,Neural networks,Signal processing,QRS score,Waveforms
