ID;Label;KeywordsB2018;KeywordsA2018
Ponce, M.;Ponce, M.;;Central composed design,Pasta,Desirability function,Surface response,Lupinus mutabilis Sweet
Navarrete, D.;Navarrete, D.;;Central composed design,Pasta,Desirability function,Surface response,Lupinus mutabilis Sweet
Vernaza, M.G.;Vernaza, M.G.;;Central composed design,Pasta,Desirability function,Surface response,Lupinus mutabilis Sweet
Klimley, A.P.;Klimley, A.P.;Archival tags,Irradiance,Geomagnetic intensity,Geolocation;
Flagg, M.;Flagg, M.;Archival tags,Irradiance,Geomagnetic intensity,Geolocation;
Hammerschlag, N.;Hammerschlag, N.;Archival tags,Irradiance,Geomagnetic intensity,Geolocation;
Hearn, A.;Hearn, A.;Archival tags,Irradiance,Geomagnetic intensity,Geolocation;
García-Jacas, C.R.;García-Jacas, C.R.;Simple stochastic,Multiple Linear Regression,TOMOCOMD-CARDD,Bilinear and quadratic indices,QuBiLS-MAS,Mutual probability matrices,QuBiLS-MIDAS,Free and open source software,Atom/bond-based molecular descriptor,Double stochastic,QSAR,Non-stochastic,Linear,ToMoCoMD-CARDD,3D-QSAR;Aggregation operators,3D molecular descriptors,OWAWA aggregation operator,WA aggregation operator,aggregation operators,QuBiLS-MIDAS,Choquet integral,Molecular descriptors,LOEIs,data fusion,OWA aggregation operator,QSAR,ToMoCoMD-CARDD software,Fuzzy measures,LOVIs,QuBiLS-MIDAS molecular descriptors
Cabrera-Leyva, L.;Cabrera-Leyva, L.;Multiple Linear Regression,3D-QSAR,QuBiLS-MIDAS,TOMOCOMD-CARDD;Aggregation operators,3D molecular descriptors,OWAWA aggregation operator,WA aggregation operator,aggregation operators,QuBiLS-MIDAS,Choquet integral,Molecular descriptors,LOEIs,data fusion,OWA aggregation operator,QSAR,ToMoCoMD-CARDD software,Fuzzy measures,LOVIs,QuBiLS-MIDAS molecular descriptors
Marrero-Ponce, Y.;Marrero-Ponce, Y.;Simple stochastic,Multiple Linear Regression,Mutual probability matrices,QuBiLS-MIDAS,17O-RMN,QSAR,Atom/bond-based molecular descriptor,Double stochastic,Linear,3D-QSAR,Non-stochastic,ToMoCoMD-CARDD,GDIs,QuBiLS-MAS,Free and open source software,Resonance energy,TOMOCOMD-CARDD,Reactivity,Free valence,Discrete derivative,Bilinear and quadratic indices,Structural interpretation,Derivative indices,Activation entropy;Aggregation operators,3D molecular descriptors,OWAWA aggregation operator,WA aggregation operator,aggregation operators,QuBiLS-MIDAS,Choquet integral,Molecular descriptors,LOEIs,data fusion,OWA aggregation operator,QSAR,ToMoCoMD-CARDD software,Fuzzy measures,LOVIs,QuBiLS-MIDAS molecular descriptors
Cortés-Guzmán, F.;Cortés-Guzmán, F.;;3D molecular descriptors,OWAWA aggregation operator,WA aggregation operator,aggregation operators,QuBiLS-MIDAS,LOEIs,data fusion,OWA aggregation operator,LOVIs
García-González, L.A.;García-González, L.A.;;3D molecular descriptors,OWAWA aggregation operator,WA aggregation operator,aggregation operators,QuBiLS-MIDAS,LOEIs,data fusion,OWA aggregation operator,LOVIs
Mora, J.R.;Mora, J.R.;Reductive dehalogenation,Reaction force,Hydrogen activation,Many body decomposition analysis,Halocarbons,Dft,Frustrated Lewis pairs,Methane activation,Cob[I]alamin;Reductive dehalogenation,Computational modeling,DFT,Organohalides,Cobalt complexes,Transition state,Density functional theory,Reaction mechanism,Herbicides
Cervantes, C.;Cervantes, C.;;Computational modeling,Transition state,Density functional theory,Reaction mechanism,Herbicides
Marquez, E.;Marquez, E.;;Computational modeling,Transition state,Density functional theory,Reaction mechanism,Herbicides
