ID;Label;KeywordsB2018;KeywordsA2018
Martin, M.;Martin, M.;;
Birgin, E.G.;Birgin, E.G.;;MIP models,Complexity,Active-set strategies,Nonlinear programming,Regularization,usable leftovers,multiperiod scenario,Bound-constrained minimization,non-guillotine cutting and packing
Lobato, R.D.;Lobato, R.D.;;
Morabito, R.;Morabito, R.;;Lot sizing,Combinatorial optimization,Hybrid Approach,Production planning,Multiple Compartments,Container Loading Problems,Beverage Distribution,Supplier selection,Flexible systems
Munari, P.;Munari, P.;;
Ferreira, J.E.;Ferreira, J.E.;dependencies among processes,data driven,process oriented,autopsy study,event based;Workflow,electronic monitoring system,public safety,Kalman filter,PAIS,machine learning,Transforms,WED-flow,Robustness,Process-Aware Information Systems,Databases,Exception Handling,Business,campus maintenance,Reliability,smart service,Business Process Management,Automobiles,mobile device application,Deep neural network,Long-lived transactions,collaborative community,mobile application,Information systems
Ronconi, D.P.;Ronconi, D.P.;;MIP models,multiperiod scenario,usable leftovers,non-guillotine cutting and packing
Filho, G.P.R.;Filho, G.P.R.;;Complex networks,sensor,Meta-heuristic,computational intelligence,wireless sensor networks,energy efficiency,Long Short-Term Memory,IoT,Combinatorial optimization,domotics,Intelligent Control,fog computing,Multilevel optimization,Large-scale networks,wireless sensor and actuator networks,Gated Recurrent Unit,Bipartite networks,home automation,Fault-Tolerance,Actuator,Indoor Localization
Meneguette, R.I.;Meneguette, R.I.;;
Maia, G.;Maia, G.;;
Ueyama, J.;Ueyama, J.;;Domotic,Biological Control,Database,Vector Control,Infrastructure,Precision Agriculture,Home Automation System,Emotion,Smart home,Decision-making,sensor,Social media,computational intelligence,Human–computer interaction (HCI),Analysis of feelings,Facebook reactions,wireless sensor networks,Emoticons,Recognition of emotions,energy efficiency,Knowledge base,Sentiment analysis,Long Short-Term Memory,Emotion recognition,IoT,Speech,Sensor,Energy efficiency,domotics,Intelligent Control,fog computing,Wireless,Classification,Dynamic Environment,UAV,Clustering,Emotional state,wireless sensor and actuator networks,Gated Recurrent Unit,Energy management,home automation,Cognitive computing,Social networks,Energy consumption,Fault-Tolerance,Actuator,Indoor Localization
Villas, L.A.;Villas, L.A.;;IoT,computational intelligence,domotics,home automation,fog computing,wireless sensor networks,energy efficiency,Actuator,sensor,wireless sensor and actuator networks
Saviniec, L.;Saviniec, L.;Variable Neighborhood Search,Iterated Local Search,Class–teacher timetabling,Minimum Cost Assignment Problem,Conflict graph;Iterated local search,Parallel metaheuristics,Tabu search,Timetabling,Simulated annealing
Santos, M.O.;Santos, M.O.;;Lot sizing,Combinatorial optimization,Production planning,Crossover,Iterated local search,Parallel metaheuristics,Tabu search,Timetabling,Supplier selection,VRPTW,Clustering,Flexible systems,Evolutionary Algorithm,Simulated annealing
Costa, A.M.;Costa, A.M.;;Iterated local search,Parallel metaheuristics,Tabu search,Timetabling,Simulated annealing
Santos, L.M.R.D.;Santos, L.M.R.D.;;
Pereira, J.P.A.;Pereira, J.P.A.;;
Brandão, A.A.F.;Brandão, A.A.F.;;Computing education,Data aggregation,Interactive geometry,Software product line,educational technology,Scalability,Organizational models,BDI,Distributed Hash Table,Internet of things,Method,Contextual planning,Learning,Multiagent system,Multiagent systems,interface design,Variability,AmI,Multiagent systems.,gestural interfaces,Perception,Interoperability.,Context-aware systems,Blind,usability,Survey,Visual impairment,Inclusion
da Silva Bevilacqua, J.;da Silva Bevilacqua, J.;;
Correa Giannella, M.L.C.;Correa Giannella, M.L.C.;;
Guimaraes, T.;Guimaraes, T.;;
Do Carmo Caccia-Bava, M.;Do Carmo Caccia-Bava, M.;;
Guimaraes, V.;Guimaraes, V.;;
Souza, M.R.;Souza, M.R.;;
Beli, D.;Beli, D.;;
Ferguson, N.S.;Ferguson, N.S.;;
de F. Arruda, J.R.;de F. Arruda, J.R.;;
Fabro, A.T.;Fabro, A.T.;;Quantitative imaging,Radiomics,Quantitative image analysis,Pattern recognition,Metastasis prediction,Lung cancer
Garcia, K.D.;Garcia, K.D.;;Online learning,Data stream,Concept drift,kNN Prototyping,Novelty detection,Online clustering,Transfer learning,Unsupervised domain adaptation,Human activity recognition
Carvalho, T.;Carvalho, T.;;Deep learning,Structuring process,Software architecture,CG detection,Open data,Transfer learning,Fake news,Open Government Data,Digital forensics
Mendes-Moreira, J.;Mendes-Moreira, J.;;kNN Prototyping,Data stream,Online clustering,Transfer learning,Unsupervised domain adaptation,Human activity recognition
Cardoso, J.M.P.;Cardoso, J.M.P.;;
