ID;Label;KeywordsB2018;KeywordsA2018
Ullah, S.;Ullah, S.;;DFT,Functionalized boron arsenide,Bandgaps,Janus-like bilayers,Charge analysis
Denis, P.A.;Denis, P.A.;Carbon nanomaterials,Density functional calculations,Doping,Graphene;DFT,Functionalized boron arsenide,Bandgaps,Janus-like bilayers,Charge analysis
Sato, F.;Sato, F.;;DFT,Functionalized boron arsenide,Bandgaps,Janus-like bilayers,Charge analysis
Rodríguez, S.;Rodríguez, S.;;Neuroevolution,NES,Xeon Phi,Parallel evolutionary algorithms
Parodi, F.;Parodi, F.;Artificial intelligence,Evolutionary algorithms,Xeon Phi;Neuroevolution,NES,Xeon Phi,Parallel evolutionary algorithms
Nesmachnow, S.;Nesmachnow, S.;Multiobjective optimization,Public transport,Hadoop,Virtualization,Parallel evolutionary algorithms,cloud computing,Data centers,Infrastructure as a Service,Distributed memory,Evolutionary algorithms,brokering,Penalty scheduling policy,parallel computing,Xeon Phi,Clusters and datacenters,Empirical execution time analysis,Provider income,public transport,VHDL,Climate records,smart cities,optimization,Visual Odometry,metaheuristics,Multi-objective scheduling,Control and planning,Scientific computing,GPU,Unmanned Aerial Vehicles,Artificial Neural Networks,Computer science education,virtual machine planning,Inertial Sensors,scheduling,data centers,Project management,Scheduling,Green energy,Cloud,Mesos,Fluorescence analysis,Zookeeper,Artificial intelligence,Communications,Extended Kalman Filter,Mobility analysis,Active learning,Big data,Execution time estimation,C programming language,multiobjective optimization,Energy efficiency,Smart cities,Visualization,planning,Service level agreement,Multicore,Aging scheme,High performance computing,energy sector,IaaS,Distributed computing,Prototyping,NUMA,Containers,Bloom's taxonomy,Affinity,Software,Image processing,Intelligent Transportation Systems,evolutionary algorithms,green energy,cloud brokering,Cloud computing;Traffic flow,Multiobjective optimization,Public transport,Hadoop,Parallel evolutionary algorithms,cloud computing,cloud,Independent tasks scheduling,Security properties,Metaheuristics,Energy model,HST,DEM,Evolutionary algorithms,Multithreading,Pollution,Robustness optimization,Xeon Phi,computer science,Computing efficiency,Countries,Residue number system,smart cities,education,Waste management,HPC,metaheuristics,optimization,Neuroevolution,Optimisation,Python,Cloud,Storage,NES,Pedestrian movement patterns,Simulation,Event-sequence language,MapReduce,Large-scale processing,Multiobjective evolutionary algorithms,big data,3-SAT,Green computing,Multiobjetive optimization,history of computing,Security,Municipal solid waste,Computational Science in Developing Countries,Energy efficiency,resiliency,Smart cities,Cosmic rays,scientific computing,Cloud simulator,Feature extraction,Distributed computing,high-performance computing,Multiple vehicle types,Multicores,Optimization,network design,Computational intelligence,Self-gravity,Azure,Homomorphic encryption,Image processing,CDN,Dynamic verification,Reliability,Surveillance cameras,traffic engineering,Monitoring rules,intelligent transportation systems,Cloud computing
Peña, D.;Peña, D.;Evolutionary algorithms,Multiobjective optimization,Public transport,Smart cities;Multiobjective optimization,Public transport,Multiple vehicle types,Metaheuristics,Evolutionary algorithms,Smart cities
Tchernykh, A.;Tchernykh, A.;Multiobjective optimization,Public transport,cloud computing,Infrastructure as a Service,Distributed memory,Evolutionary algorithms,Penalty scheduling policy,Provider income,public transport,VHDL,smart cities,metaheuristics,Multi-objective scheduling,greenhouse gas,Computer science education,virtual machine planning,data centers,Scheduling,Mesos,Active learning,Execution time estimation,multiobjective optimization,Energy efficiency,Smart cities,Visualization,Service level agreement,High performance computing,Aging scheme,IaaS,Containers,Bloom's taxonomy,Image processing,evolutionary algorithms,green energy,cloud brokering,Cloud computing;Multiobjective optimization,Public transport,Hadoop,cloud computing,Metaheuristics,Energy model,Computing efficiency,Evolutionary algorithms,Residue number system,smart cities,Optimisation,Cloud,Storage,MapReduce,big data,3-SAT,Green computing,Security,Energy efficiency,Smart cities,Cloud simulator,Multiple vehicle types,Multicores,Optimization,Homomorphic encryption,CDN,Reliability,intelligent transportation systems,Cloud computing
Drozdov, A.Y.;Drozdov, A.Y.;IaaS,Multi-objective scheduling,Active learning,Bloom's taxonomy,Computer science education,Energy efficiency,Service level agreement,Visualization,Provider income,VHDL,Cloud computing;Multiobjective optimization,Public transport,Multiple vehicle types,Metaheuristics,Evolutionary algorithms,Smart cities
Garichev, S.N.;Garichev, S.N.;Evolutionary algorithms,Multiobjective optimization,Public transport,Smart cities;Multiobjective optimization,Public transport,Multiple vehicle types,Metaheuristics,Evolutionary algorithms,Smart cities
