ID;Label;KeywordsB2018;KeywordsA2018
Oliveira, H.M.N.S.;Oliveira, H.M.N.S.;Elastic optical network with space division multiplexing,P-cycle FIPP,Multi-core fiber,Protection;Multi-core Fiber,Traffic grooming,elastic optical network with space division multiplexing,FIPP p-cycle,multi-core fiber,modulation,Survivability,Space Division Multiplexing,Elastic optical network with space division multiplexing,Elastic Optical Net- work,Protection,Multi-core fiber,Elastic Optical Network with Space Division Multiplexing
da Fonseca, N.L.S.;da Fonseca, N.L.S.;;Elastic optical network with space division multiplexing,Multi-core fiber,Survivability
Florindo, J.B.;Florindo, J.B.;Pattern recognition,Schroedinger transform,Texture,Texture analysis;singular spectrum analysis,Multiscale,Gaussian pyramid,Complex networks,Pattern recognition,texture image classification,Down-sampling,Fractal descriptors,Texture image classification,Triangular prism,Bouligand-Minkowski,Texture analysis,Dirichlet series
Felzmann, I.B.;Felzmann, I.B.;;
Susin, M.M.;Susin, M.M.;clock synchro-nization,WSN,time synchronization,TSTP;
Duenha, L.;Duenha, L.;DVFS,MPSoCBench,performance,simulation,energy consumption;Dark silicon,Multicore design,Design space exploration (DSE),Performance simulation,Physical design estimates
Azevedo, R.;Azevedo, R.;DVFS,MPSoCBench,performance,simulation,energy consumption;Optimization,Emulation,Dark silicon,Multicore design,Memory approximation,CS0,Computer science,instruction level parallelism,Design space exploration (DSE),Energy Efficiency,Active learning,Value prediction,prefetching,Performance simulation,address prediction,CS1,load value prediction,speculative execution,Physical design estimates,Phase Analysis,Approximate Computing,Sampled simulation,PBL,Interpreter,PI
Wanner, L.F.;Wanner, L.F.;clock synchro-nization,WSN,time synchronization,TSTP;
Amorim, A.;Amorim, A.;;
Labaki, L.;Labaki, L.;;
Maia, P.;Maia, P.;;
Barros, T.;Barros, T.;;
Marcelo, A.;Marcelo, A.;;
nan.;nan.;;
Pereira, P.;Pereira, P.;;
Guerra, L.;Guerra, L.;;
Penello, G.M.;Penello, G.M.;;
Maialle, M.Z.;Maialle, M.Z.;;
Souza, P.L.;Souza, P.L.;;
Ladeira, L.Z.;Ladeira, L.Z.;;
Junior, V.A.P.;Junior, V.A.P.;;
Rodrigues, R.Z.;Rodrigues, R.Z.;;
Botega, L.C.;Botega, L.C.;;Congestion control,intelligent transportation systems,public safety,VANETs,vehicular re-routing,multi-objective optimization
Gudwin, R.;Gudwin, R.;Cognitive architecture,Dual-process theory,CST,Dynamic subsumption;Predictive Maintenance,Industry 4.0,Dynamic subsumption,Cognitive architecture,Dynamic Subsumption,Dual-process theory,OSA-CBM,CST,Fuzzy Specialist System,Condition Based Maintenance,Dual Process Theory
Rohmer, E.;Rohmer, E.;;optical fiber sensors,human-robot interaction,Prosthetics,force myography,Optical fiber sensor,Human-robot interaction,Force sensors,Bio inspirired Robotics,force measurement,Human Machine Interface,Upper Limb Prosthesis,Force myography
Paraense, A.L.O.;Paraense, A.L.O.;;
Raizer, K.;Raizer, K.;Cognitive architecture,Dual-process theory,CST,Dynamic subsumption;Dynamic subsumption,Cognitive architecture,Dynamic Subsumption,Dual-process theory,CST,Dual Process Theory
Feljan, A.V.;Feljan, A.V.;;
Paineiras-Domingos, L.L.;Paineiras-Domingos, L.L.;;
Guedes-Aguiar, E.O.;Guedes-Aguiar, E.O.;;
Melo-Oliveira, M.E.S.;Melo-Oliveira, M.E.S.;;
Taiar, R.;Taiar, R.;;
Bernardo-Filho, M.;Bernardo-Filho, M.;;
Moreira-Marconi, E.;Moreira-Marconi, E.;;
