ID;Label;KeywordsB2018;KeywordsA2018
Ferreira, J.M.;Ferreira, J.M.;MDE,Empirical evidence,Usability attributes,Model-driven engineering,Metrics,Usability mechanism,Tourism,Customization,Usability,ISO/IEC 9126,Software application,Ecore,Usability metrics,DSL;Experimental material management,Experimental software engineering,Experimental material,Experimental replication
Acuña, S.T.;Acuña, S.T.;Empirical evidence,Usability attributes,Usability mechanism,Usability,Software application,Usability metrics;
Dieste, O.;Dieste, O.;;
Rodríguez, F.;Rodríguez, F.;;
Juristo, N.;Juristo, N.;;
nan.;nan.;;
Fernández-Martínez, S.;Fernández-Martínez, S.;;Defragmentation,Slot-blocks,RSA,Frequency slot,EON
Barán, B.;Barán, B.;VNE,Optimization,Many-objective optimization,Power distribution network,Multi-Objective Evolutionary Algorithms,Parallel evolutionary algorithms,Many-Objective Optimization,Principal component analysis,combinatorial optimization,Multi-Objective Ant Colony System (MOACS),Optical Networks,Multi-Objective Problem (MOP),Optical Network,Cloud infrastructure optimisation,LNN,Quantum circuit,Memetic Algorithm,virtual network embedding,Quality of Service (QoS),Spectral clustering,Dimensionality reduction,Optical Network Protection,network virtualization,Wavelength-Converter Allocation (WCA),Interactive algorithm,Auction-based Resource Provisioning,Overbooking,Incremental VMP,Cloud brokerage,Linear nearest neighbor,Multi-objective evolutionary algorithms,Cloud Broker,VMP Reconfiguration,Multi-Objective Optimization,Multiobjective optimization,Datacentres,multiobjective optimization,Linear genetic programming,Spot Instances,visual analysis of solutions,Energy forecasting,Virtual Machine Placement,Experimental comparison,Network Virtualization,Virtualization,Memetic algorithm,Evolutionary algorithm,multi-objective optimization,Elasticity,Cloud computing,Genetic programming,Virtual machine placement,Taxonomy,Virtual Network Embedding,Uncertainty,quantum adiabatic computing,Traffic Grooming,Resource allocation,Virtual Optical Network Embedding,Routing and Wavelength Assignment (RWA),Online algorithms,Many-objective Optimization,ILP,Cloud Computing,Wavelength Division Multiplexing (WDM),Datacenter;Defragmentation,Slot-blocks,evolutionary algorithms,many-objective evolutionary algorithms,many-objective optimization,VMP reconfiguration,Virtual machine placement,Network virtualization,Virtual network embedding,Overbooking,Incremental VMP,Uncertainty,Performance metrics,RSA,Frequency slot,Elasticity,EON,Cloud computing
Pinto-Roa, D.P.;Pinto-Roa, D.P.;Entropy,MultiObjective Evolutionary Algorithm,Histogram equalization,Multi-Objective Problem (MOP),Robust network design,Image Processing,Optical Network,Machine Learning,price of robustness,COCOMO,SMPSO,Optical Network Protection,Wavelength-Converter Allocation (WCA),fairness,hose model,EON,Linear Genetic Programming,Contrast Enhancement,Melanoma,CLAHE,MultiObjective Optimization Problem,Spectrum Defragmentation,Automatic Diagnosis,Multi-objective Optimization,Contrast enhancement,Wavelength Division Multiplexing (WDM),RSA,Plateau limit,Routing and Wavelength Assignment (RWA),Software Effort Estimation,SSIM,Brightness preservation;Defragmentation,Slot-blocks,Combinatorial Optimization,Machine Learning,Map-Elites,mathematical morphology,multiscale top-hat transform,Feature Selection,RSA,Image enhancement,mean brightness,Data Mining,Frequency slot,structuring elements,EON
Sosa-Cabrera, G.;Sosa-Cabrera, G.;;Entropy,Retail,Multivariate sample size,Multivariate symmetrical uncertainty,Total representativeness,Mutual information,Categorical feature correlation,R tool,Feature selection,Transactional databases,Association rules algorithm,Data mining
