ID;Label;KeywordsB2018;KeywordsA2018
Lera-Romero, G.;Lera-Romero, G.;;Time-dependent travel times,Integer programming,Traveling salesman,Branch and cut,Profitable tour problem
Miranda-Bront, J.J.;Miranda-Bront, J.J.;Integer linear programming,Time windows,Branch-and-Cut,Time-dependent TSP;Time-dependent travel times,Integer programming,Traveling salesman,Branch and cut,Profitable tour problem
Wang, Q.J.;Wang, Q.J.;;Music,Attention,Wine evaluation,Crossmodal correspondences,Temporal dominance of sensations
Mesz, B.;Mesz, B.;;Music,Attention,Wine evaluation,Crossmodal correspondences,Temporal dominance of sensations
Riera, P.;Riera, P.;;Music,Attention,Wine evaluation,Crossmodal correspondences,Temporal dominance of sensations
Guha, A.;Guha, A.;;Music,Attention,Wine evaluation,Crossmodal correspondences,Temporal dominance of sensations
Spence, C.;Spence, C.;;Music,Attention,Wine evaluation,Crossmodal correspondences,Temporal dominance of sensations
Borthagaray, J.P.;Borthagaray, J.P.;;Finite element method,Fractional Laplacian,Eigenvalue problem
Del Pezzo, L.M.;Del Pezzo, L.M.;;Finite element method,Fractional Laplacian,Eigenvalue problem
Martínez, S.;Martínez, S.;;Finite element method,Fractional Laplacian,Eigenvalue problem
Gur, Y.;Gur, Y.;;Competitive facility location,1-median,Nash equilibrium,Voronoi game,Hotelling competition
Saban, D.;Saban, D.;;Competitive facility location,1-median,Nash equilibrium,Voronoi game,Hotelling competition
Stier-Moses, N.E.;Stier-Moses, N.E.;Risk-averse wardrop equilibrium,Mean-stdev risk measure,Congestion game,Mean-var risk measure,Revenue management,Stochastic networks,Stochastic selfish routing,Nash equilibrium,E-commerce,Linear ordering;Competitive facility location,1-median,Nash equilibrium,Voronoi game,Hotelling competition
Fernandez Slezak, D.;Fernandez Slezak, D.;;
Sigman, M.;Sigman, M.;Stochastic behavior modeling,Planning,Children problem solving,N-Puzzles,Heuristics,Monte Carlo Tree Search,First graders;
Cecchi, G.A.;Cecchi, G.A.;;
Montero, A.;Montero, A.;Integer linear programming,Time windows,Branch-and-Cut,Time-dependent TSP;
Méndez-Díaz, I.;Méndez-Díaz, I.;Integer linear programming,Time windows,Branch-and-Cut,Time-dependent TSP;
Van Ryzin, G.;Van Ryzin, G.;Demand untruncation,EM method,Demand estimation,Choice behavior;
Vulcano, G.;Vulcano, G.;Demand untruncation,EM method,Demand estimation,Choice behavior;
L'Ecuyer, P.;L'Ecuyer, P.;E-commerce,Revenue management,Linear ordering;
Maillé, P.;Maillé, P.;E-commerce,Revenue management,Linear ordering;
Tuffin, B.;Tuffin, B.;E-commerce,Revenue management,Linear ordering;
Stier-Moses, N.;Stier-Moses, N.;;
Amalric, M.;Amalric, M.;;
Wang, L.;Wang, L.;;
Pica, P.;Pica, P.;;
Dehaene, S.;Dehaene, S.;;
Carrillo, F.;Carrillo, F.;;
Mota, N.;Mota, N.;;
Copelli, M.;Copelli, M.;;
Cecchi, G.;Cecchi, G.;;
Slezak, D.F.;Slezak, D.F.;;
Paz, L.;Paz, L.;Stochastic behavior modeling,Planning,Children problem solving,N-Puzzles,Heuristics,Monte Carlo Tree Search,First graders;
Goldin, A.P.;Goldin, A.P.;Stochastic behavior modeling,Planning,Children problem solving,N-Puzzles,Heuristics,Monte Carlo Tree Search,First graders;
Diuk, C.;Diuk, C.;Stochastic behavior modeling,Planning,Children problem solving,N-Puzzles,Heuristics,Monte Carlo Tree Search,First graders;
Nikolova, E.;Nikolova, E.;Risk-averse wardrop equilibrium,Mean-stdev risk measure,Congestion game,Mean-var risk measure,Stochastic networks,Stochastic selfish routing,Nash equilibrium;
Merener, N.;Merener, N.;Realized variance,Stratification,Variance reduction techniques,Monte Carlo simulation,Variance swaps;
Vicchi, L.;Vicchi, L.;Realized variance,Stratification,Variance reduction techniques,Monte Carlo simulation,Variance swaps;
Correa, J.R.;Correa, J.R.;;
Lederman, R.;Lederman, R.;;
Figueroa, N.;Figueroa, N.;;
Schulz, A.S.;Schulz, A.S.;;
Lopez-Rosenfeld, M.;Lopez-Rosenfeld, M.;;
Lipina, S.;Lipina, S.;;
Azcue, P.;Azcue, P.;;
Muler, N.;Muler, N.;;
Yohai, V.J.;Yohai, V.J.;;
Ahumada, H.A.;Ahumada, H.A.;;
Page, J.H.;Page, J.H.;;
Rotnitzky, A.;Rotnitzky, A.;;
Pessino, C.;Pessino, C.;;
Fenochietto, R.;Fenochietto, R.;;
