ID;Label;KeywordsB2018;KeywordsA2018
Chacon-Cifuentes, P.;Chacon-Cifuentes, P.;;
Zuleta, A.A.;Zuleta, A.A.;;
Sevilla, G.;Sevilla, G.;;
Correa-Bedoya, E.;Correa-Bedoya, E.;;
Echeverria-Echeverria, F.;Echeverria-Echeverria, F.;;
Zuleta-Gil, A.;Zuleta-Gil, A.;;
Cadavid, G.S.;Cadavid, G.S.;;
Kacha, A.;Kacha, A.;Dysarthric speech,Spectrogram,Principal component analysis;
Grenez, F.;Grenez, F.;Dysarthric speech,Spectrogram,Principal component analysis;
Orozco-Arroyave, J.R.;Orozco-Arroyave, J.R.;Continuous speech characterization,Atypical speech,Dynamic time Warping,speech,Hesitation in speech,Pathological speech,Continuous speech,Internet,articulation,Reverberant environments,Dysarthric speech,Mobile device,Time-frequency representations,Train/Test mismatch,Aging voice,Modulation spectra,Speech signal,Laryngeal pathologies (LP),Voiced/unvoiced transitions,Multi-class SVM,Speech processing,Nonlinear behavior,Articulatory,Noise measures,Intelligibility,Mobile communications network,Spectrogram,Kernel Principal Component analysis,Parkinon's disease,Parkinson’s disease,Speaker model,Pitch modulation,Noisy Speech Signal,Classification,Voiced/unvoiced,Non-modal phonation,Wavelet packet transform,Speech compression,Unvoiced frames,Parkinson's disease,Disphonia,Speech,Non-linear speech processing,Phonological features,Telemonitoring,UPDRS score,Decision trees,Speech enhancement,relative spectra analysis,Interpretation,Wavelet transform,Dysarthria,Non-controlled noise conditions,Background noise,Dysphonia,Articulation,Hypokinetic dysarthria,linear prediction,Acoustic features,Speech emotion recognition,GMM-UBM,Convolutional neural network,Multi-language,MFCCs,Periodicity,Fundamental frequency estimation,Laryngeal pathologies,I-vectors,UPDRS,User modeling,Spectral-cepstral modeling,Speech disorders,Language and motor planning,Word accuracy,Prosody,Non-stationary signals,intelligibility,Non-linear dynamics,Monitoring,Disarhtria,Time-frequency analysis,Hypernasality,Speech monitoring,speech spectrum,Stability,Voice Assessment,Voice segmentation,Cosine distance,Energy content,Time-frequency,Speech corpus,Speech codec,Language independent assessment,Speech Enhancement,cepstral analysis,Paralinguistics,Hidden Markov models,Speech discrimination,Telephone channel,Pathological voice detection,Glottal flow,Neural networks,Regression,Visualization,Severity estimation,Phonatory,Voiced/unvoiced frames,Time dependent ARMA models,Parkinson's disease (PD),Speaker Verification,Principal component analysis,Phonation,Nonlinear dynamic parameterization;Intelligibility,Geometrical features,i–Vectors,handwriting,Speech enhancement,Phonation,speech,Parkinson’s disease,Dysarthria,Gait assessment,Recurrent neural network,Pathological speech,Mobile devices,Speech impairments,covariance features,Speaker models,deep learning,Articulation,Kinematic features,Classification,Phonological posteriors,Gated recurrent units,Speaker recognition techniques,Python,Inertial sensors,GMM-UBM,Dysarthria assessment,Automatic speech recognition,Modulation components,I-vectors,Speech disorders,Longitudinal analysis,Parkinson's disease,Prosody,Speech,Nonlinear dynamics,Handwriting processing,Gait processing,Parkinson's Disease,Software,gait,Non-linear dynamics,iVectors,Multitask learning,convolutional neural networks,GMM–UBM,Speech processing,Articulation analysis,Handwriting
Schoentgen, J.;Schoentgen, J.;Dysarthric speech,Spectrogram,Principal component analysis;
Samia, A.;Samia, A.;;
Feddi, E.;Feddi, E.;;
Duque, C.A.;Duque, C.A.;Optical absorption,Impurity binding energy,Optical,Asymmetric parabolic quantum well,Nonlinear magneto-optical properties,DFT,Dielectric-superconductor heterostructures,Phosphorene,Electric field,Quantum rings,Nanoribbons,Semiconductor nanostructures,Double quantum wells,Wurtzite AlN,Donor impurity,Self-consistent calculations,Raman scattering,1D photonic crystal,Intense laser field,Quantum well,Rudin-Shapiro,Graphene,1D photonic crystals,Phonon-polaritons,Magnetic field,Second harmonic generation;Symmetry,Finite confinement,Second and third harmonic generation,Linear optical properties,Intense laser field,Finite element method,Electric and magnetic fields,Multiple-step quantum wells,Oscillator strength,Excited levels,Dipole matrix elements,2D quantum ring,Nanoscale,Terahertz radiation,Quantum dots
Akimov, V.;Akimov, V.;Semiconductor nanostructures,Self-consistent calculations,Double quantum wells;
Correa, J.D.;Correa, J.D.;Phosphorene,DFT,Optical,Nanoribbons;
Castaño, F.A.;Castaño, F.A.;;Electrocardiographic,Motion artifacts,Signal denoising,Home health care,Biomedical monitoring,Biomedical signal processing
Hernández, A.M.;Hernández, A.M.;data gloves,motion analysis,Respiratory control system,Optimization algorithms,Mechanical work of breathing,bioinstrumentation,Optimal control,medical simulation;Surface electromyography,PEEP,Electrocardiographic,Motion artifacts,Pressure support,Work of breathing,Respiratory muscles,Machine learning,Signal denoising,Home health care,Lung diseases,Non-invasive ventilation,Biomedical monitoring,Mechanical ventilation,Biomedical signal processing
Soto-Romero, G.;Soto-Romero, G.;motion analysis,bioinstrumentation,data gloves,medical simulation;Electrocardiographic,Motion artifacts,Signal denoising,Home health care,Biomedical monitoring,Biomedical signal processing
Feria-Garzón, M.G.;Feria-Garzón, M.G.;;Inflammasomes,Inflammation,HIV,Toll-like receptors,Sulfasalazine
Rugeles, M.T.;Rugeles, M.T.;;Inflammasomes,Inflammation,HIV,Toll-like receptors,Sulfasalazine
Hernandez, J.C.;Hernandez, J.C.;;Inflammasomes,Inflammation,HIV,Toll-like receptors,Sulfasalazine
Lujan, J.A.;Lujan, J.A.;;Inflammasomes,Inflammation,HIV,Toll-like receptors,Sulfasalazine
Taborda, N.A.;Taborda, N.A.;;Inflammasomes,Inflammation,HIV,Toll-like receptors,Sulfasalazine
Ochoa, R.;Ochoa, R.;Computational biology,Grid computing,Antidotes,Acetylcholinesterase,Leishmania,Relaxed Complex Scheme,Organophosphorus compounds,Drug discovery;Virtual screening,Trypanosoma cruzi,Chalcones,Protein kinase B,Computational biology,Antidotes,Drug discovery,Oximes,Leishmania,Pleckstrin homology domain,Molecular docking
García, E.;García, E.;Multi-objective optimization,SPEA,Power quality,Evolutionary algorithm of pareto front,Distribution system planning;Virtual screening,Chalcones,Drug discovery,Leishmania,Molecular docking
Robledo, S.M.;Robledo, S.M.;Phytochemistry,Leishmanicidal activity,Grid computing,Esenbeckia litoralis,Drug discovery,Alkaloid,Leishmania,Relaxed Complex Scheme,Rutaceae;Virtual screening,Trypanosoma cruzi,Chalcones,Protein kinase B,Antioxidant,Leishmanicidal activity,Drug discovery,Pilocarpus,Leishmania,Leishmanial,Pleckstrin homology domain,Molecular docking,Rutaceae
Cardona G, W.;Cardona G, W.;;Virtual screening,Chalcones,Drug discovery,Leishmania,Molecular docking
Guisande, C.;Guisande, C.;freshwater fishes,freshwater habitats,species richness,rarity;Species distribution model,Spatial distribution,Spatial prediction,Group discrimination,Geostatistics,Macroecology,Statistical method
Rueda-Quecho, A.J.;Rueda-Quecho, A.J.;;Species distribution model,Spatial distribution,Spatial prediction,Group discrimination,Geostatistics,Macroecology,Statistical method
Rangel-Silva, F.A.;Rangel-Silva, F.A.;;Species distribution model,Spatial distribution,Spatial prediction,Group discrimination,Geostatistics,Macroecology,Statistical method
González-Vilas, L.;González-Vilas, L.;;Species distribution model,Spatial distribution,Spatial prediction,Geostatistics,Macroecology
Pelayo-Villamil, P.;Pelayo-Villamil, P.;;Species distribution model,Spatial distribution,Spatial prediction,Group discrimination,Geostatistics,Macroecology,Statistical method
Laio, A.;Laio, A.;;
Cossio, P.;Cossio, P.;;
Urrea-Quintero, J.-H.;Urrea-Quintero, J.-H.;;Multiscale model,Free-radical polymerization,Variance algebra,Scales integration,kMC,Reduced-order model
Ochoa, S.;Ochoa, S.;;Multiscale model,Free-radical polymerization,Acrylic Acid process,Dynamic Optimization,Variance algebra,Scales integration,Green Chemistry,kMC,Reduced-order model
Hernández, H.;Hernández, H.;;Multiscale model,Free-radical polymerization,Variance algebra,Scales integration,kMC,Reduced-order model
Rincón-Rodriguez, R.;Rincón-Rodriguez, R.;;Apoptosis,Ishikawa cells,2-methoxyestradiol,F-spondin,Cancer
Mena, D.;Mena, D.;;Apoptosis,Ishikawa cells,2-methoxyestradiol,F-spondin,Cancer
Mena, J.;Mena, J.;;Apoptosis,Ishikawa cells,2-methoxyestradiol,F-spondin,Cancer
