ID;Label;KeywordsB2018;KeywordsA2018
Guiñazú, M.F.;Guiñazú, M.F.;;
Cortés, V.;Cortés, V.;;
Ibáñez, C.F.;Ibáñez, C.F.;Opinion mining,Web content mining,Marijuana,Text mining,Social network analysis;
Velásquez, J.D.;Velásquez, J.D.;Biometric data,Eye-tracking,Opinion Mining,Software engineering,Multi documental data sources,EEG,Information Fusion,Web user,Decision making,Sentiment Analysis,Pupil dilation,MapReduce,Web content mining,Information fusion,Text patterns information fusion,Social network analysis,Choice prediction,Survey,Plagiarism detection,Opinion mining,Web usage mining,Marijuana,Text mining;
Shukla, N.;Shukla, N.;;
Merigó, J.M.;Merigó, J.M.;Operational research,Country analysis,Mean,Correlation coefficient,Spain,Group decision making,Portfolio selection,Article influence score,Sales forecasting,H-index,Aggregation systems,IOWA operator,Heronian mean,Compatibility,Majority concept,Female entrepreneurship,Fuzzy decision-making,Latin America,Web of Science,Qualitative decision making,Financial decision making,GEM,Variance,Journal impact,Ronald R. Yager,ordered weighted average (OWA),Educational research,Journal rankings,Chinese medical diagnosis,Multi-expert MCDM,Co-working,Induced aggregation operators,variance,Hesitant fuzzy set,portfolio selection,reinsurance,Fuzzy research,Correlation measure,Interval multiplicative preference relation,Group decision-making,COWGA operator,Citation analysis,Bonferroni means,Moore's families,DHFS,map,Bon-owa operators,Weighted average,Supplier selection,Dempster-Shafer belief structure,Web of science,h-index,Galois lattice,Economic growth,Fuzzy logic,Management Science,Ontological analysis,Distance measures,Citations,VOS viewer,Probability,Ordered weighted average,GDM,Entrepreneurial group decision making,Finance,Economics,Journal analysis,CiteSpace,Journals,Strategic management,Female entrepreneurial activity,Weighting methods,Bibliometric analysis,Minkowski distance,Aggregation operators,review,Entrepreneurship,Triangular fuzzy number,Institutional economics,Bibliometrics,Linguistic decision making,OWA operators,Women entrepreneurship,Uncertainty,Hesitant fuzzy linguistic term set,Innovation,OWA operator;linguistic information,Inflation,Science to business,Fuzzy number,Pythagorean fuzzy set (PFS),prioritized aggregation operators,Group decision making,Multi-criteria decision making,group decision making,Fuzzy numbers,Industry-science,HOWA operator,IOWA operator,Multiple attribute group decision making,Intuitionistic uncertain linguistic sets,Co-citation,pattern recognition,Fuzzy theory,exchange rate,multiattribute group decision making (MAGDM),network visualization,Web of Science,Enterprise risk management,Fuzzy divergence,Prioritized aggregation operators,Induced aggregation operators,citation analysis,variance,economy,H-Index,multiple attribute decision-making,logarithmic aggregation operators,distance operator,VOSviewer,Social economy,Group decision-making,Bonferroni means,Econometric forecasting,asymmetric information,Aggregation functions,Asia,Multi-attribute group decision making,strategy decision-making,Weighted average,Tourism,Majority opinion,Average fixed asset,innovation project management,Web of science,h-Index,induced aggregation operators,h-index,Soft computing,heavy moving averages,triangular fuzzy number,Partitioned heronian mean operator,Fuzzy logic,Hamacher aggregation operator,web of science,TOPSIS,Fuzzy distances,multi-attribute decision making,intuitionistic fuzzy sets Pythagorean fuzzy sets,Decision making,Distance measures,Web of Science (WoS),Forgotten effects,fuzzy Jensen-exponential divergence,Linguistic intuitionistic fuzzy sets,VOS viewer,transparency and access to information,Jensen-Shannon divergence,Delphi analysis,Stakeholder dynamics,Soft majority concept,induced ordered weighted averaging (IOWA),Fuzzy entropy,Moving average,journal,Weighting methods,probabilistic aggregation operators,research and development projects selection,Decision-making,Minkowski distance,bibliometrics,similarity measure,Aggregation operators,partitioned Bonferroni mean,Bonferroni mean,University-industry collaborations,Analytics,group decision-making,distance measures,Bibliometrics,sales forecasting,ontological analysis,Multi-expert decision making,Technology transfer,induced ordered weighted average operator,Subjectivity and incidences,OWA operator
Lammers, T.;Lammers, T.;;
Miranda, L.;Miranda, L.;;
Castro-Alonso, J.C.;Castro-Alonso, J.C.;Biologically primary and secondary tasks,Instructional visualizations,Confounding variables,Dynamic and static pictures,STEM;Gender studies,Multimedia/hypermedia systems,Mental rotation,Interactive learning environments,Mental folding and spatial visualization,Computer-adapted test,Biology,Cognitive load theory,Spatial ability,Visuospatial working memory,Visuospatial measures,Instructional animations,Gender,Applications in subject areas,Media in education,STEM
Sweller, J.;Sweller, J.;;
